Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,4.297,1.243,3,1000.0,1.031
0.3,4.616,2.094,3,1000.0,0.977
0.6,4.901,2.927,3,1000.0,0.976
0.9,5.187,2.936,3,1000.0,0.996
1.2,5.508,3.879,3,1000.0,0.999
1.5,5.778,4.711,3,1000.0,0.996
1.8,6.082,4.701,3,1000.0,1.017
2.1,6.386,5.122,3,1000.0,1.033
2.4,6.662,4.94,3,1000.0,0.98
2.7,6.965,5.198,3,1000.0,0.975
3.0,7.284,5.549,3,1000.0,1.0
3.3,7.601,5.941,3,1000.0,0.968
3.6,7.896,6.67,3,1000.0,0.973
3.9,8.193,6.413,3,1000.0,1.041
4.2,8.468,6.905,3,1000.0,0.978
4.5,8.825,7.049,3,1000.0,1.0
4.8,9.812,7.037,3,1000.0,0.954
5.1,9.994,7.051,3,1000.0,1.036
5.4,10.293,7.058,3,1000.0,0.966
5.7,10.601,7.501,3,1000.0,1.013
6.0,,0.004,3,1000.0,1.01
6.3,0.0,0.008,3,1000.0,1.005
6.6,1.991,0.347,3,1000.0,0.824
6.9,1.922,1.103,3,1000.0,0.9
7.2,1.97,1.791,3,1000.0,0.869
7.5,1.979,1.968,3,1000.0,0.913
7.8,2.051,2.041,3,1000.0,0.902
8.1,2.05,1.955,3,1000.0,0.883
8.4,2.076,2.089,3,1000.0,0.923
8.7,2.121,1.977,3,1000.0,0.896
9.0,2.139,1.999,3,1000.0,0.98
9.3,2.185,1.847,3,1000.0,0.92
9.6,2.224,1.68,3,1000.0,0.983
9.9,2.263,1.678,3,1000.0,0.863
10.2,2.293,1.799,3,1000.0,0.901
10.5,2.331,1.914,3,1000.0,0.89
10.8,2.361,1.771,3,1000.0,0.933
11.1,2.386,1.995,3,1000.0,0.859
11.4,2.436,1.957,3,1000.0,0.926
11.7,2.491,1.854,3,1000.0,0.898
12.0,2.515,1.837,3,1000.0,0.932
12.3,2.528,1.976,3,1000.0,0.93
12.6,2.566,2.432,3,1000.0,0.891
12.9,2.572,2.625,3,1000.0,0.937
13.2,2.614,2.596,3,1000.0,0.983
13.5,2.641,2.67,3,1000.0,0.885
13.8,2.659,2.445,3,1000.0,0.945
14.1,2.697,2.653,3,1000.0,0.91
14.4,2.692,2.737,3,1000.0,0.944
14.7,2.717,2.672,3,1000.0,0.913
15.0,2.752,2.782,3,1000.0,0.93
15.3,2.757,2.567,3,1000.0,0.936
15.6,2.765,2.754,3,1000.0,0.974
15.9,2.78,2.722,3,1000.0,0.938
16.2,2.795,2.847,3,1000.0,0.956
16.5,2.808,2.769,3,1000.0,0.926
16.8,2.819,2.637,3,1000.0,0.918
17.1,2.859,3.061,3,1000.0,1.007
17.4,2.85,3.089,3,1000.0,1.008
17.7,2.876,2.843,3,1000.0,0.96
18.0,2.892,2.535,3,1000.0,0.949
18.3,2.873,2.791,3,1000.0,0.98
18.6,2.891,2.873,3,1000.0,0.932
18.9,2.915,3.146,3,1000.0,0.964
19.2,2.915,2.77,3,1000.0,0.99
19.5,2.937,2.931,3,1000.0,0.959
19.8,2.907,2.813,3,1000.0,0.974
20.1,2.928,2.947,3,1000.0,1.048
20.4,2.948,2.948,3,1000.0,0.935
20.7,2.93,2.859,3,1000.0,0.983
21.0,2.947,3.131,3,1000.0,1.038
21.3,2.926,2.749,3,1000.0,0.974
21.6,2.95,2.971,3,1000.0,0.982
21.9,2.973,3.182,3,1000.0,0.974
22.2,2.99,2.972,3,1000.0,0.983
22.5,2.968,2.97,3,1000.0,0.989
22.8,2.958,2.944,3,1000.0,0.955
23.1,2.965,2.978,3,1000.0,1.052
23.4,2.978,2.969,3,1000.0,1.025
23.7,3.005,2.921,3,1000.0,0.969
24.0,2.975,3.219,3,1000.0,0.944
24.3,2.974,3.011,3,1000.0,0.994
24.6,2.993,2.934,3,1000.0,1.0
24.9,2.993,3.028,3,1000.0,0.999
25.2,2.973,3.002,3,1000.0,0.955
25.5,2.99,3.009,3,1000.0,1.014
25.8,2.983,2.79,3,1000.0,0.974
26.1,2.973,3.049,3,1000.0,1.029
26.4,3.0,3.0,3,1000.0,0.978
26.7,2.998,2.99,3,1000.0,0.986
27.0,2.989,3.034,3,1000.0,0.983
27.3,3.0,2.957,3,1000.0,0.99
27.6,2.984,3.014,3,1000.0,0.972
27.9,2.988,3.004,3,1000.0,1.029
28.2,2.996,2.883,3,1000.0,1.025
28.5,2.996,2.806,3,1000.0,0.964
28.8,2.995,2.861,3,1000.0,1.024
29.1,3.001,3.036,3,1000.0,0.975
29.4,3.035,3.006,3,1000.0,1.006
29.7,2.996,2.934,3,1000.0,0.977
30.0,3.007,3.006,3,1000.0,0.979
30.3,2.976,2.771,3,1000.0,1.05
30.6,2.984,3.023,3,1000.0,0.999
30.9,2.98,3.041,3,1000.0,1.038
31.2,2.987,3.208,3,1000.0,0.97
31.5,3.024,2.993,3,1000.0,0.977
31.8,2.996,2.937,3,1000.0,1.021
32.1,2.999,2.701,3,1000.0,0.988
32.4,2.992,3.005,3,1000.0,1.028
32.7,2.989,2.887,3,1000.0,0.968
33.0,3.014,3.028,3,1000.0,0.957
33.3,3.007,3.02,3,1000.0,1.025
33.6,3.013,2.881,3,1000.0,1.035
33.9,2.99,2.724,3,1000.0,1.045
34.2,3.012,2.928,3,1000.0,1.041
34.5,2.99,3.016,3,1000.0,0.979
34.8,3.001,3.02,3,1000.0,0.984
35.1,3.015,3.014,3,1000.0,1.013
35.4,2.981,3.03,3,1000.0,0.995
35.7,2.989,2.962,3,1000.0,0.973
36.0,2.989,3.034,3,1000.0,0.992
36.3,3.008,3.241,3,1000.0,1.015
36.6,2.968,3.001,3,1000.0,0.985
36.9,2.993,3.03,3,1000.0,1.029
37.2,2.995,2.89,3,1000.0,0.976
37.5,2.981,3.032,3,1000.0,0.96
37.8,2.993,3.031,3,1000.0,0.977
38.1,3.0,3.013,3,1000.0,0.932
38.4,2.992,3.033,3,1000.0,0.991
38.7,2.978,2.947,3,1000.0,0.98
39.0,3.019,3.008,3,1000.0,1.027
39.3,2.992,3.04,3,1000.0,0.992
39.6,3.013,3.181,3,1000.0,0.979
39.9,3.011,3.042,3,1000.0,0.991
40.2,2.996,2.942,3,1000.0,1.023
40.5,2.995,3.234,3,1000.0,0.986
40.8,3.006,2.993,3,1000.0,0.986
41.1,3.017,3.043,3,1000.0,0.998
41.4,2.97,2.76,3,1000.0,1.03
