Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.894,0.335,3,1000.0,0.972
0.3,2.925,0.006,3,1000.0,0.965
0.6,3.092,0.426,3,1000.0,1.002
0.9,3.069,1.0,3,1000.0,1.031
1.2,3.079,1.538,3,1000.0,0.985
1.5,3.063,2.136,3,1000.0,1.063
1.8,3.059,2.702,3,1000.0,1.018
2.1,3.083,2.939,3,1000.0,1.038
2.4,3.072,2.996,3,1000.0,1.006
2.7,3.05,3.01,3,1000.0,1.007
3.0,3.04,2.993,3,1000.0,0.972
3.3,3.032,2.992,3,1000.0,1.014
3.6,3.015,2.874,3,1000.0,1.048
3.9,3.024,3.0,3,1000.0,1.019
4.2,3.019,2.965,3,1000.0,1.03
4.5,3.057,2.978,3,1000.0,0.958
4.8,3.029,2.97,3,1000.0,1.058
5.1,2.996,2.829,3,1000.0,1.007
5.4,3.024,3.191,3,1000.0,0.971
5.7,3.016,2.962,3,1000.0,1.018
6.0,2.997,2.98,3,1000.0,1.045
6.3,3.018,2.892,3,1000.0,1.001
6.6,3.02,2.717,3,1000.0,1.005
6.9,3.028,2.492,3,1000.0,0.971
7.2,2.997,2.251,3,1000.0,0.983
7.5,3.004,2.189,3,1000.0,1.002
7.8,3.017,1.945,3,1000.0,1.03
8.1,3.018,1.767,3,1000.0,0.995
8.4,2.977,1.645,3,1000.0,0.995
8.7,2.996,1.417,3,1000.0,0.99
9.0,2.991,0.972,3,1000.0,0.997
9.3,3.008,1.086,3,1000.0,1.028
9.6,2.995,1.338,3,1000.0,1.012
9.9,3.033,1.566,3,1000.0,1.014
10.2,3.019,1.729,3,1000.0,0.99
10.5,3.011,1.508,3,1000.0,1.0
10.8,3.009,1.661,3,1000.0,1.002
11.1,3.009,1.806,3,1000.0,0.996
11.4,3.001,2.12,3,1000.0,1.053
11.7,3.027,2.465,3,1000.0,0.994
12.0,2.998,2.426,3,1000.0,0.962
12.3,3.021,2.595,3,1000.0,0.965
12.6,2.978,2.888,3,1000.0,1.005
12.9,2.99,2.856,3,1000.0,1.026
13.2,3.001,2.912,3,1000.0,0.998
13.5,2.989,2.929,3,1000.0,1.046
13.8,3.01,3.151,3,1000.0,1.015
14.1,2.981,2.991,3,1000.0,1.008
14.4,3.003,2.967,3,1000.0,0.952
14.7,3.005,2.703,3,1000.0,1.021
15.0,3.02,2.616,3,1000.0,0.992
15.3,2.998,2.674,2,600.0,1.023
15.6,2.965,3.017,2,600.0,0.934
15.9,2.982,2.542,1,200.0,1.026
16.2,2.993,2.404,3,1000.0,0.967
16.5,3.002,2.573,3,1000.0,0.975
16.8,3.001,2.805,3,1000.0,0.983
17.1,2.993,3.143,3,1000.0,0.996
17.4,3.023,2.842,3,1000.0,0.969
17.7,2.974,3.156,3,1000.0,1.005
18.0,2.98,2.597,3,1000.0,0.991
18.3,2.983,2.3,3,1000.0,1.037
18.6,2.972,2.535,3,1000.0,0.951
18.9,2.987,2.77,3,1000.0,1.036
19.2,3.0,2.93,3,1000.0,1.018
19.5,2.991,3.112,3,1000.0,0.973
19.8,2.989,2.814,3,1000.0,0.982
20.1,2.976,2.938,3,1000.0,1.002
20.4,2.99,2.907,3,1000.0,1.033
20.7,3.009,2.883,3,1000.0,1.0
21.0,2.987,2.82,3,1000.0,1.024
21.3,2.983,3.045,3,1000.0,0.991
21.6,2.995,2.8,3,1000.0,0.976
21.9,3.014,2.838,3,1000.0,0.994
22.2,2.975,2.977,3,1000.0,1.034
22.5,2.994,2.965,3,1000.0,1.035
22.8,2.988,3.04,3,1000.0,0.98
23.1,2.973,2.734,3,1000.0,0.911
23.4,3.016,2.709,3,1000.0,1.004
23.7,3.015,2.474,3,1000.0,0.997
24.0,3.019,2.694,3,1000.0,1.016
24.3,3.019,2.447,3,1000.0,1.002
24.6,3.002,2.18,3,1000.0,0.993
24.9,3.018,2.052,3,1000.0,1.038
25.2,3.003,1.558,3,1000.0,1.029
25.5,3.018,1.271,3,1000.0,0.955
25.8,3.015,1.296,3,1000.0,0.978
26.1,3.01,1.489,3,1000.0,0.983
26.4,2.997,1.408,3,1000.0,1.02
26.7,3.017,1.484,3,1000.0,1.0
27.0,2.989,1.849,3,1000.0,0.999
27.3,3.019,2.319,3,1000.0,0.983
27.6,3.034,2.522,3,1000.0,1.008
27.9,3.002,2.73,3,1000.0,0.966
28.2,2.998,2.932,3,1000.0,0.982
28.5,3.0,2.924,3,1000.0,0.988
28.8,2.987,2.833,3,1000.0,0.972
29.1,2.984,3.15,3,1000.0,1.028
29.4,3.0,2.945,3,1000.0,1.008
29.7,2.979,2.916,3,1000.0,0.953
30.0,3.013,3.145,3,1000.0,0.962
30.3,2.993,2.935,3,1000.0,1.026
30.6,3.023,3.161,3,1000.0,0.988
30.9,2.995,2.942,3,1000.0,1.021
31.2,2.987,2.949,3,1000.0,1.021
31.5,3.011,2.907,3,1000.0,1.031
31.8,2.979,2.933,3,1000.0,1.022
32.1,3.0,2.94,3,1000.0,1.028
32.4,3.001,2.957,3,1000.0,1.02
32.7,2.976,3.114,3,1000.0,1.035
33.0,3.001,3.107,3,1000.0,0.999
33.3,3.011,3.085,3,1000.0,1.004
33.6,2.991,2.945,3,1000.0,0.962
33.9,2.988,2.919,3,1000.0,0.966
34.2,2.97,3.144,3,1000.0,1.017
34.5,2.998,2.917,3,1000.0,1.005
34.8,3.0,2.963,3,1000.0,1.018
35.1,2.984,2.971,3,1000.0,1.015
35.4,2.984,3.119,3,1000.0,1.008
35.7,2.989,2.927,3,1000.0,1.015
36.0,2.991,2.93,3,1000.0,0.946
36.3,2.993,2.945,3,1000.0,0.996
36.6,2.979,2.944,3,1000.0,1.003
36.9,3.004,2.905,3,1000.0,1.05
37.2,2.982,2.929,3,1000.0,0.989
37.5,3.008,2.856,3,1000.0,1.012
37.8,2.996,2.948,3,1000.0,1.002
38.1,3.005,2.966,3,1000.0,0.974
38.4,3.008,2.967,3,1000.0,0.998
38.7,3.002,2.953,3,1000.0,1.049
39.0,3.005,3.007,3,1000.0,0.972
39.3,2.996,2.959,3,1000.0,0.99
39.6,3.018,2.924,3,1000.0,0.985
39.9,3.005,2.958,3,1000.0,1.021
40.2,2.995,2.929,3,1000.0,1.024
40.5,3.002,2.94,3,1000.0,0.975
40.8,2.987,2.965,3,1000.0,0.995
41.1,3.001,3.113,3,1000.0,0.988
41.4,3.003,2.902,3,1000.0,1.002
41.7,3.019,2.807,3,1000.0,1.058
42.0,3.008,2.867,3,1000.0,1.001
42.3,3.005,2.914,3,1000.0,1.041
42.6,3.0,2.945,3,1000.0,1.004
42.9,3.028,2.948,3,1000.0,0.983
43.2,3.004,2.919,3,1000.0,1.044
43.5,3.008,3.093,3,1000.0,0.986
43.8,3.006,2.958,3,1000.0,0.996
44.1,2.985,2.92,3,1000.0,0.988
44.4,2.979,2.963,3,1000.0,1.002
44.7,3.024,2.935,3,1000.0,0.997
45.0,2.991,2.953,3,1000.0,0.962
45.3,3.005,2.945,3,1000.0,0.964
45.6,3.004,2.962,3,1000.0,0.997
45.9,3.003,2.881,3,1000.0,0.998
46.2,2.982,2.955,3,1000.0,0.999
46.5,2.986,2.819,3,1000.0,0.991
46.8,3.011,2.939,3,1000.0,0.991
47.1,3.008,2.967,3,1000.0,0.994
47.4,3.0,2.933,3,1000.0,1.037
47.7,2.975,2.943,3,1000.0,1.027
48.0,3.007,2.875,3,1000.0,0.987
48.3,3.008,2.869,3,1000.0,0.978
48.6,2.987,2.745,3,1000.0,0.969
48.9,3.008,2.849,3,1000.0,1.013
49.2,2.989,2.931,3,1000.0,1.031
49.5,3.0,2.938,3,1000.0,1.022
49.8,2.999,2.954,3,1000.0,0.972
50.1,3.002,3.164,3,1000.0,1.038
50.4,3.008,2.945,3,1000.0,1.042
50.7,2.989,2.834,3,1000.0,1.002
51.0,2.983,2.95,3,1000.0,0.932
51.3,2.999,3.155,3,1000.0,1.058
51.6,2.998,2.925,3,1000.0,0.995
51.9,3.0,2.932,3,1000.0,0.996
52.2,3.022,2.928,3,1000.0,1.02
52.5,2.997,2.911,3,1000.0,0.983
52.8,3.025,2.917,3,1000.0,1.0
53.1,2.988,3.107,3,1000.0,0.958
53.4,2.994,2.929,3,1000.0,0.962
53.7,2.994,2.936,3,1000.0,0.922
54.0,2.998,3.127,3,1000.0,1.0
54.3,3.017,2.927,3,1000.0,0.996
54.6,2.994,2.951,3,1000.0,0.999
54.9,2.994,2.922,3,1000.0,0.966
55.2,3.011,3.027,3,1000.0,0.975
55.5,3.021,2.943,3,1000.0,0.982
55.8,2.992,2.942,3,1000.0,1.025
56.1,3.004,2.967,3,1000.0,0.977
56.4,2.978,2.817,3,1000.0,1.009
56.7,2.996,2.983,2,600.0,1.014
57.0,3.019,3.167,2,600.0,1.014
57.3,3.006,2.683,3,1000.0,1.023
57.6,3.01,3.154,3,1000.0,1.032
57.9,2.989,2.947,3,1000.0,1.003
58.2,2.992,2.906,3,1000.0,0.957
58.5,2.985,2.965,3,1000.0,0.997
58.8,2.986,2.94,3,1000.0,0.995
59.1,3.014,2.877,3,1000.0,1.031
59.4,2.985,2.959,3,1000.0,0.984
59.7,3.031,2.829,3,1000.0,0.982
60.0,2.991,2.734,3,1000.0,0.997
60.3,2.982,2.708,3,1000.0,1.022
60.6,3.001,2.448,3,1000.0,0.956
60.9,2.983,2.595,3,1000.0,1.018
61.2,3.013,2.936,3,1000.0,0.995
61.5,2.972,2.921,3,1000.0,1.012
61.8,2.993,2.856,3,1000.0,1.01
62.1,2.998,2.92,3,1000.0,0.961
62.4,2.989,3.147,3,1000.0,0.954
62.7,2.985,2.774,3,1000.0,0.989
63.0,3.001,2.63,3,1000.0,0.999
63.3,2.998,2.699,3,1000.0,0.972
63.6,2.998,2.751,3,1000.0,0.978
63.9,3.034,2.299,3,1000.0,0.967
64.2,2.986,2.274,2,600.0,0.957
64.5,2.983,2.069,2,600.0,0.996
64.8,3.013,2.239,3,1000.0,1.001
65.1,3.031,1.98,3,1000.0,0.998
65.4,3.008,1.854,3,1000.0,0.99
65.7,2.97,1.481,3,1000.0,0.982
66.0,2.984,1.539,3,1000.0,0.999
66.3,3.001,1.26,3,1000.0,1.022
66.6,2.989,1.381,3,1000.0,1.019
66.9,2.983,1.185,3,1000.0,0.978
67.2,3.0,0.962,3,1000.0,1.012
67.5,2.972,1.043,2,600.0,1.0
67.8,2.983,0.844,2,600.0,0.936
68.1,2.954,0.866,3,1000.0,1.027
68.4,2.978,0.804,3,1000.0,0.995
68.7,3.004,0.541,3,1000.0,0.935
69.0,2.992,0.535,3,1000.0,0.993
69.3,3.006,0.259,3,1000.0,1.031
69.6,2.979,0.47,3,1000.0,0.992
69.9,2.99,0.116,3,1000.0,1.0
70.2,3.191,0.024,3,1000.0,1.012
70.5,3.295,0.327,3,1000.0,1.035
70.8,3.266,0.01,3,1000.0,1.027
71.1,3.501,0.406,1,200.0,1.094
71.4,3.463,0.141,1,200.0,1.099
71.7,3.66,0.475,2,600.0,1.094
72.0,3.648,0.15,3,1000.0,1.113
72.3,3.846,0.0,3,1000.0,1.085
72.6,4.152,0.023,1,200.0,1.086
72.9,4.336,0.45,3,1000.0,1.08
73.2,4.311,0.161,3,1000.0,1.107
73.5,4.55,0.025,3,1000.0,1.124
73.8,4.831,0.0,3,1000.0,1.095
74.1,5.152,0.013,3,1000.0,1.126
74.4,5.385,0.026,3,1000.0,1.072
74.7,5.619,0.014,3,1000.0,1.108
75.0,5.6,0.215,3,1000.0,1.093
75.3,5.777,0.018,3,1000.0,1.076
75.6,5.898,0.438,3,1000.0,1.097
75.9,5.872,0.265,3,1000.0,1.117
76.2,6.074,0.418,3,1000.0,1.122
76.5,6.053,0.162,3,1000.0,1.113
76.8,6.202,0.217,3,1000.0,1.067
77.1,6.162,0.104,3,1000.0,1.085
77.4,6.411,0.0,3,1000.0,1.097
77.7,6.51,0.432,1,200.0,1.049
78.0,6.478,0.288,1,200.0,1.099
78.3,6.475,0.146,2,600.0,1.075
78.6,6.663,0.041,2,600.0,1.083
78.9,6.947,0.029,3,1000.0,1.093
79.2,7.253,0.018,3,1000.0,1.097
79.5,7.832,0.007,3,1000.0,1.079
79.8,8.161,0.023,2,600.0,1.049
80.1,8.302,0.176,2,600.0,1.055
80.4,8.288,0.101,2,600.0,1.103
80.7,8.553,0.016,2,600.0,1.084
81.0,8.831,0.0,2,600.0,1.12
81.3,9.106,0.032,3,1000.0,1.038
81.6,9.41,0.058,3,1000.0,0.997
81.9,9.412,0.266,3,1000.0,1.07
82.2,9.507,0.031,3,1000.0,1.123
82.5,9.705,0.424,3,1000.0,1.12
82.8,9.697,0.239,3,1000.0,1.129
83.1,9.896,0.036,3,1000.0,1.087
83.4,10.051,0.354,3,1000.0,1.106
