Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.357,1.701,3,1000,1.053
0.3,3.326,2.414,3,1000,1.083
0.6,3.284,2.809,3,1000,1.078
0.9,3.302,3.222,3,1000,1.047
1.2,3.28,3.443,3,1000,1.011
1.5,3.245,3.098,3,1000,1.046
1.8,3.243,3.186,3,1000,1.041
2.1,3.212,3.192,3,1000,1.02
2.4,3.188,3.175,3,1000,1.041
2.7,3.186,3.114,3,1000,1.023
3.0,3.15,3.308,3,1000,1.057
3.3,3.133,3.104,3,1000,1.057
3.6,3.143,3.307,3,1000,1.044
3.9,3.145,3.083,3,1000,1.08
4.2,3.119,3.08,3,1000,1.021
4.5,3.103,3.037,3,1000,1.002
4.8,3.103,3.267,3,1000,1.005
5.1,3.089,3.048,3,1000,1.014
5.4,3.061,2.995,3,1000,1.039
5.7,3.066,3.235,3,1000,1.055
6.0,3.08,2.995,3,1000,1.026
6.3,3.042,3.03,3,1000,0.98
6.6,3.064,3.017,3,1000,1.051
6.9,3.048,2.976,3,1000,0.996
7.2,3.052,3.027,3,1000,1.058
7.5,3.059,2.975,3,1000,0.987
7.8,3.053,3.002,3,1000,1.004
8.1,3.029,3.004,3,1000,1.011
8.4,3.032,2.924,3,1000,1.026
8.7,3.059,3.006,3,1000,0.99
9.0,3.465,3.542,3,1000,0.997
9.3,3.465,3.414,3,1000,1.039
9.6,3.417,3.299,3,1000,1.039
9.9,3.399,3.564,3,1000,1.099
10.2,3.403,3.206,3,1000,1.043
10.5,3.389,3.355,3,1000,1.062
10.8,3.366,3.191,3,1000,1.062
11.1,3.332,3.236,3,1000,1.01
11.4,3.305,3.071,3,1000,1.077
11.7,3.268,3.456,3,1000,1.121
12.0,3.266,3.232,3,1000,1.097
12.3,3.251,3.207,3,1000,1.015
12.6,3.243,3.357,3,1000,1.057
12.9,3.211,2.842,3,1000,1.019
13.2,3.183,2.98,3,1000,1.064
13.5,3.184,3.123,3,1000,1.027
13.8,3.165,3.115,3,1000,1.053
14.1,3.151,3.12,3,1000,1.059
14.4,3.177,3.074,3,1000,1.032
14.7,3.133,3.097,3,1000,1.052
15.0,3.142,2.903,3,1000,1.056
15.3,3.134,2.874,3,1000,1.005
15.6,3.1,3.066,3,1000,1.04
15.9,3.103,3.27,3,1000,1.017
16.2,3.132,2.965,3,1000,0.997
16.5,3.077,3.071,3,1000,1.036
16.8,3.08,2.85,3,1000,1.051
17.1,3.05,2.6,3,1000,0.98
17.4,3.054,2.654,3,1000,0.983
17.7,3.056,2.931,3,1000,1.014
18.0,3.078,2.977,3,1000,1.022
18.3,3.074,2.993,3,1000,1.01
18.6,3.066,2.414,3,1000,0.986
18.9,3.048,2.657,3,1000,1.013
19.2,3.03,2.487,3,1000,1.068
19.5,3.033,2.524,3,1000,0.993
19.8,3.044,2.977,3,1000,1.004
20.1,3.015,3.197,3,1000,1.029
