Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.074,1.42,3,1000,0.87
0.3,2.133,1.621,3,1000,0.888
0.6,2.15,2.105,3,1000,0.853
0.9,2.17,2.069,3,1000,0.837
1.2,2.209,2.155,3,1000,0.878
1.5,2.216,2.164,3,1000,0.963
1.8,2.277,2.167,3,1000,0.883
2.1,2.285,2.226,3,1000,0.91
2.4,2.304,2.233,3,1000,0.898
2.7,2.339,2.293,3,1000,0.913
3.0,2.381,2.102,3,1000,0.896
3.3,2.417,2.348,3,1000,0.864
3.6,2.448,2.381,3,1000,0.939
3.9,2.459,2.385,3,1000,0.913
4.2,2.496,2.46,3,1000,0.897
4.5,2.531,2.443,3,1000,0.929
4.8,2.54,2.462,3,1000,0.894
5.1,2.581,2.511,3,1000,0.954
5.4,2.579,2.532,3,1000,0.947
5.7,2.598,2.602,3,1000,0.92
6.0,2.633,2.55,3,1000,0.918
6.3,2.652,2.608,3,1000,0.947
6.6,2.678,2.607,3,1000,0.97
6.9,2.693,2.681,3,1000,0.903
7.2,2.732,2.673,3,1000,0.908
7.5,2.731,2.584,3,1000,0.949
7.8,2.762,2.688,3,1000,0.946
8.1,2.787,2.6,3,1000,0.964
8.4,2.775,2.731,3,1000,0.956
8.7,2.827,2.768,3,1000,0.967
9.0,2.814,2.706,3,1000,0.964
9.3,2.836,2.781,3,1000,0.947
9.6,2.803,2.802,3,1000,0.891
9.9,2.84,2.783,3,1000,0.96
10.2,2.859,2.601,3,1000,0.928
10.5,2.888,2.823,3,1000,0.981
10.8,2.889,2.843,3,1000,0.993
11.1,2.885,2.635,3,1000,0.969
11.4,2.913,2.851,3,1000,0.983
11.7,2.897,2.856,3,1000,0.955
12.0,2.906,2.787,3,1000,0.977
12.3,2.911,2.847,3,1000,0.958
12.6,2.938,2.582,3,1000,0.973
12.9,2.932,2.863,3,1000,1.0
13.2,2.919,2.89,3,1000,1.018
13.5,2.938,2.889,3,1000,0.949
13.8,2.953,2.888,3,1000,0.986
14.1,2.941,2.906,3,1000,1.004
14.4,2.965,2.898,3,1000,1.004
14.7,2.976,2.659,3,1000,1.017
15.0,2.976,2.907,3,1000,0.985
15.3,2.948,2.934,3,1000,0.993
15.6,2.961,2.728,3,1000,0.958
15.9,2.983,2.927,3,1000,0.95
