Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.017,1.117,3,1000,0.965
0.3,3.014,1.768,3,1000,0.933
0.6,2.979,2.071,3,1000,1.004
0.9,2.992,2.782,3,1000,0.956
1.2,3.02,2.945,3,1000,0.963
1.5,3.015,2.842,3,1000,0.983
1.8,2.987,3.138,3,1000,0.985
2.1,2.99,2.953,3,1000,1.006
2.4,2.99,2.712,3,1000,1.017
2.7,2.974,2.928,3,1000,0.994
3.0,2.994,3.145,3,1000,1.011
3.3,2.99,2.826,3,1000,0.993
3.6,2.968,2.964,3,1000,1.035
3.9,2.989,3.072,3,1000,0.974
4.2,2.999,2.931,3,1000,0.959
4.5,3.015,2.862,3,1000,0.957
4.8,2.99,3.162,3,1000,1.023
5.1,3.026,3.135,3,1000,1.006
5.4,2.986,2.916,3,1000,0.989
5.7,3.002,2.931,3,1000,0.993
6.0,2.991,3.063,3,1000,1.052
6.3,3.008,2.934,3,1000,0.994
6.6,2.994,2.683,3,1000,1.034
6.9,2.984,3.11,3,1000,0.937
7.2,3.01,2.95,3,1000,1.051
7.5,2.995,2.889,3,1000,1.015
7.8,2.99,2.961,3,1000,1.017
8.1,2.991,2.923,3,1000,0.979
8.4,3.021,2.942,3,1000,0.981
8.7,2.993,3.156,3,1000,0.994
9.0,2.977,2.882,3,1000,0.966
9.3,2.991,3.14,3,1000,1.002
9.6,2.986,2.889,3,1000,0.96
9.9,3.012,2.936,3,1000,1.017
10.2,2.982,3.147,3,1000,0.983
10.5,3.008,3.17,3,1000,0.989
10.8,2.998,2.914,3,1000,1.031
11.1,3.002,2.925,3,1000,1.045
11.4,3.015,2.921,3,1000,0.979
11.7,3.001,2.888,3,1000,1.016
12.0,2.972,2.933,3,1000,0.982
12.3,3.003,2.942,3,1000,1.007
12.6,2.979,2.964,3,1000,0.99
12.9,3.013,2.93,3,1000,1.02
13.2,2.997,2.804,3,1000,1.015
13.5,2.983,2.934,3,1000,0.996
13.8,3.015,2.92,3,1000,0.982
14.1,2.989,3.129,3,1000,1.032
14.4,2.988,2.736,3,1000,1.013
14.7,2.998,2.88,3,1000,0.988
15.0,2.992,2.931,3,1000,1.004
15.3,3.001,2.93,3,1000,1.01
15.6,3.003,2.889,3,1000,0.971
15.9,3.009,2.935,3,1000,1.012
16.2,2.986,3.079,3,1000,0.995
16.5,3.004,2.942,3,1000,0.959
16.8,3.002,2.945,3,1000,0.996
17.1,2.996,2.937,3,1000,1.01
17.4,2.961,2.949,3,1000,0.985
17.7,2.998,2.934,3,1000,1.029
18.0,2.996,2.938,3,1000,1.013
18.3,3.0,2.928,3,1000,1.057
18.6,2.992,2.957,3,1000,0.98
18.9,3.005,2.947,3,1000,1.022
19.2,2.999,2.791,3,1000,0.995
19.5,2.998,2.956,3,1000,0.961
19.8,2.993,2.909,3,1000,0.982
20.1,3.039,2.902,3,1000,1.046
20.4,3.01,2.975,3,1000,1.012
20.7,3.01,2.879,3,1000,1.015
21.0,2.963,2.942,3,1000,0.918
21.3,3.005,3.169,3,1000,0.954
21.6,3.007,2.946,3,1000,0.983
21.9,3.01,2.937,3,1000,1.005
22.2,2.998,2.932,3,1000,1.057
22.5,2.99,3.16,3,1000,1.007
22.8,2.999,2.95,3,1000,0.959
23.1,3.006,2.962,3,1000,1.006
23.4,2.992,2.947,3,1000,0.998
23.7,3.002,2.909,3,1000,1.04
24.0,3.001,2.818,3,1000,1.048
24.3,3.0,2.766,3,1000,1.0
24.6,3.013,2.644,3,1000,1.022
24.9,2.999,2.605,3,1000,0.988
25.2,3.001,3.047,3,1000,0.984
25.5,2.993,2.946,3,1000,0.994
25.8,3.029,2.929,3,1000,1.001
26.1,3.002,2.923,3,1000,0.978
26.4,2.992,2.944,3,1000,1.027
26.7,2.995,2.951,3,1000,0.966
27.0,2.996,2.739,3,1000,1.011
27.3,3.022,2.934,3,1000,0.962
27.6,3.013,2.652,3,1000,0.988
27.9,3.008,2.816,3,1000,1.054
28.2,2.997,2.958,3,1000,0.955
28.5,2.971,2.913,3,1000,0.975
28.8,3.004,2.926,3,1000,1.033
29.1,2.979,3.05,3,1000,1.01
29.4,2.995,2.931,3,1000,0.976
29.7,3.004,2.926,3,1000,1.031
30.0,3.038,2.95,3,1000,0.976
30.3,2.995,2.608,3,1000,0.97
30.6,3.0,2.554,3,1000,0.993
30.9,2.997,2.587,3,1000,1.047
31.2,2.991,2.883,3,1000,0.967
31.5,2.998,3.09,3,1000,1.008
31.8,3.008,2.667,3,1000,1.043
