Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.592,0.017,3,1000,1.03
0.3,3.62,0.608,3,1000,1.139
0.6,3.576,1.139,3,1000,1.103
0.9,3.542,1.552,3,1000,1.132
1.2,3.545,1.774,3,1000,1.079
1.5,3.499,1.565,3,1000,1.101
1.8,3.448,1.117,3,1000,1.104
2.1,3.405,1.331,3,1000,1.1
2.4,3.391,1.157,3,1000,1.089
2.7,3.364,1.31,3,1000,1.096
3.0,3.347,1.42,3,1000,1.087
3.3,3.323,1.565,3,1000,1.013
3.6,3.294,1.737,3,1000,1.078
3.9,3.27,1.923,3,1000,1.089
4.2,3.282,2.131,3,1000,1.092
4.5,3.219,2.316,3,1000,1.061
4.8,3.217,2.64,3,1000,1.048
5.1,3.239,3.155,3,1000,1.074
5.4,3.208,2.857,3,1000,1.075
5.7,3.187,2.764,3,1000,1.036
6.0,3.137,3.087,3,1000,1.064
6.3,3.162,3.291,3,1000,1.079
6.6,3.169,3.071,3,1000,1.012
6.9,3.133,3.097,3,1000,1.032
7.2,3.129,3.175,3,1000,1.053
7.5,3.107,3.053,3,1000,1.022
7.8,3.094,3.265,3,1000,1.005
8.1,3.097,2.914,3,1000,1.027
8.4,3.071,2.634,3,1000,1.003
8.7,3.063,2.847,3,1000,1.037
9.0,3.084,2.797,3,1000,0.995
9.3,3.045,2.961,3,1000,0.961
9.6,3.067,3.205,3,1000,0.988
9.9,3.05,2.967,3,1000,1.001
10.2,3.045,3.0,3,1000,1.012
10.5,3.051,3.01,3,1000,1.002
10.8,3.044,2.937,3,1000,1.027
11.1,3.056,3.167,3,1000,1.014
11.4,3.031,3.059,3,1000,0.973
11.7,3.022,2.967,3,1000,0.984
12.0,3.026,2.979,3,1000,1.016
12.3,3.009,2.908,3,1000,0.968
12.6,3.019,2.978,3,1000,1.016
12.9,3.053,2.816,3,1000,1.044
13.2,3.009,2.974,3,1000,1.011
13.5,2.991,2.915,3,1000,1.045
13.8,3.021,2.958,3,1000,0.969
14.1,3.01,2.981,3,1000,0.984
14.4,2.997,2.954,3,1000,0.986
14.7,3.035,2.863,3,1000,0.99
15.0,3.014,2.967,3,1000,0.995
15.3,3.0,2.946,3,1000,1.025
15.6,2.985,3.147,3,1000,0.991
15.9,3.01,2.816,3,1000,1.011
16.2,3.003,3.144,3,1000,1.019
16.5,3.023,2.712,3,1000,1.027
16.8,3.022,2.955,3,1000,1.033
17.1,2.999,2.955,3,1000,1.004
17.4,2.998,3.18,3,1000,0.995
17.7,2.995,2.93,3,1000,0.977
18.0,3.028,2.971,3,1000,1.031
18.3,3.014,2.915,3,1000,0.993
18.6,3.003,2.935,3,1000,1.029
18.9,3.008,2.882,3,1000,0.962
19.2,3.003,3.174,3,1000,0.966
19.5,2.988,2.939,3,1000,0.994
