Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.331,1.01,3,1000,1.052
0.3,3.323,1.742,3,1000,1.066
0.6,3.291,2.433,3,1000,1.047
0.9,3.266,3.273,3,1000,1.058
1.2,3.264,3.203,3,1000,1.042
1.5,3.237,3.188,3,1000,1.096
1.8,3.202,3.13,3,1000,1.043
2.1,3.234,3.146,3,1000,1.041
2.4,3.184,3.334,3,1000,1.048
2.7,3.173,3.134,3,1000,1.065
3.0,3.173,3.089,3,1000,1.014
3.3,3.142,3.07,3,1000,0.974
3.6,3.132,2.968,3,1000,1.008
3.9,3.118,2.926,3,1000,1.026
4.2,3.104,2.706,3,1000,1.047
4.5,3.118,2.893,3,1000,1.036
4.8,3.094,3.049,3,1000,1.012
5.1,3.092,3.047,3,1000,1.066
5.4,3.106,2.889,3,1000,1.024
5.7,3.086,3.042,3,1000,1.026
6.0,3.047,3.016,3,1000,0.988
6.3,3.057,3.034,3,1000,1.07
6.6,3.048,2.948,3,1000,0.98
6.9,3.052,2.975,3,1000,1.012
7.2,3.047,2.993,3,1000,0.977
7.5,3.036,2.994,3,1000,0.963
7.8,3.038,2.938,3,1000,1.04
8.1,3.029,2.837,3,1000,1.054
8.4,3.073,3.19,3,1000,0.98
8.7,3.046,2.872,3,1000,0.99
9.0,3.016,2.953,3,1000,1.031
9.3,3.023,2.793,3,1000,1.006
9.6,2.994,2.875,3,1000,1.026
9.9,3.014,2.983,3,1000,0.975
10.2,3.013,2.892,3,1000,0.993
10.5,2.995,2.924,3,1000,0.969
10.8,3.003,2.909,3,1000,1.031
11.1,3.029,3.116,3,1000,1.001
11.4,2.997,2.961,3,1000,1.004
11.7,3.012,3.182,3,1000,0.99
12.0,3.016,2.974,3,1000,0.964
12.3,2.998,2.942,3,1000,1.041
12.6,3.008,2.98,3,1000,0.979
12.9,3.006,2.975,3,1000,1.009
13.2,3.023,2.93,3,1000,0.974
13.5,3.009,3.179,3,1000,0.962
13.8,2.983,2.981,3,1000,0.989
14.1,3.01,2.891,3,1000,1.031
14.4,2.988,3.153,3,1000,0.989
14.7,2.994,2.916,3,1000,0.969
15.0,3.013,2.913,3,1000,0.99
15.3,3.007,3.148,3,1000,0.975
15.6,3.016,2.92,3,1000,1.026
15.9,2.983,2.947,3,1000,0.968
16.2,3.02,2.926,3,1000,1.025
16.5,3.014,2.955,3,1000,0.995
16.8,3.001,2.743,3,1000,1.01
17.1,2.998,2.669,3,1000,0.999
17.4,2.965,2.195,3,1000,0.982
17.7,3.012,2.363,3,1000,0.999
18.0,3.015,2.788,3,1000,0.988
18.3,2.993,3.124,3,1000,1.008
18.6,3.011,2.923,3,1000,1.036
18.9,3.018,2.86,3,1000,0.975
19.2,2.984,2.963,3,1000,0.965
19.5,3.004,2.815,3,1000,1.012
19.8,3.005,2.598,3,1000,1.032
20.1,3.017,2.737,3,1000,1.006
20.4,3.013,2.866,3,1000,0.981
20.7,2.973,2.962,3,1000,1.002
21.0,3.017,3.085,3,1000,1.039
21.3,3.008,2.952,3,1000,1.0
21.6,3.0,2.963,3,1000,0.986
21.9,2.986,2.931,3,1000,0.926
22.2,2.996,2.823,3,1000,0.992
22.5,3.004,2.96,3,1000,1.048
22.8,3.016,2.937,3,1000,1.014
23.1,2.984,2.881,3,1000,0.988
23.4,2.987,2.961,3,1000,0.962
23.7,3.009,2.847,3,1000,0.986
24.0,3.027,2.95,3,1000,1.02
24.3,3.003,2.975,3,1000,0.969
24.6,3.006,2.914,3,1000,1.037
24.9,3.01,2.955,3,1000,1.002
25.2,3.006,2.936,3,1000,0.973
25.5,3.008,2.944,3,1000,0.999
25.8,2.979,2.937,3,1000,1.02
26.1,2.998,3.138,3,1000,1.014
26.4,2.991,2.951,3,1000,1.008
26.7,2.982,2.924,3,1000,0.961
27.0,2.998,2.78,3,1000,0.982
27.3,2.996,2.518,3,1000,0.949
27.6,3.004,2.599,3,1000,0.998
27.9,3.006,2.45,3,1000,1.005
28.2,3.005,2.563,3,1000,0.989
28.5,3.017,2.945,3,1000,0.977
28.8,3.004,2.919,3,1000,1.007
29.1,2.998,2.957,3,1000,0.961
29.4,3.007,2.836,3,1000,0.959
29.7,3.011,2.91,3,1000,1.021
30.0,3.018,2.493,3,1000,0.97
30.3,3.008,2.559,3,1000,0.993
30.6,3.018,2.643,3,1000,1.051
30.9,3.006,2.782,3,1000,0.98
31.2,2.996,3.017,3,1000,0.976
31.5,3.015,2.922,3,1000,0.976
31.8,3.006,2.936,3,1000,0.991
32.1,3.037,2.93,3,1000,1.004
32.4,3.01,2.556,3,1000,0.949
32.7,2.992,2.8,3,1000,1.056
33.0,3.006,2.707,3,1000,0.961
33.3,2.997,2.847,3,1000,0.979
33.6,3.011,2.924,3,1000,0.996
33.9,3.038,2.767,3,1000,0.983
34.2,3.025,2.797,3,1000,1.017
34.5,2.997,2.671,3,1000,1.021
34.8,3.011,2.698,3,1000,1.04
35.1,3.001,2.883,3,1000,0.972
35.4,3.008,2.956,3,1000,1.009
35.7,3.033,2.927,3,1000,0.994
36.0,3.0,2.942,3,1000,1.027
36.3,2.995,2.721,3,1000,1.019
36.6,2.997,2.452,3,1000,0.988
36.9,2.99,2.593,3,1000,1.006
37.2,2.986,3.026,3,1000,1.07
37.5,3.007,2.552,3,1000,0.995
37.8,3.003,2.424,3,1000,1.046
38.1,3.012,2.611,3,1000,0.975
38.4,2.994,2.958,3,1000,0.961
38.7,3.012,2.795,3,1000,0.996
39.0,2.989,3.157,3,1000,1.016
39.3,2.996,2.92,3,1000,1.026
39.6,3.014,2.908,3,1000,1.012
39.9,3.003,2.942,3,1000,0.988
40.2,2.994,2.846,3,1000,0.955
40.5,3.021,2.92,3,1000,1.014
40.8,2.985,2.948,3,1000,1.028
41.1,3.018,2.934,3,1000,1.021
41.4,3.005,2.959,3,1000,0.991
41.7,3.028,2.944,3,1000,1.006
42.0,2.982,2.89,3,1000,0.987
42.3,2.985,2.868,3,1000,0.988
42.6,3.013,2.615,3,1000,1.015
42.9,3.018,2.692,3,1000,0.955
43.2,3.027,2.723,3,1000,0.962
43.5,3.006,2.45,3,1000,1.04
43.8,3.018,2.542,3,1000,0.974
44.1,3.016,2.947,3,1000,0.982
44.4,2.994,2.866,3,1000,1.002
44.7,3.026,2.954,3,1000,1.004
45.0,2.991,2.946,3,1000,0.999
45.3,2.971,2.941,3,1000,0.942
45.6,3.01,2.927,3,1000,1.012
45.9,2.997,2.768,3,1000,0.983
46.2,3.016,2.914,3,1000,0.985
46.5,3.029,2.945,3,1000,0.986
46.8,2.986,2.893,3,1000,1.005
47.1,3.029,2.65,3,1000,0.958
47.4,3.007,2.629,3,1000,1.017
47.7,3.024,2.776,3,1000,0.996
48.0,3.004,2.893,3,1000,0.985
48.3,3.001,2.969,3,1000,0.981
48.6,3.003,2.959,3,1000,1.006
48.9,2.988,3.159,3,1000,1.003
49.2,3.013,2.933,3,1000,1.041
49.5,3.014,3.151,3,1000,0.973
49.8,3.009,3.168,3,1000,1.017
50.1,3.022,2.9,3,1000,1.007
50.4,3.002,2.928,3,1000,0.984
50.7,3.025,2.887,3,1000,0.972
51.0,3.007,2.959,3,1000,0.993
51.3,3.037,2.95,3,1000,1.034
51.6,3.01,3.09,3,1000,0.967
51.9,2.989,2.94,3,1000,1.043
52.2,3.003,2.94,3,1000,0.962
52.5,3.025,2.879,3,1000,0.961
52.8,2.99,2.992,3,1000,0.992
53.1,3.008,2.79,3,1000,0.983
53.4,3.022,2.811,3,1000,1.024
53.7,3.0,2.827,3,1000,1.014
54.0,3.014,2.936,3,1000,0.923
54.3,3.002,3.147,3,1000,1.024
54.6,2.995,2.911,3,1000,0.966
54.9,3.024,2.923,3,1000,1.034
55.2,3.025,3.145,3,1000,1.018
55.5,3.001,2.957,3,1000,0.97
55.8,3.031,2.977,3,1000,1.039
56.1,3.019,2.927,3,1000,1.021
56.4,3.002,2.929,3,1000,0.974
56.7,3.005,3.075,3,1000,1.007
57.0,3.005,3.002,3,1000,0.998
57.3,3.004,2.949,3,1000,1.011
57.6,3.009,3.146,3,1000,1.017
57.9,3.01,3.185,3,1000,1.001
58.2,3.024,2.959,3,1000,0.991
58.5,3.017,2.973,3,1000,0.991
58.8,2.998,2.967,3,1000,1.0
59.1,3.017,2.932,3,1000,0.959
59.4,3.012,2.944,3,1000,1.01
59.7,3.012,2.883,3,1000,1.012
60.0,3.015,2.61,3,1000,1.017
60.3,3.034,2.682,3,1000,0.985
60.6,3.019,2.888,3,1000,0.962
60.9,3.032,2.922,3,1000,0.999
61.2,3.032,2.989,3,1000,1.043
61.5,3.016,2.764,3,1000,0.965
61.8,3.029,2.826,3,1000,1.013
62.1,3.022,2.303,3,1000,1.008
62.4,3.003,2.281,3,1000,0.977
62.7,3.02,2.445,3,1000,0.999
63.0,3.014,2.611,3,1000,1.026
63.3,3.035,2.873,3,1000,1.029
63.6,2.975,2.952,3,1000,0.958
63.9,3.024,2.679,3,1000,1.004
64.2,2.991,2.921,3,1000,0.986
64.5,3.011,2.937,3,1000,0.966
64.8,3.039,2.823,3,1000,1.011
65.1,3.012,2.615,3,1000,1.027
65.4,3.001,2.533,3,1000,1.028
65.7,2.999,2.58,3,1000,1.02
66.0,3.025,2.32,3,1000,0.978
66.3,2.993,2.006,3,1000,1.047
66.6,3.028,2.012,3,1000,0.974
66.9,3.008,1.853,3,1000,0.976
67.2,3.028,1.7,3,1000,1.001
67.5,3.044,1.663,3,1000,1.036
67.8,3.01,1.6,3,1000,1.065
68.1,3.001,1.511,3,1000,1.005
68.4,3.004,1.278,3,1000,0.98
68.7,3.003,1.015,3,1000,1.023
69.0,3.026,1.162,3,1000,1.009
69.3,3.025,0.93,3,1000,0.993
69.6,3.005,1.018,3,1000,1.025
69.9,3.03,0.812,3,1000,1.024
70.2,3.022,0.611,3,1000,0.974
70.5,3.006,0.345,3,1000,1.003
70.8,3.021,0.273,2,600,0.998
71.1,3.011,0.209,2,600,1.048
71.4,3.009,0.273,1,200,1.036
71.7,3.09,0.484,3,1000,0.962
72.0,3.077,0.172,3,1000,1.015
72.3,3.24,0.0,3,1000,1.021
72.6,3.557,0.0,3,1000,1.024
72.9,3.887,0.012,2,600,0.993
73.2,4.015,0.0,2,600,1.103
73.5,4.142,0.335,1,200,1.092
73.8,4.216,0.266,1,200,1.096
74.1,4.211,0.204,3,1000,1.074
74.4,4.359,0.0,3,1000,1.093
74.7,4.664,0.027,3,1000,1.108
75.0,4.968,0.0,3,1000,1.118
75.3,5.249,0.034,2,600,1.087
75.6,5.327,0.295,1,200,1.105
75.9,5.325,0.25,1,200,1.088
76.2,5.327,0.249,3,1000,1.102
76.5,5.469,0.016,3,1000,1.13
76.8,5.757,0.0,3,1000,1.099
77.1,6.097,0.049,2,600,1.122
77.4,6.33,0.106,2,600,0.985
77.7,6.572,0.09,2,600,1.13
78.0,6.613,0.194,1,200,1.064
78.3,6.618,0.388,3,1000,1.138
78.6,6.564,0.001,3,1000,1.076
78.9,6.88,0.006,3,1000,1.083
79.2,7.148,0.006,3,1000,1.061
79.5,7.454,0.051,2,600,0.951
79.8,7.647,0.037,2,600,1.111
80.1,7.652,0.208,1,200,1.119
80.4,7.864,0.04,1,200,1.082
80.7,8.011,0.405,3,1000,1.085
81.0,7.974,0.077,3,1000,1.095
81.3,8.265,0.021,3,1000,1.099
81.6,8.575,0.013,2,600,1.088
81.9,8.862,0.023,2,600,1.129
82.2,9.149,0.028,1,200,1.044
82.5,9.393,0.219,1,200,1.022
82.8,9.345,0.183,3,1000,1.099
83.1,9.558,0.018,3,1000,1.052
83.4,9.872,0.007,3,1000,1.056
83.7,10.173,0.029,2,600,1.085
84.0,10.387,0.136,2,600,1.104
84.3,10.62,0.0,2,600,1.073
84.6,10.598,0.257,1,200,1.099
84.9,10.565,0.28,3,1000,1.049
85.2,10.685,0.0,3,1000,1.106
85.5,10.982,0.0,3,1000,1.139
85.8,11.26,0.058,2,600,1.12
86.1,11.541,0.152,2,600,1.016
86.4,11.662,0.22,2,600,1.073
86.7,11.665,0.017,1,200,1.095
87.0,11.662,0.253,3,1000,1.151
87.3,11.749,0.009,3,1000,1.114
87.6,12.057,0.003,3,1000,1.076
87.9,12.352,0.0,3,1000,1.11
88.2,12.662,0.029,2,600,1.116
88.5,12.787,0.031,2,600,1.094
88.8,12.863,0.159,1,200,1.111
89.1,12.866,0.407,3,1000,1.093
89.4,12.868,0.005,3,1000,1.031
89.7,13.186,0.034,3,1000,1.102
90.0,13.47,0.004,3,1000,1.105
90.3,13.752,0.034,2,600,1.073
90.6,14.1,0.008,2,600,1.113
90.9,14.237,0.04,2,600,1.03
91.2,14.248,0.201,1,200,1.077
91.5,14.228,0.319,3,1000,1.097
91.8,14.263,0.017,3,1000,1.063
92.1,14.562,0.007,3,1000,1.07
92.4,14.844,0.028,2,600,1.092
92.7,15.142,0.096,2,600,1.133
93.0,15.384,0.0,2,600,1.126
93.3,15.668,0.0,2,600,1.086
93.6,4.014,0.498,1,200,1.089
93.9,3.942,0.395,1,200,1.066
94.2,3.963,0.397,3,1000,1.061
94.5,3.952,0.029,3,1000,1.065
94.8,4.221,0.008,3,1000,1.062
95.1,4.564,0.018,2,600,1.078
95.4,4.877,0.01,2,600,1.092
95.7,5.153,0.016,1,200,1.109
96.0,5.409,0.294,1,200,1.023
96.3,5.358,0.265,3,1000,1.098
96.6,5.547,0.001,3,1000,1.098
96.9,5.845,0.0,3,1000,1.085
97.2,6.149,0.01,2,600,1.097
97.5,6.459,0.017,2,600,1.135
97.8,6.59,0.087,2,600,1.112
98.1,6.56,0.151,1,200,1.081
98.4,6.674,0.362,3,1000,1.091
98.7,6.688,0.0,3,1000,1.154
99.0,6.979,0.023,3,1000,1.058
99.3,7.276,0.025,2,600,1.108
99.6,7.567,0.04,2,600,1.163
99.9,7.597,0.296,1,200,1.087
100.2,7.63,0.031,1,200,1.022
100.5,7.636,0.236,3,1000,1.125
100.8,7.77,0.0,3,1000,1.077
101.1,8.072,0.002,3,1000,1.095
101.4,8.361,0.047,2,600,1.11
101.7,8.621,0.116,2,600,1.012
102.0,8.689,0.316,1,200,0.966
102.3,8.766,0.08,1,200,1.154
102.6,8.725,0.269,3,1000,1.128
102.9,8.865,0.016,3,1000,1.115
103.2,9.166,0.0,3,1000,1.109
103.5,9.455,0.005,2,600,1.077
103.8,9.626,0.099,2,600,0.998
104.1,9.682,0.236,1,200,1.1
104.4,9.774,0.5,3,1000,1.1
104.7,9.759,0.107,3,1000,1.116
105.0,9.964,0.0,3,1000,0.996
105.3,10.266,0.0,3,1000,1.019
105.6,10.588,0.018,2,600,0.982
105.9,10.71,0.007,2,600,1.108
106.2,10.702,0.146,1,200,1.078
106.5,10.739,0.297,3,1000,1.115
106.8,10.725,0.0,3,1000,1.093
107.1,11.064,0.0,3,1000,1.123
