Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,1.308,1.269,3,1000,0.879
0.3,1.353,1.302,3,1000,0.872
0.6,1.42,1.327,3,1000,0.865
0.9,1.43,1.259,3,1000,0.922
1.2,1.427,1.413,3,1000,0.885
1.5,1.482,1.408,3,1000,0.941
1.8,1.499,1.32,3,1000,0.942
2.1,1.53,1.323,3,1000,0.888
2.4,1.574,1.072,3,1000,0.898
2.7,1.557,1.095,3,1000,0.905
3.0,1.608,0.918,3,1000,0.9
3.3,1.645,0.757,3,1000,0.911
3.6,1.678,1.004,3,1000,0.877
3.9,1.719,1.189,3,1000,0.908
4.2,1.735,1.055,3,1000,0.924
4.5,1.742,1.168,3,1000,0.905
4.8,1.809,1.398,3,1000,0.883
5.1,1.83,1.314,3,1000,0.891
5.4,1.881,1.359,3,1000,0.856
5.7,1.877,1.537,3,1000,0.923
6.0,1.94,1.809,3,1000,0.987
6.3,1.968,1.757,3,1000,0.928
6.6,1.97,1.936,3,1000,0.885
6.9,2.009,1.81,3,1000,0.93
7.2,2.048,1.98,3,1000,0.877
7.5,2.08,1.965,3,1000,0.948
7.8,2.105,1.914,3,1000,0.883
8.1,2.14,2.087,3,1000,0.909
8.4,2.162,2.113,3,1000,0.901
8.7,2.18,1.985,3,1000,0.91
9.0,2.243,2.181,3,1000,0.913
9.3,2.237,2.055,3,1000,0.902
9.6,2.291,2.041,3,1000,0.901
9.9,2.29,2.123,3,1000,0.941
10.2,2.303,2.064,3,1000,0.913
10.5,2.374,2.281,3,1000,0.865
10.8,2.409,2.059,3,1000,0.905
11.1,2.425,2.32,3,1000,0.909
11.4,2.449,2.394,3,1000,0.86
11.7,2.469,2.348,3,1000,0.852
12.0,2.477,2.391,3,1000,0.928
12.3,2.537,2.494,3,1000,0.899
12.6,2.545,2.496,3,1000,0.93
12.9,2.579,2.519,3,1000,0.912
13.2,2.623,2.577,3,1000,0.889
13.5,2.607,2.465,3,1000,0.974
13.8,2.671,2.356,3,1000,0.886
14.1,2.682,2.475,3,1000,0.9
14.4,2.68,2.375,3,1000,0.935
14.7,2.72,2.383,3,1000,0.902
15.0,2.741,2.662,3,1000,0.922
15.3,2.774,2.606,3,1000,0.964
15.6,2.753,2.642,3,1000,0.962
15.9,2.759,2.539,3,1000,0.964
16.2,2.809,2.756,3,1000,0.912
16.5,2.813,2.725,3,1000,0.93
16.8,2.815,2.614,3,1000,0.971
17.1,2.845,2.637,3,1000,0.939
17.4,2.841,2.791,3,1000,0.991
17.7,2.847,2.654,3,1000,0.982
18.0,2.88,2.83,3,1000,0.935
18.3,2.881,2.818,3,1000,0.962
18.6,2.9,2.753,3,1000,0.987
18.9,2.922,2.837,3,1000,1.022
19.2,2.909,2.677,3,1000,1.01
19.5,2.919,2.665,3,1000,0.974
19.8,2.935,2.854,3,1000,0.956
20.1,2.94,2.877,3,1000,0.966
20.4,2.915,2.883,3,1000,0.959
20.7,2.955,2.907,3,1000,0.996
21.0,2.915,2.637,3,1000,1.017
21.3,2.955,2.667,3,1000,0.969
21.6,2.959,2.918,3,1000,0.959
21.9,2.943,2.877,3,1000,0.962
22.2,2.966,2.909,3,1000,0.976
22.5,2.956,2.861,3,1000,1.005
22.8,2.962,2.713,3,1000,0.962
23.1,2.978,2.854,3,1000,0.981
23.4,2.99,2.925,3,1000,1.029
23.7,2.965,2.906,3,1000,0.998
24.0,2.965,2.927,3,1000,0.988
24.3,2.983,2.947,3,1000,0.975
24.6,2.985,2.606,3,1000,0.995
24.9,2.984,2.514,3,1000,0.943
25.2,2.978,2.497,3,1000,1.008
25.5,3.004,2.663,3,1000,0.976
25.8,2.997,2.591,3,1000,1.019
26.1,2.973,2.699,3,1000,1.008
26.4,2.994,2.755,3,1000,1.026
26.7,2.97,2.941,3,1000,0.973
27.0,2.985,2.956,3,1000,0.995
27.3,2.999,2.846,3,1000,1.051
27.6,3.016,2.916,3,1000,0.966
27.9,2.995,2.919,3,1000,0.995
28.2,3.015,2.884,3,1000,0.987
28.5,2.999,2.955,3,1000,1.016
28.8,2.989,2.86,3,1000,0.994
29.1,3.012,2.905,3,1000,1.02
29.4,3.002,2.691,3,1000,1.007
29.7,2.983,2.914,3,1000,1.057
30.0,3.013,2.948,3,1000,1.022
30.3,3.014,2.952,3,1000,1.012
30.6,2.985,2.96,3,1000,0.946
30.9,3.003,2.757,3,1000,1.01
31.2,3.01,2.954,3,1000,0.992
31.5,2.973,2.982,3,1000,1.038
31.8,3.0,2.748,3,1000,0.993
32.1,3.002,2.911,3,1000,1.004
32.4,3.007,2.812,3,1000,1.016
32.7,3.0,2.875,3,1000,0.976
33.0,3.008,2.893,3,1000,0.98
33.3,2.999,2.785,3,1000,1.035
33.6,3.013,2.969,3,1000,1.046
33.9,3.019,2.969,3,1000,0.955
34.2,2.991,2.78,3,1000,0.996
34.5,3.019,2.947,3,1000,1.052
34.8,2.962,2.753,3,1000,0.939
35.1,3.005,2.878,3,1000,0.99
35.4,3.043,2.516,3,1000,0.971
35.7,3.007,2.593,3,1000,1.021
36.0,3.006,2.695,3,1000,0.964
36.3,3.007,2.638,3,1000,0.989
36.6,3.004,2.866,3,1000,1.02
36.9,2.969,2.883,3,1000,1.02
37.2,3.001,2.834,3,1000,0.98
37.5,2.987,2.966,3,1000,0.984
37.8,3.016,2.95,3,1000,1.016
38.1,2.995,2.893,3,1000,0.982
38.4,3.027,2.961,3,1000,1.012
38.7,3.001,2.736,3,1000,0.963
39.0,2.995,2.772,3,1000,0.991
39.3,3.009,2.946,3,1000,0.939
39.6,2.996,2.92,3,1000,0.993
39.9,3.006,2.734,3,1000,0.976
40.2,2.995,2.843,3,1000,0.981
40.5,2.994,2.719,3,1000,1.058
40.8,3.0,2.722,3,1000,1.002
41.1,3.014,2.969,3,1000,1.008
41.4,3.006,2.922,3,1000,1.041
41.7,2.992,2.898,3,1000,0.987
42.0,3.001,2.938,3,1000,1.034
42.3,3.01,2.982,3,1000,0.98
42.6,3.01,2.967,3,1000,0.974
42.9,3.016,2.858,3,1000,0.977
43.2,3.005,2.946,3,1000,1.007
43.5,3.019,2.691,3,1000,0.995
43.8,3.001,2.922,3,1000,1.019
44.1,2.995,2.653,3,1000,0.993
44.4,3.031,2.378,3,1000,0.978
44.7,3.025,2.509,3,1000,1.033
45.0,3.0,2.66,3,1000,0.974
45.3,3.021,2.968,3,1000,0.987
45.6,2.995,2.944,3,1000,0.996
45.9,3.008,2.811,3,1000,0.959
46.2,3.027,2.938,3,1000,0.968
46.5,2.994,2.927,3,1000,1.014
46.8,3.009,2.957,3,1000,0.997
47.1,3.003,2.765,3,1000,1.044
47.4,3.024,2.903,3,1000,1.012
47.7,3.049,2.97,3,1000,0.982
48.0,3.017,2.907,3,1000,0.987
48.3,3.007,2.9,3,1000,0.964
48.6,3.011,2.94,3,1000,0.948
48.9,2.99,2.894,3,1000,1.003
49.2,2.996,2.939,3,1000,0.991
49.5,3.026,2.941,3,1000,0.987
49.8,3.013,2.97,3,1000,1.0
50.1,3.0,2.972,3,1000,1.011
50.4,2.991,2.775,3,1000,0.98
50.7,3.032,2.509,3,1000,0.968
51.0,3.009,2.753,3,1000,0.972
51.3,3.04,2.935,3,1000,0.979
51.6,3.001,2.964,3,1000,0.991
51.9,3.01,2.644,3,1000,0.986
52.2,2.983,2.95,3,1000,1.014
52.5,3.012,2.923,3,1000,0.997
52.8,2.989,2.87,3,1000,0.953
53.1,3.007,2.972,3,1000,1.0
53.4,3.011,2.855,3,1000,1.022
53.7,2.997,2.953,3,1000,1.001
54.0,2.993,2.948,3,1000,0.998
54.3,2.979,2.953,3,1000,0.998
54.6,3.009,2.931,3,1000,1.013
54.9,3.027,2.94,3,1000,1.004
55.2,3.001,2.742,3,1000,0.966
55.5,2.996,2.924,3,1000,1.071
55.8,2.992,2.874,3,1000,1.029
56.1,3.015,2.677,3,1000,1.032
56.4,2.987,2.425,3,1000,1.013
56.7,3.012,2.361,3,1000,0.952
57.0,3.0,2.333,3,1000,1.003
57.3,2.999,2.215,3,1000,0.989
57.6,3.006,2.573,3,1000,0.989
57.9,3.017,2.386,3,1000,1.041
58.2,3.018,2.039,3,1000,1.033
58.5,3.014,2.23,3,1000,0.988
58.8,3.009,2.495,3,1000,0.989
59.1,2.972,2.2,3,1000,0.99
59.4,3.005,2.077,3,1000,1.019
59.7,2.998,2.012,3,1000,1.037
60.0,2.998,1.768,3,1000,1.056
60.3,3.051,1.959,3,1000,1.086
60.6,3.017,1.681,3,1000,1.042
60.9,3.028,1.414,3,1000,1.013
61.2,3.007,1.467,3,1000,1.029
61.5,3.009,1.434,3,1000,1.02
61.8,3.006,1.177,3,1000,1.002
62.1,3.017,1.095,3,1000,1.04
62.4,3.005,0.857,3,1000,1.027
62.7,2.982,0.83,3,1000,1.001
63.0,3.01,0.684,3,1000,1.0
63.3,2.997,0.577,3,1000,1.026
63.6,3.037,0.251,3,1000,1.021
63.9,3.047,0.05,3,1000,0.988
64.2,3.329,0.017,3,1000,0.999
64.5,3.401,0.268,3,1000,1.086
64.8,3.453,0.01,3,1000,1.089
65.1,3.574,0.18,3,1000,1.072
65.4,3.573,0.033,3,1000,1.121
65.7,3.769,0.056,3,1000,1.064
66.0,3.912,0.288,3,1000,1.107
66.3,3.926,0.043,3,1000,1.06
66.6,4.254,0.028,3,1000,1.043
66.9,4.295,0.382,3,1000,1.103
67.2,4.319,0.026,3,1000,1.113
67.5,4.514,0.231,3,1000,1.084
67.8,4.465,0.042,3,1000,1.083
68.1,5.019,0.11,3,1000,1.075
68.4,4.977,0.14,3,1000,1.11
68.7,5.16,0.027,3,1000,1.112
69.0,5.344,0.239,3,1000,1.067
69.3,5.315,0.16,3,1000,1.076
69.6,5.534,0.02,3,1000,1.095
69.9,5.753,0.132,3,1000,1.09
70.2,5.779,0.178,3,1000,1.118
70.5,5.886,0.029,3,1000,1.133
70.8,6.224,0.024,3,1000,1.104
71.1,6.342,0.348,3,1000,1.083
71.4,6.321,0.049,3,1000,1.036
71.7,6.606,0.029,3,1000,1.167
72.0,6.619,0.266,3,1000,1.097
72.3,6.756,0.031,3,1000,1.064
72.6,6.958,0.398,3,1000,1.124
72.9,6.907,0.178,3,1000,1.072
73.2,7.099,0.019,3,1000,1.106
73.5,7.193,0.181,3,1000,1.145
73.8,7.282,0.016,3,1000,1.133
74.1,7.495,0.0,3,1000,1.086
74.4,7.813,0.289,3,1000,1.124
74.7,7.763,0.154,3,1000,1.119
75.0,7.932,0.04,3,1000,1.075
75.3,8.227,0.018,3,1000,1.132
75.6,8.286,0.441,3,1000,1.055
75.9,8.305,0.025,3,1000,1.151
76.2,8.485,0.046,3,1000,1.052
76.5,8.497,0.194,3,1000,1.13
76.8,8.721,0.057,3,1000,1.079
77.1,8.766,0.28,3,1000,1.133
