Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.302,0.566,3,1000,1.077
0.3,3.26,0.858,3,1000,1.061
0.6,3.245,1.361,3,1000,1.069
0.9,3.248,1.381,3,1000,1.083
1.2,3.225,1.853,3,1000,1.084
1.5,3.205,2.063,3,1000,1.054
1.8,3.2,2.13,3,1000,1.032
2.1,3.165,2.539,3,1000,1.039
2.4,3.153,2.833,3,1000,1.047
2.7,3.133,3.068,3,1000,1.031
3.0,3.124,3.035,3,1000,1.005
3.3,3.124,3.052,3,1000,0.979
3.6,3.106,3.083,3,1000,1.027
3.9,3.108,3.041,3,1000,1.075
4.2,3.108,3.056,3,1000,1.044
4.5,3.091,2.833,3,1000,1.011
4.8,3.061,3.076,3,1000,1.018
5.1,3.089,3.035,3,1000,1.015
5.4,3.073,2.997,3,1000,1.033
5.7,3.066,3.015,3,1000,1.0
6.0,3.05,3.025,3,1000,1.056
6.3,3.059,2.986,3,1000,1.024
6.6,3.06,3.004,3,1000,1.013
6.9,3.047,2.767,3,1000,1.008
7.2,3.053,2.978,3,1000,1.02
7.5,3.039,2.99,3,1000,1.044
7.8,3.027,2.997,3,1000,1.037
8.1,3.014,2.994,3,1000,0.992
8.4,3.04,3.017,3,1000,0.984
8.7,3.02,2.981,3,1000,1.026
9.0,3.028,2.993,3,1000,0.997
9.3,3.016,2.997,3,1000,0.988
9.6,3.026,2.964,3,1000,1.032
9.9,2.991,2.952,3,1000,0.97
10.2,2.999,2.954,3,1000,0.994
10.5,3.016,2.971,3,1000,1.027
10.8,2.998,2.95,3,1000,1.012
11.1,3.012,2.849,3,1000,1.023
11.4,3.004,2.562,3,1000,0.988
11.7,2.99,2.577,3,1000,1.0
12.0,2.99,2.949,3,1000,0.998
12.3,3.007,2.752,3,1000,0.941
12.6,2.99,2.972,3,1000,0.995
12.9,3.017,2.945,3,1000,1.036
13.2,3.015,2.927,3,1000,1.001
13.5,2.976,2.737,3,1000,0.989
13.8,2.993,2.997,3,1000,0.953
14.1,2.998,2.955,3,1000,0.976
14.4,2.995,2.96,3,1000,0.937
14.7,3.007,2.613,3,1000,1.013
