Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.458,0.419,3,1000,1.011
0.3,3.444,0.725,3,1000,1.125
0.6,3.41,1.372,3,1000,1.058
0.9,3.383,1.961,3,1000,1.068
1.2,3.392,2.678,3,1000,1.035
1.5,3.344,2.917,3,1000,1.099
1.8,3.315,3.025,3,1000,1.024
2.1,3.313,3.235,3,1000,1.077
2.4,3.271,3.235,3,1000,1.055
2.7,3.267,3.112,3,1000,1.042
3.0,3.24,3.189,3,1000,1.068
3.3,3.192,3.081,3,1000,1.039
3.6,3.18,3.153,3,1000,1.064
3.9,3.167,3.133,3,1000,1.041
4.2,3.16,3.146,3,1000,1.004
4.5,3.147,3.127,3,1000,1.017
4.8,3.128,3.095,3,1000,1.004
5.1,3.161,3.049,3,1000,1.094
5.4,3.112,2.926,3,1000,1.033
5.7,3.121,3.082,3,1000,1.013
6.0,3.103,3.042,3,1000,1.041
6.3,3.092,3.073,3,1000,1.033
6.6,3.104,3.065,3,1000,1.01
6.9,3.076,2.855,3,1000,0.978
7.2,3.082,3.023,3,1000,1.055
7.5,3.057,2.988,3,1000,1.02
7.8,3.05,2.996,3,1000,1.03
8.1,3.052,3.02,3,1000,1.052
8.4,3.081,2.995,3,1000,1.017
8.7,3.066,2.993,3,1000,1.06
9.0,3.016,2.922,3,1000,1.018
9.3,3.055,3.005,3,1000,1.031
9.6,3.039,3.009,3,1000,0.979
9.9,3.052,2.833,3,1000,1.005
10.2,3.017,2.996,3,1000,1.04
10.5,3.022,2.737,3,1000,0.992
10.8,3.007,2.967,3,1000,0.982
11.1,3.035,2.989,3,1000,1.003
11.4,3.043,2.982,3,1000,1.01
11.7,3.021,2.975,3,1000,1.031
12.0,3.014,2.78,3,1000,1.041
12.3,3.022,2.901,3,1000,1.031
12.6,3.016,2.909,3,1000,1.031
12.9,2.997,2.884,3,1000,1.001
13.2,3.018,2.925,3,1000,1.025
13.5,3.011,2.991,3,1000,0.985
13.8,2.984,2.945,3,1000,0.97
14.1,3.012,2.978,3,1000,1.003
14.4,2.98,2.959,3,1000,1.035
14.7,3.009,3.004,3,1000,0.981
15.0,3.015,2.964,3,1000,1.013
15.3,3.026,2.977,3,1000,0.967
15.6,3.022,2.939,3,1000,1.01
15.9,3.0,2.785,3,1000,0.975
16.2,2.997,2.726,3,1000,0.975
16.5,2.988,2.949,3,1000,1.008
16.8,3.005,2.879,3,1000,1.005
17.1,2.99,2.976,3,1000,0.955
17.4,2.998,2.955,3,1000,1.051
17.7,2.98,2.975,3,1000,0.996
18.0,2.978,2.959,3,1000,0.983
18.3,2.997,2.94,3,1000,1.034
18.6,3.006,2.944,3,1000,0.996
18.9,2.989,2.991,3,1000,0.973
19.2,3.017,2.972,3,1000,0.996
19.5,3.005,2.954,3,1000,1.007
19.8,3.0,2.958,3,1000,1.01
20.1,3.005,2.971,3,1000,0.999
20.4,3.001,2.71,3,1000,0.99
20.7,3.019,2.962,3,1000,1.028
21.0,2.985,2.795,3,1000,0.975
21.3,3.026,2.909,3,1000,1.069
21.6,3.003,2.817,3,1000,1.008
21.9,2.987,2.96,3,1000,1.012
22.2,3.0,2.929,3,1000,1.063
22.5,2.993,2.917,3,1000,0.989
22.8,2.996,2.96,3,1000,1.019
23.1,3.018,2.731,3,1000,0.954
23.4,3.022,2.97,3,1000,0.979
23.7,2.986,2.7,3,1000,1.018
24.0,2.98,2.921,3,1000,0.969
24.3,2.987,2.603,3,1000,1.062
24.6,3.024,2.809,3,1000,0.972
24.9,3.003,2.827,3,1000,1.007
25.2,3.004,2.883,3,1000,0.96
25.5,3.017,2.8,3,1000,1.028
25.8,2.978,2.939,3,1000,1.03
26.1,2.995,2.963,3,1000,0.973
26.4,2.978,2.981,3,1000,1.017
26.7,2.995,2.941,3,1000,1.005
27.0,3.011,2.817,3,1000,1.037
27.3,3.007,2.32,3,1000,0.998
27.6,2.983,2.712,3,1000,0.977
27.9,3.008,2.93,3,1000,1.017
28.2,2.983,2.944,3,1000,1.018
28.5,2.999,2.874,3,1000,0.966
28.8,3.01,2.721,3,1000,1.023
29.1,2.993,2.87,3,1000,0.967
29.4,3.029,2.984,3,1000,1.026
29.7,3.008,2.465,3,1000,1.038
30.0,3.011,2.797,3,1000,1.024
30.3,3.0,2.974,3,1000,0.992
30.6,3.008,2.964,3,1000,0.991
30.9,3.008,2.919,3,1000,1.033
31.2,2.973,2.954,3,1000,0.936
31.5,3.014,2.989,3,1000,0.995
31.8,3.006,2.956,3,1000,1.002
32.1,3.032,2.922,3,1000,0.996
32.4,3.019,2.941,3,1000,1.0
32.7,3.02,2.938,3,1000,1.027
33.0,2.995,2.753,3,1000,0.988
33.3,2.97,2.962,3,1000,1.008
33.6,3.016,2.947,3,1000,1.026
33.9,3.016,2.959,3,1000,0.99
34.2,3.017,2.98,3,1000,0.964
34.5,3.011,2.953,3,1000,1.012
34.8,3.0,2.928,3,1000,1.018
35.1,2.992,2.958,3,1000,0.965
35.4,3.011,2.69,3,1000,0.969
35.7,3.03,2.957,3,1000,1.048
36.0,2.993,2.866,3,1000,1.032
36.3,2.992,2.758,3,1000,0.995
36.6,2.999,2.766,3,1000,0.966
36.9,2.995,2.897,3,1000,0.99
37.2,2.998,2.741,3,1000,1.004
37.5,2.982,2.772,3,1000,0.981
37.8,3.009,2.959,3,1000,1.002
38.1,2.978,2.737,3,1000,0.98
38.4,3.015,2.965,3,1000,1.027
38.7,2.997,2.934,3,1000,1.017
39.0,2.986,2.96,3,1000,0.962
39.3,2.999,2.963,3,1000,1.039
39.6,2.982,2.908,3,1000,1.035
39.9,3.017,2.957,3,1000,0.996
40.2,3.019,2.749,3,1000,1.005
40.5,2.998,2.75,3,1000,1.049
40.8,3.008,2.98,3,1000,0.996
41.1,2.999,2.858,3,1000,0.981
41.4,2.977,2.968,3,1000,0.985
41.7,3.026,2.964,3,1000,1.002
42.0,3.01,2.935,3,1000,0.995
42.3,3.021,2.951,3,1000,0.979
42.6,3.01,2.971,3,1000,0.95
42.9,3.003,2.683,3,1000,1.052
43.2,3.015,2.959,3,1000,1.006
43.5,3.015,2.81,3,1000,0.984
43.8,3.033,2.882,3,1000,0.967
