Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.434,0.851,3,1000,1.091
0.3,3.388,1.684,3,1000,1.019
0.6,3.388,1.729,3,1000,1.054
0.9,3.353,2.428,3,1000,1.062
1.2,3.338,3.061,3,1000,1.056
1.5,3.294,3.188,3,1000,1.059
1.8,3.294,3.207,3,1000,1.037
2.1,3.267,3.392,3,1000,1.059
2.4,3.248,3.171,3,1000,1.028
2.7,3.237,3.184,3,1000,1.032
3.0,3.23,3.378,3,1000,1.044
3.3,3.194,3.07,3,1000,1.123
3.6,3.165,3.331,3,1000,1.084
3.9,3.173,3.122,3,1000,1.01
4.2,3.174,2.857,3,1000,1.013
4.5,3.128,3.302,3,1000,1.007
4.8,3.144,2.913,3,1000,1.01
5.1,3.119,3.037,3,1000,1.03
5.4,3.108,3.024,3,1000,1.046
5.7,3.09,3.252,3,1000,1.032
6.0,3.088,3.023,3,1000,1.045
6.3,3.092,2.84,3,1000,1.045
6.6,3.061,2.568,3,1000,1.045
6.9,3.081,2.809,3,1000,1.01
7.2,3.062,2.788,3,1000,0.995
7.5,3.03,3.0,3,1000,0.983
7.8,3.073,3.001,3,1000,1.03
8.1,3.074,3.174,3,1000,1.086
8.4,3.059,2.768,3,1000,0.962
8.7,3.039,2.636,3,1000,0.978
9.0,3.033,2.648,3,1000,0.988
9.3,3.009,2.892,3,1000,1.01
9.6,3.039,2.731,3,1000,1.022
9.9,3.027,3.158,3,1000,1.003
10.2,3.009,2.935,3,1000,0.973
10.5,3.048,2.825,3,1000,1.051
10.8,3.03,3.099,3,1000,0.975
11.1,3.009,2.756,3,1000,0.97
11.4,3.026,2.756,3,1000,0.999
11.7,3.035,2.966,3,1000,0.966
12.0,2.991,2.606,3,1000,0.978
12.3,3.016,2.898,3,1000,1.035
12.6,3.023,2.693,3,1000,0.981
12.9,3.034,2.633,3,1000,1.016
13.2,3.015,3.05,3,1000,0.982
13.5,2.986,2.934,3,1000,0.979
13.8,3.011,2.82,3,1000,1.019
14.1,2.999,2.916,3,1000,1.008
14.4,3.005,2.782,3,1000,1.005
14.7,2.996,2.947,3,1000,0.997
15.0,3.017,2.939,3,1000,1.017
15.3,2.995,2.921,3,1000,0.991
15.6,2.99,2.933,3,1000,1.034
15.9,2.994,2.944,3,1000,0.983
16.2,2.993,3.131,3,1000,1.011
16.5,3.011,2.911,3,1000,1.009
16.8,2.996,2.769,3,1000,0.997
17.1,2.973,2.587,3,1000,0.967
17.4,2.989,2.71,3,1000,1.006
17.7,2.983,2.622,3,1000,0.952
18.0,2.995,2.912,3,1000,1.0
18.3,3.018,2.927,3,1000,0.99
18.6,3.011,3.169,3,1000,0.982
18.9,3.022,2.944,3,1000,0.998
19.2,3.022,2.902,3,1000,0.992
19.5,3.005,2.93,3,1000,1.06
19.8,2.994,3.084,3,1000,0.989
20.1,3.017,2.971,3,1000,1.005
20.4,2.997,2.707,3,1000,1.048
20.7,3.011,2.427,3,1000,1.016
21.0,2.966,2.599,3,1000,0.983
21.3,3.01,2.878,3,1000,0.983
21.6,3.009,2.638,3,1000,1.027
21.9,3.013,2.865,3,1000,1.045
22.2,3.009,2.933,3,1000,0.911
22.5,2.98,2.913,3,1000,1.034
22.8,2.997,2.816,3,1000,0.967
23.1,3.023,3.138,3,1000,0.999
23.4,3.012,2.951,3,1000,0.984
23.7,2.993,2.614,3,1000,1.043
24.0,2.992,2.737,3,1000,0.979
24.3,2.998,2.907,3,1000,1.023
24.6,3.016,2.941,3,1000,1.027
24.9,3.011,2.665,3,1000,0.974
25.2,2.997,2.945,3,1000,0.971
25.5,3.017,3.089,3,1000,1.008
25.8,3.006,2.956,3,1000,1.026
26.1,2.981,2.931,3,1000,0.968
26.4,2.995,2.862,3,1000,1.037
26.7,2.993,2.948,3,1000,1.037
27.0,2.981,2.792,3,1000,1.014
27.3,3.022,2.929,3,1000,0.998
27.6,3.001,2.931,3,1000,0.969
27.9,3.004,2.785,3,1000,0.963
28.2,2.993,2.718,3,1000,1.041
28.5,2.989,2.435,3,1000,0.989
28.8,2.999,2.276,3,1000,1.0
29.1,2.998,2.298,3,1000,1.005
29.4,2.998,2.404,3,1000,1.014
29.7,2.993,2.822,3,1000,0.972
30.0,3.016,2.95,3,1000,0.982
30.3,2.979,3.127,3,1000,0.98
30.6,3.025,2.974,3,1000,0.983
30.9,3.009,2.927,3,1000,0.987
31.2,2.991,2.905,3,1000,1.009
31.5,3.008,3.13,3,1000,0.983
31.8,3.014,2.763,3,1000,1.041
32.1,3.047,2.948,3,1000,0.99
32.4,2.994,2.607,3,1000,0.979
32.7,3.016,2.796,3,1000,1.001
33.0,3.013,3.143,3,1000,0.998
33.3,2.974,2.946,3,1000,1.001
33.6,3.02,3.084,3,1000,0.991
33.9,3.014,2.613,3,1000,1.039
34.2,3.031,3.047,3,1000,1.007
34.5,3.001,2.959,3,1000,0.978
34.8,3.04,2.777,3,1000,0.994
35.1,2.991,2.864,3,1000,1.004
35.4,3.007,2.799,3,1000,0.974
35.7,3.014,2.826,3,1000,1.002
36.0,2.985,2.469,3,1000,0.988
36.3,2.983,2.709,3,1000,1.017
36.6,3.007,2.448,3,1000,0.971
36.9,2.994,2.584,3,1000,1.008
37.2,3.01,2.926,3,1000,0.974
37.5,2.997,3.131,3,1000,0.933
37.8,2.99,2.866,3,1000,0.987
38.1,3.008,3.146,3,1000,1.048
38.4,3.002,2.952,3,1000,1.002
38.7,3.02,2.817,3,1000,1.029
39.0,2.977,3.104,3,1000,1.034
39.3,3.023,2.952,3,1000,0.982
39.6,3.003,3.074,3,1000,1.015
39.9,3.006,2.914,3,1000,1.0
40.2,3.004,3.043,3,1000,0.962
40.5,3.012,2.925,3,1000,0.961
40.8,2.985,2.698,3,1000,0.995
41.1,3.01,2.837,3,1000,0.995
41.4,3.003,2.669,3,1000,0.993
41.7,3.012,2.897,3,1000,1.038
42.0,3.004,2.697,3,1000,0.983
42.3,2.981,2.684,3,1000,0.993
42.6,3.002,3.121,3,1000,0.979
42.9,3.013,3.134,3,1000,1.001
43.2,3.005,2.801,3,1000,1.023
43.5,3.016,2.696,3,1000,1.003
43.8,2.992,2.773,3,1000,0.92
44.1,3.01,3.095,3,1000,0.997
44.4,3.02,2.924,3,1000,0.995
44.7,2.987,2.928,3,1000,1.028
45.0,3.024,2.96,3,1000,1.021
45.3,3.004,2.92,3,1000,0.979
45.6,3.006,2.889,3,1000,0.986
45.9,3.012,2.933,3,1000,1.008
46.2,2.99,2.875,3,1000,0.921
46.5,3.007,2.933,3,1000,0.982
46.8,3.019,2.96,3,1000,1.014
47.1,3.01,2.913,3,1000,0.962
47.4,3.028,2.782,3,1000,1.026
47.7,3.029,2.945,3,1000,1.029
48.0,3.014,2.919,3,1000,1.021
48.3,3.007,2.942,3,1000,0.997
48.6,2.996,2.976,3,1000,0.975
48.9,2.995,2.879,3,1000,1.027
49.2,2.998,2.937,3,1000,0.965
49.5,2.998,2.958,3,1000,1.015
49.8,3.01,2.912,3,1000,1.05
50.1,3.022,2.941,3,1000,0.946
50.4,3.013,3.171,3,1000,0.986
50.7,3.034,2.674,3,1000,0.964
51.0,3.006,2.928,3,1000,0.991
51.3,3.039,2.932,3,1000,0.995
51.6,3.021,2.965,3,1000,1.006
51.9,3.012,2.906,3,1000,0.985
52.2,2.989,2.765,3,1000,0.973
52.5,3.013,2.907,3,1000,1.034
52.8,3.015,2.913,3,1000,1.003
53.1,3.012,3.147,3,1000,1.043
53.4,3.031,2.947,3,1000,0.995
53.7,3.015,2.92,3,1000,0.985
54.0,3.005,2.858,3,1000,0.961
54.3,2.991,2.929,3,1000,1.056
54.6,3.01,2.831,3,1000,0.996
54.9,3.018,2.962,3,1000,1.025
55.2,3.01,2.943,3,1000,1.005
55.5,2.996,3.14,3,1000,1.005
55.8,3.011,3.145,3,1000,1.024
56.1,3.03,3.007,3,1000,0.972
56.4,2.982,2.841,3,1000,0.999
56.7,2.999,2.935,3,1000,0.997
57.0,3.009,2.98,3,1000,1.055
57.3,2.999,2.884,3,1000,1.033
57.6,3.007,2.709,3,1000,1.015
57.9,3.024,2.513,3,1000,1.02
58.2,3.009,2.559,3,1000,1.017
58.5,3.017,2.396,3,1000,0.975
58.8,2.988,2.271,3,1000,0.986
59.1,3.004,2.027,3,1000,1.072
59.4,3.019,2.211,3,1000,1.003
59.7,3.015,2.211,3,1000,0.997
60.0,3.024,2.112,3,1000,0.983
60.3,3.053,2.06,3,1000,0.984
60.6,3.031,1.896,3,1000,0.996
60.9,3.03,1.536,3,1000,0.976
61.2,3.03,1.364,3,1000,1.01
61.5,3.023,1.057,3,1000,0.978
61.8,3.001,1.158,3,1000,1.006
62.1,3.017,0.947,3,1000,1.014
62.4,3.01,0.767,3,1000,1.03
62.7,3.021,0.828,3,1000,1.051
63.0,2.995,0.499,3,1000,0.985
63.3,3.015,0.57,3,1000,1.019
63.6,3.01,0.377,3,1000,0.964
63.9,3.03,0.054,3,1000,0.966
64.2,3.082,0.329,3,1000,1.045
64.5,3.107,0.043,3,1000,1.022
64.8,3.425,0.034,3,1000,1.021
65.1,3.587,0.198,3,1000,1.089
65.4,3.555,0.072,3,1000,1.05
65.7,3.719,0.096,3,1000,1.112
66.0,3.708,0.073,3,1000,1.136
66.3,3.977,0.058,3,1000,1.122
66.6,4.188,0.431,3,1000,1.11
66.9,4.178,0.141,3,1000,1.116
67.2,4.343,0.023,3,1000,1.058
67.5,4.62,0.018,3,1000,1.089
67.8,4.783,0.494,3,1000,1.111
68.1,4.782,0.104,3,1000,1.113
68.4,4.914,0.054,3,1000,1.099
68.7,5.038,0.202,3,1000,1.089
69.0,5.001,0.026,3,1000,1.067
69.3,5.264,0.3,3,1000,1.142
69.6,5.237,0.031,3,1000,1.077
69.9,5.471,0.103,3,1000,1.08
70.2,5.435,0.215,3,1000,1.153
70.5,5.624,0.054,3,1000,1.083
70.8,5.901,0.012,3,1000,1.151
71.1,5.985,0.323,3,1000,1.098
71.4,6.028,0.029,3,1000,1.077
71.7,6.32,0.036,3,1000,1.07
72.0,6.559,0.105,3,1000,1.156
72.3,6.513,0.106,3,1000,1.112
72.6,6.68,0.003,3,1000,1.085
72.9,6.899,0.038,3,1000,1.142
73.2,6.935,0.13,3,1000,1.066
73.5,7.127,0.017,3,1000,1.089
73.8,7.305,0.45,3,1000,1.086
74.1,7.299,0.138,3,1000,1.079
74.4,7.567,0.022,3,1000,1.065
74.7,7.738,0.455,3,1000,1.103
75.0,7.727,0.102,3,1000,1.095
75.3,7.83,0.045,3,1000,1.101
75.6,7.948,0.14,3,1000,1.086
75.9,8.068,0.032,3,1000,1.048
76.2,8.31,0.024,3,1000,1.08
76.5,8.515,0.122,3,1000,1.141
76.8,8.529,0.335,3,1000,1.102
77.1,8.733,0.02,3,1000,1.082
77.4,8.923,0.397,3,1000,1.09
77.7,8.865,0.056,3,1000,1.127
78.0,9.16,0.047,3,1000,1.095
78.3,9.265,0.494,3,1000,1.12
78.6,9.276,0.045,3,1000,1.087
78.9,9.465,0.1,3,1000,1.101
79.2,9.485,0.152,3,1000,1.096
79.5,9.666,0.02,3,1000,1.125
79.8,9.759,0.443,3,1000,1.079
80.1,9.745,0.193,3,1000,1.092
80.4,9.966,0.108,3,1000,1.075
80.7,9.957,0.144,3,1000,1.121
81.0,10.12,0.03,3,1000,1.144
81.3,10.251,0.373,3,1000,1.1
81.6,10.229,0.033,3,1000,1.097
81.9,10.512,0.02,3,1000,1.07
82.2,10.641,0.319,3,1000,1.123
82.5,10.604,0.005,3,1000,1.14
82.8,10.914,0.15,3,1000,1.061
83.1,10.867,0.186,3,1000,1.055
83.4,11.013,0.023,3,1000,1.059
83.7,11.352,0.03,3,1000,1.072
84.0,11.361,0.486,3,1000,1.079
84.3,11.426,0.05,3,1000,1.075
84.6,11.666,0.034,3,1000,1.116
84.9,11.624,0.182,3,1000,1.081
85.2,11.824,0.007,3,1000,1.095
85.5,12.084,0.429,3,1000,1.119
85.8,12.034,0.248,3,1000,1.07
86.1,12.2,0.029,3,1000,1.111
86.4,12.254,0.333,3,1000,1.116
86.7,12.333,0.006,3,1000,1.116
87.0,12.468,0.007,3,1000,1.137
87.3,12.729,0.026,3,1000,1.122
87.6,12.763,0.039,3,1000,1.076
87.9,13.034,0.031,3,1000,1.103
88.2,13.315,0.0,3,1000,1.124
88.5,13.616,0.028,3,1000,1.078
88.8,13.748,0.01,3,1000,1.117
89.1,13.983,0.469,3,1000,1.039
89.4,13.922,0.248,3,1000,1.083
89.7,14.057,0.035,3,1000,1.112
90.0,14.125,0.244,3,1000,1.094
90.3,14.224,0.02,3,1000,1.12
90.6,14.54,0.029,3,1000,1.122
90.9,14.658,0.434,3,1000,1.097
91.2,14.656,0.037,3,1000,1.051
91.5,14.967,0.016,3,1000,1.079
91.8,14.942,0.242,3,1000,1.134
92.1,15.029,0.0,3,1000,1.084
92.4,15.29,0.0,3,1000,1.124
92.7,15.621,0.016,3,1000,1.051
93.0,15.914,0.0,3,1000,1.136
93.3,16.201,0.0,3,1000,1.123
93.6,4.323,0.351,3,1000,1.094
93.9,4.302,0.03,3,1000,1.068
94.2,4.639,0.0,3,1000,1.123
94.5,4.73,0.371,3,1000,1.081
94.8,4.761,0.026,3,1000,1.078
95.1,4.992,0.078,3,1000,1.071
95.4,4.957,0.13,3,1000,1.137
95.7,5.167,0.027,3,1000,1.092
96.0,5.41,0.038,3,1000,1.127
96.3,5.642,0.167,3,1000,1.09
96.6,5.689,0.058,3,1000,1.113
96.9,5.721,0.144,3,1000,1.103
97.2,5.89,0.099,3,1000,1.12
97.5,6.107,0.183,3,1000,1.146
97.8,6.057,0.155,3,1000,1.085
98.1,6.175,0.135,3,1000,1.144
98.4,6.277,0.136,3,1000,1.092
98.7,6.427,0.165,3,1000,1.128
99.0,6.532,0.021,3,1000,1.088
99.3,6.563,0.014,3,1000,1.145
99.6,6.704,0.024,3,1000,1.111
99.9,6.697,0.14,3,1000,1.072
100.2,6.87,0.047,3,1000,1.074
100.5,6.958,0.016,3,1000,1.05
100.8,7.052,0.021,3,1000,1.091
101.1,7.248,0.047,3,1000,1.106
101.4,7.525,0.05,3,1000,1.148
101.7,7.596,0.226,3,1000,1.148
102.0,7.781,0.05,3,1000,1.107
102.3,7.774,0.146,3,1000,1.119
102.6,7.885,0.031,3,1000,1.122
102.9,8.059,0.064,3,1000,1.117
