Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.263,0.79,3,1000,1.093
0.3,3.217,1.59,3,1000,1.029
0.6,3.213,1.979,3,1000,1.008
0.9,3.199,1.764,3,1000,1.016
1.2,3.181,2.305,3,1000,1.06
1.5,3.17,2.684,3,1000,1.072
1.8,3.149,2.777,3,1000,1.044
2.1,3.136,2.519,3,1000,1.028
2.4,3.141,2.331,3,1000,1.02
2.7,3.113,2.734,3,1000,1.033
3.0,3.097,2.913,3,1000,1.012
3.3,3.084,2.847,3,1000,1.039
3.6,3.087,3.102,3,1000,1.089
3.9,3.083,3.335,3,1000,1.082
4.2,3.055,3.313,3,1000,1.018
4.5,3.097,3.067,3,1000,1.005
4.8,3.074,3.184,3,1000,1.024
5.1,3.051,2.721,3,1000,1.042
5.4,3.041,3.23,3,1000,1.051
5.7,3.026,3.319,3,1000,0.999
6.0,3.04,3.1,3,1000,1.045
6.3,3.014,3.249,3,1000,0.989
6.6,3.042,2.906,3,1000,0.978
6.9,3.058,3.112,3,1000,1.013
7.2,3.017,3.345,3,1000,0.993
7.5,3.02,3.1,3,1000,0.987
7.8,3.037,3.289,3,1000,1.032
8.1,3.024,2.936,3,1000,1.046
8.4,3.021,3.088,3,1000,0.991
8.7,3.017,3.255,3,1000,1.008
9.0,3.015,2.976,3,1000,0.996
9.3,3.02,3.182,3,1000,1.057
9.6,2.99,2.733,3,1000,1.017
9.9,3.004,2.93,3,1000,1.007
10.2,2.999,2.924,3,1000,1.008
10.5,3.008,3.184,3,1000,1.091
10.8,2.999,3.21,3,1000,1.003
11.1,3.015,2.853,3,1000,1.023
11.4,3.0,2.407,3,1000,0.981
11.7,2.997,2.337,3,1000,0.984
12.0,3.016,2.043,3,1000,0.998
12.3,2.985,2.274,3,1000,1.04
12.6,2.997,2.667,3,1000,0.995
12.9,3.0,3.198,3,1000,0.997
13.2,2.995,3.267,3,1000,1.057
13.5,3.0,2.959,3,1000,0.952
13.8,2.976,3.17,3,1000,0.989
14.1,2.992,2.93,3,1000,1.006
14.4,3.005,3.173,3,1000,1.009
14.7,3.028,3.274,3,1000,0.96
15.0,3.019,3.082,3,1000,1.006
15.3,2.987,3.256,3,1000,0.951
15.6,3.014,2.825,3,1000,1.003
15.9,2.987,3.047,3,1000,1.07
16.2,2.994,3.285,3,1000,1.006
16.5,3.003,3.021,3,1000,0.99
16.8,3.006,3.286,3,1000,0.968
17.1,2.994,2.708,3,1000,1.049
17.4,2.977,3.081,3,1000,1.028
17.7,3.003,3.283,3,1000,1.03
18.0,3.014,2.922,3,1000,1.002
18.3,3.0,3.157,3,1000,1.041
18.6,3.002,2.92,3,1000,0.99
18.9,3.012,3.154,3,1000,0.944
19.2,2.994,3.267,3,1000,1.057
19.5,3.006,2.89,3,1000,0.981
19.8,3.024,3.248,3,1000,1.025
20.1,2.99,2.907,3,1000,0.975
20.4,3.009,3.028,3,1000,1.048
20.7,2.976,3.233,3,1000,0.989
21.0,3.011,2.984,3,1000,1.015
21.3,3.004,3.204,3,1000,0.989
21.6,3.007,3.01,3,1000,0.986
21.9,3.025,2.956,3,1000,0.977
22.2,2.993,3.087,3,1000,1.035
22.5,3.01,3.02,3,1000,1.006
22.8,3.006,2.947,3,1000,1.03
23.1,3.031,2.873,3,1000,1.022
23.4,3.004,3.11,3,1000,0.964
23.7,2.984,3.251,3,1000,1.035
24.0,3.011,3.121,3,1000,1.031
24.3,3.029,3.263,3,1000,0.953
24.6,2.989,3.055,3,1000,0.947
24.9,2.996,3.029,3,1000,1.01
25.2,2.993,3.283,3,1000,1.002
25.5,2.991,3.017,3,1000,0.996
25.8,3.007,3.227,3,1000,1.04
26.1,2.996,2.916,3,1000,1.015
26.4,2.998,3.077,3,1000,1.024
26.7,3.001,3.281,3,1000,0.975
27.0,2.992,3.157,3,1000,1.021
27.3,3.007,3.115,3,1000,1.013
27.6,3.004,2.88,3,1000,0.995
27.9,2.997,2.889,3,1000,0.925
28.2,3.008,3.289,3,1000,1.01
28.5,2.995,3.021,3,1000,1.026
28.8,3.015,3.291,3,1000,0.993
29.1,3.014,2.905,3,1000,1.036
29.4,2.988,3.188,3,1000,0.974
29.7,3.002,3.252,3,1000,0.98
30.0,3.003,2.992,3,1000,1.011
30.3,3.04,3.222,3,1000,0.962
30.6,3.013,2.903,3,1000,0.988
30.9,3.012,3.205,3,1000,1.028
31.2,3.015,3.286,3,1000,1.002
31.5,2.997,3.053,3,1000,0.987
31.8,3.004,2.857,3,1000,0.993
32.1,3.006,3.294,3,1000,0.992
32.4,3.015,3.046,3,1000,0.975
32.7,3.001,3.244,3,1000,0.996
33.0,2.995,2.93,3,1000,0.962
33.3,3.032,3.036,3,1000,0.98
33.6,2.988,3.256,3,1000,0.996
33.9,3.006,2.971,3,1000,0.949
34.2,2.985,3.201,3,1000,0.986
34.5,3.026,2.867,3,1000,1.025
34.8,2.98,3.106,3,1000,0.957
35.1,3.014,3.243,3,1000,0.982
35.4,3.038,3.125,3,1000,0.999
35.7,3.004,3.3,3,1000,0.974
36.0,2.999,2.932,3,1000,1.012
