Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.337,0.137,3,1000,1.043
0.3,3.314,0.769,3,1000,1.059
0.6,3.308,1.431,3,1000,1.081
0.9,3.269,2.186,3,1000,1.065
1.2,3.254,2.691,3,1000,1.073
1.5,3.219,2.837,3,1000,1.05
1.8,3.207,3.382,3,1000,1.069
2.1,3.202,3.065,3,1000,1.003
2.4,3.182,3.399,3,1000,1.011
2.7,3.166,3.435,3,1000,1.097
3.0,3.166,3.255,3,1000,1.036
3.3,3.137,3.279,3,1000,1.059
3.6,3.105,3.009,3,1000,1.123
3.9,3.104,3.199,3,1000,1.051
4.2,3.101,3.172,3,1000,1.046
4.5,3.091,3.167,3,1000,1.047
4.8,3.091,3.392,3,1000,1.042
5.1,3.082,2.999,3,1000,1.049
5.4,3.092,2.961,3,1000,0.969
5.7,3.071,3.311,3,1000,1.088
6.0,3.077,3.029,3,1000,0.976
6.3,3.052,3.235,3,1000,1.04
6.6,3.065,3.166,3,1000,1.005
6.9,3.049,3.171,3,1000,1.041
7.2,3.044,3.332,3,1000,0.955
7.5,3.052,3.203,3,1000,1.012
7.8,3.035,3.34,3,1000,1.057
8.1,3.028,3.038,3,1000,0.991
8.4,3.02,2.897,3,1000,1.029
8.7,3.029,3.343,3,1000,1.02
9.0,3.017,2.999,3,1000,1.015
9.3,3.009,3.164,3,1000,0.983
9.6,3.013,3.072,3,1000,1.024
9.9,3.008,3.016,3,1000,1.016
10.2,2.987,3.242,3,1000,1.043
10.5,3.005,2.992,3,1000,1.004
10.8,2.992,3.224,3,1000,1.045
11.1,3.019,3.051,3,1000,1.017
11.4,3.006,3.169,3,1000,0.975
11.7,3.005,3.302,3,1000,1.01
12.0,3.001,3.13,3,1000,1.027
12.3,3.02,3.236,3,1000,1.004
12.6,3.0,3.036,3,1000,0.992
12.9,3.009,3.025,3,1000,1.001
13.2,2.999,3.238,3,1000,1.006
13.5,3.009,3.028,3,1000,1.006
