Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.236,1.135,3,1000,1.018
0.3,3.209,1.271,3,1000,1.063
0.6,3.186,1.133,3,1000,1.01
0.9,3.187,1.712,3,1000,1.075
1.2,3.169,1.878,3,1000,1.064
1.5,3.165,2.066,3,1000,1.062
1.8,3.155,2.257,3,1000,1.042
2.1,3.15,2.462,3,1000,1.077
2.4,3.133,2.677,3,1000,1.041
2.7,3.113,2.906,3,1000,1.039
3.0,3.082,3.119,3,1000,1.054
3.3,3.086,3.264,3,1000,0.976
3.6,3.089,2.979,3,1000,1.039
3.9,3.059,3.254,3,1000,1.088
4.2,3.077,3.32,3,1000,0.973
4.5,3.072,2.997,3,1000,1.023
4.8,3.05,3.204,3,1000,1.012
5.1,3.063,2.748,3,1000,1.039
5.4,3.057,3.08,3,1000,1.044
5.7,3.058,2.879,3,1000,0.946
6.0,3.037,2.907,3,1000,1.024
6.3,3.029,3.237,3,1000,1.006
6.6,3.042,2.955,3,1000,1.01
6.9,3.016,3.032,3,1000,1.005
7.2,3.01,3.248,3,1000,1.05
7.5,3.008,3.024,3,1000,0.992
7.8,3.043,3.245,3,1000,1.029
8.1,3.011,2.908,3,1000,1.046
8.4,3.046,3.134,3,1000,0.973
8.7,3.018,3.279,3,1000,1.02
9.0,3.014,3.178,3,1000,1.029
9.3,3.015,3.162,3,1000,1.013
9.6,3.003,3.059,3,1000,1.024
9.9,3.013,3.115,3,1000,0.986
10.2,2.991,3.282,3,1000,1.022
10.5,2.995,2.985,3,1000,1.039
10.8,3.016,3.063,3,1000,1.01
11.1,3.001,3.041,3,1000,1.038
11.4,3.005,3.23,3,1000,0.979
11.7,3.009,3.219,3,1000,0.976
12.0,2.997,2.989,3,1000,0.979
12.3,3.003,3.147,3,1000,1.037
12.6,2.997,3.021,3,1000,0.984
12.9,3.017,3.143,3,1000,1.0
13.2,2.996,3.295,3,1000,1.014
13.5,2.982,3.059,3,1000,0.971
13.8,2.979,2.967,3,1000,1.04
14.1,3.011,2.828,3,1000,1.002
14.4,2.988,3.054,3,1000,0.978
14.7,2.992,3.269,3,1000,0.993
15.0,2.996,3.03,3,1000,0.998
15.3,3.003,3.263,3,1000,1.0
15.6,3.017,3.044,3,1000,0.972
15.9,3.001,2.811,3,1000,1.018
16.2,2.997,3.277,3,1000,0.994
16.5,2.998,2.955,3,1000,0.968
16.8,3.006,3.168,3,1000,0.99
17.1,2.985,2.914,3,1000,1.029
17.4,2.995,2.884,3,1000,0.989
17.7,2.995,3.249,3,1000,1.013
18.0,2.988,2.907,3,1000,1.025
18.3,3.013,3.301,3,1000,1.034
18.6,3.008,3.009,3,1000,0.985
18.9,3.025,3.042,3,1000,0.953
19.2,2.994,3.292,3,1000,1.021
19.5,3.0,2.951,3,1000,0.987
19.8,2.984,3.068,3,1000,0.945
20.1,3.017,3.211,3,1000,1.019
20.4,2.997,3.264,3,1000,0.976
20.7,3.009,2.948,3,1000,1.011
21.0,2.972,3.17,3,1000,1.001
21.3,2.999,2.874,3,1000,0.997
21.6,2.998,3.139,2,600,0.962
21.9,3.0,3.045,2,600,1.007
22.2,2.989,3.069,2,600,1.024
22.5,2.95,2.904,2,600,0.999
22.8,2.979,2.872,2,600,1.031
23.1,2.991,3.004,2,600,0.951
23.4,3.005,3.24,2,600,1.018
23.7,2.987,3.018,2,600,0.983
24.0,2.985,3.256,2,600,0.977
24.3,2.973,3.181,2,600,0.961
24.6,2.987,2.847,2,600,0.994
24.9,2.99,3.258,2,600,1.042
25.2,2.999,3.174,2,600,0.971
25.5,3.004,2.925,2,600,1.032
25.8,2.972,3.167,2,600,0.996
26.1,2.994,2.883,2,600,1.003
26.4,2.987,2.854,2,600,0.954
26.7,3.016,3.09,2,600,0.991
27.0,3.0,3.201,2,600,1.011
27.3,3.005,3.03,2,600,0.949
27.6,2.997,3.012,2,600,0.947
27.9,2.981,2.74,2,600,0.986
28.2,3.002,2.95,2,600,0.991
28.5,3.006,3.228,2,600,1.014
28.8,2.975,2.679,2,600,1.023
29.1,2.998,3.208,2,600,0.975
29.4,3.006,3.263,2,600,1.0
29.7,3.016,3.014,2,600,1.065
30.0,3.001,3.132,2,600,0.945
30.3,2.996,2.842,2,600,1.021
30.6,3.028,3.094,2,600,1.034
30.9,2.994,3.278,2,600,0.982
31.2,3.007,3.067,2,600,0.986
31.5,3.0,3.133,2,600,0.982
31.8,2.997,2.848,2,600,1.02
32.1,3.025,3.179,2,600,1.024
32.4,2.998,2.738,2,600,0.955
32.7,3.039,2.954,2,600,0.981
33.0,2.996,2.969,2,600,0.988
33.3,3.007,3.051,2,600,0.984
33.6,2.989,3.0,2,600,1.0
33.9,3.022,3.159,2,600,0.948
34.2,3.016,3.109,2,600,1.006
34.5,3.01,3.327,2,600,0.995
34.8,2.988,3.091,2,600,0.954
35.1,3.003,2.614,2,600,0.987
35.4,3.011,3.25,2,600,0.999
35.7,3.01,3.01,2,600,1.021
36.0,2.983,3.068,2,600,1.044
36.3,2.994,2.987,2,600,1.035
36.6,3.008,2.961,2,600,1.064
36.9,3.007,3.174,2,600,1.014
37.2,2.996,2.897,1,200,0.976
37.5,3.001,3.135,1,200,0.942
37.8,2.983,3.234,1,200,1.001
38.1,3.022,2.996,1,200,1.014
38.4,2.992,3.164,1,200,0.997
38.7,3.017,2.802,1,200,1.016
39.0,2.966,3.059,1,200,1.023
39.3,2.995,3.27,1,200,0.966
39.6,2.996,3.031,1,200,1.027
39.9,2.963,3.09,1,200,0.976
40.2,2.996,3.322,1,200,0.991
40.5,3.012,3.253,2,600,1.003
40.8,2.974,3.306,2,600,0.979
41.1,3.004,2.951,2,600,1.092
41.4,2.989,3.15,2,600,1.001
41.7,3.006,2.698,2,600,1.005
42.0,2.982,3.057,2,600,1.023
42.3,2.969,3.203,2,600,1.036
42.6,2.984,3.119,2,600,0.989
42.9,2.995,3.179,2,600,1.012
43.2,2.987,3.288,2,600,0.99
43.5,2.996,3.04,2,600,1.01
43.8,2.974,2.797,2,600,1.06
44.1,3.004,3.005,2,600,0.985
44.4,2.993,3.244,2,600,1.017
44.7,2.995,3.353,2,600,0.984
45.0,3.014,3.18,2,600,1.0
45.3,2.99,3.29,2,600,0.966
45.6,2.994,2.96,2,600,1.011
45.9,2.983,2.895,2,600,1.074
46.2,2.991,2.882,2,600,0.974
46.5,3.004,3.137,2,600,1.042
46.8,3.005,3.214,2,600,1.027
47.1,3.011,3.027,2,600,0.972
47.4,3.011,3.141,2,600,1.014
47.7,3.008,2.797,2,600,1.001
48.0,3.022,3.021,2,600,0.992
48.3,3.038,3.281,2,600,1.019
48.6,3.0,2.975,2,600,1.0
48.9,2.984,2.736,2,600,1.014
49.2,2.984,3.358,2,600,0.963
49.5,2.983,3.008,2,600,1.012
49.8,3.005,3.284,2,600,1.009
50.1,3.014,2.92,2,600,1.004
50.4,2.995,3.137,2,600,0.988
50.7,3.022,2.963,2,600,0.998
51.0,2.994,3.094,2,600,1.011
51.3,3.01,2.637,2,600,1.014
51.6,2.976,3.083,2,600,1.013
51.9,3.026,3.179,2,600,1.023
52.2,3.02,2.991,2,600,0.975
52.5,2.99,3.01,2,600,1.001
52.8,2.986,2.745,2,600,0.986
53.1,3.023,2.926,2,600,1.01
53.4,2.988,3.194,2,600,1.015
53.7,2.998,2.955,2,600,0.991
54.0,2.983,3.249,2,600,0.981
54.3,2.984,2.784,2,600,1.023
54.6,2.968,3.134,2,600,0.998
54.9,3.004,2.648,2,600,1.012
55.2,2.991,3.071,2,600,0.956
55.5,2.989,3.254,2,600,1.034
55.8,2.99,2.824,2,600,1.018
56.1,3.018,3.113,2,600,1.012
56.4,2.996,2.826,2,600,1.016
56.7,2.979,3.143,2,600,0.986
57.0,3.002,3.23,2,600,1.046
57.3,2.973,3.198,2,600,0.986
57.6,2.992,2.65,2,600,0.969
57.9,3.003,2.995,2,600,1.029
58.2,2.984,3.257,2,600,0.979
58.5,2.992,3.12,2,600,0.999
58.8,2.979,2.978,2,600,1.005
59.1,2.992,2.733,2,600,0.986
59.4,2.972,3.053,2,600,0.994
59.7,3.009,2.784,2,600,1.035
60.0,2.995,3.007,2,600,1.002
60.3,3.044,2.978,2,600,0.97
60.6,3.001,3.32,2,600,0.992
60.9,3.004,2.923,2,600,1.0
61.2,3.023,3.291,2,600,1.015
61.5,3.011,2.942,2,600,1.04
61.8,2.983,3.174,2,600,0.978
62.1,2.993,2.928,2,600,0.949
62.4,2.991,3.145,2,600,1.012
62.7,2.999,3.232,2,600,1.011
63.0,2.993,2.99,2,600,0.985
63.3,2.992,3.125,2,600,1.024
63.6,3.017,2.83,2,600,1.02
63.9,3.002,3.061,2,600,1.012
64.2,3.002,3.247,2,600,1.046
64.5,2.986,3.023,2,600,0.956
64.8,3.003,2.713,2,600,1.019
65.1,3.008,3.323,2,600,0.986
65.4,3.022,3.218,2,600,1.035
65.7,2.996,3.323,2,600,1.028
66.0,3.003,2.932,2,600,0.946
66.3,3.011,3.156,2,600,0.997
66.6,3.01,2.922,2,600,0.986
66.9,3.011,2.646,2,600,1.003
67.2,2.995,2.372,2,600,1.053
67.5,2.99,2.086,2,600,0.96
67.8,3.031,1.664,2,600,0.962
68.1,3.031,1.923,2,600,0.977
68.4,2.99,1.542,2,600,1.023
68.7,2.994,1.267,2,600,1.007
69.0,3.0,1.015,2,600,0.977
69.3,2.998,0.753,2,600,0.999
69.6,2.981,0.581,2,600,0.996
69.9,2.992,0.307,2,600,0.979
70.2,3.215,0.23,2,600,1.058
70.5,3.307,0.019,2,600,1.133
70.8,3.629,0.008,2,600,1.038
71.1,3.782,0.203,1,200,1.027
71.4,4.019,0.018,1,200,0.993
71.7,4.308,0.03,1,200,1.001
72.0,4.642,0.046,1,200,1.021
72.3,4.915,0.039,1,200,1.022
72.6,5.198,0.031,1,200,0.97
72.9,5.345,0.442,2,600,1.076
