Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.301,0.672,3,1000,1.077
0.3,3.312,1.133,3,1000,1.079
0.6,3.265,1.782,3,1000,1.032
0.9,3.249,2.336,3,1000,1.073
1.2,3.27,2.724,3,1000,1.053
1.5,3.217,3.653,3,1000,1.058
1.8,3.214,3.226,3,1000,1.078
2.1,3.19,3.312,3,1000,1.065
2.4,3.164,3.411,3,1000,1.027
2.7,3.144,3.319,3,1000,1.015
3.0,3.161,3.595,3,1000,1.076
3.3,3.115,3.665,3,1000,1.002
3.6,3.122,3.278,3,1000,1.003
3.9,3.105,3.405,3,1000,0.991
4.2,3.102,3.071,3,1000,1.073
4.5,3.104,3.401,3,1000,1.032
4.8,3.071,3.295,3,1000,1.012
5.1,3.076,3.163,3,1000,1.052
5.4,3.081,3.355,3,1000,1.049
5.7,3.075,3.326,3,1000,1.044
6.0,3.08,3.217,3,1000,0.991
6.3,3.049,3.354,3,1000,0.999
6.6,3.047,3.532,3,1000,0.957
6.9,3.049,3.247,3,1000,1.053
7.2,3.03,3.009,3,1000,1.065
7.5,3.048,3.214,3,1000,1.009
7.8,3.03,3.357,3,1000,1.026
8.1,3.027,3.025,3,1000,1.01
8.4,3.014,3.134,3,1000,0.953
8.7,3.04,3.124,3,1000,1.023
9.0,3.034,3.318,3,1000,1.075
9.3,3.011,3.003,3,1000,0.999
9.6,3.038,3.082,3,1000,0.994
9.9,3.0,3.452,3,1000,0.986
10.2,3.033,3.025,3,1000,1.041
10.5,3.007,3.236,3,1000,0.986
10.8,2.993,2.99,3,1000,1.05
11.1,3.01,3.019,3,1000,1.0
11.4,3.016,3.28,3,1000,0.955
11.7,3.012,2.906,3,1000,1.022
12.0,2.995,3.363,3,1000,1.025
12.3,3.003,3.297,3,1000,0.955
12.6,2.974,3.112,3,1000,0.985
12.9,3.004,3.33,3,1000,1.015
13.2,3.013,2.975,3,1000,1.043
13.5,3.011,3.077,3,1000,0.99
13.8,3.001,3.319,3,1000,0.978
14.1,2.979,3.004,3,1000,1.034
14.4,2.994,3.231,3,1000,1.023
14.7,2.993,2.992,3,1000,0.975
15.0,3.007,3.149,3,1000,0.975
15.3,3.03,3.296,3,1000,1.0
15.6,3.007,3.172,3,1000,0.959
15.9,3.007,3.321,3,1000,1.025
16.2,2.988,3.072,3,1000,1.014
16.5,3.004,3.106,3,1000,0.963
16.8,2.987,3.545,3,1000,1.018
17.1,3.005,2.992,3,1000,0.992
17.4,3.009,3.506,3,1000,1.017
17.7,2.994,3.043,3,1000,1.01
18.0,3.012,3.272,3,1000,1.035
18.3,2.99,2.991,3,1000,1.0
18.6,3.014,3.005,3,1000,1.035
18.9,3.022,3.208,3,1000,1.011
19.2,2.991,2.943,3,1000,0.962
19.5,3.002,3.222,3,1000,0.974
19.8,3.022,3.301,3,1000,0.995
20.1,2.99,3.118,3,1000,1.051
20.4,3.008,3.314,3,1000,0.99
20.7,3.034,2.943,3,1000,1.027
21.0,3.009,3.098,3,1000,0.971
21.3,3.028,3.502,3,1000,1.034
21.6,2.995,3.078,3,1000,0.976
21.9,3.0,2.84,3,1000,0.971
22.2,3.008,2.655,3,1000,1.013
22.5,3.004,2.791,3,1000,0.988
22.8,3.001,3.09,3,1000,0.935
23.1,2.98,3.23,3,1000,1.008
23.4,2.984,3.451,3,1000,1.047
23.7,2.982,2.953,3,1000,1.01
24.0,3.014,3.133,3,1000,1.033
24.3,2.987,2.923,3,1000,0.981
24.6,2.986,3.141,3,1000,1.02
24.9,2.983,3.27,3,1000,1.02
25.2,3.001,3.046,3,1000,0.96
25.5,3.0,3.102,3,1000,0.996
25.8,3.007,3.006,3,1000,0.988
