Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.533,0.744,3,1000,1.108
0.3,2.477,0.815,3,1000,1.092
0.6,2.461,1.57,3,1000,1.14
0.9,2.453,2.062,3,1000,1.072
1.2,2.415,2.255,3,1000,1.026
1.5,2.365,2.375,3,1000,1.073
1.8,2.373,2.305,3,1000,1.096
2.1,2.346,2.31,3,1000,1.104
2.4,2.334,2.288,3,1000,1.098
2.7,2.315,2.222,3,1000,1.038
3.0,2.285,2.099,3,1000,1.097
3.3,2.253,2.022,3,1000,1.009
3.6,2.227,2.223,3,1000,1.033
3.9,2.214,2.178,3,1000,1.044
4.2,2.232,2.158,3,1000,1.02
4.5,2.199,2.154,3,1000,1.059
4.8,2.168,2.122,3,1000,1.076
5.1,2.201,2.29,3,1000,1.038
5.4,2.154,2.109,2,600,1.008
5.7,2.146,2.001,2,600,1.019
6.0,2.11,2.074,2,600,1.025
6.3,2.13,2.073,2,600,1.039
6.6,2.117,2.06,3,1000,1.047
6.9,2.109,2.086,3,1000,1.051
7.2,2.098,2.05,3,1000,1.072
7.5,2.091,2.042,3,1000,1.02
7.8,2.074,1.781,3,1000,1.023
8.1,2.072,1.532,3,1000,1.037
8.4,2.098,1.698,3,1000,1.014
8.7,2.078,2.021,3,1000,1.046
9.0,2.051,1.996,3,1000,1.0
9.3,2.075,2.01,3,1000,0.995
9.6,2.04,1.973,3,1000,1.003
9.9,2.053,2.025,3,1000,1.006
10.2,2.029,1.895,3,1000,1.037
10.5,2.031,1.982,3,1000,1.037
10.8,2.034,1.855,3,1000,1.0
11.1,2.047,1.975,3,1000,1.004
11.4,2.032,1.786,3,1000,1.008
11.7,2.024,1.636,3,1000,0.984
12.0,2.013,1.608,3,1000,1.059
12.3,2.017,1.528,3,1000,0.952
12.6,2.034,1.483,3,1000,1.008
12.9,2.03,1.724,3,1000,1.064
13.2,2.023,1.951,3,1000,0.986
13.5,1.99,1.891,3,1000,0.99
13.8,2.012,1.959,3,1000,0.989
14.1,2.002,1.942,3,1000,1.024
14.4,2.006,1.892,3,1000,1.04
14.7,2.017,1.669,3,1000,0.982
15.0,2.009,1.776,3,1000,0.976
15.3,1.997,1.945,3,1000,0.997
15.6,2.011,1.952,3,1000,1.018
15.9,2.008,1.956,3,1000,0.959
16.2,2.015,2.076,3,1000,1.001
16.5,2.005,1.933,3,1000,1.048
16.8,1.986,1.941,3,1000,0.959
17.1,1.984,1.893,3,1000,0.971
17.4,1.986,1.619,3,1000,0.994
