Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.394,2.348,3,1000,1.051
0.3,2.375,2.315,3,1000,1.103
0.6,2.349,2.241,3,1000,1.062
0.9,2.31,2.139,3,1000,1.093
1.2,2.296,1.616,3,1000,1.08
1.5,2.284,1.911,3,1000,1.053
1.8,2.267,2.233,3,1000,1.084
2.1,2.24,2.204,3,1000,1.064
2.4,2.21,2.176,3,1000,1.05
2.7,2.184,2.033,3,1000,1.04
3.0,2.22,2.304,3,1000,1.068
3.3,2.197,2.29,3,1000,1.079
3.6,2.17,2.042,3,1000,1.026
3.9,2.154,2.108,3,1000,1.029
4.2,2.138,2.258,3,1000,1.06
4.5,2.135,2.13,3,1000,1.043
4.8,2.111,1.819,3,1000,0.984
5.1,2.135,2.037,3,1000,1.04
5.4,2.111,2.076,3,1000,1.021
5.7,2.106,1.868,3,1000,1.039
6.0,2.081,2.169,3,1000,0.968
6.3,2.105,1.946,3,1000,0.975
6.6,2.07,1.753,3,1000,0.943
6.9,2.068,1.857,2,600,1.02
7.2,2.056,1.9,2,600,1.046
7.5,2.074,1.923,3,1000,1.027
7.8,2.025,1.922,3,1000,1.023
8.1,2.047,1.987,3,1000,1.005
8.4,2.048,1.926,3,1000,0.991
8.7,2.051,1.984,3,1000,0.991
9.0,2.046,1.843,3,1000,1.0
9.3,2.028,1.952,3,1000,1.051
9.6,2.019,2.067,3,1000,0.992
9.9,2.011,1.783,3,1000,0.98
10.2,2.02,1.814,3,1000,1.025
10.5,2.021,1.754,3,1000,0.999
10.8,2.033,1.65,3,1000,1.014
11.1,2.021,1.612,1,200,1.022
11.4,1.998,1.571,1,200,0.987
11.7,2.02,1.52,3,1000,1.027
12.0,1.985,1.177,3,1000,0.994
12.3,1.989,1.356,3,1000,0.976
12.6,2.015,1.389,3,1000,1.026
12.9,2.021,1.589,3,1000,0.988
13.2,2.017,1.977,3,1000,1.004
13.5,1.997,1.915,3,1000,1.022
13.8,1.994,1.847,3,1000,1.016
14.1,2.002,1.944,3,1000,0.993
14.4,2.015,1.958,3,1000,1.042
14.7,2.001,1.857,3,1000,0.991
15.0,1.998,1.947,3,1000,1.002
15.3,1.998,1.94,3,1000,1.013
15.6,1.989,1.671,3,1000,0.982
15.9,2.014,1.74,2,600,0.986
16.2,2.009,1.912,2,600,0.998
16.5,1.997,1.796,3,1000,0.993
16.8,2.018,1.861,3,1000,0.995
17.1,2.012,1.512,3,1000,0.976
17.4,1.985,1.341,3,1000,1.013
17.7,2.001,1.173,3,1000,0.983
18.0,2.024,1.377,3,1000,1.013
18.3,2.025,1.365,3,1000,0.99
18.6,2.018,1.772,3,1000,1.034
18.9,1.946,1.828,3,1000,0.979
19.2,2.027,1.454,3,1000,1.024
19.5,2.006,1.34,3,1000,1.053
19.8,2.008,1.65,3,1000,1.028
20.1,1.981,1.882,3,1000,0.973
20.4,1.995,1.963,3,1000,1.052
20.7,2.007,2.105,3,1000,0.958
21.0,1.992,1.904,3,1000,1.031
