Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.609,0.814,3,1000,1.077
0.3,2.604,0.497,3,1000,1.043
0.6,2.571,0.555,3,1000,1.127
0.9,2.523,0.42,3,1000,1.088
1.2,2.664,0.018,3,1000,1.065
1.5,2.939,0.129,2,600,1.131
1.8,3.116,0.234,2,600,1.168
2.1,3.083,0.232,3,1000,1.093
2.4,3.244,0.0,3,1000,1.066
2.7,3.544,0.014,2,600,1.126
3.0,3.818,0.035,2,600,1.015
3.3,3.885,0.233,1,200,1.086
3.6,3.943,0.023,1,200,1.087
3.9,4.231,0.026,1,200,1.125
4.2,4.502,0.232,1,200,1.127
4.5,4.508,0.353,3,1000,1.076
4.8,4.66,0.02,3,1000,0.975
5.1,4.885,0.466,3,1000,1.008
5.4,4.854,0.003,3,1000,1.129
5.7,5.056,0.044,3,1000,0.969
6.0,5.118,0.307,3,1000,1.112
6.3,5.131,0.036,3,1000,1.072
6.6,5.461,0.044,3,1000,1.121
6.9,5.736,0.0,3,1000,1.041
7.2,6.053,0.0,3,1000,1.091
7.5,6.372,0.029,2,600,1.116
7.8,6.681,0.023,2,600,1.057
8.1,6.964,0.024,2,600,1.083
8.4,7.259,0.031,2,600,1.138
8.7,7.299,0.33,1,200,1.105
9.0,7.339,0.04,1,200,1.059
9.3,7.485,0.298,1,200,1.106
9.6,7.438,0.053,3,1000,1.066
9.9,7.739,0.0,3,1000,1.093
10.2,8.075,0.045,2,600,1.094
10.5,8.367,0.035,2,600,1.116
10.8,8.667,0.049,2,600,1.126
11.1,8.846,0.017,2,600,1.064
11.4,9.136,0.036,2,600,1.127
11.7,9.356,0.411,1,200,1.117
12.0,9.31,0.581,3,1000,1.098
12.3,9.278,0.378,3,1000,1.14
12.6,9.47,0.023,3,1000,1.131
12.9,9.757,0.0,3,1000,1.093
13.2,10.04,0.011,3,1000,1.114
13.5,10.353,0.039,3,1000,1.099
13.8,10.656,0.025,2,600,1.112
14.1,10.928,0.028,2,600,1.151
14.4,11.265,0.03,1,200,1.076
14.7,11.287,0.348,3,1000,1.114
15.0,11.362,0.005,2,600,1.037
15.3,11.532,0.217,2,600,0.955
15.6,11.497,0.185,1,200,1.118
15.9,11.56,0.352,3,1000,1.092
16.2,11.572,0.017,2,600,1.111
16.5,11.853,0.03,2,600,1.135
16.8,12.146,0.033,1,200,1.098
17.1,12.27,0.416,3,1000,1.1
17.4,12.257,0.236,3,1000,1.074
17.7,12.574,0.0,3,1000,1.085
18.0,12.864,0.033,2,600,1.086
18.3,13.106,0.009,2,600,0.955
18.6,13.178,0.055,2,600,1.12
18.9,13.455,0.009,2,600,1.049
19.2,13.753,0.025,2,600,1.106
19.5,14.083,0.026,2,600,1.091
19.8,14.38,0.039,2,600,1.106
20.1,14.672,0.034,2,600,1.095
20.4,14.98,0.046,2,600,1.117
20.7,15.233,0.02,2,600,1.151
21.0,15.554,0.04,2,600,1.101
21.3,15.865,0.031,2,600,1.099
