Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.554,0.234,3,1000,1.018
0.3,2.635,0.228,3,1000,1.113
0.6,2.587,0.836,3,1000,1.097
0.9,2.561,1.021,3,1000,1.059
1.2,2.566,1.27,3,1000,1.078
1.5,2.53,1.428,3,1000,1.136
1.8,2.48,1.77,3,1000,1.063
2.1,2.47,1.601,3,1000,1.097
2.4,2.427,1.605,3,1000,1.092
2.7,2.408,1.628,3,1000,1.041
3.0,2.38,1.425,3,1000,1.072
3.3,2.344,0.95,3,1000,1.07
3.6,2.339,1.156,3,1000,1.093
3.9,2.332,0.802,3,1000,1.074
4.2,2.286,1.077,3,1000,1.051
4.5,2.279,1.567,3,1000,1.068
4.8,2.251,1.91,3,1000,1.053
5.1,2.233,2.186,3,1000,1.104
5.4,2.247,2.147,3,1000,1.105
5.7,2.226,2.146,3,1000,1.06
6.0,2.179,2.091,3,1000,1.034
6.3,2.183,2.148,3,1000,1.034
6.6,2.176,2.104,3,1000,1.074
6.9,2.165,2.068,3,1000,1.046
7.2,2.128,2.101,3,1000,1.056
7.5,2.15,2.08,3,1000,1.019
7.8,2.122,2.235,3,1000,1.033
8.1,2.11,2.059,3,1000,1.013
8.4,2.092,2.087,3,1000,0.999
8.7,2.122,1.794,3,1000,1.052
9.0,2.098,1.604,3,1000,0.978
9.3,2.076,1.306,3,1000,1.069
9.6,2.073,1.054,3,1000,1.066
9.9,2.058,1.176,3,1000,1.023
10.2,2.063,0.823,3,1000,0.997
10.5,2.038,0.999,3,1000,0.988
10.8,2.052,0.694,3,1000,0.997
11.1,2.072,0.829,3,1000,1.034
11.4,2.042,0.67,3,1000,0.954
11.7,2.047,0.751,3,1000,1.033
12.0,2.04,0.509,3,1000,0.977
12.3,2.041,0.09,3,1000,1.005
12.6,2.044,0.706,3,1000,0.951
12.9,2.019,1.094,3,1000,1.031
13.2,2.037,1.408,3,1000,1.014
13.5,2.05,1.98,3,1000,1.035
13.8,2.035,1.982,3,1000,1.073
14.1,1.993,1.85,3,1000,0.97
14.4,2.015,1.974,3,1000,1.047
14.7,2.021,1.967,3,1000,0.979
15.0,2.021,1.981,3,1000,1.039
15.3,2.016,1.965,3,1000,1.029
15.6,2.028,1.974,3,1000,0.972
15.9,2.026,1.979,3,1000,1.024
16.2,2.0,1.96,3,1000,1.029
16.5,1.995,1.975,3,1000,0.994
16.8,2.005,1.952,3,1000,1.038
17.1,2.012,1.935,3,1000,0.961
17.4,1.993,1.985,3,1000,0.977
17.7,1.988,1.935,3,1000,1.016
18.0,1.99,1.858,3,1000,1.04
18.3,1.99,1.69,3,1000,1.019
18.6,2.014,1.897,3,1000,0.995
18.9,2.003,2.028,3,1000,0.982
19.2,2.007,1.641,3,1000,0.998
19.5,2.013,1.37,3,1000,0.967
19.8,2.005,1.922,3,1000,1.003
20.1,1.986,1.808,3,1000,1.013
20.4,2.017,1.96,3,1000,1.014
20.7,2.02,2.064,3,1000,1.004
21.0,1.998,1.94,3,1000,1.01
21.3,2.01,1.933,3,1000,0.994
21.6,1.968,1.577,3,1000,1.042
21.9,2.008,1.676,3,1000,1.034
22.2,1.992,1.97,3,1000,1.002
22.5,1.983,1.887,3,1000,0.968
22.8,1.987,2.05,3,1000,1.039
23.1,1.967,1.808,3,1000,0.993
23.4,1.981,1.945,3,1000,0.997
23.7,1.995,1.91,3,1000,1.003
24.0,2.007,1.939,3,1000,1.013
24.3,1.998,1.902,3,1000,1.036
24.6,1.997,1.885,3,1000,0.968
24.9,2.001,1.957,3,1000,0.991
25.2,2.001,1.913,3,1000,0.995
25.5,2.009,1.916,3,1000,0.967
25.8,1.982,1.962,3,1000,1.004
26.1,2.0,1.924,3,1000,1.007
26.4,1.992,1.904,3,1000,1.004
26.7,1.992,1.787,3,1000,0.989
27.0,1.998,1.944,3,1000,0.985
27.3,1.965,1.968,3,1000,1.009
27.6,1.996,1.768,3,1000,0.978
27.9,1.983,1.554,3,1000,1.003
28.2,2.007,1.575,3,1000,1.002
28.5,2.003,2.089,3,1000,0.973
28.8,1.974,1.95,3,1000,1.072
29.1,1.997,2.088,3,1000,0.99
29.4,1.995,1.917,3,1000,0.968
29.7,2.006,1.937,3,1000,0.969
30.0,2.009,1.869,3,1000,1.03
30.3,2.005,1.955,3,1000,1.001
30.6,1.999,1.925,3,1000,1.008
30.9,1.991,1.866,3,1000,0.986
31.2,2.005,1.621,3,1000,0.954
31.5,1.992,1.943,3,1000,0.991
31.8,2.001,1.952,3,1000,0.971
32.1,2.004,1.914,3,1000,0.994
32.4,1.99,1.833,3,1000,1.011
32.7,2.035,1.958,3,1000,0.944
33.0,2.002,1.753,3,1000,0.935
33.3,2.009,1.949,3,1000,0.996
33.6,2.009,1.975,3,1000,0.981
33.9,1.98,1.94,3,1000,1.003
34.2,2.023,1.955,3,1000,1.025
34.5,2.011,1.941,3,1000,0.981
34.8,2.006,1.967,3,1000,1.031
35.1,1.982,1.944,3,1000,1.022
35.4,2.004,1.844,3,1000,0.967
35.7,1.98,1.953,3,1000,0.979
36.0,2.011,1.971,3,1000,0.992
36.3,2.016,1.97,3,1000,1.026
36.6,1.995,1.947,3,1000,1.013
36.9,2.018,1.935,3,1000,1.0
37.2,1.989,1.915,3,1000,0.977
37.5,1.989,1.92,3,1000,1.017
37.8,1.981,1.946,3,1000,0.956
38.1,1.993,1.878,3,1000,0.953
38.4,1.984,2.043,3,1000,0.971
38.7,2.018,1.939,3,1000,0.984
39.0,1.984,1.768,3,1000,0.99
39.3,1.998,1.751,3,1000,1.003
39.6,1.986,1.069,3,1000,0.944
39.9,1.988,1.376,3,1000,1.028
40.2,1.961,1.762,3,1000,0.965
40.5,2.018,1.979,3,1000,1.016
40.8,1.964,1.933,3,1000,1.032
41.1,2.0,1.739,3,1000,0.992
