Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.368,0.539,3,1000,1.061
0.3,2.315,0.721,3,1000,1.072
0.6,2.313,0.905,3,1000,1.057
0.9,2.322,1.029,3,1000,1.054
1.2,2.303,1.159,3,1000,1.082
1.5,2.263,1.476,3,1000,1.091
1.8,2.262,1.571,3,1000,1.021
2.1,2.237,1.744,3,1000,1.054
2.4,2.199,1.92,3,1000,1.048
2.7,2.202,1.684,3,1000,1.019
3.0,2.166,2.064,3,1000,1.038
3.3,2.153,2.005,3,1000,1.006
3.6,2.154,2.058,3,1000,0.988
3.9,2.138,2.057,3,1000,1.049
4.2,2.15,2.079,3,1000,1.015
4.5,2.125,2.034,3,1000,1.019
4.8,2.113,1.912,3,1000,1.011
5.1,2.129,2.158,3,1000,1.029
5.4,2.114,1.955,3,1000,1.057
5.7,2.093,2.032,3,1000,1.009
6.0,2.072,2.001,3,1000,1.03
6.3,2.086,1.893,3,1000,1.055
6.6,2.084,1.988,3,1000,1.054
6.9,2.052,1.856,3,1000,1.035
7.2,2.081,2.098,3,1000,1.023
7.5,2.047,1.991,3,1000,1.028
7.8,2.046,1.9,3,1000,1.06
8.1,2.044,1.952,3,1000,0.98
8.4,2.053,2.0,3,1000,0.991
8.7,2.034,1.968,3,1000,1.034
9.0,2.021,1.937,3,1000,1.069
9.3,2.035,1.863,3,1000,0.943
9.6,2.016,1.92,3,1000,0.985
9.9,2.018,2.053,3,1000,1.015
10.2,1.998,1.907,3,1000,1.003
10.5,2.017,2.055,3,1000,1.013
10.8,2.021,1.866,3,1000,0.988
11.1,2.025,1.982,3,1000,1.026
11.4,2.006,1.937,3,1000,1.016
11.7,2.019,1.929,3,1000,0.955
12.0,2.011,1.905,3,1000,1.013
12.3,1.98,1.911,3,1000,1.002
12.6,2.005,1.887,3,1000,0.962
12.9,2.006,1.936,3,1000,1.011
13.2,2.035,2.053,3,1000,1.023
13.5,1.991,2.012,3,1000,1.042
13.8,1.974,1.794,3,1000,0.975
14.1,2.009,1.935,3,1000,0.972
14.4,2.028,1.863,3,1000,0.968
14.7,1.978,1.949,3,1000,0.959
15.0,2.004,1.923,3,1000,0.994
15.3,2.008,1.849,3,1000,1.035
15.6,2.012,1.896,3,1000,1.006
15.9,1.989,1.955,3,1000,1.025
16.2,2.006,1.911,3,1000,1.027
16.5,2.023,1.809,3,1000,1.024
16.8,1.982,1.918,3,1000,1.034
17.1,1.989,1.813,3,1000,0.963
17.4,2.007,1.938,3,1000,0.976
17.7,2.0,2.015,3,1000,1.007
18.0,2.01,1.929,3,1000,1.014
18.3,1.989,2.057,3,1000,0.998
18.6,1.999,1.888,3,1000,0.993
18.9,1.99,1.824,3,1000,1.007
19.2,2.001,1.957,3,1000,0.996
19.5,1.997,1.768,3,1000,1.007
19.8,2.008,1.786,3,1000,1.025
20.1,1.998,1.674,3,1000,0.935
20.4,2.019,1.796,3,1000,0.993
20.7,1.974,1.897,3,1000,1.035
21.0,2.002,1.897,3,1000,0.995
21.3,1.993,1.905,3,1000,1.005
21.6,1.98,1.86,3,1000,1.039
21.9,1.995,1.966,3,1000,1.065
22.2,2.008,1.938,3,1000,0.972
22.5,1.994,1.836,3,1000,1.036
22.8,2.018,1.76,3,1000,1.0
23.1,1.983,1.656,3,1000,0.987
23.4,1.989,1.84,3,1000,0.982
23.7,1.987,1.907,3,1000,1.006
24.0,1.977,1.769,3,1000,0.967
24.3,1.991,1.955,3,1000,1.04
24.6,1.988,1.892,3,1000,1.046
24.9,2.008,1.916,3,1000,0.989
25.2,2.003,1.894,3,1000,1.005
25.5,1.991,1.701,3,1000,1.015
25.8,2.005,1.556,3,1000,1.018
26.1,2.002,1.667,3,1000,0.982
26.4,1.993,1.968,3,1000,0.972
26.7,1.993,1.748,3,1000,1.018
27.0,1.985,1.429,3,1000,0.978
27.3,1.988,1.818,3,1000,1.031
27.6,1.983,1.783,3,1000,0.965
27.9,1.985,2.031,3,1000,0.965
28.2,1.975,1.898,3,1000,1.025
28.5,1.986,1.926,3,1000,1.021
28.8,1.98,2.058,3,1000,1.029
29.1,1.977,1.834,3,1000,0.992
29.4,1.985,1.912,3,1000,0.943
29.7,2.008,1.804,3,1000,0.96
30.0,2.014,1.916,3,1000,1.016
30.3,1.999,1.877,3,1000,1.016
30.6,1.997,1.874,3,1000,0.977
30.9,1.982,1.887,3,1000,0.968
31.2,1.988,1.871,3,1000,1.015
31.5,1.99,1.946,3,1000,0.999
31.8,2.019,1.943,3,1000,1.003
32.1,1.992,1.906,3,1000,1.054
32.4,2.0,1.936,3,1000,0.998
32.7,1.997,1.888,3,1000,0.96
33.0,1.983,1.889,3,1000,0.99
33.3,2.019,1.93,3,1000,1.003
33.6,2.025,1.838,3,1000,0.981
33.9,2.017,1.937,3,1000,1.002
34.2,1.981,1.911,3,1000,1.028
34.5,2.033,1.917,3,1000,1.023
