Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.596,0.0,3,1000,1.048
0.3,2.734,0.218,3,1000,1.134
0.6,2.67,0.362,3,1000,1.065
0.9,2.674,0.534,3,1000,1.138
1.2,2.652,0.721,3,1000,1.068
1.5,2.613,0.829,3,1000,1.104
1.8,2.567,1.002,3,1000,1.091
2.1,2.526,0.86,3,1000,1.101
2.4,2.492,0.683,3,1000,1.056
2.7,2.488,0.727,3,1000,1.088
3.0,2.427,0.601,3,1000,1.063
3.3,2.417,0.226,3,1000,1.057
3.6,2.52,0.326,3,1000,1.074
3.9,2.467,0.574,3,1000,1.061
4.2,2.464,0.758,3,1000,1.115
4.5,2.39,1.226,3,1000,1.103
4.8,2.387,1.585,3,1000,1.092
5.1,2.351,1.886,3,1000,1.041
5.4,2.347,2.066,3,1000,1.102
5.7,2.301,2.253,3,1000,1.081
6.0,2.296,2.236,3,1000,1.033
6.3,2.285,2.2,3,1000,1.09
6.6,2.249,2.207,3,1000,1.093
6.9,2.248,2.207,3,1000,1.06
7.2,2.219,2.158,3,1000,1.044
7.5,2.215,2.089,3,1000,1.044
7.8,2.196,2.27,3,1000,1.073
8.1,2.225,2.1,3,1000,1.029
8.4,2.179,1.968,3,1000,1.042
8.7,2.152,2.24,3,1000,1.06
9.0,2.156,2.251,3,1000,1.057
9.3,2.137,1.971,3,1000,1.042
9.6,2.146,1.861,3,1000,1.005
9.9,2.089,1.919,3,1000,1.016
10.2,2.106,2.006,3,1000,1.02
10.5,2.092,1.732,3,1000,1.032
10.8,2.088,1.491,3,1000,1.001
11.1,2.081,1.625,3,1000,1.039
11.4,2.081,1.796,3,1000,1.0
11.7,2.062,2.018,3,1000,1.056
12.0,2.04,2.157,3,1000,0.992
12.3,2.06,2.009,3,1000,1.008
12.6,2.04,1.971,3,1000,1.024
12.9,2.059,1.984,3,1000,0.98
13.2,2.053,1.991,3,1000,1.042
13.5,2.023,2.001,3,1000,1.05
13.8,2.057,1.891,3,1000,1.001
14.1,2.027,1.996,3,1000,0.996
14.4,2.027,1.955,3,1000,0.98
14.7,2.04,2.0,3,1000,0.994
15.0,2.026,1.952,3,1000,1.031
15.3,2.044,1.9,3,1000,0.953
15.6,2.011,2.109,3,1000,1.025
15.9,2.015,1.95,3,1000,1.022
16.2,2.027,1.978,3,1000,0.966
16.5,2.023,1.987,3,1000,0.991
16.8,2.01,1.862,3,1000,0.981
17.1,2.011,1.998,3,1000,1.021
17.4,2.02,1.759,3,1000,1.001
17.7,1.999,1.931,3,1000,0.982
18.0,1.993,1.653,3,1000,1.009
18.3,2.02,1.746,3,1000,0.965
18.6,2.018,1.691,3,1000,0.999
18.9,2.015,1.905,3,1000,1.033
19.2,2.007,1.958,3,1000,1.018
19.5,1.987,1.906,3,1000,1.018
19.8,1.993,1.995,3,1000,1.001
20.1,2.028,1.943,3,1000,0.973
20.4,2.004,1.925,3,1000,1.016
20.7,2.039,2.061,3,1000,1.052
21.0,1.98,2.104,3,1000,0.978
21.3,2.009,1.864,3,1000,0.983
21.6,1.985,2.065,3,1000,1.043
21.9,2.0,1.738,3,1000,0.991
22.2,2.001,2.093,3,1000,1.018
22.5,1.988,1.969,3,1000,1.013
22.8,1.998,1.864,3,1000,1.036
23.1,2.0,1.956,3,1000,1.071
23.4,2.022,2.097,3,1000,0.971
23.7,1.998,1.953,3,1000,1.035
24.0,1.972,1.752,3,1000,0.991
24.3,1.974,1.847,3,1000,1.034
24.6,2.014,1.947,3,1000,1.007
24.9,2.008,1.806,3,1000,1.0
25.2,1.994,1.963,3,1000,0.97
25.5,2.004,2.056,3,1000,0.984
25.8,1.993,1.915,3,1000,1.051
26.1,1.993,1.901,3,1000,0.992
26.4,1.99,1.941,3,1000,0.968
26.7,1.996,1.936,3,1000,0.972
27.0,2.002,2.068,3,1000,1.029
27.3,1.992,1.802,3,1000,1.007
27.6,1.99,1.937,3,1000,0.995
27.9,1.997,1.98,3,1000,0.997
28.2,2.015,1.917,3,1000,1.022
28.5,1.987,1.946,3,1000,1.016
28.8,1.98,1.806,3,1000,0.994
29.1,1.991,1.942,3,1000,0.971
29.4,1.992,2.069,3,1000,1.005
29.7,1.978,1.95,3,1000,0.993
30.0,1.993,1.941,3,1000,1.031
30.3,2.014,1.951,3,1000,1.02
30.6,2.009,1.951,3,1000,0.981
30.9,1.999,1.748,3,1000,0.991
31.2,1.999,1.919,3,1000,0.955
31.5,2.012,1.923,3,1000,1.025
31.8,1.96,1.893,3,1000,1.038
32.1,1.998,1.929,3,1000,1.027
32.4,1.99,1.773,3,1000,0.975
32.7,2.009,1.94,3,1000,0.956
33.0,1.993,1.994,3,1000,0.97
33.3,1.998,1.896,3,1000,0.971
33.6,1.999,1.928,3,1000,1.095
33.9,1.975,1.933,3,1000,0.976
34.2,2.008,1.951,3,1000,1.005
34.5,1.998,2.083,3,1000,1.017
34.8,1.994,1.845,3,1000,1.007
35.1,1.983,1.941,3,1000,0.992
35.4,1.993,1.928,3,1000,0.98
35.7,1.963,1.914,3,1000,1.026
36.0,1.992,2.032,3,1000,1.004
36.3,2.01,1.949,3,1000,0.984
36.6,1.981,2.076,3,1000,0.97
36.9,1.978,1.944,3,1000,1.034
37.2,1.998,1.903,3,1000,1.004
37.5,1.998,1.712,3,1000,1.023
37.8,1.969,1.902,3,1000,0.945
38.1,1.988,1.935,3,1000,1.038
38.4,1.968,2.057,3,1000,0.955
38.7,1.997,1.913,3,1000,0.991
39.0,1.968,2.102,3,1000,1.007
39.3,2.009,1.879,3,1000,0.977
39.6,1.997,1.93,3,1000,0.998
39.9,1.989,1.916,3,1000,1.044
40.2,1.998,1.951,3,1000,1.028
40.5,1.986,1.92,3,1000,1.002
40.8,1.982,1.856,3,1000,1.042
41.1,2.001,1.928,3,1000,0.963
41.4,1.989,1.908,3,1000,1.068
41.7,1.972,1.882,3,1000,1.045
42.0,1.974,2.097,3,1000,0.976
42.3,1.997,1.935,3,1000,0.98
42.6,1.999,1.906,3,1000,1.009
42.9,1.986,1.924,3,1000,1.052
43.2,1.986,1.958,3,1000,1.025
43.5,2.001,1.936,3,1000,1.011
43.8,2.008,1.919,3,1000,0.987
44.1,1.995,1.933,3,1000,1.003
44.4,2.003,1.836,3,1000,0.953
44.7,2.018,2.092,3,1000,1.028
45.0,1.995,2.059,3,1000,1.025
45.3,1.982,1.867,3,1000,1.006
45.6,2.026,1.93,3,1000,0.953
45.9,2.013,1.813,3,1000,1.017
46.2,2.003,1.981,3,1000,1.018
46.5,2.0,1.924,3,1000,1.026
46.8,1.983,1.923,3,1000,1.039
47.1,2.019,1.927,3,1000,0.978
47.4,2.013,1.934,3,1000,1.007
47.7,1.983,1.964,3,1000,1.061
48.0,2.024,1.943,3,1000,0.945
48.3,2.018,1.938,3,1000,1.021
48.6,2.027,2.056,3,1000,1.011
48.9,1.997,1.968,3,1000,0.996
49.2,1.985,1.929,3,1000,0.99
