Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.117,0.012,3,1000,1.158
0.3,3.441,0.024,3,1000,1.083
0.6,3.748,0.052,2,600,1.104
0.9,3.963,0.48,3,1000,1.126
1.2,3.948,0.205,3,1000,1.057
1.5,4.096,0.006,2,600,1.124
1.8,4.25,0.517,3,1000,1.104
2.1,4.221,0.666,3,1000,1.098
2.4,4.173,1.124,3,1000,1.064
2.7,4.138,1.941,3,1000,1.055
3.0,4.123,2.406,3,1000,1.076
3.3,4.103,3.135,3,1000,1.098
3.6,4.063,3.484,3,1000,1.068
3.9,4.045,4.02,3,1000,1.111
4.2,4.008,3.967,3,1000,1.117
4.5,4.012,3.914,3,1000,1.063
4.8,3.951,3.891,2,600,1.151
5.1,3.93,3.802,3,1000,1.094
5.4,3.894,3.835,3,1000,1.117
5.7,3.87,3.819,3,1000,1.057
6.0,3.849,3.51,3,1000,1.098
6.3,3.801,3.771,3,1000,1.055
6.6,3.788,3.606,3,1000,1.092
6.9,3.708,3.653,3,1000,1.06
7.2,3.676,3.618,3,1000,1.078
7.5,3.638,3.567,3,1000,1.079
7.8,3.594,3.57,3,1000,1.107
8.1,3.581,3.507,3,1000,1.019
8.4,3.53,3.529,3,1000,1.069
8.7,3.509,3.232,3,1000,1.152
9.0,3.469,3.123,3,1000,1.111
9.3,3.431,3.412,3,1000,1.106
9.6,3.413,3.373,3,1000,1.088
9.9,3.403,3.361,3,1000,1.116
10.2,3.381,3.328,3,1000,1.123
10.5,3.327,3.046,3,1000,1.069
10.8,3.317,3.242,3,1000,1.076
11.1,3.266,3.219,3,1000,1.148
11.4,3.242,3.194,3,1000,1.073
11.7,3.2,3.158,3,1000,1.111
12.0,3.199,3.141,3,1000,1.081
12.3,3.138,3.071,3,1000,1.126
12.6,3.111,3.053,3,1000,1.136
12.9,3.097,3.042,3,1000,1.077
13.2,3.063,3.003,3,1000,1.069
13.5,3.01,2.895,3,1000,1.115
13.8,3.03,2.863,3,1000,1.13
14.1,2.976,2.962,3,1000,1.066
14.4,2.956,2.901,3,1000,1.114
14.7,2.905,2.888,3,1000,1.084
15.0,2.888,2.73,3,1000,1.088
15.3,2.869,2.609,3,1000,1.107
15.6,2.83,2.687,3,1000,1.094
15.9,2.783,2.473,3,1000,1.092
16.2,2.762,2.485,3,1000,1.127
16.5,2.707,2.684,3,1000,1.051
16.8,2.705,2.627,3,1000,1.081
17.1,2.683,2.636,3,1000,1.099
17.4,2.662,2.569,3,1000,1.059
17.7,2.626,2.592,3,1000,1.111
18.0,2.614,2.463,3,1000,1.094
18.3,2.567,2.51,3,1000,1.114
18.6,2.521,2.476,1,200,1.113
18.9,2.521,2.468,1,200,1.04
19.2,2.505,2.446,3,1000,1.066
19.5,2.478,2.41,3,1000,1.06
19.8,2.44,2.397,3,1000,1.061
20.1,2.391,2.383,3,1000,1.094
20.4,2.387,2.204,3,1000,1.062
20.7,2.348,2.249,3,1000,1.031
21.0,2.331,2.278,3,1000,1.069
21.3,2.333,2.267,3,1000,1.107
21.6,2.286,2.049,3,1000,1.091
21.9,2.275,2.214,3,1000,1.103
22.2,2.277,2.206,3,1000,1.029
22.5,2.255,2.089,3,1000,1.027
22.8,2.214,1.977,3,1000,1.039
23.1,2.198,2.15,3,1000,1.05
23.4,2.204,2.124,3,1000,1.05
23.7,2.179,1.997,3,1000,1.052
24.0,2.18,2.022,3,1000,1.045
24.3,2.148,2.142,3,1000,1.035
24.6,2.136,2.093,3,1000,1.037
24.9,2.151,2.082,3,1000,1.017
25.2,2.15,2.088,3,1000,1.087
25.5,2.116,2.007,3,1000,0.998
25.8,2.095,2.063,3,1000,1.002
26.1,2.096,1.975,3,1000,1.033
26.4,2.089,1.873,3,1000,1.038
26.7,2.066,2.028,3,1000,1.033
27.0,2.069,1.979,3,1000,1.043
27.3,2.063,1.985,3,1000,1.013
27.6,2.076,1.72,3,1000,1.036
27.9,2.048,1.98,3,1000,0.958
28.2,2.042,1.849,3,1000,1.04
28.5,2.078,1.985,3,1000,0.961
28.8,2.025,2.014,3,1000,1.034
29.1,2.039,1.952,3,1000,0.996
29.4,2.056,1.779,3,1000,1.011
29.7,2.059,2.03,3,1000,0.989
30.0,2.025,1.973,3,1000,1.049
30.3,2.036,1.958,3,1000,1.067
30.6,2.037,1.842,3,1000,0.968
30.9,2.026,2.0,3,1000,1.003
31.2,2.023,1.952,3,1000,0.962
31.5,2.02,1.968,3,1000,1.009
31.8,2.025,1.924,3,1000,1.026
32.1,2.007,1.966,3,1000,0.99
32.4,2.028,1.97,3,1000,1.017
32.7,1.995,1.669,3,1000,1.004
33.0,1.985,1.832,3,1000,0.983
33.3,2.016,1.914,3,1000,1.018
33.6,2.023,1.975,3,1000,0.993
33.9,2.027,1.924,3,1000,0.985
34.2,1.988,1.959,3,1000,1.043
34.5,2.019,1.89,3,1000,1.022
34.8,2.013,1.983,3,1000,1.023
35.1,2.024,1.802,3,1000,0.999
35.4,2.033,1.81,3,1000,0.988
35.7,1.981,1.834,3,1000,0.971
36.0,2.008,1.878,3,1000,1.028
36.3,2.008,1.974,3,1000,1.036
36.6,2.013,1.942,3,1000,0.967
36.9,1.99,1.861,3,1000,0.982
37.2,2.001,1.871,3,1000,1.022
37.5,1.989,1.936,3,1000,1.011
37.8,1.99,1.959,3,1000,0.985
38.1,1.985,1.801,3,1000,1.048
38.4,1.998,1.935,3,1000,0.98
38.7,1.987,1.949,3,1000,1.009
39.0,1.973,1.817,3,1000,1.015
39.3,2.003,1.952,3,1000,1.013
39.6,1.975,1.954,3,1000,0.986
39.9,1.997,1.825,3,1000,1.011
40.2,2.011,1.954,3,1000,1.002
40.5,1.981,1.807,3,1000,1.011
40.8,1.99,1.954,3,1000,0.982
41.1,2.009,1.708,3,1000,0.953
41.4,1.998,1.793,3,1000,1.02
41.7,1.993,1.98,3,1000,0.955
42.0,1.982,1.871,3,1000,1.03
42.3,1.99,1.804,3,1000,0.951
42.6,2.005,1.917,3,1000,1.021
42.9,1.989,1.874,3,1000,0.978
43.2,2.011,1.951,3,1000,1.016
43.5,1.983,1.823,3,1000,0.982
43.8,2.012,1.945,3,1000,0.986
44.1,2.0,1.928,3,1000,0.99
44.4,1.982,1.956,3,1000,1.036
44.7,2.002,1.972,3,1000,1.003
45.0,2.011,1.967,3,1000,1.044
45.3,1.987,1.955,3,1000,1.044
45.6,2.004,1.955,3,1000,0.99
45.9,1.999,1.839,3,1000,1.074
46.2,1.998,1.945,3,1000,1.022
46.5,2.007,1.932,3,1000,0.957
46.8,1.995,1.948,3,1000,0.977
47.1,2.006,1.992,3,1000,0.978
47.4,2.021,1.92,3,1000,1.011
47.7,2.013,1.838,3,1000,0.993
48.0,2.034,1.527,3,1000,1.006
48.3,1.99,1.548,3,1000,0.97
48.6,1.999,1.956,3,1000,0.969
48.9,1.994,1.951,3,1000,1.016
49.2,2.027,1.814,3,1000,0.994
49.5,2.001,1.976,3,1000,1.008
49.8,2.016,1.92,3,1000,0.972
50.1,2.024,1.932,3,1000,1.01
50.4,2.012,1.661,3,1000,1.043
50.7,2.002,1.848,3,1000,1.026
51.0,2.022,1.825,3,1000,0.943
51.3,2.012,1.912,3,1000,0.971
51.6,1.998,1.968,3,1000,1.049
51.9,1.983,1.956,3,1000,0.979
52.2,1.997,1.898,3,1000,1.023
52.5,2.005,1.95,3,1000,0.996
52.8,1.999,1.966,3,1000,1.031
53.1,2.033,1.96,3,1000,0.99
53.4,2.001,1.847,3,1000,0.969
53.7,1.999,1.934,3,1000,0.955
54.0,1.993,1.937,3,1000,0.997
54.3,2.011,1.931,3,1000,0.991
54.6,2.028,1.978,3,1000,0.989
54.9,2.003,1.878,3,1000,0.999
55.2,1.995,1.946,3,1000,0.999
55.5,2.006,1.966,3,1000,1.051
55.8,1.99,1.967,3,1000,0.978
56.1,1.997,1.971,3,1000,0.979
56.4,2.016,1.976,3,1000,1.001
56.7,2.017,1.962,2,600,1.005
57.0,2.01,1.952,2,600,0.957
57.3,2.01,1.943,2,600,0.996
57.6,2.01,1.945,2,600,1.011
57.9,2.008,1.827,2,600,1.036
58.2,2.015,1.707,3,1000,0.957
58.5,2.006,1.808,3,1000,0.984
58.8,2.008,1.62,3,1000,1.035
59.1,2.019,1.142,3,1000,1.027
59.4,2.009,1.368,3,1000,0.992
59.7,2.018,1.946,3,1000,1.007
60.0,2.055,1.99,3,1000,0.999
60.3,2.017,1.93,3,1000,1.009
60.6,2.015,1.976,3,1000,1.04
60.9,2.022,1.947,3,1000,0.977
61.2,2.032,1.949,3,1000,1.023
61.5,2.021,1.98,3,1000,1.022
61.8,2.026,1.991,3,1000,1.006
62.1,2.011,1.951,3,1000,1.006
62.4,2.016,1.962,3,1000,0.988
62.7,1.996,1.959,3,1000,1.003
63.0,2.025,1.979,3,1000,1.029
63.3,2.034,1.899,3,1000,1.024
63.6,2.001,1.95,3,1000,1.065
63.9,2.022,1.877,3,1000,1.031
64.2,1.991,1.953,3,1000,0.974
64.5,2.019,1.802,3,1000,0.973
64.8,2.013,1.57,3,1000,1.004
65.1,2.009,1.292,3,1000,0.984
65.4,2.006,1.531,3,1000,1.04
65.7,2.009,1.29,3,1000,1.001
66.0,2.02,0.816,3,1000,1.017
66.3,2.004,0.976,3,1000,1.034
66.6,1.996,0.819,3,1000,1.021
66.9,2.017,0.697,3,1000,1.014
67.2,1.997,0.51,3,1000,0.967
67.5,2.041,0.23,2,600,0.995
67.8,2.024,0.469,3,1000,0.941
68.1,1.991,0.0,3,1000,1.044
68.4,2.241,0.0,3,1000,1.012
68.7,2.517,0.01,3,1000,1.029
69.0,2.824,0.031,2,600,1.068
69.3,2.975,0.009,2,600,1.109
69.6,3.275,0.034,2,600,1.144
69.9,3.309,0.107,1,200,1.09
70.2,3.481,0.409,1,200,1.095
70.5,3.459,0.15,1,200,1.132
70.8,3.415,0.351,3,1000,1.141
71.1,3.39,0.0,3,1000,0.949
71.4,3.703,0.0,3,1000,0.999
71.7,4.069,0.033,3,1000,0.969
72.0,4.304,0.045,2,600,0.978
72.3,4.5,0.01,2,600,1.071
72.6,4.851,0.029,2,600,1.004
72.9,4.993,0.363,1,200,1.094
73.2,4.952,0.232,3,1000,1.126
73.5,5.099,0.001,3,1000,1.081
73.8,5.426,0.0,3,1000,1.112
74.1,5.707,0.002,3,1000,1.101
74.4,6.006,0.019,2,600,1.099
74.7,6.308,0.119,2,600,1.095
75.0,6.519,0.018,2,600,1.06
75.3,6.671,0.317,1,200,1.102
75.6,6.705,0.033,1,200,1.088
75.9,6.929,0.308,1,200,1.09
76.2,6.91,0.253,3,1000,1.111
76.5,7.099,0.011,3,1000,1.081
76.8,7.436,0.0,3,1000,1.143
77.1,7.7,0.014,2,600,1.12
77.4,8.019,0.014,2,600,1.139
77.7,8.279,0.036,2,600,0.976
78.0,8.589,0.033,1,200,1.019
78.3,8.786,0.326,2,600,0.998
78.6,8.822,0.222,3,1000,1.095
78.9,9.025,0.0,3,1000,1.103
79.2,9.307,0.0,3,1000,1.028
79.5,9.629,0.001,3,1000,1.116
79.8,9.936,0.0,3,1000,1.07
80.1,10.196,0.018,2,600,1.102
80.4,10.481,0.118,2,600,0.939
80.7,10.724,0.029,2,600,0.978
81.0,10.831,0.261,2,600,1.069
81.3,10.933,0.019,3,1000,1.095
81.6,11.235,0.04,3,1000,1.061
81.9,11.5,0.0,3,1000,1.043
82.2,11.838,0.0,3,1000,1.058
82.5,12.11,0.0,3,1000,1.109
82.8,12.412,0.006,2,600,1.12
83.1,12.669,0.033,2,600,1.103
83.4,12.969,0.039,2,600,1.086
83.7,13.011,0.288,3,1000,1.104
84.0,13.118,0.0,3,1000,1.111
84.3,13.424,0.011,3,1000,1.134
84.6,13.717,0.0,3,1000,1.074
84.9,14.032,0.019,2,600,1.053
85.2,14.315,0.017,2,600,1.08
85.5,14.569,0.007,2,600,1.11
85.8,14.898,0.0,2,600,1.103
86.1,3.692,0.486,3,1000,1.126
86.4,3.703,0.243,3,1000,1.116
86.7,3.815,0.0,3,1000,1.102
87.0,4.113,0.022,3,1000,1.093
87.3,4.417,0.043,2,600,1.067
87.6,4.632,0.131,2,600,1.015
87.9,4.817,0.359,1,200,1.084
88.2,4.798,0.215,1,200,1.121
88.5,4.766,0.251,3,1000,1.105
88.8,4.922,0.008,3,1000,1.051
89.1,5.214,0.0,3,1000,1.135
89.4,5.518,0.0,2,600,1.092
89.7,5.659,0.06,2,600,1.1
90.0,5.799,0.229,1,200,1.078
90.3,5.882,0.173,1,200,1.07
90.6,5.854,0.285,3,1000,1.065
90.9,6.037,0.0,3,1000,1.109
91.2,6.343,0.02,2,600,1.104
91.5,6.61,0.034,2,600,1.094
91.8,6.717,0.111,2,600,1.082
92.1,6.697,0.023,1,200,1.072
92.4,6.833,0.399,3,1000,1.082
92.7,6.818,0.035,3,1000,1.077
93.0,7.412,0.009,2,600,1.122
93.3,7.709,0.02,2,600,1.065
93.6,8.04,0.01,1,200,1.096
93.9,8.207,0.421,1,200,0.987
94.2,8.186,0.254,3,1000,1.091
94.5,8.439,0.0,3,1000,1.118
94.8,8.712,0.0,3,1000,1.15
95.1,9.021,0.028,2,600,1.064
95.4,9.315,0.062,2,600,1.096
95.7,9.61,0.109,2,600,1.032
96.0,9.641,0.233,1,200,1.006
96.3,9.702,0.054,1,200,1.126
96.6,9.72,0.33,3,1000,1.097
96.9,9.82,0.0,3,1000,1.128
97.2,10.094,0.015,3,1000,1.097
97.5,10.411,0.012,2,600,1.143
97.8,10.563,0.136,2,600,1.011
98.1,10.642,0.146,1,200,1.1
98.4,10.771,0.305,1,200,1.069
98.7,10.733,0.184,3,1000,1.086
99.0,10.932,0.0,3,1000,1.112
99.3,11.198,0.016,3,1000,1.111
99.6,11.517,0.024,2,600,1.072
99.9,11.654,0.102,2,600,1.107
100.2,11.747,0.164,1,200,1.087
100.5,11.846,0.465,3,1000,1.098
100.8,11.806,0.277,3,1000,1.073
101.1,11.991,0.011,3,1000,1.075
101.4,12.305,0.0,3,1000,1.1
101.7,12.855,0.096,2,600,1.107
102.0,12.935,0.248,1,200,1.099
102.3,13.019,0.271,1,200,1.151
102.6,12.979,0.242,3,1000,1.114
102.9,13.122,0.0,3,1000,1.066
103.2,13.708,0.016,2,600,1.129
103.5,14.002,0.166,2,600,1.057
103.8,13.941,0.209,1,200,1.132
104.1,14.11,0.047,1,200,1.076
104.4,13.917,0.018,3,1000,1.073
104.7,14.19,0.015,3,1000,1.098
105.0,14.492,0.0,3,1000,1.098
105.3,14.808,0.0,3,1000,1.1
105.6,3.283,0.232,2,600,1.078
105.9,3.284,0.016,2,600,1.109
106.2,3.436,0.26,1,200,1.097
106.5,3.457,0.398,1,200,1.046
106.8,3.427,0.243,3,1000,1.091
107.1,3.615,0.0,3,1000,1.122
107.4,3.92,0.033,3,1000,1.136
107.7,4.228,0.023,2,600,1.085
108.0,4.495,0.133,2,600,1.104
108.3,4.571,0.115,2,600,1.071
108.6,4.611,0.033,1,200,1.12
108.9,4.901,0.279,1,200,1.096
109.2,4.87,0.314,3,1000,1.112
109.5,5.059,0.003,3,1000,1.147
109.8,5.319,0.007,3,1000,1.05
110.1,5.697,0.211,2,600,1.113
110.4,5.709,0.002,1,200,1.131
110.7,5.723,0.291,3,1000,1.098
111.0,5.807,0.022,3,1000,1.013
111.3,6.098,0.0,3,1000,0.992
111.6,6.408,0.028,2,600,1.044
111.9,6.708,0.211,2,600,1.039
112.2,6.684,0.323,1,200,1.105
112.5,6.774,0.479,3,1000,1.063
112.8,6.713,0.338,3,1000,1.086
113.1,6.931,0.0,3,1000,1.091
113.4,7.214,0.001,3,1000,1.074
113.7,7.545,0.032,2,600,1.134
114.0,7.707,0.142,2,600,1.069
114.3,7.682,0.187,1,200,1.103
114.6,7.905,0.228,1,200,1.064
114.9,7.869,0.34,3,1000,1.138
115.2,7.989,0.012,3,1000,1.143
115.5,8.32,0.007,3,1000,1.06
115.8,8.585,0.0,3,1000,1.102
116.1,8.9,0.0,2,600,1.097
116.4,9.135,0.135,2,600,1.01
116.7,9.318,0.026,1,200,1.117
117.0,9.326,0.288,3,1000,1.052
117.3,9.416,0.032,3,1000,1.112
117.6,9.694,0.021,3,1000,1.093
117.9,10.017,0.018,2,600,1.083
118.2,10.325,0.036,1,200,1.116
118.5,10.632,0.019,1,200,1.083
118.8,10.626,0.281,3,1000,1.097
119.1,10.693,0.0,3,1000,1.102
119.4,11.054,0.0,3,1000,1.102
119.7,11.332,0.006,3,1000,1.129
120.0,11.614,0.0,3,1000,1.126
120.3,11.936,0.0,3,1000,1.103
120.6,12.235,0.039,2,600,1.145
120.9,12.534,0.018,2,600,1.085
121.2,12.549,0.22,2,600,1.082
121.5,12.661,0.032,1,200,1.038
121.8,12.773,0.454,3,1000,1.058
