Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.752,0.007,3,1000,1.024
0.3,3.057,0.009,3,1000,0.975
0.6,3.135,0.214,3,1000,1.128
0.9,3.434,0.034,3,1000,1.052
1.2,3.685,0.05,3,1000,1.087
1.5,3.648,0.187,3,1000,1.101
1.8,3.716,0.115,3,1000,1.12
2.1,3.754,0.101,3,1000,1.07
2.4,3.846,0.077,3,1000,1.079
2.7,3.89,0.236,3,1000,1.151
3.0,3.865,0.158,3,1000,1.076
3.3,3.817,0.126,3,1000,1.145
3.6,3.923,0.111,3,1000,1.052
3.9,4.064,0.256,3,1000,1.136
4.2,4.092,0.194,3,1000,1.079
4.5,4.062,0.148,3,1000,1.109
4.8,4.16,0.253,3,1000,1.104
5.1,4.131,0.147,3,1000,1.129
5.4,4.243,0.154,3,1000,1.09
5.7,4.165,0.215,3,1000,1.059
6.0,4.255,0.066,3,1000,1.079
6.3,4.446,0.124,3,1000,1.1
6.6,4.466,0.022,3,1000,1.045
6.9,4.655,0.159,3,1000,1.073
7.2,4.703,0.001,3,1000,1.056
7.5,4.793,0.035,3,1000,1.174
7.8,4.885,0.08,3,1000,1.126
8.1,4.915,0.033,3,1000,1.079
8.4,4.992,0.278,3,1000,1.075
8.7,4.937,0.087,3,1000,1.087
9.0,5.002,0.32,3,1000,1.063
9.3,4.944,0.332,3,1000,1.124
9.6,4.936,0.358,3,1000,1.118
9.9,4.884,0.512,3,1000,1.116
10.2,4.847,0.566,3,1000,1.097
10.5,4.852,0.469,3,1000,1.086
10.8,4.817,0.477,3,1000,1.125
11.1,4.784,0.584,3,1000,1.109
11.4,4.755,0.851,3,1000,1.116
11.7,4.723,0.989,3,1000,1.128
12.0,4.672,1.176,3,1000,1.109
12.3,4.671,1.16,3,1000,1.127
12.6,4.629,1.504,3,1000,1.092
12.9,4.602,1.646,3,1000,1.062
13.2,4.576,1.502,3,1000,1.114
13.5,4.514,1.717,3,1000,1.07
13.8,4.52,1.867,3,1000,1.114
14.1,4.479,2.027,3,1000,1.105
14.4,4.459,2.223,3,1000,1.131
14.7,4.43,2.251,3,1000,1.121
15.0,4.418,2.609,3,1000,1.076
15.3,4.365,2.586,3,1000,1.078
15.6,4.343,2.692,3,1000,1.091
15.9,4.303,2.323,3,1000,1.031
16.2,4.27,2.43,3,1000,1.096
16.5,4.252,2.745,3,1000,1.167
16.8,4.199,2.96,3,1000,1.113
17.1,4.199,3.078,3,1000,1.145
17.4,4.166,2.923,3,1000,1.113
17.7,4.108,3.007,3,1000,1.1
18.0,4.101,2.705,3,1000,1.101
18.3,4.091,2.899,3,1000,1.127
18.6,4.053,2.94,3,1000,1.127
18.9,4.019,2.627,3,1000,1.087
19.2,3.974,2.9,3,1000,1.064
19.5,3.926,3.089,3,1000,1.072
19.8,3.931,3.108,3,1000,1.103
20.1,3.903,3.009,3,1000,1.115
20.4,3.846,3.173,3,1000,1.106
20.7,3.85,3.353,3,1000,1.069
21.0,3.774,3.348,3,1000,1.069
21.3,3.782,3.533,3,1000,1.074
21.6,3.731,3.465,3,1000,1.095
