Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.096,1.544,3,1000,1.078
0.3,3.069,1.794,3,1000,1.095
0.6,3.03,2.421,3,1000,1.125
0.9,2.972,2.925,3,1000,1.092
1.2,2.975,2.851,3,1000,1.093
1.5,2.923,2.796,3,1000,1.068
1.8,2.912,2.741,3,1000,1.062
2.1,2.895,2.773,3,1000,1.049
2.4,2.847,2.734,3,1000,1.146
2.7,2.828,2.719,3,1000,1.121
3.0,2.804,2.856,3,1000,1.093
3.3,2.751,2.504,3,1000,1.109
3.6,2.743,2.6,3,1000,1.112
3.9,2.723,2.562,3,1000,1.143
4.2,2.695,2.753,3,1000,1.086
4.5,2.6,2.443,3,1000,1.085
4.8,2.591,2.397,3,1000,1.089
5.1,2.542,2.307,3,1000,1.122
5.4,2.55,2.549,3,1000,1.117
5.7,2.508,2.383,3,1000,1.102
6.0,2.471,2.454,3,1000,1.1
6.3,2.449,2.336,3,1000,1.08
6.6,2.453,2.49,3,1000,1.037
6.9,2.413,2.272,3,1000,1.095
7.2,2.363,2.222,3,1000,1.066
7.5,2.315,2.211,3,1000,1.023
7.8,2.31,2.189,3,1000,1.049
8.1,2.274,2.143,3,1000,1.094
8.4,2.286,1.927,3,1000,1.089
8.7,2.271,2.046,3,1000,1.047
9.0,2.27,2.11,3,1000,1.056
9.3,2.238,2.098,3,1000,1.081
9.6,2.215,2.082,3,1000,1.059
9.9,2.189,2.227,3,1000,1.081
10.2,2.164,2.021,3,1000,1.015
10.5,2.156,1.961,3,1000,1.013
10.8,2.151,2.032,3,1000,1.027
11.1,2.167,2.027,3,1000,1.066
11.4,2.138,1.996,3,1000,1.046
11.7,2.099,1.974,3,1000,1.06
12.0,2.114,1.978,3,1000,1.014
12.3,2.103,1.763,3,1000,1.002
12.6,2.079,1.97,3,1000,1.024
12.9,2.108,1.943,3,1000,0.978
13.2,2.095,1.929,3,1000,1.052
13.5,2.077,1.93,3,1000,1.019
13.8,2.055,2.057,3,1000,0.949
14.1,2.059,1.923,3,1000,0.995
14.4,2.067,1.902,3,1000,1.031
14.7,2.061,1.877,3,1000,1.033
15.0,2.055,1.718,3,1000,1.048
15.3,2.037,1.842,3,1000,1.003
15.6,2.036,1.904,3,1000,0.972
15.9,2.009,1.876,3,1000,0.998
16.2,2.055,1.878,3,1000,1.011
16.5,2.032,1.84,3,1000,1.016
16.8,2.023,1.919,3,1000,1.028
17.1,2.026,1.914,3,1000,1.004
17.4,2.014,1.94,3,1000,1.055
17.7,2.04,1.892,3,1000,1.019
18.0,2.045,1.877,3,1000,1.055
18.3,2.005,1.891,3,1000,0.965
18.6,2.03,1.849,3,1000,1.006
18.9,1.997,1.865,3,1000,1.08
19.2,2.031,1.978,3,1000,1.016
19.5,2.012,1.834,3,1000,1.0
19.8,2.009,1.889,3,1000,0.972
20.1,2.012,1.877,3,1000,0.998
20.4,1.983,1.792,3,1000,1.041
20.7,2.006,1.914,3,1000,0.962
21.0,2.008,1.856,3,1000,1.014
21.3,2.025,2.004,3,1000,0.987
21.6,1.99,1.897,3,1000,0.942
21.9,2.004,1.829,3,1000,0.981
22.2,2.0,1.858,3,1000,1.028
22.5,2.012,1.603,3,1000,0.962
22.8,2.015,1.125,3,1000,1.04
23.1,1.993,0.989,3,1000,0.982
23.4,2.007,1.086,3,1000,1.032
23.7,2.004,1.297,3,1000,0.964
24.0,2.022,1.846,3,1000,1.014
24.3,2.01,1.865,3,1000,0.977
24.6,1.996,1.775,3,1000,0.974
24.9,1.983,1.865,3,1000,1.011
25.2,2.006,2.05,3,1000,1.011
25.5,2.013,1.992,3,1000,0.955
25.8,1.991,1.881,3,1000,1.021
26.1,1.999,1.68,3,1000,1.007
26.4,1.986,1.533,3,1000,0.966
26.7,1.998,1.21,3,1000,0.963
27.0,1.994,1.574,3,1000,1.025
27.3,2.021,1.643,3,1000,1.025
27.6,1.986,1.84,3,1000,1.023
27.9,2.007,1.902,3,1000,0.993
28.2,2.021,1.951,3,1000,0.993
28.5,2.027,2.014,3,1000,1.022
28.8,1.997,1.851,3,1000,0.981
29.1,2.007,1.777,3,1000,0.975
29.4,1.99,1.848,3,1000,0.971
29.7,2.006,1.852,3,1000,1.034
30.0,1.999,1.847,3,1000,0.959
30.3,2.024,1.855,3,1000,0.982
30.6,2.008,1.901,3,1000,1.066
30.9,2.002,1.626,3,1000,1.006
31.2,1.997,1.392,3,1000,1.02
31.5,1.996,1.376,3,1000,0.99
31.8,1.987,1.608,3,1000,1.038
32.1,2.018,1.841,3,1000,0.986
32.4,2.013,1.701,3,1000,0.958
32.7,1.988,1.799,3,1000,1.011
33.0,2.017,1.863,3,1000,1.007
33.3,1.971,1.837,3,1000,0.996
33.6,2.018,1.855,3,1000,0.931
33.9,2.015,1.988,3,1000,1.027
34.2,1.969,1.697,3,1000,0.999
34.5,1.985,1.721,3,1000,0.992
34.8,1.999,1.678,3,1000,0.985
35.1,1.978,1.81,3,1000,1.003
35.4,1.982,1.857,3,1000,0.985
35.7,1.991,1.807,3,1000,1.011
36.0,1.978,1.833,3,1000,1.051
36.3,1.99,1.873,3,1000,0.991
36.6,1.99,1.82,3,1000,0.952
36.9,1.994,1.525,3,1000,1.042
37.2,1.98,1.98,3,1000,1.01
37.5,1.972,1.856,3,1000,1.021
37.8,1.984,1.845,3,1000,1.05
38.1,1.997,1.848,3,1000,0.981
38.4,2.014,1.743,3,1000,1.062
38.7,2.014,1.703,3,1000,0.986
39.0,1.981,1.983,3,1000,0.997
39.3,1.995,1.673,3,1000,0.963
39.6,2.003,1.827,3,1000,0.98
39.9,2.005,1.884,3,1000,1.003
40.2,1.973,2.009,3,1000,1.022
40.5,1.976,1.854,3,1000,1.05
40.8,1.988,1.86,3,1000,0.943
41.1,1.985,1.801,3,1000,0.964
41.4,2.015,1.963,3,1000,0.963
41.7,1.986,1.469,3,1000,1.01
42.0,1.988,1.24,3,1000,1.008
42.3,1.984,1.328,3,1000,0.948
42.6,1.997,1.466,3,1000,1.008
42.9,2.006,1.154,3,1000,1.014
43.2,1.969,1.376,3,1000,1.025
43.5,2.001,1.396,3,1000,0.977
43.8,1.986,1.446,3,1000,1.007
44.1,1.989,1.749,3,1000,1.0
44.4,1.995,1.851,3,1000,0.979
44.7,1.978,1.832,3,1000,1.009
45.0,1.984,1.798,3,1000,0.946
45.3,1.988,1.861,3,1000,0.975
45.6,1.983,1.769,3,1000,1.026
45.9,2.004,1.881,3,1000,0.979
46.2,1.986,1.886,3,1000,0.985
46.5,1.985,1.848,3,1000,1.008
46.8,1.978,1.85,3,1000,0.978
