Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.004,0.048,3,1000,1.08
0.3,2.984,0.419,3,1000,1.103
0.6,2.962,0.946,3,1000,1.051
0.9,2.936,1.24,3,1000,1.064
1.2,2.919,1.782,3,1000,1.143
1.5,2.883,1.97,3,1000,1.158
1.8,2.854,2.641,3,1000,1.064
2.1,2.813,2.766,3,1000,1.077
2.4,2.769,2.723,3,1000,1.144
2.7,2.763,2.893,3,1000,1.059
3.0,2.721,2.699,3,1000,1.122
3.3,2.674,2.499,3,1000,1.104
3.6,2.677,2.366,3,1000,1.098
3.9,2.645,2.696,2,600,1.071
4.2,2.62,2.195,2,600,1.08
4.5,2.566,1.741,2,600,1.084
4.8,2.559,1.821,2,600,1.096
5.1,2.542,1.525,3,1000,1.128
5.4,2.496,1.37,3,1000,1.07
5.7,2.475,0.895,3,1000,1.059
6.0,2.453,1.017,3,1000,1.083
6.3,2.427,0.87,3,1000,1.084
6.6,2.398,0.671,3,1000,1.033
6.9,2.375,0.547,2,600,1.011
7.2,2.36,0.267,2,600,1.05
7.5,2.454,0.019,2,600,1.131
7.8,2.676,0.317,2,600,1.032
8.1,2.672,0.29,2,600,1.111
8.4,2.647,0.374,3,1000,1.087
8.7,2.679,0.037,3,1000,1.048
9.0,2.964,0.041,3,1000,1.101
9.3,3.283,0.036,3,1000,1.071
9.6,3.412,0.387,3,1000,1.039
9.9,3.389,0.646,3,1000,1.099
10.2,3.351,0.669,3,1000,1.119
10.5,3.342,0.871,3,1000,1.111
10.8,3.304,1.128,3,1000,1.073
11.1,3.289,1.592,3,1000,1.059
11.4,3.262,1.922,3,1000,1.13
11.7,3.222,1.939,3,1000,1.085
12.0,3.204,2.053,3,1000,1.1
12.3,3.169,2.221,3,1000,1.078
12.6,3.136,2.54,3,1000,1.122
12.9,3.12,1.897,3,1000,1.067
13.2,3.105,2.034,3,1000,1.051
13.5,3.042,2.111,3,1000,1.106
13.8,3.01,2.316,3,1000,1.061
14.1,3.01,2.479,3,1000,1.128
14.4,2.955,2.602,3,1000,1.094
14.7,2.934,2.81,3,1000,1.107
15.0,2.919,2.839,3,1000,1.141
15.3,2.89,2.65,3,1000,1.061
15.6,2.846,2.772,3,1000,1.088
15.9,2.797,2.655,3,1000,1.104
16.2,2.784,2.684,3,1000,1.05
16.5,2.769,2.913,3,1000,1.102
16.8,2.723,2.657,3,1000,1.115
17.1,2.685,2.673,3,1000,1.11
17.4,2.68,2.58,3,1000,1.122
17.7,2.617,2.53,3,1000,1.087
18.0,2.604,2.254,3,1000,1.073
