Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.746,0.01,2,600,0.975
0.3,2.894,0.472,3,1000,1.01
0.6,2.842,0.0,2,600,1.008
0.9,2.877,0.013,2,600,0.996
1.2,2.865,0.019,1,200,1.015
1.5,2.851,0.011,1,200,1.052
1.8,2.787,0.229,2,600,1.111
2.1,2.855,0.0,1,200,1.118
2.4,3.122,0.434,3,1000,1.016
2.7,3.11,0.012,3,1000,1.079
3.0,3.332,0.046,2,600,1.069
3.3,3.329,0.728,3,1000,1.083
3.6,3.326,1.17,3,1000,1.115
3.9,3.259,1.779,3,1000,1.117
4.2,3.253,1.607,3,1000,1.13
4.5,3.219,1.712,3,1000,1.083
4.8,3.195,1.998,3,1000,1.082
5.1,3.166,2.059,3,1000,1.116
5.4,3.127,2.483,3,1000,1.083
5.7,3.098,2.823,3,1000,1.118
6.0,3.074,3.187,3,1000,1.113
6.3,3.026,2.977,3,1000,1.113
6.6,3.01,2.936,3,1000,1.082
6.9,2.99,2.909,3,1000,1.119
7.2,2.964,3.055,3,1000,1.103
7.5,2.889,2.85,3,1000,1.063
7.8,2.914,2.846,3,1000,1.071
8.1,2.845,2.678,3,1000,1.075
8.4,2.815,2.718,3,1000,1.069
8.7,2.789,2.723,3,1000,1.1
9.0,2.761,2.665,3,1000,1.096
9.3,2.727,2.872,3,1000,1.127
9.6,2.701,2.579,3,1000,1.134
9.9,2.68,2.472,3,1000,1.083
10.2,2.645,2.662,3,1000,1.092
10.5,2.582,2.487,3,1000,1.135
10.8,2.55,2.475,3,1000,1.084
11.1,2.502,2.423,3,1000,1.054
11.4,2.486,2.347,3,1000,1.075
11.7,2.451,2.372,3,1000,1.054
12.0,2.441,2.523,3,1000,1.083
12.3,2.401,2.303,3,1000,1.105
12.6,2.384,2.29,3,1000,1.092
12.9,2.347,2.391,3,1000,1.065
13.2,2.339,2.118,3,1000,1.121
13.5,2.332,2.225,3,1000,1.049
13.8,2.322,2.256,3,1000,1.131
14.1,2.29,2.203,3,1000,1.056
14.4,2.275,2.208,3,1000,1.032
14.7,2.239,2.181,3,1000,1.067
15.0,2.227,2.176,3,1000,1.085
15.3,2.206,2.131,3,1000,1.016
15.6,2.219,2.127,3,1000,1.063
15.9,2.191,2.132,3,1000,1.044
16.2,2.167,2.085,3,1000,1.008
16.5,2.14,1.969,3,1000,1.025
16.8,2.124,2.215,3,1000,1.06
17.1,2.137,2.042,3,1000,1.054
17.4,2.142,2.021,3,1000,1.0
17.7,2.098,1.946,3,1000,0.936
18.0,2.102,1.921,3,1000,0.997
18.3,2.098,1.99,3,1000,1.077
18.6,2.094,2.153,3,1000,1.029
18.9,2.096,1.994,3,1000,1.014
19.2,2.098,1.987,3,1000,1.009
19.5,2.09,1.993,3,1000,1.027
19.8,2.084,1.987,3,1000,1.036
20.1,2.042,1.993,3,1000,0.979
20.4,2.066,1.945,3,1000,1.055
20.7,2.065,1.985,3,1000,1.005
21.0,2.066,1.848,3,1000,1.023
21.3,2.03,1.96,3,1000,0.982
21.6,2.023,1.793,3,1000,1.042
21.9,2.042,1.973,3,1000,1.015
22.2,2.027,2.093,3,1000,1.02
22.5,2.042,1.967,3,1000,1.023
22.8,2.016,1.957,3,1000,1.031
23.1,2.009,1.961,3,1000,1.014
23.4,1.994,2.07,3,1000,1.016
23.7,2.017,1.925,3,1000,0.954
24.0,2.007,2.028,3,1000,0.988
24.3,2.008,1.954,3,1000,1.004
24.6,2.002,2.077,3,1000,0.994
24.9,2.015,1.917,3,1000,1.004
25.2,2.005,1.932,3,1000,1.013
25.5,1.996,1.794,3,1000,1.035
25.8,2.009,1.924,3,1000,1.024
26.1,1.994,1.952,3,1000,0.982
26.4,1.986,1.933,3,1000,1.003
26.7,2.004,1.946,3,1000,0.98
27.0,2.001,1.866,3,1000,0.982
27.3,2.004,1.952,3,1000,0.996
27.6,1.983,2.037,3,1000,1.051
27.9,1.995,1.897,3,1000,1.0
