Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.433,0.285,3,1000,1.078
0.3,2.421,0.46,3,1000,1.097
0.6,2.402,0.716,3,1000,1.056
0.9,2.356,1.338,3,1000,1.113
1.2,2.336,1.994,3,1000,1.049
1.5,2.333,2.227,3,1000,1.072
1.8,2.307,2.348,3,1000,1.059
2.1,2.289,2.207,3,1000,1.057
2.4,2.248,2.305,3,1000,1.086
2.7,2.249,2.281,3,1000,1.054
3.0,2.241,2.071,3,1000,1.041
3.3,2.184,2.365,3,1000,1.044
3.6,2.18,2.35,3,1000,0.999
3.9,2.176,2.206,3,1000,1.054
4.2,2.178,2.181,3,1000,1.067
4.5,2.149,2.077,3,1000,1.071
4.8,2.135,2.152,3,1000,1.035
5.1,2.135,2.302,3,1000,1.069
5.4,2.145,2.16,3,1000,1.029
5.7,2.099,1.98,3,1000,1.035
6.0,2.107,2.007,3,1000,1.007
6.3,2.054,2.132,3,1000,1.054
6.6,2.097,2.09,3,1000,1.051
6.9,2.065,2.069,3,1000,1.047
7.2,2.074,2.268,3,1000,1.038
7.5,2.073,2.108,3,1000,1.001
7.8,2.066,2.103,3,1000,1.031
8.1,2.054,2.088,3,1000,1.038
8.4,2.041,1.998,3,1000,1.01
8.7,2.071,2.086,3,1000,1.019
9.0,2.053,2.173,3,1000,1.044
9.3,2.028,2.077,3,1000,1.066
9.6,2.082,2.063,3,1000,0.934
9.9,2.025,2.199,3,1000,0.965
10.2,2.037,2.038,3,1000,1.004
10.5,2.005,1.911,3,1000,1.004
10.8,2.021,2.02,3,1000,1.005
11.1,2.047,1.876,3,1000,1.029
11.4,2.016,1.598,3,1000,1.019
11.7,2.018,1.731,3,1000,1.036
12.0,2.01,1.85,3,1000,0.996
12.3,2.007,1.766,3,1000,0.988
12.6,2.011,1.572,3,1000,0.984
12.9,2.001,1.492,3,1000,0.954
13.2,1.999,1.727,3,1000,1.009
13.5,2.005,1.989,3,1000,1.013
13.8,2.015,1.569,3,1000,0.998
14.1,1.996,1.933,3,1000,1.011
14.4,2.011,2.183,3,1000,0.996
14.7,2.004,2.025,3,1000,1.029
15.0,2.0,1.892,3,1000,1.0
15.3,2.016,2.018,3,1000,1.007
15.6,2.015,2.042,3,1000,1.027
15.9,2.001,2.028,3,1000,1.009
16.2,1.991,2.133,3,1000,0.98
16.5,1.995,2.047,3,1000,0.996
16.8,1.997,1.951,3,1000,1.058
17.1,1.994,1.97,3,1000,1.032
17.4,1.992,2.028,3,1000,0.982
17.7,1.997,1.927,3,1000,0.984
18.0,1.99,2.153,3,1000,0.952
18.3,1.997,2.048,3,1000,1.005
18.6,2.018,2.027,3,1000,0.993
18.9,2.007,2.031,3,1000,1.019
19.2,2.01,2.052,3,1000,0.975
19.5,1.975,2.048,3,1000,1.0
19.8,1.989,2.032,3,1000,0.992
20.1,2.013,2.049,3,1000,0.979
20.4,2.024,2.012,3,1000,1.053
20.7,1.997,1.878,3,1000,0.959
21.0,2.02,2.041,3,1000,0.959
21.3,1.966,2.023,3,1000,1.051
21.6,2.006,1.955,3,1000,0.979
21.9,2.01,1.985,3,1000,0.971
22.2,1.994,1.892,3,1000,0.993
22.5,1.986,1.974,3,1000,0.999
22.8,1.962,1.904,3,1000,1.059
23.1,2.006,1.63,3,1000,0.915
23.4,2.013,1.817,3,1000,1.064
23.7,2.029,1.981,3,1000,0.965
