Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.277,1.888,3,1000,1.037
0.3,2.24,2.56,3,1000,1.088
0.6,2.231,2.329,3,1000,1.089
0.9,2.229,2.487,3,1000,1.079
1.2,2.194,2.282,3,1000,1.014
1.5,2.175,2.583,3,1000,0.999
1.8,2.198,2.481,3,1000,0.996
2.1,2.158,2.141,3,1000,1.009
2.4,2.141,2.095,3,1000,1.067
2.7,2.087,2.329,3,1000,1.021
3.0,2.082,2.412,3,1000,1.004
3.3,2.114,2.163,3,1000,1.035
3.6,2.095,2.431,3,1000,1.015
3.9,2.113,1.947,3,1000,1.055
4.2,2.075,2.33,3,1000,0.996
4.5,2.057,2.388,3,1000,1.012
4.8,2.079,2.149,3,1000,1.045
5.1,2.068,2.313,3,1000,1.026
5.4,2.073,2.085,3,1000,1.024
5.7,2.043,2.345,3,1000,0.995
6.0,2.047,2.513,3,1000,1.009
6.3,2.045,2.033,3,1000,1.063
6.6,2.024,2.252,3,1000,0.963
6.9,2.038,2.002,3,1000,1.04
7.2,2.032,2.099,3,1000,0.981
7.5,2.034,2.313,3,1000,1.028
7.8,2.028,2.218,3,1000,0.974
8.1,2.043,2.466,3,1000,1.041
8.4,1.995,2.108,3,1000,1.028
8.7,2.033,2.299,3,1000,1.076
9.0,2.007,2.081,3,1000,0.969
9.3,2.001,2.095,3,1000,1.006
9.6,1.989,2.218,3,1000,0.986
9.9,2.009,2.198,3,1000,0.966
10.2,2.008,2.453,3,1000,0.982
10.5,2.03,1.992,3,1000,0.988
10.8,2.025,2.22,3,1000,1.007
11.1,2.013,2.177,3,1000,1.003
11.4,2.004,2.28,3,1000,0.994
11.7,1.993,2.058,3,1000,0.975
12.0,1.994,2.176,3,1000,0.993
12.3,2.003,2.116,3,1000,0.986
12.6,2.01,2.066,3,1000,1.028
12.9,1.987,2.279,3,1000,0.978
13.2,2.002,2.02,3,1000,0.993
13.5,1.994,2.228,3,1000,1.015
13.8,1.989,2.022,3,1000,0.978
14.1,1.99,2.263,3,1000,0.982
14.4,1.997,2.307,3,1000,1.002
14.7,2.009,2.308,3,1000,0.98
15.0,2.003,2.186,3,1000,1.007
15.3,2.012,1.943,3,1000,1.013
15.6,2.021,2.079,3,1000,0.977
15.9,2.026,2.291,3,1000,0.994
16.2,2.007,2.135,3,1000,1.047
16.5,2.001,2.327,3,1000,1.035
16.8,1.984,2.017,3,1000,1.017
17.1,1.983,2.161,3,1000,0.98
17.4,2.009,2.431,3,1000,1.041
17.7,2.0,2.013,3,1000,1.015
18.0,1.997,1.958,3,1000,1.044
18.3,2.005,2.186,3,1000,1.025
18.6,1.993,2.323,3,1000,0.989
18.9,1.99,1.977,3,1000,0.93
19.2,2.001,2.445,3,1000,1.016
19.5,1.991,1.893,3,1000,0.957
19.8,1.992,2.111,3,1000,1.011
20.1,1.968,2.278,3,1000,0.948
20.4,1.998,2.079,3,1000,1.02
20.7,2.009,2.207,3,1000,0.959
21.0,1.982,2.053,3,1000,0.984
21.3,2.01,2.31,3,1000,0.969
21.6,1.975,2.277,3,1000,0.969
21.9,2.014,1.999,3,1000,0.999
22.2,2.009,2.199,3,1000,1.037
22.5,2.005,1.993,3,1000,0.985
22.8,2.014,2.184,3,1000,1.014
23.1,1.99,2.292,3,1000,1.036
23.4,2.005,2.18,3,1000,0.969
23.7,2.015,2.457,3,1000,1.068
24.0,1.992,2.029,3,1000,1.04
24.3,1.978,2.104,3,1000,0.964
24.6,2.01,2.293,3,1000,0.968
24.9,1.978,2.085,3,1000,1.003
25.2,1.996,2.301,3,1000,1.011
25.5,1.994,2.167,3,1000,0.992
25.8,1.985,2.15,3,1000,1.043
26.1,1.991,2.294,3,1000,0.973
26.4,1.959,1.965,3,1000,0.959
26.7,1.984,2.359,3,1000,0.947
27.0,2.0,1.945,3,1000,0.996
27.3,1.985,2.186,3,1000,0.987
27.6,2.0,2.285,3,1000,0.966
27.9,1.994,1.992,3,1000,0.943
28.2,1.989,2.303,3,1000,0.976
28.5,1.995,1.872,3,1000,1.02
28.8,1.982,2.095,3,1000,0.991
29.1,2.004,2.208,3,1000,0.992
29.4,2.003,2.211,3,1000,1.037
29.7,1.983,2.021,3,1000,1.021
30.0,2.017,2.275,3,1000,0.956
30.3,1.994,2.314,3,1000,0.99
30.6,1.952,1.961,3,1000,1.012
30.9,1.995,2.362,3,1000,1.018
31.2,2.001,2.054,3,1000,1.019
31.5,2.038,2.168,3,1000,0.961
31.8,1.992,2.301,3,1000,1.006
32.1,1.985,2.131,3,1000,0.995
32.4,1.994,2.312,3,1000,0.971
32.7,1.973,1.967,3,1000,0.994
33.0,2.011,2.068,3,1000,1.028
33.3,2.007,1.913,3,1000,1.005
33.6,1.99,2.06,3,1000,1.01
33.9,1.971,2.435,3,1000,0.987
34.2,2.026,2.022,3,1000,0.967
34.5,1.971,2.175,3,1000,0.97
34.8,2.011,2.165,3,1000,1.057
35.1,2.014,2.133,3,1000,1.002
35.4,1.983,2.19,3,1000,0.991
35.7,1.978,1.916,3,1000,0.989
36.0,1.999,2.145,3,1000,1.007
36.3,1.969,2.439,3,1000,0.998
36.6,1.963,2.01,3,1000,0.959
36.9,1.995,1.96,3,1000,0.995
37.2,1.978,1.994,3,1000,1.058
37.5,2.01,2.043,3,1000,1.035
37.8,2.0,2.265,3,1000,1.039
38.1,1.985,2.012,3,1000,0.987
38.4,1.963,2.208,3,1000,0.982
38.7,1.971,1.996,3,1000,1.013
39.0,1.982,2.236,3,1000,0.988
39.3,1.996,2.141,3,1000,0.997
39.6,1.981,2.158,3,1000,0.964
39.9,1.96,1.907,3,1000,1.028
40.2,1.98,2.148,3,1000,1.008
40.5,1.985,2.261,3,1000,0.982
40.8,2.005,2.076,3,1000,1.002
41.1,1.956,2.264,3,1000,1.063
41.4,1.962,1.992,3,1000,1.056
41.7,1.988,2.111,3,1000,0.995
42.0,1.999,2.444,3,1000,0.971
42.3,1.99,2.037,3,1000,1.032
42.6,2.006,2.376,3,1000,1.041
42.9,1.977,2.101,3,1000,1.006
43.2,1.975,2.301,3,1000,1.043
43.5,1.987,2.296,3,1000,1.002
43.8,1.994,2.168,3,1000,1.066
44.1,2.002,2.158,3,1000,1.022
44.4,1.993,2.017,3,1000,1.049
44.7,1.976,2.112,3,1000,1.011
45.0,2.017,2.312,3,1000,0.955
45.3,1.979,2.022,3,1000,0.984
45.6,2.001,2.155,3,1000,0.97
45.9,2.011,2.058,3,1000,1.023
46.2,1.988,2.298,3,1000,0.99
46.5,2.015,2.264,3,1000,0.984
46.8,1.987,1.981,3,1000,1.064
47.1,2.019,2.198,3,1000,0.981
47.4,2.022,1.858,3,1000,1.03
47.7,1.993,2.211,3,1000,0.946
48.0,1.986,2.308,3,1000,0.986
48.3,1.986,2.12,3,1000,1.022
48.6,2.0,2.287,3,1000,1.017
48.9,2.003,1.887,3,1000,1.008
49.2,1.988,2.046,3,1000,1.008
49.5,1.999,2.306,3,1000,0.969
49.8,2.003,2.088,3,1000,1.016
50.1,2.003,2.297,3,1000,1.028
50.4,2.01,1.993,3,1000,1.004
50.7,2.008,2.125,3,1000,1.003
51.0,2.02,2.273,3,1000,0.975
51.3,1.999,1.996,3,1000,1.029
51.6,2.001,2.224,3,1000,0.968
51.9,1.979,1.959,3,1000,0.986
52.2,2.02,2.171,3,1000,1.008
52.5,1.997,2.415,3,1000,1.008
52.8,2.0,2.109,3,1000,0.97
53.1,2.005,2.295,3,1000,0.936
53.4,1.99,1.867,3,1000,1.026
53.7,1.986,2.102,3,1000,1.025
54.0,1.988,1.991,3,1000,0.96
54.3,1.999,2.052,3,1000,1.007
54.6,2.019,2.202,3,1000,1.025
54.9,1.983,2.261,3,1000,1.01
55.2,2.004,2.3,3,1000,0.991
55.5,2.003,1.985,3,1000,0.985
55.8,1.982,2.186,3,1000,1.008
56.1,2.009,2.131,3,1000,1.013
56.4,1.993,2.192,3,1000,1.007
56.7,1.987,2.314,3,1000,1.041
57.0,2.011,2.096,3,1000,0.975
57.3,2.008,2.296,3,1000,1.03
57.6,2.009,2.111,3,1000,0.972
57.9,2.016,2.223,3,1000,0.964
58.2,1.975,2.289,3,1000,0.93
58.5,1.997,2.055,3,1000,1.001
58.8,2.0,2.259,3,1000,0.956
59.1,1.992,1.985,3,1000,1.057
59.4,1.997,2.154,3,1000,0.968
59.7,2.02,2.251,3,1000,0.972
60.0,1.994,2.212,3,1000,0.994
60.3,2.016,2.194,3,1000,1.006
60.6,2.012,1.96,3,1000,0.968
60.9,1.995,1.654,3,1000,1.0
61.2,1.975,1.389,3,1000,1.019
61.5,1.989,1.141,3,1000,1.018
61.8,1.99,0.934,3,1000,1.042
62.1,1.983,0.892,3,1000,1.009
62.4,1.985,0.621,3,1000,1.034
62.7,1.997,0.312,3,1000,0.968
63.0,2.109,0.021,3,1000,0.964
63.3,2.348,0.001,3,1000,1.042
63.6,2.489,0.216,3,1000,0.979
63.9,2.697,0.019,3,1000,1.058
64.2,2.82,0.025,3,1000,1.083
64.5,3.067,0.041,3,1000,1.074
64.8,3.371,0.025,3,1000,1.109
65.1,3.58,0.012,3,1000,1.028
65.4,3.882,0.035,3,1000,1.061
65.7,4.09,0.168,3,1000,0.968
66.0,4.363,0.021,3,1000,1.002
66.3,4.558,0.118,3,1000,1.137
66.6,4.814,0.051,3,1000,1.091
66.9,5.289,0.044,3,1000,1.061
67.2,5.585,0.02,3,1000,1.102
67.5,5.844,0.012,3,1000,1.11
67.8,6.144,0.071,3,1000,1.076
68.1,6.376,0.033,3,1000,1.087
68.4,6.696,0.006,3,1000,1.091
68.7,6.866,0.03,3,1000,1.135
69.0,7.165,0.018,3,1000,1.138
69.3,7.47,0.029,3,1000,1.115
69.6,7.754,0.044,3,1000,1.103
69.9,7.918,0.02,3,1000,1.07
70.2,8.203,0.031,3,1000,1.123
70.5,8.547,0.005,3,1000,1.16
70.8,8.674,0.007,3,1000,1.127
71.1,9.008,0.032,3,1000,1.051
71.4,9.324,0.004,3,1000,1.117
71.7,9.577,0.029,3,1000,1.139
72.0,9.865,0.032,3,1000,1.122
72.3,10.183,0.034,3,1000,1.14
72.6,10.392,0.012,3,1000,1.13
72.9,10.65,0.056,3,1000,1.083
73.2,10.96,0.041,3,1000,1.081
73.5,11.289,0.045,3,1000,1.1
73.8,11.83,0.173,3,1000,1.107
74.1,12.055,0.019,3,1000,1.081
74.4,12.336,0.042,3,1000,1.107
74.7,12.501,0.025,3,1000,1.115
75.0,12.757,0.017,3,1000,1.162
75.3,13.091,0.024,3,1000,1.117
75.6,13.383,0.044,3,1000,1.128
75.9,13.64,0.192,3,1000,1.092
76.2,13.872,0.025,3,1000,1.075
76.5,14.122,0.0,3,1000,1.122
76.8,14.442,0.0,3,1000,1.095
77.1,14.731,0.0,3,1000,1.112
77.4,15.059,0.0,3,1000,1.14
77.7,15.314,0.0,3,1000,1.061
78.0,15.672,0.0,3,1000,1.099
78.3,15.92,0.007,3,1000,1.084
78.6,16.216,0.025,3,1000,1.094
78.9,16.54,0.001,3,1000,1.085
79.2,16.855,0.0,3,1000,1.095
79.5,17.132,0.0,3,1000,1.094
79.8,17.43,0.013,3,1000,1.118
80.1,17.754,0.0,3,1000,1.114
80.4,18.048,0.004,3,1000,1.118
80.7,18.352,0.0,3,1000,1.066
81.0,18.657,0.023,3,1000,1.108
81.3,18.932,0.016,3,1000,1.079
81.6,19.241,0.0,3,1000,1.088
81.9,19.524,0.015,3,1000,1.099
82.2,19.842,0.0,3,1000,1.103
82.5,20.164,0.0,3,1000,1.113
82.8,20.447,0.0,3,1000,1.089
83.1,20.748,0.01,3,1000,1.118
83.4,21.053,0.0,3,1000,1.124
83.7,21.341,0.006,3,1000,1.09
84.0,21.645,0.005,3,1000,1.066
84.3,21.944,0.0,3,1000,1.077
84.6,22.254,0.0,3,1000,1.074
84.9,11.077,0.525,3,1000,1.078
85.2,11.092,0.377,3,1000,1.116
85.5,11.161,0.008,3,1000,1.108
85.8,11.462,0.545,3,1000,1.074
86.1,11.449,0.246,3,1000,1.085
86.4,11.565,0.056,3,1000,1.119
86.7,11.766,0.538,3,1000,1.149
87.0,11.737,0.346,1,200,1.093
87.3,11.973,0.037,1,200,1.147
87.6,12.267,0.016,1,200,1.082
87.9,12.566,0.05,1,200,1.063
88.2,12.881,0.032,1,200,1.094
88.5,13.158,0.044,1,200,1.155
88.8,13.2,0.437,1,200,1.1
89.1,13.175,0.54,1,200,1.102
89.4,13.161,0.237,1,200,1.096
89.7,13.388,0.03,1,200,1.126
90.0,13.624,0.527,1,200,1.121
90.3,13.604,0.221,1,200,1.144
90.6,13.78,0.042,1,200,1.092
90.9,13.975,0.539,1,200,1.041
91.2,13.936,0.094,1,200,1.119
91.5,14.149,0.005,1,200,1.126
91.8,13.952,0.0,1,200,1.068
92.1,14.225,0.0,1,200,1.127
92.4,14.55,0.018,1,200,1.086
92.7,14.836,0.0,1,200,1.127
93.0,15.14,0.003,1,200,1.077
93.3,15.465,0.004,1,200,1.15
93.6,15.728,0.001,1,200,1.134
93.9,16.019,0.0,1,200,1.077
