Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.373,0.756,3,1000,1.155
0.3,2.344,1.353,3,1000,1.094
0.6,2.342,2.011,3,1000,1.038
0.9,2.318,2.635,3,1000,1.106
1.2,2.273,2.337,3,1000,1.068
1.5,2.261,2.578,3,1000,1.085
1.8,2.259,2.44,3,1000,1.012
2.1,2.223,2.51,3,1000,1.043
2.4,2.218,2.219,3,1000,1.052
2.7,2.178,2.265,3,1000,1.031
3.0,2.175,2.386,3,1000,1.044
3.3,2.158,2.253,3,1000,1.003
3.6,2.133,2.319,3,1000,1.019
3.9,2.155,2.443,3,1000,1.049
4.2,2.12,2.401,3,1000,1.093
4.5,2.108,2.363,3,1000,1.041
4.8,2.12,2.236,3,1000,1.073
5.1,2.096,2.418,3,1000,0.998
5.4,2.097,2.387,3,1000,1.08
5.7,2.073,2.136,3,1000,1.031
6.0,2.079,2.377,3,1000,1.02
6.3,2.075,2.041,3,1000,0.99
6.6,2.065,2.316,3,1000,1.027
6.9,2.061,2.559,3,1000,1.032
7.2,2.051,2.288,3,1000,1.044
7.5,2.049,2.38,3,1000,1.066
7.8,2.041,1.99,3,1000,0.968
8.1,2.077,2.193,3,1000,1.035
8.4,2.044,2.339,3,1000,1.019
8.7,2.016,2.322,3,1000,0.995
9.0,2.047,2.353,3,1000,1.028
9.3,2.022,2.079,3,1000,1.021
9.6,2.038,2.236,3,1000,0.96
9.9,2.002,2.33,3,1000,1.039
10.2,1.995,2.138,3,1000,1.039
10.5,2.022,1.972,3,1000,0.997
10.8,2.014,1.989,3,1000,1.031
11.1,2.004,2.259,3,1000,1.015
11.4,2.005,2.074,3,1000,0.998
11.7,2.007,2.087,3,1000,1.024
12.0,1.986,2.238,3,1000,0.973
12.3,2.002,2.035,3,1000,0.979
12.6,1.999,2.304,3,1000,0.996
12.9,2.032,2.039,3,1000,0.983
13.2,2.003,2.272,3,1000,1.022
13.5,1.989,2.265,3,1000,1.024
13.8,1.992,2.087,3,1000,0.971
14.1,2.023,2.274,3,1000,1.002
14.4,2.008,1.983,3,1000,0.958
14.7,1.997,2.032,3,1000,0.96
15.0,1.993,2.417,3,1000,1.001
15.3,2.011,2.119,3,1000,0.957
15.6,1.988,2.241,3,1000,0.997
15.9,2.009,2.023,3,1000,1.034
16.2,1.988,2.212,3,1000,0.986
16.5,1.997,2.067,3,1000,0.952
16.8,1.999,2.006,3,1000,1.046
17.1,1.995,2.116,3,1000,0.993
17.4,1.992,1.859,3,1000,0.991
17.7,1.984,2.078,3,1000,0.967
18.0,2.002,2.263,3,1000,1.014
18.3,1.99,2.044,3,1000,0.981
18.6,1.988,2.221,3,1000,0.986
18.9,2.009,2.008,3,1000,1.03
19.2,1.99,1.955,3,1000,1.036
19.5,1.971,2.105,3,1000,1.018
19.8,2.008,1.955,3,1000,1.013
20.1,2.019,2.204,3,1000,0.98
20.4,1.989,2.0,3,1000,0.993
20.7,2.002,2.04,3,1000,1.011
21.0,1.97,2.207,3,1000,1.043
21.3,1.995,2.123,3,1000,1.06
21.6,2.001,2.12,3,1000,1.052
21.9,1.983,2.173,3,1000,0.965
22.2,1.993,2.061,3,1000,1.008
22.5,1.97,2.412,3,1000,0.961
22.8,1.982,2.032,3,1000,0.99
23.1,2.005,2.275,3,1000,1.012
23.4,2.0,2.027,3,1000,1.057
23.7,2.011,2.168,3,1000,1.038
24.0,2.022,2.23,3,1000,1.011
24.3,1.988,1.95,3,1000,1.014
24.6,2.0,2.111,3,1000,0.967
24.9,2.004,2.03,3,1000,0.997
25.2,1.994,2.172,3,1000,0.976
25.5,2.001,2.023,3,1000,1.012
25.8,2.005,2.157,3,1000,1.002
26.1,2.006,2.378,3,1000,0.979
26.4,2.006,2.068,3,1000,0.974
26.7,2.022,2.45,3,1000,1.014
27.0,1.999,2.051,3,1000,0.994
27.3,2.013,2.202,3,1000,0.979
27.6,2.025,2.307,3,1000,1.005
27.9,2.005,2.17,3,1000,1.03
28.2,2.01,2.205,3,1000,0.993
28.5,2.0,1.928,3,1000,1.034
28.8,2.0,2.165,3,1000,1.039
29.1,2.0,2.342,3,1000,1.06
29.4,2.009,2.052,3,1000,1.021
29.7,2.013,2.204,3,1000,0.968
30.0,2.017,2.306,3,1000,1.018
30.3,1.982,2.313,3,1000,1.003
30.6,2.017,2.068,3,1000,1.012
30.9,2.009,2.249,3,1000,1.014
31.2,1.982,2.036,3,1000,0.964
31.5,1.992,2.265,3,1000,0.975
31.8,2.004,2.334,3,1000,1.0
32.1,2.025,2.182,3,1000,1.024
32.4,2.01,2.319,3,1000,1.024
32.7,2.012,1.903,3,1000,1.022
33.0,1.987,2.243,3,1000,1.046
33.3,1.97,2.335,3,1000,0.963
33.6,2.014,2.12,3,1000,1.034
33.9,2.024,2.297,3,1000,1.004
34.2,2.012,2.134,3,1000,1.025
34.5,1.977,2.151,3,1000,0.996
34.8,1.992,2.317,3,1000,0.946
35.1,1.98,1.993,3,1000,1.061
35.4,2.002,1.852,3,1000,0.979
35.7,2.03,1.992,3,1000,1.002
36.0,1.987,2.381,3,1000,1.015
36.3,1.993,2.06,3,1000,1.019
36.6,2.005,2.001,3,1000,1.013
36.9,1.982,2.239,3,1000,0.991
37.2,1.974,1.897,3,1000,1.067
37.5,2.002,2.126,3,1000,0.946
37.8,1.996,2.03,3,1000,1.007
38.1,1.998,2.056,3,1000,1.016
38.4,2.006,2.177,3,1000,0.986
38.7,2.017,2.073,3,1000,1.047
39.0,1.986,2.27,3,1000,0.921
39.3,2.006,1.976,3,1000,0.998
39.6,2.006,1.992,3,1000,0.954
39.9,2.01,2.24,3,1000,0.956
40.2,2.004,2.14,3,1000,0.951
40.5,2.024,2.207,3,1000,1.033
40.8,1.99,2.018,3,1000,0.974
41.1,1.995,2.204,3,1000,1.038
41.4,2.018,2.177,3,1000,0.978
41.7,2.006,1.98,3,1000,0.969
42.0,1.993,2.115,3,1000,0.996
42.3,1.991,1.887,3,1000,1.017
42.6,1.98,2.088,3,1000,1.007
42.9,1.992,2.228,3,1000,1.021
43.2,2.017,2.04,3,1000,1.028
43.5,2.012,2.325,3,1000,1.017
43.8,2.023,2.073,3,1000,1.033
44.1,2.016,2.147,3,1000,0.983
44.4,2.02,2.225,3,1000,0.968
44.7,1.99,2.117,3,1000,0.99
45.0,2.024,2.21,3,1000,1.007
45.3,2.027,2.136,3,1000,1.05
45.6,2.002,2.047,3,1000,1.01
45.9,2.012,2.291,3,1000,0.996
46.2,1.991,2.152,3,1000,0.999
46.5,2.007,2.094,3,1000,0.988
46.8,2.022,2.026,3,1000,0.979
47.1,1.988,2.08,3,1000,1.018
47.4,2.002,2.206,3,1000,1.051
47.7,2.016,2.066,3,1000,0.973
48.0,2.031,2.277,3,1000,1.035
48.3,2.017,1.954,3,1000,0.981
48.6,1.985,2.136,3,1000,1.001
48.9,1.986,2.347,3,1000,0.99
49.2,1.997,1.927,3,1000,0.937
49.5,2.002,2.173,3,1000,0.98
49.8,1.983,2.2,3,1000,0.985
50.1,1.994,2.126,3,1000,0.966
50.4,2.004,2.45,3,1000,0.979
50.7,2.011,1.959,3,1000,0.955
51.0,1.987,2.124,3,1000,0.992
51.3,1.994,2.174,3,1000,0.989
51.6,1.999,2.019,3,1000,1.001
51.9,2.023,2.275,3,1000,0.995
52.2,2.017,2.027,3,1000,0.988
52.5,1.998,2.168,3,1000,1.008
52.8,1.98,2.327,3,1000,1.035
53.1,1.993,2.204,3,1000,1.001
