Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.404,0.363,2,600,1.105
0.3,2.39,0.535,3,1000,1.071
0.6,2.367,1.26,3,1000,1.048
0.9,2.34,2.408,3,1000,1.08
1.2,2.299,2.853,3,1000,1.058
1.5,2.313,2.478,3,1000,1.093
1.8,2.285,2.476,3,1000,1.108
2.1,2.257,2.448,3,1000,1.032
2.4,2.24,2.269,3,1000,1.06
2.7,2.217,2.525,3,1000,1.06
3.0,2.205,2.229,3,1000,1.07
3.3,2.182,2.582,3,1000,1.082
3.6,2.161,2.267,3,1000,1.069
3.9,2.146,2.377,3,1000,1.025
4.2,2.15,2.499,3,1000,1.061
4.5,2.125,2.284,3,1000,1.081
4.8,2.13,2.277,3,1000,1.036
5.1,2.117,2.449,3,1000,1.059
5.4,2.101,2.167,3,1000,1.031
5.7,2.112,2.444,3,1000,1.037
6.0,2.1,2.312,3,1000,1.017
6.3,2.08,2.423,3,1000,0.997
6.6,2.075,2.076,3,1000,1.061
6.9,2.067,2.272,3,1000,1.02
7.2,2.082,2.095,3,1000,1.052
7.5,2.047,2.294,3,1000,1.022
7.8,2.039,2.388,3,1000,1.003
8.1,2.032,2.214,3,1000,1.023
8.4,2.021,2.361,3,1000,0.985
8.7,2.043,2.219,3,1000,1.077
9.0,2.04,2.173,3,1000,0.976
9.3,2.027,2.293,3,1000,1.032
9.6,2.03,2.137,3,1000,0.987
9.9,2.016,2.346,3,1000,0.987
10.2,2.044,2.16,3,1000,0.991
10.5,2.004,2.166,3,1000,1.038
10.8,2.005,2.218,3,1000,0.992
11.1,2.017,2.306,3,1000,0.987
11.4,2.022,2.294,3,1000,1.095
11.7,2.027,2.012,3,1000,0.97
12.0,2.015,2.219,3,1000,1.022
12.3,2.001,1.97,3,1000,0.995
12.6,2.006,2.2,3,1000,1.043
12.9,1.998,2.119,3,1000,1.011
13.2,2.031,2.255,3,1000,1.022
13.5,2.0,1.877,3,1000,1.032
13.8,2.022,2.196,3,1000,0.98
14.1,1.978,2.3,2,600,1.007
14.4,2.01,1.857,2,600,1.009
14.7,2.017,2.27,2,600,1.065
15.0,2.009,1.855,3,1000,0.995
15.3,1.966,1.94,3,1000,1.002
15.6,1.997,2.191,2,600,1.02
15.9,2.006,1.949,2,600,0.955
16.2,2.008,2.336,2,600,1.015
16.5,2.002,1.788,3,1000,1.035
16.8,1.996,1.452,3,1000,1.011
17.1,1.98,1.161,3,1000,0.977
17.4,1.983,1.961,2,600,0.995
17.7,2.012,2.048,2,600,0.994
18.0,2.011,1.875,3,1000,0.998
18.3,1.983,2.013,2,600,1.076
18.6,2.004,1.661,2,600,0.982
18.9,1.998,2.024,2,600,0.999
19.2,2.004,1.719,3,1000,0.997
19.5,1.992,1.805,2,600,1.013
19.8,2.01,1.924,3,1000,1.009
20.1,2.001,2.149,3,1000,0.997
20.4,2.004,1.819,2,600,1.009
20.7,1.963,2.153,2,600,1.017
21.0,1.978,1.886,3,1000,0.998
21.3,1.993,2.114,2,600,0.959
21.6,2.017,1.722,2,600,1.005
21.9,1.991,1.833,3,1000,1.006
22.2,1.99,2.047,2,600,1.024
22.5,1.996,1.932,2,600,0.975
22.8,2.002,2.013,2,600,1.003
23.1,2.005,1.708,3,1000,0.963
23.4,1.992,1.866,2,600,1.005
23.7,1.983,2.056,2,600,1.014
