Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,2.294,1.106,3,1000,1.067
0.3,2.3,1.424,3,1000,1.042
0.6,2.245,2.181,3,1000,1.114
0.9,2.234,2.526,3,1000,1.075
1.2,2.198,2.421,3,1000,1.047
1.5,2.183,2.388,3,1000,1.04
1.8,2.187,2.464,3,1000,1.058
2.1,2.149,2.132,3,1000,1.004
2.4,2.148,2.361,3,1000,1.005
2.7,2.139,2.031,3,1000,1.052
3.0,2.119,2.275,3,1000,1.039
3.3,2.108,2.599,3,1000,1.026
3.6,2.112,2.173,3,1000,1.044
3.9,2.094,2.292,3,1000,0.996
4.2,2.09,2.07,3,1000,1.055
4.5,2.064,2.178,3,1000,0.992
4.8,2.069,2.559,3,1000,1.002
5.1,2.103,2.109,3,1000,1.026
5.4,2.07,2.329,3,1000,1.011
5.7,2.056,2.09,3,1000,1.025
6.0,2.042,2.3,3,1000,1.044
6.3,2.044,2.348,3,1000,1.029
6.6,2.049,2.011,3,1000,1.048
6.9,2.045,2.213,3,1000,0.961
7.2,2.031,1.975,3,1000,0.984
7.5,2.044,2.152,3,1000,0.975
7.8,2.04,2.343,3,1000,1.024
8.1,2.014,2.155,3,1000,1.016
8.4,2.042,2.324,3,1000,1.026
8.7,2.024,2.053,3,1000,1.012
9.0,2.009,2.055,3,1000,1.015
9.3,2.029,2.328,3,1000,1.015
9.6,1.989,2.052,3,1000,1.043
9.9,2.037,2.435,3,1000,1.041
10.2,2.001,1.95,3,1000,0.991
10.5,2.002,2.24,3,1000,0.979
10.8,2.029,2.298,3,1000,0.973
11.1,2.015,2.016,3,1000,1.028
11.4,2.029,2.137,3,1000,0.986
11.7,2.003,1.921,3,1000,1.024
12.0,2.001,2.147,3,1000,1.002
12.3,2.003,2.401,3,1000,1.024
12.6,2.003,2.091,3,1000,0.997
12.9,2.004,2.204,3,1000,0.965
13.2,1.997,2.097,3,1000,1.047
13.5,1.987,2.057,3,1000,0.928
13.8,1.987,2.192,3,1000,1.003
14.1,2.003,2.023,3,1000,1.062
14.4,2.002,2.274,3,1000,0.995
14.7,1.988,2.067,3,1000,0.99
15.0,2.024,2.045,3,1000,0.973
15.3,2.019,2.419,3,1000,1.01
15.6,1.989,2.337,3,1000,0.941
15.9,2.012,1.919,3,1000,1.03
16.2,1.997,2.118,3,1000,0.936
16.5,2.018,2.411,3,1000,0.968
16.8,1.99,2.107,3,1000,0.986
17.1,1.993,2.246,3,1000,1.017
17.4,1.978,2.023,3,1000,0.993
17.7,1.989,2.313,3,1000,1.013
18.0,2.001,2.26,3,1000,1.045
18.3,1.991,2.241,3,1000,1.0
18.6,2.002,1.98,3,1000,1.014
18.9,1.996,2.228,3,1000,1.044
19.2,2.004,2.293,3,1000,0.995
19.5,2.004,2.029,3,1000,1.002
19.8,2.0,2.162,3,1000,0.966
20.1,2.003,1.899,3,1000,1.036
20.4,2.019,2.102,3,1000,0.993
20.7,1.968,2.297,3,1000,0.994
21.0,1.992,2.08,3,1000,0.969
21.3,2.0,2.213,3,1000,0.966
21.6,1.996,2.034,3,1000,1.005
21.9,2.015,2.405,3,1000,0.99
22.2,1.98,2.303,3,1000,1.032
22.5,2.001,1.968,3,1000,0.987
22.8,2.006,2.2,3,1000,0.972
23.1,2.009,2.057,3,1000,1.022
23.4,1.987,2.043,3,1000,1.025
23.7,1.982,2.314,3,1000,1.008
24.0,1.979,2.136,3,1000,1.01
24.3,2.002,2.457,3,1000,1.01
24.6,1.992,1.826,3,1000,0.999
24.9,2.002,2.069,3,1000,0.988
25.2,1.996,2.232,3,1000,0.977
25.5,1.991,2.058,3,1000,1.085
25.8,2.005,2.435,3,1000,1.02
26.1,1.996,1.905,3,1000,0.98
26.4,2.005,2.193,3,1000,0.981
26.7,1.978,2.297,3,1000,1.022
27.0,1.981,1.942,3,1000,0.996
27.3,1.998,2.318,3,1000,0.995
27.6,2.024,2.066,3,1000,1.014
27.9,1.995,2.161,3,1000,0.983
28.2,1.969,2.135,3,1000,0.98
28.5,1.98,2.032,3,1000,0.976
28.8,1.988,2.17,3,1000,1.035
29.1,1.983,2.114,3,1000,0.963
29.4,1.974,2.213,3,1000,1.034
29.7,1.988,2.297,3,1000,0.96
30.0,1.981,2.027,3,1000,1.022
30.3,2.008,2.213,3,1000,0.94
30.6,2.001,1.984,3,1000,1.032
30.9,1.99,2.226,3,1000,1.037
31.2,1.99,2.278,3,1000,0.986
31.5,1.991,2.129,3,1000,0.991
31.8,1.976,2.336,3,1000,0.997
32.1,1.992,1.894,3,1000,1.018
32.4,2.011,2.055,3,1000,1.032
32.7,1.978,2.27,3,1000,1.058
33.0,1.98,2.081,3,1000,0.984
33.3,1.959,2.268,3,1000,1.026
33.6,1.989,2.002,3,1000,1.011
33.9,1.999,2.045,3,1000,0.999
34.2,2.005,2.237,3,1000,0.993
34.5,1.999,1.99,3,1000,0.94
34.8,1.975,2.244,3,1000,0.98
35.1,1.994,1.972,3,1000,1.006
35.4,1.963,2.337,3,1000,1.026
35.7,1.988,2.446,3,1000,0.976
36.0,2.019,1.968,3,1000,1.002
36.3,1.982,2.143,3,1000,1.041
36.6,1.978,1.885,3,1000,0.962
36.9,1.997,2.114,3,1000,1.046
37.2,1.993,2.307,3,1000,0.982
37.5,1.983,2.012,3,1000,0.963
37.8,2.006,2.184,3,1000,1.019
38.1,1.996,2.2,3,1000,1.013
38.4,1.994,2.093,3,1000,0.991
38.7,1.992,2.272,3,1000,1.017
39.0,2.024,2.001,3,1000,0.991
39.3,1.98,2.243,3,1000,0.977
39.6,1.992,1.968,3,1000,1.002
39.9,2.019,2.324,3,1000,0.963
40.2,1.998,2.304,3,1000,0.997
40.5,1.992,2.311,3,1000,1.011
40.8,2.009,2.152,3,1000,1.03
41.1,1.972,1.869,3,1000,1.033
41.4,1.994,2.087,3,1000,1.014
41.7,1.998,2.437,3,1000,0.993
42.0,2.001,2.078,3,1000,1.013
42.3,1.971,2.291,3,1000,0.977
42.6,1.989,1.998,3,1000,0.998
42.9,2.013,2.145,3,1000,1.009
43.2,2.011,2.259,3,1000,0.943
43.5,2.013,2.235,3,1000,1.013
43.8,1.98,2.089,3,1000,0.954
44.1,2.01,2.179,3,1000,0.973
44.4,2.007,2.241,3,1000,1.021
44.7,1.979,1.991,3,1000,1.002
45.0,2.012,2.269,3,1000,0.995
45.3,1.998,1.857,3,1000,0.994
45.6,1.985,2.097,3,1000,1.004
45.9,1.998,2.239,3,1000,1.008
46.2,1.975,2.04,3,1000,1.015
46.5,2.011,2.183,3,1000,1.024
46.8,2.011,2.029,3,1000,1.021
47.1,2.003,2.233,3,1000,1.065
47.4,2.006,2.273,3,1000,0.991
47.7,2.003,1.972,3,1000,0.959
48.0,2.001,2.2,3,1000,0.999
48.3,2.024,1.864,3,1000,1.076
48.6,1.987,2.178,3,1000,1.037
48.9,1.983,1.933,3,1000,0.998
49.2,1.987,1.968,3,1000,1.019
49.5,1.971,2.181,3,1000,0.952
49.8,1.993,1.859,3,1000,1.036
50.1,2.004,2.052,3,1000,0.965
50.4,2.005,2.399,3,1000,1.015
50.7,2.007,2.051,3,1000,1.001
51.0,1.986,2.232,3,1000,1.037
51.3,2.01,2.012,3,1000,1.075
51.6,1.994,2.129,3,1000,1.035
51.9,2.015,2.246,3,1000,1.027
52.2,2.001,1.963,3,1000,0.987
52.5,1.983,2.179,3,1000,1.027
52.8,1.974,1.92,3,1000,1.018
53.1,2.015,2.137,3,1000,1.047
53.4,1.967,2.257,3,1000,1.004
53.7,2.002,1.982,3,1000,1.034
54.0,2.005,2.426,3,1000,1.023
54.3,1.985,2.095,3,1000,0.998
54.6,1.983,2.042,3,1000,1.001
54.9,1.97,2.413,3,1000,0.963
55.2,1.969,2.049,3,1000,0.959
55.5,1.989,2.187,3,1000,0.986
55.8,1.973,2.153,3,1000,0.97
56.1,1.98,2.376,3,1000,1.017
56.4,1.978,2.303,3,1000,1.029
56.7,2.006,2.247,3,1000,1.057
57.0,1.981,2.171,3,1000,1.012
57.3,1.987,1.888,3,1000,1.001
57.6,1.988,2.059,3,1000,0.95
57.9,1.98,2.432,3,1000,1.015
58.2,1.985,2.078,3,1000,0.994
58.5,1.988,2.278,3,1000,1.015
58.8,2.006,1.947,3,1000,1.008
59.1,1.995,2.149,3,1000,0.975
59.4,1.979,2.227,3,1000,0.956
59.7,1.982,2.021,3,1000,0.969
60.0,2.019,2.255,3,1000,1.034
60.3,1.991,1.974,3,1000,0.968
60.6,1.991,2.151,3,1000,0.994
60.9,2.037,2.253,3,1000,0.999
61.2,2.013,2.158,3,1000,0.978
61.5,1.997,1.909,3,1000,1.009
61.8,2.02,2.126,3,1000,0.982
62.1,1.994,2.291,3,1000,1.002
62.4,2.012,2.138,3,1000,1.009
62.7,2.007,2.166,3,1000,0.972
63.0,1.987,2.224,3,1000,1.022
63.3,2.004,1.79,3,1000,0.954
63.6,2.022,1.377,3,1000,0.988
63.9,2.022,1.005,3,1000,1.019
64.2,1.968,0.765,3,1000,0.975
64.5,2.026,0.69,3,1000,1.015
64.8,2.003,0.554,3,1000,0.998
65.1,2.007,0.276,3,1000,1.02
65.4,2.247,0.103,3,1000,0.986
65.7,2.465,0.048,3,1000,1.054
66.0,2.734,0.059,3,1000,1.069
66.3,3.058,0.022,3,1000,1.057
66.6,3.263,0.039,3,1000,1.026
66.9,3.576,0.025,3,1000,0.958
67.2,3.887,0.022,3,1000,1.029
67.5,4.105,0.055,3,1000,1.102
67.8,4.389,0.023,3,1000,1.123
68.1,4.627,0.109,3,1000,1.063
68.4,4.854,0.023,3,1000,1.136
68.7,5.091,0.159,3,1000,1.083
69.0,5.31,0.059,3,1000,1.108
69.3,5.596,0.022,3,1000,1.097
69.6,5.906,0.154,3,1000,1.056
69.9,6.076,0.057,3,1000,1.085
70.2,6.419,0.019,3,1000,1.139
70.5,6.676,0.024,3,1000,1.132
70.8,6.93,0.007,3,1000,1.111
71.1,7.187,0.017,3,1000,1.098
71.4,7.529,0.028,3,1000,1.14
71.7,7.65,0.0,3,1000,1.076
72.0,7.954,0.029,3,1000,1.154
72.3,8.264,0.029,3,1000,1.12
72.6,8.457,0.143,3,1000,1.088
72.9,8.703,0.04,3,1000,1.097
73.2,9.039,0.024,3,1000,1.126
73.5,9.316,0.158,3,1000,1.085
73.8,9.489,0.017,3,1000,1.12
74.1,9.744,0.01,3,1000,1.086
74.4,10.07,0.022,3,1000,1.092
