Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.121,2.717,3,1000,1.009
0.3,3.112,3.092,3,1000,0.955
0.6,3.098,3.093,3,1000,1.023
0.9,3.085,3.063,3,1000,1.037
1.2,3.111,3.045,3,1000,1.049
1.5,3.093,3.085,3,1000,1.052
1.8,3.065,3.085,3,1000,1.021
2.1,3.055,3.052,3,1000,1.066
2.4,3.042,3.051,3,1000,0.991
2.7,3.057,3.049,3,1000,1.026
3.0,3.041,3.03,3,1000,1.056
3.3,3.028,3.042,3,1000,1.034
3.6,3.016,2.92,3,1000,0.997
3.9,3.022,3.011,3,1000,0.996
4.2,3.021,3.043,3,1000,1.014
4.5,3.02,3.042,3,1000,1.029
4.8,3.023,3.023,3,1000,0.957
5.1,3.021,3.013,3,1000,0.972
5.4,3.037,3.004,3,1000,1.011
5.7,3.002,3.03,3,1000,0.972
6.0,3.001,3.008,3,1000,1.02
6.3,2.983,3.207,3,1000,1.04
6.6,3.023,2.987,3,1000,0.98
6.9,3.007,3.228,3,1000,1.055
7.2,2.998,3.001,3,1000,1.026
7.5,3.022,3.004,3,1000,1.06
7.8,3.005,2.996,3,1000,1.034
8.1,3.002,2.974,3,1000,0.971
8.4,2.989,3.004,3,1000,1.007
8.7,3.018,2.982,3,1000,1.004
9.0,3.021,2.976,3,1000,1.062
9.3,2.998,2.99,3,1000,0.979
9.6,3.006,2.971,3,1000,0.953
9.9,2.994,3.002,3,1000,1.014
10.2,2.985,2.986,3,1000,1.042
10.5,2.983,2.996,3,1000,0.974
10.8,2.984,3.011,3,1000,0.962
11.1,3.01,3.001,3,1000,1.054
11.4,3.007,2.993,3,1000,1.001
11.7,3.003,2.993,3,1000,1.045
12.0,3.006,3.004,3,1000,0.969
12.3,3.009,2.986,3,1000,1.024
12.6,2.981,2.994,3,1000,0.996
12.9,2.977,2.989,3,1000,1.007
13.2,2.993,2.994,3,1000,0.981
13.5,3.007,3.0,3,1000,0.98
13.8,2.991,2.992,3,1000,1.012
14.1,2.979,3.222,3,1000,0.961
14.4,2.997,2.997,3,1000,1.006
14.7,2.986,3.016,3,1000,0.944
15.0,2.972,3.018,3,1000,1.013
15.3,3.0,3.012,3,1000,0.953
15.6,2.994,3.003,3,1000,0.936
15.9,3.006,3.198,3,1000,0.969
16.2,2.981,2.97,3,1000,1.052
16.5,2.974,2.985,3,1000,0.994
16.8,2.995,2.983,3,1000,0.975
17.1,3.016,3.208,3,1000,0.982
17.4,2.982,2.999,3,1000,1.018
17.7,2.981,2.991,3,1000,1.043
18.0,2.991,3.025,3,1000,0.979
18.3,2.981,2.957,3,1000,1.039
18.6,2.995,2.953,3,1000,1.02
18.9,2.998,2.974,3,1000,0.992
19.2,2.977,3.181,3,1000,0.981
19.5,3.006,3.011,3,1000,0.996
19.8,2.986,2.958,3,1000,1.002
20.1,2.974,2.952,3,1000,0.975
20.4,2.993,3.005,3,1000,1.008
20.7,3.006,3.183,3,1000,1.002
21.0,3.011,3.007,3,1000,1.014
21.3,2.993,2.985,3,1000,1.076
21.6,2.96,3.211,3,1000,0.982
21.9,3.022,2.972,3,1000,0.964
22.2,3.003,3.001,3,1000,1.0
22.5,3.001,3.019,3,1000,0.98
22.8,3.011,2.986,3,1000,0.993
23.1,2.993,2.999,3,1000,1.008
23.4,3.011,3.005,3,1000,1.0
23.7,3.013,3.214,3,1000,1.047
24.0,3.009,3.017,3,1000,0.966
24.3,2.996,3.233,3,1000,0.96
24.6,3.001,3.038,3,1000,0.96
24.9,3.01,3.001,3,1000,0.98
25.2,3.029,2.985,3,1000,0.983
25.5,3.009,3.24,3,1000,1.023
25.8,2.999,3.023,3,1000,0.961
26.1,3.015,3.02,3,1000,1.028
26.4,2.996,3.016,3,1000,0.943
26.7,3.004,3.191,3,1000,0.997
27.0,2.99,3.023,3,1000,0.955
27.3,2.986,3.202,3,1000,0.98
27.6,2.992,3.022,3,1000,1.042
