Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.197,3.178,3,1000,1.073
0.3,3.208,3.388,3,1000,1.035
0.6,3.181,3.178,3,1000,1.048
0.9,3.174,3.17,3,1000,1.034
1.2,3.163,3.149,3,1000,1.015
1.5,3.15,3.16,3,1000,1.099
1.8,3.114,3.337,3,1000,1.023
2.1,3.136,3.12,3,1000,1.027
2.4,3.1,3.117,3,1000,1.025
2.7,3.09,3.119,3,1000,1.027
3.0,3.094,3.068,3,1000,1.009
3.3,3.063,3.075,3,1000,0.99
3.6,3.067,3.328,3,1000,1.022
3.9,3.058,3.071,3,1000,0.996
4.2,3.063,3.287,3,1000,1.026
4.5,3.063,3.063,3,1000,1.034
4.8,3.051,3.037,3,1000,0.96
5.1,3.045,3.266,3,1000,1.036
5.4,3.085,3.033,3,1000,1.04
5.7,3.042,3.045,3,1000,1.002
6.0,3.042,3.073,3,1000,1.015
6.3,3.018,3.03,3,1000,0.989
6.6,3.038,3.017,3,1000,1.023
6.9,3.016,3.022,3,1000,1.025
7.2,3.017,2.993,3,1000,1.036
7.5,3.034,3.047,3,1000,1.029
7.8,3.027,2.99,3,1000,1.001
8.1,3.014,3.019,3,1000,1.062
8.4,3.01,2.994,3,1000,0.987
8.7,3.046,2.987,3,1000,1.02
9.0,3.027,2.77,3,1000,0.974
9.3,2.993,3.007,3,1000,1.015
9.6,3.006,2.998,3,1000,1.004
9.9,2.983,3.009,3,1000,1.039
10.2,3.024,3.007,3,1000,0.997
10.5,2.995,2.985,3,1000,1.038
10.8,2.973,2.995,3,1000,1.011
11.1,2.996,2.995,3,1000,1.014
11.4,3.003,2.987,3,1000,1.011
11.7,2.993,3.196,3,1000,1.019
12.0,3.006,2.993,3,1000,1.025
12.3,3.014,3.205,3,1000,0.971
12.6,2.972,2.991,3,1000,0.984
12.9,2.977,2.991,3,1000,0.988
13.2,2.986,2.998,3,1000,0.959
13.5,3.01,2.999,3,1000,0.986
13.8,3.002,2.99,3,1000,0.975
14.1,2.994,3.007,3,1000,0.963
14.4,2.993,3.222,3,1000,1.077
14.7,2.998,3.006,3,1000,1.002
15.0,2.986,2.998,3,1000,0.986
15.3,3.004,2.956,3,1000,1.0
15.6,3.006,3.183,3,1000,1.007
15.9,2.997,2.997,3,1000,1.016
16.2,2.97,3.01,3,1000,0.987
16.5,3.016,3.004,3,1000,1.018
16.8,3.002,2.901,3,1000,0.983
17.1,2.998,3.015,3,1000,1.005
17.4,3.01,3.001,3,1000,1.024
17.7,3.009,2.946,3,1000,1.035
18.0,2.983,3.015,3,1000,1.036
18.3,3.0,3.205,3,1000,0.97
18.6,3.005,3.02,3,1000,1.01
18.9,2.99,2.972,3,1000,0.994
19.2,3.02,2.977,3,1000,1.018
19.5,3.006,2.987,3,1000,0.981
19.8,2.986,2.997,3,1000,0.959
20.1,3.01,2.974,3,1000,1.017
20.4,3.0,3.004,3,1000,0.998
20.7,2.99,2.983,3,1000,1.016
21.0,3.019,2.965,3,1000,1.006
21.3,2.969,3.015,3,1000,0.988
21.6,3.008,2.98,3,1000,1.021
21.9,3.004,2.986,3,1000,0.952
22.2,2.988,3.007,3,1000,1.009
22.5,2.987,3.007,3,1000,0.968
22.8,2.974,2.998,3,1000,0.986
23.1,3.005,2.983,3,1000,1.017
23.4,2.984,3.218,3,1000,1.007
23.7,2.998,2.981,3,1000,0.984
24.0,2.987,2.974,3,1000,1.026
24.3,2.997,2.987,2,600,0.97
24.6,2.993,2.969,3,1000,1.0
24.9,3.011,2.996,3,1000,1.0
25.2,2.998,2.988,3,1000,1.003
25.5,2.976,3.167,3,1000,1.041
25.8,3.016,3.013,3,1000,1.055
26.1,2.987,2.964,3,1000,0.96
26.4,2.991,2.996,3,1000,1.008
26.7,2.975,2.962,3,1000,1.004
27.0,2.996,2.958,3,1000,1.059
27.3,2.991,3.173,3,1000,1.005
27.6,2.97,2.989,3,1000,0.977
27.9,2.99,2.992,3,1000,0.963
28.2,2.989,3.005,3,1000,1.008
28.5,2.971,3.0,3,1000,1.01
28.8,2.973,3.004,3,1000,1.054
29.1,2.98,2.973,3,1000,0.977
29.4,2.987,2.937,3,1000,0.993
29.7,2.964,2.969,3,1000,1.007
30.0,3.006,3.216,3,1000,1.051
30.3,3.008,3.229,3,1000,0.993
30.6,2.984,3.172,3,1000,0.983
30.9,2.997,2.984,3,1000,1.043
31.2,3.005,2.984,3,1000,1.029
31.5,2.975,2.992,3,1000,0.987
31.8,2.977,2.982,3,1000,0.973
32.1,3.002,2.987,3,1000,1.031
32.4,3.007,2.975,3,1000,1.016
32.7,2.978,2.982,3,1000,0.951
33.0,2.991,3.213,3,1000,1.036
33.3,3.011,2.948,3,1000,0.942
33.6,2.993,3.19,3,1000,1.026
33.9,2.989,2.948,3,1000,0.969
34.2,2.991,3.003,3,1000,0.958
34.5,2.993,3.18,3,1000,1.013
34.8,3.008,3.033,3,1000,1.036
35.1,3.005,2.977,3,1000,0.977
35.4,2.996,3.208,3,1000,0.999
35.7,3.006,2.972,3,1000,0.965
36.0,2.985,3.0,3,1000,0.998
36.3,2.995,2.976,3,1000,0.982
36.6,3.013,2.963,3,1000,0.934
36.9,2.992,3.202,3,1000,0.993
37.2,2.979,3.018,3,1000,1.041
37.5,2.993,3.01,3,1000,1.009
37.8,2.999,3.017,3,1000,0.96
38.1,2.984,2.996,3,1000,0.945
38.4,2.987,3.02,3,1000,1.01
38.7,2.999,2.989,3,1000,1.013
39.0,2.994,2.997,3,1000,1.038
39.3,3.009,2.96,3,1000,0.987
39.6,2.994,2.958,3,1000,1.004
39.9,3.005,2.984,3,1000,0.995
40.2,3.031,2.988,3,1000,1.019
40.5,2.983,3.006,3,1000,1.001
40.8,3.016,2.981,3,1000,0.982
41.1,2.982,2.966,3,1000,1.01
41.4,3.011,2.994,3,1000,0.98
41.7,2.988,3.009,3,1000,0.991
42.0,2.97,2.984,3,1000,0.995
42.3,2.998,2.964,3,1000,1.018
42.6,2.994,2.971,3,1000,1.007
42.9,2.993,2.997,3,1000,1.001
43.2,3.006,2.971,3,1000,1.014
43.5,3.006,3.202,3,1000,1.013
43.8,2.997,2.999,3,1000,0.966
44.1,3.012,2.984,3,1000,1.006
44.4,2.991,2.974,3,1000,1.008
44.7,3.02,2.978,3,1000,1.045
45.0,3.0,2.984,3,1000,0.984
45.3,2.988,3.01,3,1000,0.946
45.6,3.0,2.984,3,1000,1.045
45.9,2.983,3.021,3,1000,1.029
46.2,2.995,2.989,3,1000,1.015
46.5,2.993,3.023,3,1000,0.991
