Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.118,2.918,3,1000,1.041
0.3,3.133,3.085,3,1000,1.02
0.6,3.092,3.084,3,1000,1.017
0.9,3.082,3.104,3,1000,0.978
1.2,3.077,2.868,3,1000,1.07
1.5,3.069,3.065,3,1000,1.007
1.8,3.048,2.89,3,1000,1.017
2.1,3.063,3.078,3,1000,1.03
2.4,3.049,3.06,3,1000,1.003
2.7,3.051,3.069,3,1000,1.082
3.0,3.04,3.063,3,1000,1.036
3.3,3.028,2.974,3,1000,0.998
3.6,3.028,2.842,3,1000,1.018
3.9,3.035,3.034,3,1000,1.004
4.2,3.026,3.076,3,1000,1.028
4.5,3.034,3.027,3,1000,1.006
4.8,3.016,2.986,3,1000,1.03
5.1,3.052,2.841,3,1000,1.037
5.4,3.022,3.03,3,1000,1.026
5.7,3.023,3.051,3,1000,1.026
6.0,3.003,3.035,3,1000,0.969
6.3,3.013,2.972,3,1000,1.027
6.6,3.006,3.028,3,1000,1.047
6.9,2.992,3.037,3,1000,1.006
7.2,3.015,3.004,3,1000,1.011
7.5,3.016,3.014,3,1000,0.96
7.8,2.989,3.043,3,1000,0.992
8.1,3.013,3.01,3,1000,1.013
8.4,2.999,2.988,3,1000,0.972
8.7,2.985,3.004,3,1000,1.061
9.0,3.003,2.973,3,1000,0.983
9.3,2.992,3.017,3,1000,1.027
9.6,2.991,3.025,3,1000,0.984
9.9,2.961,3.006,3,1000,1.001
10.2,2.991,3.0,3,1000,0.967
10.5,3.002,2.975,3,1000,1.021
10.8,3.0,3.044,3,1000,1.05
11.1,3.0,3.023,3,1000,0.995
11.4,3.003,3.017,3,1000,1.032
11.7,2.999,2.949,3,1000,0.986
12.0,2.986,3.031,3,1000,0.999
12.3,3.0,3.014,3,1000,1.003
12.6,3.007,3.03,3,1000,0.99
12.9,3.011,3.013,3,1000,1.013
13.2,3.01,3.025,3,1000,1.061
13.5,2.968,3.003,3,1000,1.029
13.8,3.001,3.026,3,1000,1.003
14.1,2.979,3.03,3,1000,0.972
14.4,2.994,3.013,3,1000,0.974
14.7,3.014,2.974,3,1000,0.993
15.0,3.011,2.801,3,1000,1.036
15.3,3.025,3.018,3,1000,1.027
15.6,2.997,3.02,3,1000,1.026
15.9,3.006,2.795,3,1000,1.006
16.2,2.995,2.772,3,1000,0.973
16.5,3.003,3.019,3,1000,1.003
16.8,2.995,3.025,3,1000,1.009
17.1,2.986,3.007,3,1000,0.969
17.4,2.994,2.986,3,1000,1.004
17.7,2.966,3.024,3,1000,1.029
18.0,2.995,3.024,3,1000,0.996
18.3,3.027,3.006,3,1000,0.978
18.6,3.012,3.02,3,1000,1.047
18.9,3.026,3.008,3,1000,1.003
19.2,3.012,3.021,3,1000,1.002
19.5,2.999,3.004,3,1000,0.983
19.8,2.994,3.01,3,1000,0.997
20.1,3.003,2.986,3,1000,0.998
20.4,3.003,3.022,3,1000,1.026
20.7,3.031,2.967,3,1000,1.05
21.0,2.966,3.005,3,1000,1.02
21.3,3.009,2.771,3,1000,1.032
21.6,3.013,3.004,3,1000,0.951
21.9,2.999,2.996,3,1000,0.988
22.2,3.003,3.023,3,1000,0.977
22.5,2.977,3.018,3,1000,1.015
22.8,2.997,2.974,3,1000,0.968
23.1,2.988,3.039,3,1000,1.009
23.4,3.011,2.995,3,1000,0.985
23.7,2.998,2.999,3,1000,1.012
24.0,2.972,2.979,3,1000,0.947
24.3,2.99,3.043,3,1000,0.989
24.6,2.996,2.991,3,1000,1.001
24.9,3.012,2.995,3,1000,1.073
25.2,2.986,2.933,3,1000,0.988
25.5,2.996,3.027,3,1000,1.075
25.8,2.993,3.008,3,1000,0.95
26.1,2.99,2.805,3,1000,1.012
26.4,3.004,3.033,3,1000,0.974
26.7,2.982,3.024,3,1000,0.958
27.0,2.974,3.012,3,1000,0.998
27.3,3.011,3.017,3,1000,0.99
27.6,2.997,2.993,3,1000,1.012
27.9,2.996,3.017,3,1000,1.032
28.2,2.988,3.002,3,1000,1.018
28.5,2.977,2.784,3,1000,0.935
28.8,2.996,3.013,3,1000,1.014
29.1,2.986,3.012,3,1000,0.951
29.4,2.98,2.964,3,1000,0.992
29.7,2.982,2.996,3,1000,1.019
30.0,3.002,3.005,3,1000,1.019
30.3,3.006,3.009,3,1000,0.921
30.6,2.996,2.988,3,1000,0.996
30.9,3.017,3.009,3,1000,1.038
31.2,2.999,2.796,3,1000,0.979
31.5,2.971,2.783,3,1000,1.018
31.8,3.006,3.019,3,1000,0.979
32.1,2.999,2.998,3,1000,1.007
32.4,3.023,2.973,3,1000,1.03
32.7,2.994,3.023,3,1000,1.019
33.0,2.984,2.979,3,1000,0.995
33.3,2.995,2.996,3,1000,1.018
33.6,2.973,3.002,3,1000,0.977
33.9,2.998,2.995,3,1000,0.983
34.2,3.022,2.978,3,1000,0.998
34.5,3.009,2.784,3,1000,1.01
34.8,2.984,2.984,3,1000,1.001
35.1,3.003,2.994,3,1000,0.977
35.4,2.974,3.021,3,1000,0.975
35.7,2.991,3.024,3,1000,0.984
36.0,3.011,2.993,3,1000,0.976
36.3,2.985,2.784,3,1000,1.005
36.6,2.996,2.986,3,1000,0.981
36.9,2.99,2.947,3,1000,0.957
37.2,2.99,2.981,3,1000,0.989
37.5,2.986,2.993,3,1000,1.055
37.8,3.006,2.788,3,1000,0.954
38.1,2.98,3.0,3,1000,0.988
38.4,3.004,2.761,3,1000,1.029
38.7,2.974,2.799,3,1000,1.003
39.0,2.99,2.97,3,1000,0.965
39.3,2.985,2.793,3,1000,1.002
39.6,2.993,3.005,3,1000,1.033
39.9,2.989,3.012,3,1000,1.087
40.2,2.988,3.023,3,1000,1.029
40.5,2.998,3.023,3,1000,1.027
40.8,3.008,3.024,3,1000,0.983
41.1,3.0,3.008,3,1000,0.986
41.4,3.004,2.972,3,1000,0.977
41.7,2.97,2.98,3,1000,1.05
42.0,3.02,2.807,3,1000,1.021
42.3,2.999,3.008,3,1000,0.997
42.6,2.99,3.003,3,1000,0.984
42.9,2.986,3.006,3,1000,1.027
43.2,3.01,3.001,3,1000,0.967
43.5,2.996,2.78,3,1000,0.993
43.8,2.986,3.004,3,1000,1.019
44.1,2.992,3.007,3,1000,1.05
44.4,3.004,3.004,3,1000,1.058
44.7,2.99,2.998,3,1000,1.012
45.0,2.978,2.99,3,1000,1.025
45.3,2.993,3.0,3,1000,1.019
45.6,3.001,3.032,3,1000,1.044
45.9,3.01,2.727,3,1000,0.991
46.2,2.996,2.817,3,1000,1.021
46.5,2.983,3.01,3,1000,0.998
46.8,2.994,2.999,3,1000,1.037
47.1,2.992,3.017,3,1000,0.986
47.4,2.982,2.957,3,1000,1.003
47.7,3.014,3.017,3,1000,1.043
48.0,2.991,3.014,3,1000,0.965
48.3,3.001,2.99,3,1000,1.012
48.6,3.003,2.984,3,1000,0.988
48.9,2.993,2.976,3,1000,1.006
49.2,2.985,2.996,3,1000,1.064
49.5,2.956,3.006,3,1000,0.984
49.8,2.984,3.004,3,1000,1.039
50.1,2.972,2.98,3,1000,0.973
50.4,2.988,2.971,3,1000,1.051
50.7,3.011,3.022,3,1000,0.963
51.0,2.994,2.804,3,1000,0.972
51.3,2.982,2.987,3,1000,1.033
51.6,3.012,2.996,3,1000,1.03
51.9,2.997,3.017,3,1000,0.99
52.2,3.033,3.003,3,1000,1.028
52.5,2.981,3.04,3,1000,0.979
52.8,2.999,3.016,3,1000,0.965
53.1,2.988,2.997,3,1000,1.017
53.4,3.0,2.972,3,1000,1.011
53.7,2.993,3.012,3,1000,1.029
54.0,2.994,3.005,3,1000,1.022
54.3,2.999,2.798,3,1000,1.03
54.6,2.976,2.992,3,1000,0.99
54.9,2.987,2.986,3,1000,1.026
55.2,2.972,2.957,3,1000,1.036
55.5,2.981,2.993,3,1000,1.049
55.8,3.0,2.994,3,1000,1.006
56.1,2.983,2.958,3,1000,0.953
56.4,2.984,3.012,3,1000,1.06
56.7,2.983,2.998,3,1000,1.005
57.0,3.008,3.02,3,1000,0.974
57.3,2.98,2.988,3,1000,1.024
57.6,2.987,3.009,3,1000,0.97
57.9,2.988,2.979,3,1000,1.009
58.2,2.987,3.009,3,1000,1.019
58.5,2.999,3.006,3,1000,0.947
58.8,3.008,2.83,3,1000,1.015
59.1,3.01,2.661,3,1000,1.018
59.4,2.993,2.691,3,1000,1.005
59.7,2.985,2.354,3,1000,0.982
