Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.076,0.026,3,1000,0.967
0.3,3.135,1.75,3,1000,1.059
0.6,3.128,3.09,3,1000,0.989
0.9,3.117,3.128,3,1000,1.01
1.2,3.113,3.102,3,1000,1.05
1.5,3.114,3.1,3,1000,0.994
1.8,3.102,3.086,3,1000,0.992
2.1,3.067,3.072,3,1000,1.031
2.4,3.081,3.303,3,1000,1.013
2.7,3.076,3.089,3,1000,0.973
3.0,3.064,3.064,3,1000,1.067
3.3,3.067,3.037,3,1000,1.0
3.6,3.018,3.071,3,1000,1.043
3.9,3.036,3.018,3,1000,0.987
4.2,3.038,3.042,3,1000,1.028
4.5,3.034,3.014,3,1000,0.986
4.8,3.051,3.034,3,1000,0.996
5.1,3.021,3.221,3,1000,0.998
5.4,3.022,3.015,3,1000,0.971
5.7,3.049,3.006,3,1000,1.044
6.0,3.019,3.019,3,1000,0.982
6.3,3.027,3.03,3,1000,0.994
6.6,2.99,3.024,3,1000,0.976
6.9,3.017,3.027,3,1000,0.963
7.2,3.033,3.02,3,1000,1.009
7.5,2.999,3.19,3,1000,1.06
7.8,3.038,3.034,3,1000,0.99
8.1,2.987,3.203,3,1000,0.974
8.4,3.004,2.992,3,1000,1.01
8.7,3.008,3.003,3,1000,1.037
9.0,3.023,3.031,3,1000,1.021
9.3,3.002,3.002,3,1000,0.981
9.6,3.001,3.008,3,1000,1.018
9.9,3.018,3.001,3,1000,1.011
10.2,2.989,3.197,3,1000,1.008
10.5,2.987,3.021,3,1000,1.043
10.8,3.002,3.197,3,1000,1.003
11.1,2.971,3.019,3,1000,1.024
11.4,3.015,3.008,3,1000,1.034
11.7,2.999,2.967,3,1000,0.994
12.0,3.004,2.98,3,1000,0.956
12.3,3.002,3.184,3,1000,1.014
12.6,2.989,2.991,3,1000,1.047
12.9,2.978,2.983,3,1000,0.919
13.2,2.989,3.003,3,1000,0.996
13.5,3.015,3.02,3,1000,1.014
13.8,3.019,3.237,3,1000,0.975
14.1,2.974,3.195,3,1000,0.994
14.4,2.991,2.961,3,1000,0.964
14.7,2.994,2.999,3,1000,1.021
15.0,2.981,3.007,3,1000,0.992
15.3,3.005,3.005,3,1000,0.949
15.6,2.988,2.968,3,1000,0.948
15.9,3.0,3.022,3,1000,0.948
16.2,2.983,2.983,3,1000,0.97
16.5,2.997,3.012,3,1000,1.056
16.8,2.992,2.977,3,1000,1.043
17.1,3.01,3.17,3,1000,0.984
17.4,2.97,2.968,3,1000,0.958
17.7,2.989,2.975,3,1000,0.982
18.0,2.988,2.986,3,1000,1.01
18.3,2.994,2.988,3,1000,0.999
18.6,3.018,2.989,3,1000,1.011
18.9,3.009,3.006,3,1000,0.991
19.2,2.989,2.963,3,1000,0.935
19.5,3.013,3.165,3,1000,0.979
19.8,2.996,2.999,3,1000,1.007
20.1,2.991,3.027,3,1000,1.016
20.4,3.017,3.225,3,1000,1.064
20.7,3.003,3.012,3,1000,1.005
21.0,3.023,3.01,3,1000,0.919
21.3,3.041,3.019,3,1000,0.981
21.6,2.993,3.006,3,1000,1.0
21.9,3.013,2.971,3,1000,0.986
22.2,2.995,3.167,3,1000,1.002
22.5,3.002,3.02,3,1000,1.027
22.8,3.009,2.989,3,1000,1.024
23.1,2.979,3.005,3,1000,1.001
23.4,3.021,2.999,3,1000,1.021
23.7,3.009,3.003,3,1000,1.051
24.0,3.015,3.008,3,1000,0.996
24.3,3.028,2.992,3,1000,0.973
24.6,2.987,3.006,3,1000,1.006
24.9,2.997,3.031,3,1000,0.988
25.2,3.03,3.002,3,1000,0.988
25.5,3.024,3.004,3,1000,0.97
25.8,2.997,3.006,3,1000,0.967
26.1,3.011,3.017,3,1000,1.014
26.4,2.999,2.99,3,1000,0.928
26.7,3.03,3.012,3,1000,1.039
27.0,3.023,3.01,3,1000,0.963
27.3,2.993,3.183,3,1000,1.006
27.6,3.002,3.226,3,1000,0.958
27.9,2.992,2.965,3,1000,1.028
28.2,3.002,2.996,3,1000,0.955
28.5,2.993,3.004,3,1000,1.034
28.8,3.001,3.001,3,1000,1.046
29.1,3.016,3.192,3,1000,1.0
29.4,2.982,2.96,3,1000,1.003
29.7,2.999,3.239,3,1000,1.006
30.0,2.991,2.977,3,1000,1.007
30.3,2.994,2.995,3,1000,1.028
30.6,2.989,2.963,3,1000,1.001
30.9,3.007,3.191,3,1000,1.006
31.2,3.008,2.976,3,1000,1.058
31.5,3.011,3.005,3,1000,1.022
31.8,3.014,2.999,3,1000,1.017
32.1,2.99,2.986,3,1000,0.988
32.4,2.97,3.033,3,1000,0.991
32.7,2.984,3.01,3,1000,1.01
33.0,2.993,2.983,3,1000,1.029
33.3,3.017,2.973,3,1000,0.996
33.6,2.994,3.011,3,1000,0.992
33.9,3.005,2.961,3,1000,1.024
34.2,2.998,2.985,3,1000,0.961
34.5,2.98,3.002,3,1000,0.975
34.8,3.032,3.033,3,1000,1.037
35.1,3.008,2.995,3,1000,1.0
35.4,2.995,2.992,3,1000,0.996
35.7,2.994,3.002,3,1000,0.981
36.0,3.012,2.951,3,1000,0.991
36.3,2.977,3.024,3,1000,0.994
36.6,2.996,3.009,3,1000,1.012
36.9,3.018,2.998,3,1000,0.987
