Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.154,3.076,3,1000,1.018
0.3,3.141,3.144,3,1000,1.053
0.6,3.119,3.115,3,1000,1.009
0.9,3.121,3.133,3,1000,1.042
1.2,3.104,3.09,3,1000,1.023
1.5,3.097,3.115,3,1000,1.042
1.8,3.084,3.085,3,1000,0.991
2.1,3.057,3.104,3,1000,1.044
2.4,3.065,3.057,3,1000,1.0
2.7,3.052,3.066,3,1000,1.019
3.0,3.049,2.996,3,1000,1.018
3.3,3.042,3.039,3,1000,1.035
3.6,3.023,3.054,3,1000,1.023
3.9,3.026,3.06,3,1000,0.956
4.2,3.027,3.052,3,1000,1.049
4.5,3.022,2.972,3,1000,1.04
4.8,3.02,3.07,3,1000,1.015
5.1,3.064,3.046,3,1000,0.993
5.4,3.037,3.018,3,1000,1.037
5.7,3.028,3.007,3,1000,1.015
6.0,3.011,3.248,3,1000,0.974
6.3,3.016,3.025,3,1000,1.018
6.6,2.999,3.014,3,1000,0.998
6.9,3.005,3.026,3,1000,1.042
7.2,3.016,3.018,3,1000,1.074
7.5,2.997,2.998,3,1000,1.008
7.8,2.987,3.002,3,1000,0.973
8.1,3.026,3.033,3,1000,0.971
8.4,3.015,3.203,3,1000,1.016
8.7,2.98,2.984,3,1000,0.993
9.0,3.003,3.239,3,1000,0.984
9.3,3.007,3.253,3,1000,0.955
9.6,2.989,2.998,3,1000,1.022
9.9,3.008,3.028,3,1000,1.011
10.2,2.991,3.006,3,1000,0.981
10.5,3.003,2.999,3,1000,0.96
10.8,2.999,3.03,3,1000,1.003
11.1,3.015,3.223,3,1000,1.022
11.4,3.001,2.934,3,1000,0.994
11.7,2.996,3.032,3,1000,0.977
12.0,2.992,3.01,3,1000,1.019
12.3,2.982,2.991,3,1000,0.974
12.6,2.998,3.009,3,1000,1.009
12.9,3.009,3.018,3,1000,0.99
13.2,2.976,2.958,3,1000,0.999
13.5,3.004,2.996,3,1000,0.983
13.8,2.986,3.205,3,1000,1.008
14.1,2.997,3.21,3,1000,0.989
14.4,3.026,3.204,3,1000,1.002
14.7,3.0,2.992,3,1000,1.003
15.0,3.036,2.98,3,1000,0.976
15.3,2.988,3.013,3,1000,1.009
15.6,2.973,2.972,3,1000,1.012
15.9,3.011,3.173,3,1000,0.928
16.2,2.991,2.972,3,1000,0.983
16.5,3.012,3.0,3,1000,1.035
16.8,2.997,2.988,3,1000,1.013
17.1,2.981,2.992,3,1000,1.026
17.4,2.982,3.009,3,1000,1.044
17.7,2.996,3.011,3,1000,1.004
18.0,3.001,3.004,3,1000,1.02
18.3,2.987,2.999,3,1000,0.966
18.6,3.001,3.005,3,1000,0.978
18.9,2.995,3.013,3,1000,1.023
19.2,2.995,3.194,3,1000,1.042
19.5,3.004,3.017,3,1000,0.984
19.8,2.987,3.205,3,1000,0.964
20.1,3.01,3.195,3,1000,0.998
20.4,3.001,2.947,3,1000,1.012
20.7,2.97,3.241,3,1000,0.912
