Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.177,3.18,3,1000,1.041
0.3,3.184,3.102,3,1000,1.042
0.6,3.143,3.155,3,1000,1.005
0.9,3.151,3.142,3,1000,0.993
1.2,3.139,3.148,3,1000,1.056
1.5,3.136,3.315,3,1000,0.974
1.8,3.118,3.083,3,1000,1.038
2.1,3.108,3.087,3,1000,1.036
2.4,3.084,3.089,3,1000,1.071
2.7,3.077,3.073,3,1000,1.038
3.0,3.047,3.09,3,1000,0.981
3.3,3.057,3.073,3,1000,1.039
3.6,3.04,3.056,3,1000,1.031
3.9,3.05,3.036,3,1000,0.989
4.2,3.088,3.087,3,1000,1.032
4.5,3.035,3.067,3,1000,1.02
4.8,3.019,3.059,3,1000,0.974
5.1,3.032,3.27,3,1000,1.013
5.4,3.044,3.023,3,1000,1.012
5.7,3.053,3.052,3,1000,1.025
6.0,3.011,3.154,3,1000,1.06
6.3,3.036,3.243,3,1000,1.032
6.6,3.039,3.024,3,1000,0.984
6.9,3.009,3.225,3,1000,0.995
7.2,3.011,3.023,3,1000,0.942
7.5,3.006,3.224,3,1000,0.979
7.8,3.002,3.027,3,1000,1.005
8.1,3.012,3.005,3,1000,0.976
8.4,3.042,3.012,3,1000,1.033
8.7,3.006,3.02,3,1000,1.027
9.0,3.005,2.96,3,1000,1.054
9.3,3.016,3.03,3,1000,0.984
9.6,2.988,3.01,3,1000,1.015
9.9,3.03,3.026,3,1000,0.997
10.2,2.982,3.001,3,1000,1.022
10.5,3.002,3.001,3,1000,1.031
10.8,2.991,3.018,3,1000,0.999
11.1,3.019,3.018,3,1000,0.996
11.4,3.012,3.006,3,1000,1.0
11.7,3.002,3.018,3,1000,0.999
12.0,2.997,3.019,3,1000,0.977
12.3,2.989,3.009,3,1000,1.002
12.6,2.994,3.003,3,1000,1.006
12.9,2.994,2.981,3,1000,0.953
13.2,3.003,3.004,3,1000,0.977
13.5,2.992,2.977,3,1000,1.028
13.8,2.975,2.987,3,1000,1.004
14.1,2.994,3.008,3,1000,1.011
14.4,2.997,3.02,3,1000,0.962
14.7,2.993,3.014,3,1000,1.018
15.0,3.005,3.007,3,1000,1.004
15.3,3.026,2.981,3,1000,0.983
15.6,3.019,2.968,3,1000,1.003
15.9,2.991,3.018,3,1000,1.027
16.2,3.01,3.204,3,1000,1.039
16.5,3.021,3.223,3,1000,0.987
16.8,3.002,2.989,3,1000,1.044
17.1,3.003,2.991,3,1000,1.002
17.4,2.995,3.024,3,1000,1.007
17.7,2.982,2.99,3,1000,0.974
18.0,2.993,2.966,3,1000,0.987
18.3,3.004,2.998,3,1000,0.995
18.6,3.018,3.014,3,1000,1.018
18.9,3.003,3.025,3,1000,1.014
19.2,3.001,2.991,3,1000,0.997
19.5,3.008,3.239,3,1000,1.024
19.8,3.004,3.23,3,1000,1.038
20.1,3.017,2.983,3,1000,1.009
20.4,3.013,3.206,3,1000,0.971
20.7,2.988,3.019,3,1000,0.974
21.0,2.991,3.019,3,1000,0.983
21.3,3.023,2.999,3,1000,0.991
21.6,3.019,3.018,3,1000,0.978
21.9,3.003,3.041,3,1000,0.999
22.2,3.008,2.97,3,1000,1.015
22.5,2.984,2.995,3,1000,1.026
22.8,3.006,3.023,3,1000,1.027
23.1,3.033,3.009,3,1000,1.003
23.4,3.021,3.015,3,1000,0.991
23.7,2.996,3.017,3,1000,0.996
24.0,3.008,3.192,3,1000,1.03
24.3,3.006,2.998,3,1000,0.971
24.6,3.024,3.027,3,1000,0.975
24.9,3.0,3.002,3,1000,1.042
25.2,3.002,3.029,3,1000,1.009
25.5,3.007,3.007,3,1000,0.977
25.8,3.009,3.007,3,1000,0.938
26.1,3.021,3.001,3,1000,0.995
26.4,3.006,3.03,3,1000,0.962
26.7,3.009,2.957,3,1000,1.034
27.0,3.008,3.013,3,1000,0.998
27.3,2.989,2.983,3,1000,1.009
27.6,2.993,3.044,3,1000,0.984
27.9,2.996,3.008,3,1000,1.016
28.2,3.001,3.238,3,1000,0.97
28.5,3.012,3.009,3,1000,1.0
28.8,3.01,3.017,3,1000,1.007
29.1,3.001,2.985,3,1000,0.964
29.4,3.005,3.212,3,1000,1.013
29.7,3.0,3.045,3,1000,0.966
30.0,3.011,2.975,3,1000,0.993
30.3,3.015,2.999,3,1000,0.987
30.6,3.03,3.019,3,1000,0.974
30.9,3.016,3.026,3,1000,1.026
31.2,3.015,3.169,3,1000,1.06
31.5,3.022,3.012,3,1000,1.009
31.8,2.989,3.033,3,1000,1.019
32.1,3.008,3.016,3,1000,0.977
32.4,3.003,3.016,3,1000,0.969
32.7,3.033,3.046,3,1000,1.031
33.0,3.009,3.04,3,1000,0.988
33.3,3.025,3.029,3,1000,1.025
33.6,3.015,3.034,3,1000,1.053
33.9,2.995,2.987,3,1000,1.038
34.2,3.024,3.018,3,1000,1.031
34.5,3.016,3.022,3,1000,1.019
34.8,3.023,3.016,3,1000,1.018
35.1,3.007,3.043,3,1000,1.036
35.4,3.007,3.001,3,1000,1.006
35.7,2.997,3.17,3,1000,0.991
36.0,3.019,2.997,3,1000,1.021
36.3,3.037,3.012,3,1000,1.028
36.6,2.995,3.016,3,1000,0.961
36.9,3.006,3.007,3,1000,0.967
37.2,2.993,2.998,3,1000,0.998
37.5,2.978,2.992,3,1000,1.031
37.8,2.962,3.013,3,1000,1.008
38.1,2.997,3.009,3,1000,1.035
38.4,2.972,2.989,3,1000,0.973
38.7,2.997,2.96,3,1000,1.064
39.0,2.984,2.997,3,1000,0.962
39.3,3.008,3.008,3,1000,0.961
39.6,2.968,2.999,3,1000,1.009
39.9,2.997,3.013,3,1000,0.968
40.2,3.018,3.0,3,1000,0.962
40.5,2.978,2.988,3,1000,1.015
40.8,3.006,2.992,3,1000,1.017
41.1,3.023,3.006,3,1000,0.987
41.4,3.0,3.025,3,1000,0.971
41.7,2.998,2.999,3,1000,0.999
42.0,3.027,2.982,3,1000,0.997
42.3,2.998,2.969,3,1000,1.007
42.6,2.987,2.992,3,1000,1.064
42.9,2.989,2.985,3,1000,1.007
43.2,3.019,3.004,3,1000,0.987
43.5,3.0,3.243,3,1000,0.989
43.8,2.981,3.215,3,1000,1.012
44.1,3.015,3.029,3,1000,1.006
44.4,3.011,2.992,3,1000,0.983
44.7,3.0,2.964,3,1000,0.988
45.0,3.01,2.978,3,1000,1.002
45.3,2.989,3.048,3,1000,0.97
45.6,3.015,2.997,3,1000,1.011
45.9,3.006,3.008,3,1000,1.022
46.2,3.019,3.234,3,1000,1.043
46.5,3.011,3.021,3,1000,0.987
46.8,3.009,3.022,3,1000,0.989
47.1,2.992,2.986,3,1000,0.985
47.4,3.032,3.021,3,1000,0.927
47.7,2.999,3.006,3,1000,1.018
48.0,3.007,3.026,3,1000,1.061
48.3,3.02,3.014,3,1000,0.957
48.6,3.018,3.01,3,1000,1.013
48.9,2.986,3.008,3,1000,0.978
49.2,2.99,3.007,3,1000,0.993
49.5,2.999,2.998,3,1000,1.015
49.8,3.019,3.183,3,1000,0.985
50.1,3.005,3.193,3,1000,1.041
50.4,3.016,3.026,3,1000,0.973
50.7,3.031,3.036,3,1000,1.008
51.0,3.0,3.03,3,1000,1.024
51.3,3.026,3.192,3,1000,0.987
51.6,2.991,2.945,3,1000,0.941
51.9,3.017,2.997,3,1000,1.009
52.2,3.026,3.194,3,1000,1.02
52.5,2.991,3.013,3,1000,0.945
52.8,2.991,3.225,3,1000,0.963
53.1,3.016,2.965,3,1000,0.998
53.4,2.991,3.018,3,1000,0.99
53.7,3.014,3.002,3,1000,1.015
54.0,3.02,3.018,3,1000,0.979
54.3,3.032,3.03,3,1000,1.01
54.6,3.001,2.998,3,1000,1.067
54.9,2.989,3.0,3,1000,0.984
55.2,3.001,3.026,3,1000,1.041
55.5,3.013,3.021,3,1000,0.961
55.8,3.005,3.008,3,1000,1.021
56.1,2.985,3.011,3,1000,1.04
