Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.154,3.155,3,1000,1.029
0.3,3.13,3.181,3,1000,1.025
0.6,3.135,3.16,3,1000,1.052
0.9,3.143,3.169,3,1000,1.021
1.2,3.116,3.121,3,1000,1.042
1.5,3.086,3.143,3,1000,1.074
1.8,3.092,3.12,3,1000,1.023
2.1,3.093,3.116,3,1000,0.982
2.4,3.074,2.927,3,1000,1.027
2.7,3.089,3.09,3,1000,1.005
3.0,3.034,3.089,3,1000,1.013
3.3,3.061,3.098,3,1000,1.066
3.6,3.045,3.094,3,1000,1.011
3.9,3.031,3.069,3,1000,1.02
4.2,3.038,3.07,3,1000,0.946
4.5,3.008,3.045,3,1000,1.023
4.8,3.053,3.054,3,1000,1.0
5.1,3.047,3.06,3,1000,1.019
5.4,3.032,3.017,3,1000,0.961
5.7,3.008,3.043,3,1000,0.987
6.0,3.024,3.078,3,1000,0.978
6.3,3.002,3.057,3,1000,1.04
6.6,2.997,3.052,3,1000,1.007
6.9,3.031,3.067,3,1000,0.997
7.2,3.017,3.058,3,1000,1.014
7.5,3.011,2.828,3,1000,1.022
7.8,3.02,3.047,3,1000,0.995
8.1,3.034,2.848,3,1000,0.998
8.4,3.009,3.023,3,1000,1.02
8.7,2.999,3.032,3,1000,0.938
9.0,3.02,3.048,3,1000,1.042
9.3,2.988,3.029,3,1000,1.03
9.6,3.001,3.046,3,1000,0.984
9.9,2.978,2.986,3,1000,0.963
10.2,3.0,2.829,3,1000,1.0
10.5,2.996,3.014,3,1000,1.01
10.8,3.011,3.034,3,1000,1.005
11.1,2.97,3.014,3,1000,1.022
11.4,2.993,3.003,3,1000,0.981
11.7,2.998,3.045,3,1000,1.003
12.0,2.977,3.017,3,1000,0.964
12.3,2.994,2.817,3,1000,1.0
12.6,2.994,2.999,3,1000,1.033
12.9,3.014,2.804,3,1000,0.963
13.2,3.005,3.006,3,1000,0.939
13.5,2.97,3.025,3,1000,1.004
13.8,2.99,2.831,3,1000,1.034
14.1,2.988,3.018,3,1000,1.026
14.4,2.998,3.051,3,1000,1.03
14.7,3.01,3.05,3,1000,0.986
15.0,2.989,3.021,3,1000,1.041
15.3,3.012,2.985,3,1000,1.007
15.6,3.006,3.057,3,1000,0.977
15.9,3.011,3.007,3,1000,1.012
16.2,3.0,3.0,3,1000,0.966
16.5,3.028,3.023,3,1000,0.974
16.8,2.982,3.066,3,1000,1.0
17.1,2.982,3.043,3,1000,0.939
17.4,2.986,3.035,3,1000,0.984
17.7,3.003,3.039,3,1000,0.99
18.0,3.018,3.034,3,1000,0.943
18.3,2.979,2.826,3,1000,0.996
18.6,3.016,2.978,3,1000,1.013
18.9,2.999,3.016,3,1000,1.021
19.2,2.996,3.009,3,1000,1.031
19.5,3.008,2.806,3,1000,0.959
19.8,3.017,3.009,3,1000,0.97
20.1,3.011,3.016,3,1000,1.014
20.4,3.03,2.786,3,1000,0.935
20.7,2.979,3.031,3,1000,0.995
21.0,3.004,2.814,3,1000,0.992
21.3,3.015,3.048,3,1000,0.999
21.6,2.982,3.016,3,1000,1.009
21.9,3.016,3.03,3,1000,1.001
22.2,2.986,2.796,3,1000,1.037
22.5,2.985,3.032,3,1000,1.035
22.8,2.991,3.008,3,1000,1.034
23.1,3.033,3.016,3,1000,0.995
23.4,3.006,3.024,3,1000,0.944
23.7,3.007,3.008,3,1000,1.03
24.0,3.009,3.025,3,1000,1.025
24.3,3.004,3.009,3,1000,0.994
24.6,2.997,2.837,3,1000,1.014
24.9,2.997,3.018,3,1000,0.97
25.2,2.989,3.027,3,1000,1.037
25.5,3.026,3.018,3,1000,0.992
25.8,2.997,3.01,3,1000,0.976
26.1,3.001,3.029,3,1000,1.005
26.4,2.996,3.044,3,1000,1.003
26.7,2.996,2.83,3,1000,1.067
27.0,3.012,3.02,3,1000,0.975
27.3,3.004,2.782,3,1000,1.003
27.6,3.013,3.022,3,1000,1.02
27.9,3.0,2.98,3,1000,1.04
28.2,2.996,2.823,3,1000,1.001
28.5,2.991,3.023,3,1000,1.052
28.8,3.01,3.016,3,1000,1.005
29.1,2.993,3.007,3,1000,1.027
29.4,3.004,3.035,3,1000,1.033
29.7,3.008,3.021,3,1000,1.008
30.0,3.042,3.018,3,1000,1.031
30.3,2.995,2.974,3,1000,0.991
30.6,3.019,3.021,3,1000,0.982
30.9,3.001,3.014,3,1000,1.025
31.2,3.001,3.042,3,1000,1.006
31.5,3.021,3.02,3,1000,1.029
31.8,3.025,3.045,3,1000,1.013
32.1,3.031,3.013,3,1000,1.015
32.4,3.005,3.006,3,1000,1.032
32.7,2.997,2.977,3,1000,1.02
33.0,2.995,3.034,3,1000,0.977
33.3,3.006,3.037,3,1000,1.008
33.6,3.037,3.039,3,1000,1.017
33.9,2.996,3.048,3,1000,1.017
34.2,3.013,3.022,3,1000,0.976
34.5,3.009,3.014,3,1000,0.97
34.8,3.026,2.827,3,1000,0.989
35.1,3.004,3.042,3,1000,0.986
35.4,3.012,3.049,3,1000,1.017
35.7,3.008,3.028,3,1000,1.04
36.0,2.986,3.038,3,1000,1.02
36.3,2.991,2.998,3,1000,1.014
36.6,3.026,3.045,3,1000,0.992
36.9,2.995,3.022,3,1000,0.968
37.2,2.993,3.019,3,1000,1.027
37.5,3.015,3.032,3,1000,1.011
37.8,2.995,2.992,3,1000,1.008
38.1,3.022,3.047,3,1000,0.962
