Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.107,3.107,3,1000,0.989
0.3,3.077,3.079,3,1000,0.995
0.6,3.067,3.091,3,1000,1.021
0.9,3.082,3.061,3,1000,1.017
1.2,3.082,3.273,3,1000,1.023
1.5,3.035,3.29,3,1000,1.033
1.8,3.058,3.249,3,1000,1.025
2.1,3.065,3.055,3,1000,0.987
2.4,3.037,3.05,3,1000,0.994
2.7,3.046,3.035,3,1000,1.012
3.0,3.009,3.051,3,1000,1.062
3.3,3.015,3.023,3,1000,1.018
3.6,3.028,3.242,3,1000,1.006
3.9,3.027,3.027,3,1000,0.999
4.2,3.032,3.041,3,1000,1.017
4.5,3.005,3.039,3,1000,1.0
4.8,3.001,3.005,3,1000,1.017
5.1,3.025,3.031,3,1000,1.015
5.4,3.017,3.023,3,1000,0.978
5.7,3.026,3.236,3,1000,0.957
6.0,2.994,3.02,3,1000,0.995
6.3,3.0,2.978,3,1000,1.023
6.6,3.02,3.012,3,1000,1.011
6.9,2.992,3.001,3,1000,1.058
7.2,3.0,3.034,3,1000,1.035
7.5,2.994,2.992,3,1000,0.996
7.8,3.007,2.96,3,1000,1.042
8.1,2.992,3.212,3,1000,0.981
8.4,3.024,3.01,3,1000,0.987
8.7,2.99,3.219,3,1000,0.999
9.0,3.002,3.208,3,1000,1.0
9.3,3.005,3.01,3,1000,1.051
9.6,2.995,3.212,3,1000,0.96
9.9,2.977,2.992,3,1000,1.004
10.2,2.982,2.998,3,1000,0.991
10.5,3.005,2.98,3,1000,0.983
10.8,3.005,3.018,3,1000,0.953
11.1,2.987,2.967,3,1000,0.993
11.4,2.998,3.001,3,1000,1.026
11.7,2.991,2.967,3,1000,0.982
12.0,2.971,2.925,3,1000,0.978
12.3,3.003,3.006,3,1000,1.053
12.6,2.992,2.991,3,1000,0.985
12.9,3.004,3.005,3,1000,1.001
13.2,2.992,3.005,3,1000,1.0
13.5,2.995,2.984,3,1000,0.989
13.8,2.989,2.996,3,1000,1.025
14.1,2.983,2.992,3,1000,1.001
14.4,3.012,3.002,3,1000,0.996
14.7,3.013,2.965,3,1000,1.005
15.0,3.007,2.98,3,1000,1.012
15.3,3.0,3.011,3,1000,1.015
15.6,2.995,3.025,3,1000,0.97
15.9,3.009,2.998,3,1000,0.976
16.2,3.014,2.937,3,1000,1.007
16.5,2.981,2.999,3,1000,0.985
16.8,2.996,3.015,3,1000,1.004
17.1,2.998,3.195,3,1000,0.962
17.4,2.977,3.022,3,1000,1.023
17.7,2.999,2.944,3,1000,0.984
18.0,3.007,3.013,3,1000,1.003
18.3,2.997,2.979,3,1000,0.988
18.6,2.99,2.997,3,1000,0.982
18.9,2.994,2.996,3,1000,1.02
19.2,3.005,3.013,3,1000,0.957
19.5,3.002,3.019,3,1000,1.057
19.8,3.013,3.002,3,1000,0.977
20.1,2.998,3.235,3,1000,0.974
20.4,3.027,3.003,3,1000,1.009
20.7,2.984,2.938,3,1000,0.929
21.0,3.011,2.98,3,1000,1.008
21.3,2.999,3.0,3,1000,1.043
21.6,3.017,2.992,3,1000,0.993
21.9,3.015,3.013,3,1000,1.014
22.2,2.984,2.98,3,1000,1.022
22.5,3.023,3.264,3,1000,1.003
22.8,3.019,3.006,3,1000,1.04
23.1,3.017,3.006,3,1000,0.974
23.4,2.999,3.011,3,1000,1.045
23.7,3.015,2.987,3,1000,1.028
24.0,3.005,3.202,3,1000,1.015
24.3,3.015,2.986,3,1000,1.042
24.6,3.007,3.034,3,1000,1.045
24.9,3.005,2.974,3,1000,1.018
25.2,3.019,2.999,3,1000,1.007
25.5,3.04,3.006,3,1000,0.983
25.8,3.028,3.014,3,1000,0.953
26.1,2.979,2.994,3,1000,0.957
26.4,3.005,3.012,3,1000,1.013
26.7,3.007,3.004,3,1000,1.008
27.0,2.981,2.99,3,1000,0.931
27.3,3.01,3.209,3,1000,1.007
27.6,2.996,3.011,3,1000,1.011
27.9,3.008,3.016,3,1000,0.998
28.2,3.004,2.993,3,1000,1.024
28.5,2.992,3.004,3,1000,1.023
28.8,3.0,2.989,3,1000,1.016
29.1,2.988,3.009,3,1000,0.966
29.4,2.969,3.219,3,1000,0.991
29.7,2.973,2.992,3,1000,1.0
30.0,3.004,2.978,3,1000,0.936
30.3,3.008,3.001,3,1000,0.994
30.6,3.001,2.984,3,1000,1.071
30.9,2.983,2.832,3,1000,0.971
31.2,3.003,2.994,3,1000,0.99
31.5,2.976,3.225,3,1000,0.981
31.8,2.999,2.973,3,1000,0.991
32.1,3.01,2.979,3,1000,0.987
32.4,3.033,3.015,3,1000,0.989
32.7,2.994,2.981,3,1000,1.017
33.0,3.011,2.977,3,1000,0.993
33.3,3.004,2.996,3,1000,0.98
33.6,2.988,3.005,3,1000,0.993
33.9,3.022,3.015,3,1000,1.02
34.2,3.0,3.213,3,1000,1.018
34.5,3.018,2.986,3,1000,1.014
34.8,3.001,2.995,3,1000,0.949
35.1,3.007,3.004,3,1000,1.023
35.4,2.995,3.004,3,1000,0.976
35.7,3.024,2.981,3,1000,0.997
36.0,3.034,3.18,3,1000,0.999
36.3,3.011,3.211,3,1000,1.007
36.6,3.003,2.999,3,1000,0.963
36.9,2.999,2.996,3,1000,1.004
37.2,3.003,2.972,3,1000,0.995
37.5,2.994,2.987,3,1000,0.959
37.8,3.017,2.992,3,1000,1.005
38.1,2.988,3.016,3,1000,0.951
38.4,3.017,3.23,3,1000,0.986
38.7,3.0,3.02,3,1000,0.983
39.0,3.026,3.013,3,1000,0.983
39.3,2.977,3.018,3,1000,0.992
39.6,2.996,3.025,3,1000,0.995
39.9,3.022,2.992,3,1000,0.981
40.2,3.001,2.99,3,1000,0.927
40.5,3.015,2.996,3,1000,1.048
40.8,2.998,3.002,3,1000,0.962
41.1,3.005,3.045,3,1000,0.978
41.4,3.01,2.968,3,1000,0.971
41.7,3.011,3.041,3,1000,1.018
42.0,2.979,3.032,3,1000,0.966
42.3,2.987,3.0,3,1000,1.009
42.6,3.008,3.2,3,1000,1.05
42.9,3.034,3.006,3,1000,1.007
43.2,3.021,2.998,3,1000,1.033
43.5,2.999,3.206,3,1000,1.008
43.8,2.988,3.181,3,1000,1.037
44.1,2.997,3.009,3,1000,1.022
44.4,3.012,3.207,3,1000,0.973
44.7,3.004,2.996,3,1000,0.99
45.0,3.02,2.99,3,1000,1.028
45.3,3.01,2.998,3,1000,0.966
45.6,2.992,3.212,3,1000,1.018
45.9,3.011,2.948,3,1000,0.981
46.2,2.99,3.009,3,1000,0.992
46.5,2.998,2.979,3,1000,1.041
46.8,3.025,3.207,3,1000,1.009
47.1,2.979,3.006,3,1000,0.998
47.4,2.998,3.191,3,1000,0.971
47.7,3.007,3.225,3,1000,1.011
48.0,3.016,3.01,3,1000,0.954
48.3,3.002,2.992,3,1000,0.979
48.6,3.008,3.207,3,1000,0.984
48.9,2.995,2.986,3,1000,1.016
49.2,2.98,3.203,3,1000,0.952
49.5,2.976,3.009,3,1000,0.985
49.8,2.994,2.971,3,1000,0.989
50.1,2.998,2.996,3,1000,1.044
50.4,3.012,2.979,3,1000,1.016
50.7,3.007,3.212,3,1000,1.001
51.0,2.997,3.197,3,1000,1.011
51.3,3.018,3.02,3,1000,0.988
51.6,2.998,3.016,3,1000,1.023
51.9,2.989,3.0,3,1000,0.983
52.2,2.989,2.999,3,1000,1.035
52.5,2.979,2.987,3,1000,1.031
52.8,3.017,2.973,3,1000,1.015
53.1,3.005,3.157,3,1000,0.935
53.4,3.018,2.997,3,1000,0.985
53.7,3.028,2.999,3,1000,0.985
54.0,3.02,3.038,3,1000,1.041
54.3,3.002,2.997,3,1000,0.938
54.6,2.999,3.2,3,1000,1.022
54.9,2.989,2.994,3,1000,0.984
55.2,3.017,3.024,3,1000,1.01
55.5,3.005,3.233,3,1000,0.994
55.8,3.016,3.015,3,1000,0.979
56.1,3.015,2.986,3,1000,0.994
56.4,3.015,3.015,3,1000,1.023
56.7,2.996,3.001,3,1000,0.982
57.0,3.009,3.017,3,1000,0.986
57.3,3.012,3.194,3,1000,1.032
57.6,3.006,2.96,3,1000,0.94
57.9,3.008,3.019,3,1000,1.034
58.2,3.023,2.998,3,1000,0.977
58.5,3.017,2.948,3,1000,1.001
58.8,3.016,3.107,3,1000,0.914
59.1,3.008,2.638,3,1000,0.994
59.4,3.016,2.713,3,1000,1.017
59.7,3.021,2.366,3,1000,0.999
60.0,3.028,2.08,3,1000,1.052
60.3,3.018,2.163,3,1000,0.958
60.6,3.051,1.987,3,1000,1.018
60.9,3.007,1.81,3,1000,0.964
61.2,3.025,1.558,3,1000,0.981
61.5,3.012,1.452,3,1000,1.04
61.8,2.998,1.339,3,1000,0.997
62.1,2.999,0.978,3,1000,0.94
62.4,3.022,0.697,3,1000,0.963
62.7,3.0,0.976,3,1000,1.051
63.0,3.021,0.866,3,1000,0.999
63.3,2.991,0.807,3,1000,1.071
63.6,2.995,0.731,3,1000,0.992
63.9,3.035,0.608,3,1000,1.044
64.2,2.968,0.509,3,1000,1.018
64.5,3.008,0.525,3,1000,0.978
