Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.156,1.7,3,1000,1.025
0.3,3.156,3.118,3,1000,1.041
0.6,3.115,3.072,3,1000,1.01
0.9,3.132,3.111,3,1000,1.054
1.2,3.112,3.333,3,1000,1.001
1.5,3.096,3.122,3,1000,0.999
1.8,3.102,3.097,3,1000,1.041
2.1,3.088,3.077,3,1000,1.049
2.4,3.093,3.056,3,1000,1.09
2.7,3.049,3.272,3,1000,1.036
3.0,3.067,3.084,3,1000,1.047
3.3,3.077,3.258,3,1000,1.012
3.6,3.045,3.204,3,1000,0.988
3.9,3.044,3.049,3,1000,1.013
4.2,3.064,3.041,3,1000,1.013
4.5,3.034,3.033,3,1000,1.013
4.8,3.031,3.04,3,1000,1.031
5.1,3.036,3.012,3,1000,0.997
5.4,3.011,3.005,3,1000,1.035
5.7,3.049,3.032,3,1000,1.025
6.0,3.032,3.002,3,1000,1.012
6.3,3.032,3.271,3,1000,0.99
6.6,3.013,3.025,3,1000,1.008
6.9,3.02,3.003,3,1000,1.0
7.2,3.004,3.207,3,1000,1.001
7.5,3.024,3.013,3,1000,0.992
7.8,2.999,3.206,3,1000,0.966
8.1,2.991,2.985,3,1000,0.997
8.4,3.019,2.978,3,1000,1.026
8.7,2.999,3.019,3,1000,0.976
9.0,2.998,3.004,3,1000,0.99
9.3,3.021,3.2,3,1000,1.031
9.6,2.995,3.013,3,1000,0.956
9.9,3.011,3.022,3,1000,1.044
10.2,2.987,2.995,3,1000,1.005
10.5,3.009,3.205,3,1000,0.992
10.8,3.009,3.006,3,1000,0.988
11.1,3.007,3.0,3,1000,0.994
11.4,3.003,2.999,3,1000,1.012
11.7,2.993,2.999,3,1000,1.031
12.0,3.006,2.924,3,1000,1.008
12.3,2.99,2.996,3,1000,1.003
12.6,2.995,3.0,3,1000,1.026
12.9,2.987,2.959,3,1000,0.968
13.2,3.012,2.99,3,1000,1.007
13.5,2.984,2.972,3,1000,0.978
13.8,2.963,3.007,3,1000,1.022
14.1,2.99,3.196,3,1000,1.001
14.4,3.005,2.985,3,1000,1.001
14.7,2.995,3.172,3,1000,0.992
15.0,3.002,2.969,3,1000,1.015
15.3,2.996,3.213,3,1000,1.019
15.6,3.004,3.179,3,1000,1.009
15.9,2.99,3.006,3,1000,0.974
16.2,2.997,2.971,3,1000,0.936
16.5,3.009,2.947,3,1000,1.026
16.8,3.014,3.204,3,1000,0.995
17.1,2.997,2.982,3,1000,0.991
17.4,2.995,3.194,3,1000,0.981
17.7,3.0,2.971,3,1000,1.057
18.0,3.003,2.994,3,1000,1.022
18.3,3.024,2.98,3,1000,1.04
18.6,2.997,3.002,3,1000,0.978
18.9,3.017,2.962,3,1000,0.983
19.2,3.016,2.994,3,1000,1.036
19.5,2.995,3.003,3,1000,0.99
19.8,2.991,3.014,3,1000,1.018
20.1,3.022,2.983,3,1000,0.993
20.4,3.019,3.2,3,1000,0.945
20.7,3.025,2.94,3,1000,1.04
21.0,2.98,3.215,3,1000,1.055
21.3,3.02,3.0,3,1000,0.944
21.6,3.002,2.994,3,1000,0.976
21.9,3.013,2.982,3,1000,1.025
22.2,3.015,3.005,3,1000,1.001
22.5,2.981,3.22,3,1000,1.023
22.8,3.009,3.006,3,1000,0.979
23.1,3.025,2.99,3,1000,0.992
23.4,3.012,2.983,3,1000,1.024
23.7,3.002,2.973,3,1000,0.989
24.0,3.012,2.999,3,1000,0.979
24.3,2.988,2.999,3,1000,0.988
24.6,3.022,3.007,3,1000,0.999
24.9,3.001,2.979,3,1000,1.005
25.2,3.0,3.01,3,1000,1.002
25.5,3.021,2.987,3,1000,1.033
25.8,3.015,2.988,3,1000,0.975
26.1,2.997,2.994,3,1000,0.946
26.4,2.995,2.993,3,1000,1.013
26.7,3.002,2.979,3,1000,1.044
27.0,2.986,2.99,3,1000,1.006
27.3,2.993,3.01,3,1000,1.004
27.6,2.997,3.006,3,1000,1.006
27.9,3.009,3.2,3,1000,1.05
28.2,3.01,3.011,3,1000,0.997
28.5,2.98,2.98,3,1000,0.946
28.8,3.006,2.998,3,1000,1.035
29.1,2.998,2.991,3,1000,1.038
29.4,2.978,2.968,3,1000,1.008
29.7,2.996,2.956,3,1000,0.991
30.0,3.014,2.968,3,1000,1.019
30.3,3.002,2.991,3,1000,1.017
30.6,2.982,3.001,3,1000,1.005
30.9,2.987,2.993,3,1000,1.002
31.2,2.987,2.993,3,1000,1.001
31.5,2.985,2.991,3,1000,0.974
31.8,2.987,3.03,3,1000,1.045
32.1,3.002,2.992,3,1000,0.956
32.4,3.011,2.971,3,1000,0.967
32.7,2.986,2.998,3,1000,1.037
33.0,3.003,2.984,3,1000,1.005
33.3,2.98,2.973,3,1000,0.994
33.6,2.987,2.991,3,1000,0.996
33.9,3.02,2.997,3,1000,0.995
34.2,3.011,3.021,3,1000,1.048
34.5,3.006,3.184,3,1000,0.954
34.8,2.991,2.985,3,1000,0.968
35.1,3.023,3.012,3,1000,0.991
35.4,3.004,3.013,3,1000,0.971
35.7,3.007,2.971,3,1000,0.948
36.0,3.005,3.196,3,1000,0.984
36.3,2.984,2.986,3,1000,1.032
36.6,3.003,2.96,3,1000,1.008
36.9,3.009,2.979,3,1000,0.936
37.2,2.995,2.993,3,1000,1.0
37.5,2.984,2.998,3,1000,0.979
37.8,2.998,2.995,3,1000,0.965
38.1,2.983,3.0,3,1000,1.012
38.4,2.998,2.96,3,1000,0.99
38.7,2.999,2.99,3,1000,0.965
39.0,3.038,2.999,3,1000,1.016
39.3,3.0,2.992,3,1000,1.004
39.6,3.008,3.006,3,1000,1.066
39.9,3.014,3.21,3,1000,1.015
40.2,2.982,3.002,3,1000,0.975
40.5,2.995,3.206,3,1000,0.994
40.8,3.026,3.014,3,1000,1.004
41.1,3.008,3.027,3,1000,0.996
41.4,3.002,2.949,3,1000,1.021
41.7,3.005,3.004,3,1000,1.067
42.0,3.003,3.004,3,1000,0.992
42.3,2.98,2.979,3,1000,0.99
42.6,2.994,2.943,3,1000,0.959
42.9,3.013,3.018,3,1000,0.973
43.2,2.999,2.978,3,1000,1.041
43.5,3.015,2.992,3,1000,0.966
43.8,3.009,3.006,3,1000,0.976
44.1,2.99,3.029,3,1000,1.052
44.4,3.007,3.24,3,1000,1.037
44.7,3.001,2.994,3,1000,0.987
45.0,2.978,3.002,3,1000,1.026
45.3,3.005,2.99,3,1000,1.025
45.6,3.014,2.966,3,1000,1.054
45.9,3.004,2.921,3,1000,0.962
46.2,2.991,2.984,3,1000,1.046
46.5,2.972,2.989,3,1000,0.988
46.8,3.004,2.981,3,1000,0.99
47.1,3.009,2.988,3,1000,0.994
47.4,2.986,2.954,3,1000,1.01
47.7,3.005,2.986,3,1000,0.973
48.0,2.992,2.983,3,1000,1.019
48.3,3.004,2.969,3,1000,0.984
48.6,3.03,3.004,3,1000,0.937
48.9,3.0,3.023,3,1000,1.003
49.2,2.987,2.994,3,1000,0.989
49.5,2.973,2.97,3,1000,1.008
49.8,3.002,3.165,3,1000,0.996
50.1,2.993,3.019,3,1000,0.971
50.4,3.007,2.991,3,1000,0.995
50.7,3.011,2.988,3,1000,1.02
51.0,3.005,2.974,3,1000,0.98
51.3,2.993,2.98,3,1000,1.017
51.6,3.019,3.013,3,1000,0.96
51.9,3.013,2.982,3,1000,0.948
52.2,3.019,2.975,3,1000,1.006
52.5,3.011,2.987,3,1000,0.998
52.8,2.998,2.967,3,1000,1.016
53.1,3.005,2.99,3,1000,0.981
53.4,3.016,3.2,3,1000,0.992
53.7,3.011,3.004,3,1000,1.002
54.0,3.012,2.999,3,1000,1.004
54.3,3.017,3.013,3,1000,1.034
54.6,3.01,2.979,3,1000,0.977
54.9,2.997,2.922,3,1000,0.994
55.2,2.998,2.961,3,1000,0.987
55.5,3.0,2.995,3,1000,0.983
55.8,3.0,3.025,3,1000,0.984
56.1,3.021,3.208,3,1000,1.071
56.4,3.005,2.97,3,1000,1.036
56.7,3.009,2.985,3,1000,0.964
57.0,3.008,2.988,3,1000,0.983
57.3,2.994,3.008,3,1000,1.036
57.6,3.01,2.973,3,1000,1.0
57.9,3.003,2.971,3,1000,1.0
58.2,3.017,2.997,3,1000,1.026
58.5,3.017,2.993,3,1000,1.011
58.8,3.011,2.988,3,1000,0.943
59.1,3.026,3.19,3,1000,1.02
59.4,2.994,2.984,3,1000,0.959
59.7,2.992,2.973,3,1000,0.961
60.0,3.001,3.002,3,1000,0.958
60.3,2.994,2.965,3,1000,1.019
60.6,2.989,2.961,3,1000,0.932
60.9,3.021,2.851,3,1000,1.045
61.2,3.0,2.52,3,1000,0.997
61.5,3.023,2.586,3,1000,0.986
61.8,3.006,2.64,3,1000,0.976
62.1,3.014,2.436,3,1000,1.018
62.4,3.008,1.894,3,1000,0.985
62.7,2.989,1.654,3,1000,1.004
63.0,2.986,1.321,3,1000,0.995
63.3,2.964,1.41,3,1000,1.028
63.6,3.009,1.369,3,1000,0.994
63.9,3.028,1.07,3,1000,1.026
64.2,2.989,1.086,3,1000,0.979
64.5,2.994,0.86,3,1000,1.003
64.8,2.975,0.631,3,1000,1.012
65.1,2.981,0.642,3,1000,1.003
65.4,3.008,0.642,3,1000,1.04
65.7,2.99,0.61,3,1000,0.93
66.0,2.994,0.415,3,1000,0.986
66.3,3.005,0.42,3,1000,0.992
66.6,3.027,0.261,3,1000,0.976
66.9,2.988,0.078,3,1000,1.03
67.2,3.042,0.083,3,1000,0.983
67.5,3.161,0.009,3,1000,0.94
67.8,3.277,0.027,3,1000,0.99
68.1,3.421,0.119,3,1000,1.077
68.4,3.441,0.182,3,1000,1.014
68.7,3.465,0.068,3,1000,1.125
69.0,3.708,0.258,3,1000,1.108
69.3,3.671,0.164,3,1000,1.091
69.6,3.759,0.0,3,1000,1.144
69.9,3.989,0.025,3,1000,1.066
70.2,4.058,0.114,3,1000,1.092
70.5,4.182,0.02,3,1000,1.136
70.8,4.324,0.071,3,1000,1.118
71.1,4.4,0.173,3,1000,1.097
71.4,4.542,0.091,3,1000,1.068
71.7,4.52,0.172,3,1000,1.094
72.0,4.653,0.108,3,1000,1.087
72.3,4.765,0.195,3,1000,1.063
72.6,4.809,0.069,3,1000,1.05
72.9,4.985,0.16,3,1000,1.122
73.2,5.025,0.153,3,1000,1.065
73.5,5.227,0.007,3,1000,1.105
73.8,5.414,0.059,3,1000,1.077
74.1,5.628,0.036,3,1000,1.059
74.4,5.793,0.047,3,1000,1.171
74.7,5.78,0.042,3,1000,1.074
75.0,5.96,0.041,3,1000,1.106
75.3,6.22,0.25,3,1000,1.134
75.6,6.165,0.095,3,1000,1.091
75.9,6.339,0.023,3,1000,1.1
76.2,6.368,0.169,3,1000,1.1
76.5,6.501,0.128,3,1000,1.118
76.8,6.733,0.031,3,1000,1.11
77.1,6.777,0.199,3,1000,1.132
77.4,6.92,0.032,3,1000,1.101
77.7,6.939,0.15,3,1000,1.098
78.0,7.094,0.038,3,1000,1.095
78.3,7.239,0.258,3,1000,1.09
78.6,7.227,0.048,3,1000,1.109
78.9,7.374,0.137,3,1000,1.119
79.2,7.454,0.173,3,1000,1.097
79.5,7.526,0.0,3,1000,1.065
79.8,7.654,0.164,3,1000,1.116
80.1,7.667,0.023,3,1000,1.116
80.4,7.859,0.18,3,1000,1.105
80.7,7.942,0.051,3,1000,1.161
81.0,8.134,0.309,3,1000,1.22
81.3,8.125,0.113,3,1000,1.097
81.6,8.253,0.1,3,1000,1.095
81.9,8.292,0.059,3,1000,1.089
82.2,8.469,0.087,3,1000,1.139
82.5,8.445,0.089,3,1000,1.093
82.8,8.588,0.012,3,1000,1.115
83.1,8.716,0.111,3,1000,1.122
83.4,8.778,0.05,3,1000,1.119
83.7,8.999,0.015,3,1000,1.108
84.0,9.09,0.241,3,1000,1.085
84.3,9.114,0.028,3,1000,1.091
84.6,9.277,0.042,3,1000,1.072
84.9,9.361,0.272,3,1000,1.084
85.2,9.471,0.094,3,1000,1.074
85.5,9.539,0.084,3,1000,1.121
85.8,9.626,0.037,3,1000,1.168
86.1,9.924,0.287,3,1000,1.074
86.4,9.918,0.169,3,1000,1.135
86.7,10.047,0.037,3,1000,1.13
87.0,10.269,0.474,3,1000,1.086
87.3,10.237,0.128,3,1000,1.089
87.6,10.223,0.183,3,1000,1.098
87.9,10.29,0.055,3,1000,1.111
88.2,10.535,0.007,3,1000,1.104
88.5,10.76,0.458,3,1000,1.091
88.8,10.735,0.217,3,1000,1.078
89.1,10.874,0.031,3,1000,1.056
89.4,10.852,0.169,3,1000,1.054
89.7,11.042,0.134,3,1000,1.083
90.0,11.033,0.133,3,1000,1.136
90.3,11.133,0.068,3,1000,1.114
90.6,11.301,0.082,3,1000,1.092
90.9,11.356,0.072,3,1000,1.091
91.2,11.533,0.018,3,1000,1.088
91.5,11.617,0.258,3,1000,1.114
91.8,11.625,0.001,3,1000,1.068
92.1,11.745,0.087,3,1000,1.075
92.4,11.827,0.144,3,1000,1.083
92.7,11.944,0.118,3,1000,1.062
93.0,11.992,0.145,3,1000,1.122
93.3,12.131,0.024,3,1000,1.097
93.6,12.298,0.183,3,1000,1.093
93.9,12.268,0.04,3,1000,1.11
94.2,12.484,0.084,3,1000,1.068
94.5,12.545,0.075,3,1000,1.119
94.8,12.626,0.067,3,1000,1.096
95.1,12.847,0.219,3,1000,1.114
95.4,12.805,0.101,3,1000,1.094
95.7,12.95,0.084,3,1000,1.118
96.0,13.014,0.152,3,1000,1.096
96.3,13.087,0.021,3,1000,1.07
96.6,13.193,0.196,3,1000,1.132
96.9,13.367,0.009,3,1000,1.107
97.2,13.46,0.16,3,1000,1.083
97.5,13.568,0.01,3,1000,1.098
97.8,13.682,0.167,3,1000,1.064
98.1,13.768,0.0,3,1000,1.111
98.4,13.908,0.036,3,1000,1.115
98.7,13.928,0.075,3,1000,1.156
99.0,14.116,0.111,3,1000,1.121
99.3,14.187,0.291,3,1000,1.046
99.6,14.201,0.011,3,1000,1.081
99.9,14.306,0.114,3,1000,1.154
100.2,14.36,0.05,3,1000,1.13
100.5,14.606,0.023,3,1000,1.093
100.8,14.717,0.351,3,1000,1.112
101.1,14.733,0.084,3,1000,1.123
101.4,14.881,0.173,3,1000,1.111
101.7,14.852,0.058,3,1000,1.089
102.0,15.011,0.084,3,1000,1.101
102.3,15.016,0.016,3,1000,1.103
102.6,15.295,0.003,3,1000,1.084
102.9,15.584,0.0,3,1000,1.123
103.2,15.88,0.0,3,1000,1.093
103.5,4.362,0.348,3,1000,1.097
103.8,4.477,0.012,3,1000,1.08
104.1,4.495,0.272,3,1000,1.123
104.4,4.535,0.042,3,1000,1.092
104.7,4.836,0.027,3,1000,1.11
105.0,4.943,0.285,3,1000,1.104
105.3,4.912,0.05,3,1000,1.091
105.6,4.951,0.041,3,1000,1.127
105.9,5.078,0.008,3,1000,1.143
106.2,5.212,0.036,3,1000,1.008
106.5,5.224,0.172,3,1000,1.06
106.8,5.454,0.05,3,1000,1.064
107.1,5.535,0.151,3,1000,1.081
107.4,5.595,0.052,3,1000,1.136
107.7,5.719,0.041,3,1000,1.059
108.0,5.765,0.085,3,1000,1.049
108.3,5.906,0.069,3,1000,1.068
108.6,6.053,0.138,3,1000,1.103
108.9,6.133,0.02,3,1000,1.134
109.2,6.29,0.066,3,1000,1.058
109.5,6.473,0.076,3,1000,1.103
109.8,6.507,0.015,3,1000,1.089
110.1,6.623,0.03,3,1000,1.089
110.4,6.869,0.205,3,1000,1.141
110.7,6.834,0.111,3,1000,1.118
111.0,6.96,0.003,3,1000,1.094
111.3,7.049,0.199,3,1000,1.117
111.6,7.175,0.031,3,1000,1.136
111.9,7.346,0.252,3,1000,1.059
112.2,7.341,0.049,3,1000,1.11
112.5,7.532,0.157,3,1000,1.127
112.8,7.548,0.111,3,1000,1.078
113.1,7.705,0.0,3,1000,1.115
113.4,7.935,0.184,3,1000,1.145
113.7,7.901,0.124,3,1000,1.094
114.0,8.037,0.065,3,1000,1.117
114.3,8.245,0.333,3,1000,1.114
114.6,8.209,0.068,3,1000,1.104
114.9,8.37,0.08,3,1000,1.056
115.2,8.592,0.08,3,1000,1.097
115.5,8.56,0.157,3,1000,1.117
115.8,8.731,0.035,3,1000,1.103
116.1,8.875,0.1,3,1000,1.056
116.4,8.863,0.068,3,1000,1.104
