Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.2,3.207,3,1000,1.004
0.3,3.17,2.969,3,1000,1.055
0.6,3.17,3.148,3,1000,0.97
0.9,3.189,3.129,3,1000,1.061
1.2,3.153,3.135,3,1000,1.004
1.5,3.123,3.164,3,1000,1.015
1.8,3.12,3.116,3,1000,1.052
2.1,3.098,3.114,3,1000,1.089
2.4,3.096,3.033,3,1000,1.003
2.7,3.106,3.092,3,1000,0.962
3.0,3.072,3.051,3,1000,1.067
3.3,3.081,3.057,3,1000,1.041
3.6,3.064,3.047,3,1000,1.038
3.9,3.064,3.075,3,1000,0.989
4.2,3.035,3.08,3,1000,1.026
4.5,3.043,3.046,3,1000,0.998
4.8,3.056,3.043,3,1000,1.04
5.1,3.057,2.984,3,1000,1.028
5.4,3.041,3.055,3,1000,1.039
5.7,3.021,2.784,3,1000,1.102
6.0,3.035,3.043,3,1000,1.023
6.3,3.027,3.009,3,1000,0.997
6.6,3.048,3.036,3,1000,0.935
6.9,3.023,3.018,3,1000,0.984
7.2,3.021,3.011,3,1000,0.972
7.5,3.005,3.035,3,1000,0.961
7.8,3.039,3.005,3,1000,1.031
8.1,3.005,3.025,3,1000,0.983
8.4,3.003,3.009,3,1000,1.058
8.7,3.007,3.024,3,1000,1.014
9.0,3.002,3.012,3,1000,1.051
9.3,2.997,2.799,3,1000,0.979
9.6,2.995,2.784,3,1000,1.033
9.9,2.995,3.012,3,1000,0.972
10.2,3.016,3.016,3,1000,1.001
10.5,3.014,3.012,3,1000,0.985
10.8,3.009,2.99,3,1000,0.998
11.1,3.014,3.017,3,1000,0.988
11.4,2.981,3.004,3,1000,0.954
11.7,2.998,2.962,3,1000,1.003
12.0,2.988,2.991,3,1000,1.001
12.3,2.988,2.991,3,1000,1.03
12.6,3.004,2.79,3,1000,0.99
12.9,2.983,2.989,3,1000,1.007
13.2,2.976,3.005,3,1000,0.993
13.5,2.994,2.994,3,1000,1.015
13.8,2.99,3.0,3,1000,1.004
14.1,3.001,3.008,3,1000,1.008
14.4,2.988,2.971,3,1000,0.999
14.7,2.999,3.007,3,1000,0.964
15.0,3.018,2.948,3,1000,0.966
15.3,2.994,3.001,3,1000,1.039
15.6,2.976,2.765,3,1000,1.021
15.9,2.989,2.999,3,1000,1.011
16.2,3.003,2.791,3,1000,0.997
16.5,2.993,2.963,3,1000,1.007
16.8,2.97,3.005,3,1000,1.012
