Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.115,3.129,3,1000,1.033
0.3,3.106,3.103,3,1000,0.999
0.6,3.084,3.343,3,1000,0.977
0.9,3.071,3.09,3,1000,1.031
1.2,3.082,3.06,3,1000,0.995
1.5,3.068,3.078,3,1000,1.045
1.8,3.052,3.092,3,1000,0.988
2.1,3.068,3.054,3,1000,1.016
2.4,3.052,3.005,3,1000,1.042
2.7,3.042,3.055,3,1000,0.976
3.0,3.041,3.241,3,1000,1.062
3.3,3.015,3.03,3,1000,1.017
3.6,3.016,3.051,3,1000,1.008
3.9,3.034,3.043,3,1000,0.98
4.2,3.033,3.272,3,1000,0.995
4.5,3.019,3.045,3,1000,1.027
4.8,3.018,3.036,3,1000,1.04
5.1,3.035,2.974,3,1000,0.984
5.4,3.018,3.019,3,1000,1.025
5.7,3.002,3.029,3,1000,0.96
6.0,3.03,2.946,3,1000,1.025
6.3,2.999,3.031,3,1000,1.029
6.6,3.022,3.013,3,1000,1.046
6.9,3.014,3.03,3,1000,0.999
7.2,3.008,2.987,3,1000,0.964
7.5,2.988,3.008,3,1000,1.012
7.8,2.984,3.026,3,1000,0.994
8.1,3.019,3.016,3,1000,0.999
8.4,2.986,3.01,3,1000,0.982
8.7,3.005,3.012,3,1000,0.919
9.0,2.989,3.022,3,1000,1.019
9.3,2.998,3.006,3,1000,1.02
9.6,3.0,3.011,3,1000,0.977
9.9,2.988,3.002,3,1000,1.009
10.2,3.005,3.015,3,1000,1.01
10.5,3.014,3.019,3,1000,1.012
10.8,2.976,3.008,3,1000,0.978
11.1,2.988,3.013,3,1000,0.967
11.4,3.005,3.232,3,1000,1.029
11.7,2.99,2.996,3,1000,1.021
12.0,2.994,3.225,3,1000,1.032
12.3,3.002,3.223,3,1000,1.044
12.6,2.976,3.003,3,1000,1.008
12.9,2.992,3.006,3,1000,1.025
13.2,2.989,3.025,3,1000,0.995
13.5,3.005,2.993,3,1000,0.969
13.8,3.021,3.031,3,1000,0.993
14.1,3.006,3.015,3,1000,0.998
14.4,3.006,2.94,3,1000,1.051
14.7,2.978,3.201,3,1000,0.98
15.0,3.001,3.004,3,1000,0.994
15.3,3.013,3.019,3,1000,0.997
15.6,3.017,3.008,3,1000,1.003
15.9,2.977,3.167,3,1000,1.004
16.2,3.001,3.021,3,1000,1.017
16.5,2.996,3.018,3,1000,1.001
16.8,2.996,3.011,3,1000,1.031
17.1,2.993,3.213,3,1000,0.977
17.4,3.011,2.998,3,1000,1.0
17.7,3.002,2.993,3,1000,1.026
18.0,3.015,2.976,3,1000,0.977
18.3,2.988,3.021,3,1000,0.954
18.6,2.979,3.01,3,1000,1.02
18.9,2.998,3.015,3,1000,1.021
19.2,3.04,3.004,3,1000,1.034
19.5,2.981,2.984,3,1000,0.949
19.8,3.007,2.961,3,1000,0.981
20.1,2.978,3.021,3,1000,0.986
20.4,2.985,3.042,3,1000,1.01
20.7,2.995,3.002,3,1000,1.039
21.0,2.975,3.004,3,1000,1.047
21.3,2.992,3.224,3,1000,1.006
21.6,2.975,3.01,3,1000,1.018
21.9,2.991,2.982,3,1000,1.021
22.2,2.995,3.206,3,1000,0.99
22.5,3.016,2.966,3,1000,1.007
22.8,2.966,3.02,3,1000,0.97
23.1,2.986,2.984,3,1000,0.973
23.4,3.016,3.003,3,1000,0.992
23.7,3.006,3.205,3,1000,1.021
24.0,2.979,2.952,3,1000,1.011
24.3,3.002,3.004,3,1000,0.998
24.6,3.005,3.01,3,1000,1.018
24.9,2.994,3.021,3,1000,0.988
25.2,2.985,2.991,3,1000,0.965
25.5,2.986,3.006,3,1000,1.07
25.8,2.989,2.995,3,1000,0.95
26.1,2.972,2.945,3,1000,1.023
26.4,2.989,2.998,3,1000,1.034
26.7,2.997,3.232,3,1000,1.01
27.0,2.964,3.0,3,1000,0.973
27.3,2.988,3.184,3,1000,1.016
27.6,2.964,3.017,3,1000,0.983
27.9,2.969,3.001,3,1000,1.042
28.2,2.969,2.997,3,1000,0.994
28.5,2.982,2.956,3,1000,1.025
28.8,2.986,3.193,3,1000,0.946
29.1,2.982,2.996,3,1000,0.989
29.4,2.999,2.977,3,1000,0.97
29.7,2.989,2.99,3,1000,0.981
30.0,2.98,2.99,3,1000,0.987
30.3,2.981,2.962,3,1000,1.032
30.6,2.954,2.906,3,1000,1.046
30.9,2.98,2.985,3,1000,0.978
31.2,2.995,2.989,3,1000,1.002
31.5,2.995,3.013,3,1000,0.963
31.8,2.994,3.207,3,1000,0.993
32.1,3.005,2.932,3,1000,1.05
32.4,2.999,3.238,3,1000,0.966
32.7,2.976,3.02,3,1000,0.969
33.0,3.002,3.214,3,1000,1.018
33.3,3.029,2.974,3,1000,0.97
33.6,3.015,3.042,3,1000,1.011
33.9,2.998,3.212,3,1000,0.995
34.2,3.006,3.007,3,1000,0.964
34.5,2.981,3.03,3,1000,1.028
34.8,3.009,3.256,3,1000,1.039
35.1,3.031,3.017,3,1000,1.008
35.4,2.992,3.233,3,1000,0.99
35.7,3.001,3.028,3,1000,1.011
36.0,3.003,3.235,3,1000,0.99
36.3,2.995,3.033,3,1000,1.025
36.6,2.987,3.02,3,1000,1.048
36.9,3.005,3.201,3,1000,0.996
37.2,2.987,2.983,3,1000,0.962
37.5,2.996,2.998,3,1000,0.989
37.8,2.986,3.016,3,1000,1.025
38.1,3.015,2.987,3,1000,1.002
38.4,2.981,3.013,3,1000,1.063
38.7,3.003,3.011,3,1000,0.974
39.0,2.993,2.982,3,1000,1.002
39.3,2.997,3.011,3,1000,0.973
39.6,2.981,2.999,3,1000,0.988
39.9,2.997,3.01,3,1000,1.037
40.2,3.0,3.003,3,1000,0.998
40.5,2.993,2.912,3,1000,0.974
40.8,2.979,2.988,3,1000,0.973
41.1,2.951,3.011,3,1000,1.05
41.4,2.997,2.986,3,1000,0.959
41.7,3.0,2.982,3,1000,0.993
42.0,2.998,2.961,3,1000,0.977
42.3,2.992,3.007,3,1000,1.027
42.6,2.978,3.218,3,1000,0.968
42.9,2.991,2.979,3,1000,0.982
43.2,3.012,3.026,3,1000,1.015
43.5,2.984,2.995,3,1000,0.981
43.8,3.007,2.998,3,1000,0.999
44.1,3.004,3.019,3,1000,1.016
44.4,2.979,3.006,3,1000,0.981
44.7,3.007,2.999,3,1000,1.037
45.0,2.99,3.199,3,1000,1.019
45.3,3.015,3.231,3,1000,0.974
45.6,3.014,3.009,3,1000,0.999
45.9,2.991,3.002,3,1000,0.989
46.2,3.013,3.012,3,1000,0.985
46.5,2.982,2.944,3,1000,0.926
46.8,3.004,2.995,3,1000,0.984
47.1,3.024,2.966,3,1000,1.018
47.4,2.994,3.008,3,1000,1.011
47.7,2.989,2.992,3,1000,0.987
48.0,2.974,2.991,3,1000,0.976
48.3,2.993,2.997,3,1000,0.975
48.6,2.977,3.01,3,1000,0.962
48.9,2.972,3.186,3,1000,1.006
49.2,2.988,3.006,3,1000,1.021
49.5,2.99,2.928,3,1000,1.003
49.8,3.003,3.0,3,1000,0.948
50.1,3.007,3.224,3,1000,1.024
50.4,2.991,3.034,3,1000,1.034
50.7,3.028,2.993,3,1000,1.017
51.0,2.998,2.962,3,1000,1.012
51.3,2.974,3.188,3,1000,0.979
51.6,2.974,3.015,3,1000,1.015
51.9,2.988,2.989,3,1000,1.052
52.2,2.987,2.99,3,1000,0.957
52.5,2.972,2.988,3,1000,1.026
52.8,3.013,2.995,3,1000,0.977
53.1,2.99,2.944,3,1000,1.002
53.4,2.977,3.039,3,1000,0.997
53.7,2.968,2.996,3,1000,0.992
54.0,2.97,2.979,3,1000,1.011
54.3,2.988,2.978,3,1000,1.01
54.6,2.993,3.238,3,1000,1.015
54.9,2.987,2.953,3,1000,0.977
55.2,2.98,3.009,3,1000,1.025
55.5,3.001,2.922,3,1000,0.979
55.8,2.982,2.992,3,1000,0.994
56.1,2.999,3.222,3,1000,0.993
56.4,2.986,3.006,3,1000,0.943
56.7,2.969,2.975,3,1000,1.014
57.0,2.999,2.998,3,1000,1.0
57.3,3.0,2.999,3,1000,0.987
57.6,2.993,2.987,3,1000,0.987
57.9,3.001,3.012,3,1000,0.996
58.2,2.993,2.994,3,1000,1.005
58.5,2.989,2.964,3,1000,0.972
58.8,3.001,3.232,3,1000,0.986
59.1,2.992,3.002,3,1000,1.046
59.4,3.061,3.014,3,1000,1.029
59.7,3.01,3.026,3,1000,1.01
60.0,3.011,3.001,3,1000,0.943
60.3,3.034,2.997,3,1000,0.98
60.6,2.997,3.016,3,1000,1.023
60.9,3.011,2.952,3,1000,1.027
61.2,3.009,2.932,3,1000,1.037
61.5,2.994,2.915,3,1000,1.037
61.8,3.009,2.597,3,1000,0.97
62.1,2.99,2.728,3,1000,1.01
62.4,3.01,3.019,3,1000,0.97
62.7,3.031,2.999,3,1000,0.966
63.0,2.971,2.765,3,1000,1.032
63.3,2.989,2.827,3,1000,1.027
63.6,2.976,2.967,3,1000,1.043
63.9,3.005,2.956,3,1000,1.029
64.2,3.005,2.818,3,1000,0.967
64.5,3.014,2.908,3,1000,1.056
64.8,2.994,2.385,3,1000,1.017
65.1,2.982,2.622,3,1000,1.0
65.4,2.999,2.347,3,1000,1.001
65.7,2.996,2.492,3,1000,1.01
66.0,2.979,2.304,3,1000,1.009
66.3,2.996,2.373,3,1000,1.028
66.6,2.994,2.245,3,1000,1.003
66.9,3.012,2.279,3,1000,1.02
67.2,2.999,2.158,3,1000,1.024
67.5,2.987,1.911,3,1000,0.981
67.8,2.99,1.918,3,1000,0.996
68.1,2.986,1.801,3,1000,1.04
68.4,2.999,1.674,3,1000,1.036
68.7,2.995,1.574,3,1000,1.027
69.0,3.011,1.468,3,1000,1.032
69.3,3.005,1.423,3,1000,1.046
69.6,2.998,1.303,3,1000,1.02
69.9,2.984,1.191,3,1000,0.981
70.2,2.991,1.062,3,1000,0.963
70.5,2.98,0.884,3,1000,0.985
70.8,2.996,0.841,3,1000,1.017
71.1,3.034,0.726,3,1000,1.036
71.4,3.004,0.788,3,1000,1.016
71.7,2.972,0.64,3,1000,1.0
72.0,2.986,0.384,3,1000,1.014
72.3,3.011,0.347,3,1000,1.018
72.6,2.995,0.284,3,1000,1.001
72.9,2.969,0.347,3,1000,0.993
73.2,2.986,0.467,3,1000,1.033
73.5,3.009,0.151,3,1000,0.993
73.8,3.17,0.014,2,600,1.016
74.1,3.482,0.009,2,600,1.01
74.4,3.784,0.0,1,200,1.01
74.7,3.897,0.398,3,1000,1.118
75.0,3.877,0.001,3,1000,0.971
75.3,4.162,0.0,3,1000,0.923
75.6,4.453,0.114,2,600,1.029
75.9,4.612,0.416,2,600,1.093
76.2,4.575,0.551,2,600,1.086
76.5,4.572,0.223,2,600,1.096
76.8,4.677,0.04,2,600,1.097
77.1,5.012,0.01,2,600,1.113
77.4,5.315,0.0,2,600,1.127
77.7,5.609,0.121,1,200,1.013
78.0,5.548,0.246,3,1000,1.065
78.3,5.704,0.019,3,1000,1.147
78.6,6.251,0.045,2,600,0.998
78.9,6.245,0.196,1,200,1.15
79.2,6.225,0.462,3,1000,1.026
79.5,6.194,0.048,3,1000,1.113
79.8,6.495,0.032,2,600,1.083
80.1,6.778,0.004,2,600,1.078
80.4,7.098,0.042,1,200,1.038
80.7,7.117,0.38,3,1000,1.122
81.0,7.196,0.0,3,1000,0.954
81.3,7.475,0.002,3,1000,0.959
81.6,7.803,0.0,2,600,0.987
81.9,7.988,0.193,2,600,1.05
82.2,7.939,0.253,1,200,1.114
82.5,7.94,0.34,3,1000,1.083
82.8,7.987,0.006,3,1000,1.096
83.1,8.28,0.017,2,600,1.087
83.4,8.601,0.03,2,600,1.076
83.7,8.874,0.0,2,600,1.131
84.0,9.139,0.291,2,600,1.039
84.3,9.158,0.336,2,600,1.122
84.6,9.293,0.0,3,1000,0.985
84.9,9.577,0.0,3,1000,0.958
85.2,9.81,0.165,2,600,0.994
85.5,9.784,0.374,1,200,1.099
85.8,9.752,0.319,3,1000,1.088
86.1,9.798,0.023,3,1000,1.095
86.4,10.084,0.026,2,600,1.06
86.7,10.391,0.0,2,600,1.066
87.0,10.644,0.318,1,200,0.993
87.3,10.595,0.005,3,1000,1.075
87.6,10.797,0.0,3,1000,0.982
87.9,11.095,0.0,3,1000,0.985
88.2,11.366,0.147,2,600,1.109
88.5,11.37,0.129,2,600,1.118
88.8,11.347,0.0,3,1000,1.077
89.1,11.608,0.0,3,1000,1.073
89.4,11.901,0.014,2,600,1.089
89.7,11.975,0.115,2,600,1.116
90.0,12.023,0.254,1,200,1.092
90.3,12.005,0.276,1,200,1.081
90.6,12.11,0.03,1,200,1.101
90.9,12.687,0.0,1,200,1.11
91.2,13.002,0.03,1,200,1.134
91.5,12.985,0.248,1,200,1.121
91.8,13.107,0.013,1,200,1.073
92.1,13.399,0.021,1,200,1.083
92.4,13.602,0.206,1,200,1.038
92.7,13.61,0.215,1,200,1.129
93.0,13.55,0.385,3,1000,1.078
93.3,13.595,0.01,3,1000,1.119
93.6,13.922,0.0,3,1000,1.12
93.9,14.207,0.039,2,600,1.084
94.2,14.297,0.155,2,600,1.144
94.5,14.256,0.346,1,200,1.138
94.8,14.241,0.01,3,1000,1.085
95.1,14.379,0.0,3,1000,0.97
95.4,14.69,0.0,2,600,1.047
95.7,14.796,0.53,3,1000,1.126
96.0,14.773,0.216,3,1000,1.11
96.3,14.895,0.025,3,1000,1.108
96.6,15.64,0.0,2,600,1.092
96.9,15.933,0.021,2,600,1.13
97.2,3.735,0.487,3,1000,1.108
97.5,3.699,0.18,3,1000,1.095
97.8,3.892,0.062,3,1000,1.1
98.1,4.192,0.016,2,600,1.064
98.4,4.356,0.176,2,600,1.123
98.7,4.317,0.553,3,1000,1.09
99.0,4.29,0.234,3,1000,1.106
99.3,4.378,0.044,3,1000,1.128
99.6,4.66,0.009,2,600,1.109
99.9,4.984,0.0,2,600,1.083
100.2,5.197,0.462,3,1000,1.093
100.5,5.164,0.0,3,1000,1.1
100.8,5.41,0.022,3,1000,0.996
101.1,5.694,0.034,2,600,0.964
101.4,5.722,0.25,1,200,1.065
101.7,5.696,0.489,3,1000,1.079
102.0,5.681,0.0,3,1000,1.023
102.3,5.898,0.002,3,1000,0.966
102.6,6.174,0.031,2,600,0.958
102.9,6.462,0.128,2,600,1.138
103.2,6.465,0.205,2,600,1.133
103.5,6.484,0.459,3,1000,1.033
103.8,6.459,0.168,3,1000,1.118
104.1,6.695,0.05,3,1000,1.068
104.4,7.0,0.018,2,600,1.098
104.7,7.29,0.0,2,600,1.13
105.0,7.478,0.44,3,1000,1.006
105.3,7.469,0.04,3,1000,1.071
105.6,7.693,0.0,3,1000,1.045
105.9,7.986,0.0,2,600,1.088
106.2,8.257,0.113,2,600,0.951
106.5,8.413,0.009,2,600,0.983
106.8,8.416,0.157,1,200,1.077
107.1,8.51,0.351,3,1000,1.136
107.4,8.516,0.035,3,1000,1.138
107.7,8.825,0.034,3,1000,1.089
108.0,9.086,0.024,3,1000,1.09
108.3,9.415,0.054,3,1000,1.082
108.6,9.701,0.063,2,600,1.105
108.9,10.027,0.008,2,600,1.075
109.2,10.286,0.047,1,200,1.143
109.5,10.339,0.365,3,1000,1.162
109.8,10.389,0.004,3,1000,0.982
110.1,10.683,0.0,3,1000,1.014
110.4,10.969,0.138,2,600,1.037
110.7,10.948,0.201,1,200,1.079
111.0,10.925,0.415,3,1000,1.094
111.3,10.891,0.117,3,1000,1.126
111.6,11.217,0.034,2,600,1.1
111.9,11.491,0.0,2,600,1.12
112.2,11.78,0.031,1,200,1.143
112.5,11.812,0.358,3,1000,1.082
112.8,11.898,0.0,3,1000,0.951
113.1,12.169,0.033,2,600,1.037
113.4,12.408,0.024,2,600,1.056
113.7,12.442,0.306,1,200,1.119
114.0,12.386,0.386,3,1000,1.141
114.3,12.389,0.037,3,1000,1.091
114.6,12.709,0.029,2,600,1.071
114.9,13.011,0.01,2,600,1.109
115.2,13.298,0.372,1,200,1.058
115.5,13.238,0.287,3,1000,1.12
115.8,13.363,0.032,2,600,1.072
116.1,13.677,0.015,1,200,1.09
116.4,13.802,0.395,3,1000,1.122
116.7,14.102,0.014,3,1000,1.089
117.0,14.375,0.025,3,1000,1.122
117.3,14.679,0.042,2,600,1.045
117.6,15.001,0.029,1,200,1.061
117.9,14.782,0.0,3,1000,1.0
118.2,15.061,0.026,3,1000,1.037
118.5,15.351,0.0,3,1000,1.021
118.8,15.979,0.017,3,1000,1.014
119.1,16.261,0.0,3,1000,0.972
119.4,16.562,0.0,3,1000,1.021
119.7,16.896,0.006,3,1000,0.982
120.0,5.484,0.482,2,600,0.998
120.3,5.463,0.381,2,600,1.125
120.6,5.466,0.333,1,200,1.105
120.9,5.444,0.441,3,1000,1.096
121.2,5.416,0.073,3,1000,1.092
121.5,5.662,0.017,3,1000,1.076
121.8,6.006,0.0,2,600,1.128
122.1,6.285,0.011,2,600,1.139
122.4,6.586,0.041,2,600,1.133
122.7,6.862,0.005,1,200,1.098
123.0,6.954,0.303,3,1000,1.073
123.3,6.996,0.0,3,1000,1.122
123.6,7.272,0.01,3,1000,1.132
123.9,7.565,0.017,2,600,1.127
124.2,7.839,0.03,2,600,1.006
124.5,8.181,0.323,2,600,0.995
124.8,8.173,0.253,1,200,1.116
125.1,8.132,0.463,3,1000,1.119
125.4,8.106,0.179,3,1000,1.026
125.7,8.388,0.036,3,1000,1.085
126.0,8.678,0.004,2,600,1.086
126.3,8.968,0.0,2,600,1.108
126.6,9.312,0.0,2,600,1.2
126.9,9.553,0.217,1,200,1.009
127.2,9.512,0.332,1,200,1.092
127.5,9.481,0.525,3,1000,1.126
127.8,9.483,0.031,3,1000,1.083
128.1,9.772,0.035,3,1000,1.092
128.4,10.104,0.009,3,1000,1.069
128.7,10.398,0.018,2,600,1.17
129.0,10.675,0.0,2,600,1.04
129.3,10.991,0.031,1,200,1.095
129.6,11.151,0.139,1,200,0.983
129.9,11.19,0.018,3,1000,1.133
130.2,11.392,0.0,3,1000,1.089
130.5,11.671,0.0,3,1000,1.094
130.8,11.999,0.026,3,1000,1.1
131.1,12.273,0.105,2,600,1.153
131.4,12.462,0.048,2,600,1.129
131.7,12.531,0.242,1,200,1.063
132.0,12.491,0.002,3,1000,1.065
132.3,12.788,0.004,3,1000,1.068
132.6,13.114,0.005,3,1000,1.082
132.9,13.385,0.017,2,600,1.083
133.2,13.583,0.018,2,600,1.151
133.5,13.746,0.178,2,600,1.115
133.8,13.794,0.021,1,200,1.061
134.1,13.873,0.43,3,1000,1.072
