Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.156,2.597,3,1000,1.008
0.3,3.145,3.145,3,1000,1.072
0.6,3.145,3.131,3,1000,1.018
0.9,3.124,3.141,3,1000,1.018
1.2,3.1,3.132,3,1000,0.967
1.5,3.124,3.095,3,1000,1.015
1.8,3.119,3.102,3,1000,1.004
2.1,3.082,3.104,3,1000,1.04
2.4,3.075,3.291,3,1000,1.009
2.7,3.06,3.057,3,1000,1.037
3.0,3.07,3.057,3,1000,1.028
3.3,3.045,3.06,3,1000,0.984
3.6,3.042,3.081,3,1000,1.021
3.9,3.03,3.053,3,1000,1.026
4.2,3.026,3.07,3,1000,1.028
4.5,3.039,3.037,3,1000,1.021
4.8,3.047,3.063,3,1000,1.0
5.1,3.018,3.072,3,1000,1.03
5.4,3.017,3.037,3,1000,0.977
5.7,3.057,3.246,3,1000,1.023
6.0,3.031,2.99,3,1000,1.003
6.3,3.025,3.046,3,1000,1.037
6.6,3.022,2.999,3,1000,1.103
6.9,3.017,3.043,3,1000,1.015
7.2,3.03,3.01,3,1000,1.029
7.5,3.002,3.218,3,1000,1.019
7.8,3.022,3.037,3,1000,0.976
8.1,2.995,3.014,3,1000,1.002
8.4,3.008,3.007,3,1000,1.02
8.7,3.01,3.006,3,1000,1.001
9.0,3.018,2.981,3,1000,0.982
9.3,3.006,3.021,3,1000,0.984
9.6,2.976,3.028,3,1000,0.994
9.9,3.007,3.028,3,1000,1.016
10.2,2.99,3.027,3,1000,1.0
10.5,3.0,2.976,3,1000,0.994
10.8,2.971,3.206,3,1000,1.008
11.1,2.979,3.004,3,1000,1.034
11.4,2.996,3.01,3,1000,0.991
11.7,3.002,3.006,3,1000,0.987
12.0,2.994,2.975,3,1000,1.011
12.3,2.987,3.188,3,1000,0.988
12.6,3.011,3.232,3,1000,0.964
12.9,2.971,3.013,3,1000,0.992
13.2,2.986,2.995,3,1000,0.991
13.5,2.993,2.987,3,1000,1.024
13.8,3.015,2.999,3,1000,0.997
14.1,3.005,2.981,3,1000,1.012
14.4,2.975,2.98,3,1000,0.987
14.7,2.991,2.987,3,1000,1.026
15.0,3.006,2.999,3,1000,0.995
15.3,2.99,2.99,3,1000,0.993
15.6,3.005,2.981,3,1000,1.009
15.9,3.002,3.0,3,1000,0.944
16.2,2.99,2.963,3,1000,1.025
16.5,2.994,2.967,3,1000,1.004
16.8,2.987,2.961,3,1000,1.031
17.1,3.008,2.988,3,1000,1.041
17.4,3.02,2.983,3,1000,1.01
17.7,2.978,2.967,3,1000,0.958
18.0,3.031,2.994,3,1000,1.006
18.3,2.995,2.998,3,1000,1.002
18.6,2.977,2.993,3,1000,0.985
18.9,3.0,3.011,3,1000,0.994
19.2,2.992,3.187,3,1000,1.0
19.5,3.019,3.212,3,1000,0.971
19.8,3.008,2.975,3,1000,1.012
20.1,3.004,2.974,3,1000,0.96
20.4,3.009,2.977,3,1000,0.939
20.7,3.015,2.999,3,1000,0.983
21.0,3.014,3.245,3,1000,0.97
21.3,2.972,3.018,3,1000,0.997
21.6,2.99,2.999,3,1000,0.975
21.9,3.016,2.976,3,1000,0.954
22.2,2.987,3.033,3,1000,1.014
22.5,3.024,3.006,3,1000,0.989
22.8,2.979,3.039,3,1000,1.014
23.1,2.999,3.235,3,1000,1.01
23.4,3.017,3.009,3,1000,0.97
23.7,3.005,3.005,3,1000,1.021
24.0,3.005,3.008,3,1000,1.017
24.3,3.003,3.012,3,1000,1.005
24.6,3.007,3.004,3,1000,0.998
24.9,3.004,3.009,3,1000,0.967
25.2,3.022,3.0,3,1000,1.024
25.5,2.992,3.009,3,1000,1.017
25.8,2.999,2.997,3,1000,0.992
26.1,3.015,3.021,3,1000,0.93
26.4,3.019,3.167,3,1000,0.999
26.7,2.992,3.008,3,1000,0.953
27.0,3.002,3.0,3,1000,1.027
27.3,2.995,2.961,3,1000,0.985
27.6,2.994,2.942,3,1000,1.008
27.9,3.001,3.019,3,1000,1.013
28.2,3.016,2.99,3,1000,0.999
28.5,2.986,3.006,3,1000,1.011
28.8,2.985,2.993,3,1000,1.018
29.1,2.993,2.985,3,1000,1.015
29.4,3.002,2.966,3,1000,0.973
29.7,2.987,2.968,3,1000,1.039
30.0,2.975,2.895,3,1000,0.987
30.3,2.976,2.93,3,1000,0.988
30.6,3.0,3.202,3,1000,0.949
30.9,3.01,2.979,3,1000,0.918
31.2,2.982,3.006,3,1000,1.006
31.5,2.994,3.01,3,1000,1.057
31.8,3.004,3.163,3,1000,1.01
32.1,2.987,3.034,3,1000,0.993
32.4,2.998,2.971,3,1000,0.997
32.7,3.005,2.975,3,1000,0.979
33.0,3.032,3.016,3,1000,1.005
33.3,2.994,3.001,3,1000,0.978
33.6,2.993,3.018,3,1000,1.025
33.9,2.976,3.0,3,1000,1.026
34.2,2.991,3.192,3,1000,0.988
34.5,3.023,3.008,3,1000,1.007
34.8,3.018,3.011,3,1000,0.982
35.1,3.019,3.0,3,1000,1.009
35.4,3.004,2.998,3,1000,0.995
35.7,3.022,2.98,3,1000,0.987
36.0,2.987,2.998,3,1000,1.019
36.3,3.012,3.013,3,1000,0.976
36.6,3.031,3.033,3,1000,1.041
36.9,3.004,2.986,3,1000,0.989
37.2,2.994,3.031,3,1000,0.97
37.5,3.024,3.013,3,1000,1.035
37.8,3.011,3.023,3,1000,1.034
