Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.229,2.245,3,1000,1.079
0.3,3.177,3.401,3,1000,1.034
0.6,3.193,3.587,3,1000,1.065
0.9,3.149,3.353,3,1000,0.998
1.2,3.153,3.394,3,1000,0.998
1.5,3.153,3.571,3,1000,1.039
1.8,3.126,3.231,3,1000,1.065
2.1,3.115,3.279,3,1000,1.025
2.4,3.094,3.503,3,1000,1.061
2.7,3.088,3.489,3,1000,1.015
3.0,3.1,3.213,3,1000,1.026
3.3,3.085,3.422,3,1000,1.055
3.6,3.057,3.145,3,1000,1.037
3.9,3.067,3.394,3,1000,1.042
4.2,3.04,3.493,3,1000,1.033
4.5,3.07,3.288,3,1000,1.018
4.8,3.061,3.425,3,1000,1.037
5.1,3.041,3.011,3,1000,1.062
5.4,3.06,3.233,3,1000,1.006
5.7,3.066,3.422,3,1000,0.979
6.0,3.045,3.18,3,1000,1.001
6.3,3.027,3.448,3,1000,0.979
6.6,3.015,3.08,3,1000,0.991
6.9,3.006,3.228,3,1000,1.011
7.2,3.014,3.414,3,1000,1.006
7.5,3.038,3.115,3,1000,1.039
7.8,3.039,3.349,3,1000,1.017
8.1,3.011,3.071,3,1000,1.024
8.4,3.013,3.436,3,1000,1.026
8.7,3.021,3.259,3,1000,1.036
9.0,3.003,3.438,3,1000,1.038
9.3,3.019,3.401,3,1000,0.997
9.6,3.004,3.17,3,1000,1.016
9.9,3.01,3.395,3,1000,0.953
10.2,2.997,3.112,3,1000,1.019
10.5,3.013,3.41,3,1000,1.013
10.8,3.01,3.157,3,1000,0.998
11.1,3.015,3.595,3,1000,1.007
11.4,3.002,3.398,3,1000,1.004
11.7,2.995,3.044,3,1000,0.958
12.0,3.012,3.309,3,1000,1.023
12.3,2.998,3.04,3,1000,1.035
12.6,3.012,3.253,3,1000,0.976
12.9,2.984,3.414,3,1000,1.004
13.2,2.995,3.478,3,1000,1.042
13.5,3.006,3.38,3,1000,1.032
13.8,2.999,3.214,3,1000,1.044
14.1,2.991,3.42,3,1000,1.018
14.4,3.007,3.42,3,1000,0.989
14.7,3.011,3.151,3,1000,1.013
15.0,2.989,3.414,3,1000,1.029
15.3,3.035,3.041,3,1000,1.002
15.6,2.971,3.207,3,1000,1.077
15.9,3.008,3.38,3,1000,0.978
16.2,3.009,3.304,3,1000,0.997
16.5,2.991,3.265,3,1000,1.049
16.8,2.998,3.013,3,1000,0.98
17.1,2.984,3.241,3,1000,1.006
17.4,2.985,2.965,3,1000,1.002
17.7,2.987,3.199,3,1000,0.959
18.0,3.005,3.38,3,1000,1.039
18.3,2.989,3.16,3,1000,0.958
18.6,2.994,3.331,3,1000,1.016
18.9,2.992,3.385,3,1000,1.02
19.2,2.997,3.08,3,1000,0.961
19.5,2.984,3.561,3,1000,1.008
19.8,2.98,3.044,3,1000,0.977
20.1,2.986,3.3,3,1000,0.97
20.4,3.015,3.165,3,1000,0.994
20.7,2.969,3.316,3,1000,1.006
21.0,2.989,3.222,3,1000,1.035
21.3,2.981,3.389,3,1000,0.983
21.6,2.97,3.408,3,1000,0.979
21.9,3.003,3.376,3,1000,0.981
22.2,2.992,3.633,3,1000,0.981
22.5,2.996,3.112,3,1000,1.081
22.8,2.993,3.342,3,1000,1.033
23.1,2.966,3.427,3,1000,0.95
