Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,5.476,5.857,3,1000,1.11
0.3,5.459,5.449,3,1000,1.101
0.6,5.433,5.82,3,1000,1.116
0.9,5.383,5.361,3,1000,1.074
1.2,5.364,5.745,3,1000,1.108
1.5,5.354,5.315,3,1000,1.152
1.8,5.297,5.305,3,1000,1.115
2.1,5.276,5.614,3,1000,1.094
2.4,5.247,5.237,3,1000,1.075
2.7,3.122,0.215,3,1000,1.024
3.0,3.117,2.413,3,1000,1.065
3.3,3.099,3.116,3,1000,1.05
3.6,3.097,3.42,3,1000,1.057
3.9,3.08,3.519,3,1000,1.019
4.2,3.072,3.384,3,1000,1.075
4.5,3.066,3.499,3,1000,1.001
4.8,3.065,3.14,3,1000,1.017
5.1,3.056,3.485,3,1000,1.064
5.4,3.064,3.479,3,1000,1.02
5.7,3.082,3.248,3,1000,1.002
6.0,3.051,3.462,3,1000,1.024
6.3,3.035,3.159,3,1000,1.013
6.6,3.048,3.302,3,1000,1.021
6.9,3.054,3.432,3,1000,1.058
7.2,3.041,3.338,3,1000,1.033
7.5,3.023,3.372,3,1000,0.978
7.8,3.028,3.104,3,1000,0.986
8.1,3.025,3.309,3,1000,1.023
8.4,3.009,3.438,3,1000,1.001
8.7,3.019,3.104,3,1000,1.007
9.0,3.021,3.415,3,1000,1.029
9.3,3.013,3.279,3,1000,1.029
9.6,2.997,3.224,3,1000,1.002
9.9,3.013,3.41,3,1000,0.945
10.2,3.02,3.418,3,1000,1.014
10.5,3.018,3.309,3,1000,0.981
10.8,2.99,3.145,3,1000,1.006
11.1,3.001,3.407,3,1000,0.966
11.4,3.01,3.42,3,1000,1.006
11.7,3.012,3.221,3,1000,0.997
12.0,3.03,3.338,3,1000,0.994
12.3,3.001,3.063,3,1000,0.977
12.6,3.007,3.273,3,1000,0.965
12.9,2.977,3.409,3,1000,0.989
13.2,2.986,3.246,3,1000,0.997
13.5,3.0,3.382,3,1000,1.008
13.8,3.03,3.069,3,1000,1.005
14.1,3.0,3.176,3,1000,1.002
14.4,2.982,3.617,3,1000,0.983
14.7,3.011,3.149,3,1000,1.037
15.0,2.996,3.413,3,1000,1.001
15.3,2.985,3.106,3,1000,0.99
15.6,3.008,3.259,3,1000,0.96
15.9,2.996,3.327,3,1000,1.003
