Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.092,3.766,3,1000,1.066
0.3,3.091,3.256,3,1000,1.036
0.6,3.093,3.732,3,1000,1.01
0.9,3.075,3.207,3,1000,1.017
1.2,3.094,3.24,3,1000,0.991
1.5,3.068,3.402,3,1000,1.036
1.8,3.093,3.11,3,1000,0.998
2.1,3.057,3.364,3,1000,1.05
2.4,3.037,3.062,3,1000,1.052
2.7,3.047,3.284,3,1000,0.992
3.0,3.027,3.433,3,1000,0.968
3.3,3.074,3.284,3,1000,1.007
3.6,3.03,3.681,3,1000,1.008
3.9,3.037,3.172,3,1000,1.027
4.2,3.006,3.428,3,1000,0.92
4.5,3.055,3.688,3,1000,1.045
4.8,3.023,3.338,3,1000,0.986
5.1,2.998,3.261,3,1000,1.043
5.4,3.033,3.352,3,1000,1.026
5.7,3.009,3.595,3,1000,0.977
6.0,3.007,3.413,3,1000,0.994
6.3,2.986,3.067,3,1000,1.009
6.6,3.001,3.289,3,1000,1.012
6.9,3.021,3.006,3,1000,1.047
7.2,3.004,3.275,3,1000,1.018
7.5,3.019,3.43,3,1000,0.968
7.8,3.002,3.208,3,1000,1.047
8.1,3.009,3.347,3,1000,0.994
8.4,3.0,3.167,3,1000,0.981
8.7,2.983,3.134,3,1000,0.993
9.0,2.984,3.35,3,1000,0.972
9.3,3.005,3.129,3,1000,1.013
9.6,2.994,3.337,3,1000,1.006
9.9,2.979,3.059,3,1000,1.039
10.2,3.003,3.163,3,1000,0.979
10.5,2.989,3.396,3,1000,1.011
10.8,2.992,3.259,3,1000,0.95
11.1,3.014,2.759,3,1000,1.004
11.4,3.026,3.203,3,1000,1.027
11.7,3.014,3.419,3,1000,0.985
12.0,2.998,3.412,3,1000,0.948
12.3,2.998,3.208,3,1000,0.995
12.6,3.0,3.36,3,1000,1.019
12.9,3.007,3.11,3,1000,1.015
13.2,2.999,3.534,3,1000,1.008
13.5,2.985,2.846,3,1000,1.016
13.8,2.98,3.077,3,1000,1.014
14.1,2.977,3.264,3,1000,1.009
14.4,3.01,3.322,3,1000,0.913
14.7,3.008,3.23,3,1000,0.958
15.0,2.988,3.42,3,1000,0.971
15.3,2.999,3.459,3,1000,1.009
15.6,2.992,2.975,3,1000,1.027
15.9,3.008,3.217,3,1000,0.971
16.2,3.007,3.242,3,1000,0.981
16.5,2.998,3.031,3,1000,1.003
16.8,3.026,3.324,3,1000,0.971
17.1,2.994,3.304,3,1000,0.973
17.4,3.01,2.834,3,1000,1.003
17.7,3.001,3.07,3,1000,1.005
18.0,2.995,3.232,3,1000,0.966
18.3,2.964,3.04,3,1000,0.998
18.6,3.011,3.206,3,1000,1.041
18.9,3.006,3.317,3,1000,0.963
19.2,2.912,3.003,3,1000,0.989
19.5,2.915,3.176,3,1000,0.983
19.8,2.901,2.973,3,1000,0.982
20.1,2.926,3.149,3,1000,0.97
20.4,2.943,3.332,3,1000,0.973
20.7,2.929,3.225,3,1000,1.028
21.0,2.927,3.163,3,1000,1.035
21.3,2.959,3.383,3,1000,0.984
21.6,2.95,3.051,3,1000,0.992
21.9,2.944,3.181,3,1000,1.002
22.2,2.967,3.35,3,1000,0.98
22.5,2.962,3.291,3,1000,1.013
22.8,2.96,3.327,3,1000,1.016
23.1,2.976,3.066,3,1000,0.957
23.4,2.997,3.256,3,1000,1.013
23.7,2.977,2.907,3,1000,0.979
24.0,2.952,3.279,3,1000,1.013
