Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
0.0,3.107,3.455,3,1000,1.01
0.3,3.129,3.742,3,1000,1.051
0.6,3.073,3.217,3,1000,1.062
0.9,3.105,3.346,3,1000,1.012
1.2,3.096,3.182,3,1000,1.01
1.5,3.092,3.428,3,1000,0.967
1.8,3.061,3.459,3,1000,1.013
2.1,3.059,3.256,3,1000,1.039
2.4,3.059,3.326,3,1000,1.002
2.7,3.044,3.027,3,1000,1.032
3.0,3.05,3.3,3,1000,0.979
3.3,3.019,3.468,3,1000,1.021
3.6,3.023,3.244,3,1000,1.032
3.9,3.044,3.457,3,1000,1.002
4.2,3.024,3.218,3,1000,1.008
4.5,3.029,3.416,3,1000,1.035
4.8,3.031,3.63,3,1000,1.01
5.1,3.017,3.151,3,1000,0.989
5.4,3.055,3.366,3,1000,1.011
5.7,3.028,3.117,3,1000,0.975
6.0,3.021,3.242,3,1000,1.009
6.3,3.014,3.399,3,1000,1.0
6.6,2.995,3.282,3,1000,1.02
6.9,3.019,3.669,3,1000,1.008
7.2,2.997,2.971,3,1000,1.011
7.5,3.012,3.216,3,1000,1.013
7.8,2.991,3.449,3,1000,1.016
8.1,3.014,3.102,3,1000,0.99
8.4,2.973,3.43,3,1000,1.014
8.7,3.018,3.158,3,1000,1.016
9.0,2.996,3.364,3,1000,0.991
9.3,2.983,3.374,3,1000,1.006
9.6,3.01,3.316,3,1000,0.992
9.9,2.994,3.275,3,1000,1.019
10.2,2.992,3.296,3,1000,1.013
10.5,2.988,3.417,3,1000,1.02
10.8,3.0,3.194,3,1000,1.075
11.1,3.002,3.311,3,1000,1.003
11.4,2.989,3.436,3,1000,0.989
11.7,3.017,3.208,3,1000,0.999
12.0,2.988,3.401,3,1000,1.003
12.3,2.994,3.351,3,1000,1.027
12.6,2.995,3.147,3,1000,1.038
12.9,3.0,3.163,3,1000,0.948
13.2,3.005,3.633,3,1000,1.02
13.5,2.971,3.06,3,1000,0.988
13.8,2.983,3.324,3,1000,1.021
14.1,2.987,3.016,3,1000,0.99
14.4,2.988,3.243,3,1000,0.99
14.7,3.005,3.367,3,1000,1.003
15.0,3.001,3.24,3,1000,1.032
15.3,3.014,3.417,3,1000,1.012
15.6,2.994,3.158,3,1000,0.953
15.9,3.007,3.395,3,1000,0.998
16.2,2.991,3.385,3,1000,0.952
16.5,2.996,3.074,3,1000,0.994
16.8,3.001,3.384,3,1000,0.986
17.1,2.989,3.119,3,1000,0.981
17.4,3.0,3.328,3,1000,1.034
17.7,2.983,3.426,3,1000,0.992
