Timestamp, SecondsBehindLive, Buffer, VideoIndexDownloading, VideoBitrate, PlaybackRate
0.3,3.051,0.0,3,1000,1.0
0.6,3.121,2.17,3,1000,1.031
0.9,3.112,3.122,3,1000,1.031
1.2,3.104,3.076,3,1000,1.027
1.5,3.095,3.11,3,1000,1.027
1.8,3.088,3.102,3,1000,1.022
2.1,3.081,3.097,3,1000,1.022
2.4,3.075,3.051,3,1000,1.022
2.7,3.069,3.087,3,1000,1.018
3.0,3.064,3.075,3,1000,1.018
3.3,3.058,3.068,3,1000,1.018
3.6,3.053,3.069,3,1000,1.014
3.9,3.049,3.064,3,1000,1.014
4.2,3.045,2.991,3,1000,1.014
4.5,3.042,3.053,3,1000,1.014
4.8,3.037,3.052,3,1000,1.014
5.1,3.034,3.051,3,1000,1.009
5.4,3.032,3.04,3,1000,1.009
5.7,3.029,2.974,3,1000,1.009
6.0,3.026,3.042,3,1000,1.009
6.3,3.023,3.04,3,1000,1.009
6.6,3.021,3.041,3,1000,1.009
6.9,3.019,3.027,3,1000,1.009
7.2,3.017,3.031,3,1000,1.004
7.5,3.015,3.019,3,1000,1.004
7.8,3.014,2.999,3,1000,1.004
8.1,3.012,3.028,3,1000,1.004
8.4,3.011,3.021,3,1000,1.004
8.7,3.01,3.01,3,1000,1.004
9.0,3.008,3.021,3,1000,1.004
9.3,3.007,3.023,3,1000,1.004
9.6,3.005,3.018,3,1000,1.004
9.9,3.004,3.014,3,1000,1.004
10.2,3.003,3.015,3,1000,1.004
10.5,3.002,3.0,3,1000,1.004
10.8,3.001,3.014,3,1000,1.0
11.1,3.001,3.014,3,1000,1.0
11.4,3.001,3.015,3,1000,1.0
11.7,3.001,3.013,3,1000,1.0
12.0,3.001,3.012,3,1000,1.0
12.3,3.0,3.017,3,1000,1.0
12.6,3.001,3.011,3,1000,1.0
12.9,3.0,3.006,3,1000,1.0
13.2,3.0,2.962,3,1000,1.0
13.5,3.0,3.014,3,1000,1.0
13.8,3.0,3.013,3,1000,1.0
14.1,3.0,3.016,3,1000,1.0
14.4,3.0,3.013,3,1000,1.0
14.7,3.0,3.016,3,1000,1.0
15.0,3.0,3.011,3,1000,1.0
15.3,2.999,3.014,3,1000,1.0
15.6,3.0,3.017,3,1000,1.0
15.9,2.999,3.014,3,1000,1.0
16.2,2.999,2.984,3,1000,1.0
16.5,3.0,3.014,3,1000,1.0
16.8,2.999,3.014,3,1000,1.0
17.1,2.999,3.002,3,1000,1.0
17.4,2.999,2.991,3,1000,1.0
17.7,2.999,2.987,3,1000,1.0
18.0,2.999,3.014,3,1000,1.0
18.3,2.999,3.01,3,1000,1.0
18.6,2.999,3.01,3,1000,1.0
18.9,2.999,3.011,3,1000,1.0
19.2,2.999,3.008,3,1000,1.0
19.5,2.998,3.013,3,1000,1.0
19.8,2.998,3.0,3,1000,1.0
20.1,2.999,3.013,3,1000,1.0
20.4,2.999,3.012,3,1000,1.0
20.7,2.998,3.012,3,1000,1.0
21.0,2.998,3.004,3,1000,1.0
21.3,2.998,3.012,3,1000,1.0
21.6,2.998,3.007,3,1000,1.0
21.9,2.998,3.007,3,1000,1.0
22.2,2.998,2.96,3,1000,1.0
22.5,2.998,3.013,3,1000,1.0
22.8,2.998,3.007,3,1000,1.0
23.1,2.998,3.01,3,1000,1.0
23.4,2.998,2.999,3,1000,1.0
23.7,2.997,3.012,3,1000,1.0
24.0,2.997,3.012,3,1000,1.0
24.3,2.998,2.984,3,1000,1.0
24.6,2.997,3.014,3,1000,1.0
24.9,2.997,3.003,3,1000,1.0
25.2,2.997,3.014,3,1000,1.0
25.5,2.997,3.008,3,1000,1.0
25.8,2.997,3.011,3,1000,1.0
26.1,2.997,3.009,3,1000,1.0
26.4,2.997,3.007,3,1000,1.0
26.7,2.997,2.943,3,1000,1.0
27.0,2.996,3.012,3,1000,1.0
27.3,2.997,3.013,3,1000,1.0
27.6,2.997,3.001,3,1000,1.0
27.9,2.996,3.01,3,1000,1.0
28.2,2.996,3.009,3,1000,1.0
28.5,2.997,3.01,3,1000,1.0
28.8,2.997,3.006,3,1000,1.0
29.1,2.996,3.012,3,1000,1.0
29.4,2.996,2.988,3,1000,1.0
29.7,2.997,3.011,3,1000,1.0
30.0,2.996,3.006,3,1000,1.0
30.3,2.996,2.999,3,1000,1.0
30.6,2.996,3.005,3,1000,1.0
30.9,2.996,3.009,3,1000,1.0
31.2,2.996,2.957,3,1000,1.0
31.5,2.996,2.987,3,1000,1.0
31.8,2.996,3.004,3,1000,1.0
32.1,2.996,3.01,3,1000,1.0
32.4,2.996,3.008,3,1000,1.0
32.7,2.995,3.008,3,1000,1.0
33.0,2.995,3.009,3,1000,1.0
33.3,2.996,3.004,3,1000,1.0
33.6,2.996,3.01,3,1000,1.0
33.9,2.995,3.008,3,1000,1.0
34.2,2.996,2.996,3,1000,1.0
34.5,2.995,3.01,3,1000,1.0
34.8,2.995,2.996,3,1000,1.0
35.1,2.995,3.005,3,1000,1.0
35.4,2.995,3.008,3,1000,1.0
35.7,2.995,3.007,3,1000,1.0
36.0,2.994,2.977,3,1000,1.0
36.3,2.995,3.008,3,1000,1.0
36.6,2.995,2.982,3,1000,1.0
36.9,2.994,3.002,3,1000,1.0
37.2,2.994,3.003,3,1000,1.0
37.5,2.995,3.006,3,1000,1.0
37.8,2.994,3.007,3,1000,1.0
38.1,2.994,3.01,3,1000,1.0
38.4,2.994,2.97,3,1000,1.0
38.7,2.994,2.958,3,1000,1.0
39.0,2.994,2.998,3,1000,1.0
39.3,2.994,3.008,3,1000,1.0
39.6,2.994,3.003,3,1000,1.0
39.9,2.993,3.006,3,1000,1.0
40.2,2.994,2.955,3,1000,1.0
40.5,2.993,3.007,3,1000,1.0
40.8,2.994,2.979,3,1000,1.0
41.1,2.994,3.007,3,1000,1.0
41.4,2.993,3.009,3,1000,1.0
41.7,2.993,3.0,3,1000,1.0
42.0,2.993,3.008,3,1000,1.0
42.3,2.994,3.009,3,1000,1.0
42.6,2.993,3.004,3,1000,1.0
42.9,2.993,3.006,3,1000,1.0
43.2,2.993,2.955,3,1000,1.0
43.5,2.993,2.992,3,1000,1.0
43.8,2.993,3.007,3,1000,1.0
44.1,2.993,3.006,3,1000,1.0
44.4,2.993,3.01,3,1000,1.0
44.7,2.993,3.004,3,1000,1.0
45.0,2.992,3.007,3,1000,1.0
45.3,2.993,3.004,3,1000,1.0
45.6,2.992,3.006,3,1000,1.0
45.9,2.992,2.999,3,1000,1.0
46.2,2.993,3.001,3,1000,1.0
46.5,2.992,3.007,3,1000,1.0
46.8,2.992,3.005,3,1000,1.0
47.1,2.992,3.003,3,1000,1.0
47.4,2.992,3.003,3,1000,1.0
47.7,2.992,2.937,3,1000,1.0
48.0,2.992,3.003,3,1000,1.0
48.3,2.992,3.003,3,1000,1.0
48.6,2.991,3.003,3,1000,1.0
48.9,2.991,3.008,3,1000,1.0
49.2,2.992,2.938,3,1000,1.0
49.5,2.991,3.0,3,1000,1.0
49.8,2.992,3.005,3,1000,1.0
50.1,2.991,3.005,3,1000,1.0
50.4,2.992,3.003,3,1000,1.0
50.7,2.992,2.992,3,1000,1.0
51.0,2.991,3.006,3,1000,1.0
51.3,2.991,3.007,3,1000,1.0
51.6,2.991,3.002,3,1000,1.0
51.9,2.991,3.0,3,1000,1.0
52.2,2.991,3.005,3,1000,1.0
52.5,2.991,3.005,3,1000,1.0
52.8,2.99,3.001,3,1000,1.0
53.1,2.991,2.996,3,1000,1.0
53.4,2.99,3.0,3,1000,1.0
53.7,2.99,2.999,3,1000,1.0
54.0,2.99,3.002,3,1000,1.0
54.3,2.99,3.004,3,1000,1.0
54.6,2.991,3.0,3,1000,1.0
54.9,2.99,2.997,3,1000,1.0
55.2,2.99,2.992,3,1000,1.0
55.5,2.99,3.006,3,1000,1.0
55.8,2.99,2.996,3,1000,1.0
56.1,2.99,3.006,3,1000,1.0
56.4,2.989,3.008,3,1000,1.0
56.7,2.99,3.0,3,1000,1.0
57.0,2.99,2.972,3,1000,1.0
57.3,2.99,2.999,3,1000,1.0
57.6,2.989,3.005,3,1000,1.0
57.9,2.989,2.978,3,1000,1.0
58.2,2.99,3.002,3,1000,1.0
58.5,2.99,2.996,3,1000,1.0
58.8,2.989,3.0,3,1000,1.0
59.1,2.989,3.0,3,1000,1.0
59.4,2.989,3.0,3,1000,1.0
59.7,2.99,2.98,3,1000,1.0
60.0,2.989,3.003,3,1000,1.0
60.3,2.989,3.0,3,1000,1.0
60.6,2.988,2.999,3,1000,1.0
60.9,2.989,2.832,3,1000,1.0
61.2,2.988,2.657,3,1000,1.0
61.5,2.989,2.684,3,1000,1.0
61.8,2.989,2.355,3,1000,1.0
62.1,2.988,3.004,3,1000,1.0
62.4,2.989,3.003,3,1000,1.0
62.7,2.989,2.933,3,1000,1.0
63.0,2.988,2.746,3,1000,1.0
63.3,2.988,2.992,3,1000,1.0
63.6,2.988,3.003,3,1000,1.0
63.9,2.988,2.797,3,1000,1.0
64.2,2.988,2.654,3,1000,1.0
64.5,2.988,2.666,3,1000,1.0
64.8,2.988,2.466,3,1000,1.0
65.1,2.987,2.59,3,1000,1.0
65.4,2.987,2.401,3,1000,1.0
65.7,2.988,2.431,3,1000,1.0
66.0,2.988,2.274,3,1000,1.0
66.3,2.987,1.872,3,1000,1.0
66.6,2.987,2.032,3,1000,1.0
66.9,2.987,1.922,3,1000,1.0
67.2,2.987,1.899,3,1000,1.0
67.5,2.987,1.72,3,1000,1.0
67.8,2.987,1.668,3,1000,1.0
68.1,2.987,1.606,3,1000,1.0
68.4,2.987,1.416,3,1000,1.0
68.7,2.987,1.494,3,1000,1.0
69.0,2.987,1.235,3,1000,1.0
69.3,2.987,1.134,3,1000,1.0
69.6,2.986,1.135,3,1000,1.0
69.9,2.986,1.07,3,1000,1.0
70.2,2.986,0.985,3,1000,1.0
70.5,2.987,0.897,3,1000,1.0
70.8,2.987,0.839,3,1000,1.0
71.1,2.986,0.607,3,1000,1.0
71.4,2.986,0.476,3,1000,1.0
71.7,2.986,0.489,3,1000,1.0
72.0,2.986,0.375,3,1000,1.0
72.3,2.986,0.332,3,1000,1.0
72.6,2.986,0.107,2,600,1.0
72.9,3.007,0.257,1,200,1.0
73.2,3.007,0.495,3,1000,1.0
73.5,3.007,0.232,3,1000,1.0
73.8,3.188,0.028,3,1000,1.0
74.1,3.487,0.0,2,600,1.0
74.4,3.788,0.028,1,200,1.0
74.7,3.83,0.292,3,1000,1.097
75.0,3.89,0.0,3,1000,1.097
75.3,4.2,0.0,3,1000,1.097
75.6,4.447,0.058,2,600,1.0
75.9,4.518,0.027,2,600,1.1
76.2,4.508,0.464,3,1000,1.1
76.5,4.486,0.0,3,1000,1.0
76.8,4.685,0.0,3,1000,1.0
77.1,4.985,0.026,2,600,1.0
77.4,5.111,0.019,2,600,1.1
77.7,5.139,0.295,1,200,1.1
78.0,5.11,0.276,3,1000,1.1
78.3,5.189,0.028,3,1000,1.1
78.6,5.487,0.028,2,600,1.1
78.9,5.788,0.0,2,600,1.1
79.2,6.088,0.028,1,200,1.1
79.5,6.192,0.407,3,1000,1.1
79.8,6.18,0.0,3,1000,1.0
80.1,6.481,0.0,3,1000,1.0
80.4,6.78,0.121,2,600,1.0
80.7,6.901,0.246,2,600,1.1
81.0,6.871,0.529,3,1000,1.1
81.3,6.841,0.279,3,1000,1.1
81.6,6.994,0.034,3,1000,1.1
81.9,7.303,0.034,2,600,1.1
82.2,7.593,0.0,2,600,1.1
82.5,7.75,0.399,3,1000,1.1
82.8,7.724,0.0,3,1000,1.0
83.1,7.99,0.0,3,1000,1.0
83.4,8.29,0.031,2,600,1.0
83.7,8.412,0.019,2,600,1.0
84.0,8.395,0.589,3,1000,1.1
84.3,8.365,0.239,3,1000,1.1
84.6,8.478,0.018,3,1000,1.1
84.9,8.777,0.018,2,600,1.1
85.2,9.077,0.018,1,200,1.1
85.5,9.183,0.413,3,1000,1.1
85.8,9.187,0.026,3,1000,1.1
86.1,9.486,0.0,3,1000,1.1
86.4,9.762,0.081,2,600,1.1
86.7,9.823,0.301,1,200,1.1
87.0,9.793,0.477,3,1000,1.1
87.3,9.763,0.195,3,1000,1.1
87.6,9.989,0.029,3,1000,1.1
87.9,10.289,0.029,2,600,1.1
88.2,10.589,0.0,2,600,1.1
88.5,10.904,0.029,1,200,1.1
88.8,10.896,0.274,3,1000,1.1
89.1,10.995,0.034,3,1000,1.1
89.4,11.294,0.034,2,600,1.1
89.7,11.594,0.0,2,600,1.1
90.0,11.895,0.034,1,200,1.1
90.3,11.897,0.335,3,1000,1.1
90.6,11.973,0.0,3,1000,1.1
90.9,12.272,0.0,3,1000,1.1
91.2,12.526,0.137,2,600,1.0
91.5,12.601,0.248,1,200,1.1
91.8,12.571,0.437,3,1000,1.1
92.1,12.548,0.0,3,1000,1.0
92.4,12.782,0.0,3,1000,1.0
92.7,13.081,0.089,2,600,1.0
93.0,13.14,0.292,1,200,1.1
93.3,13.11,0.515,3,1000,1.1
93.6,13.08,0.266,3,1000,1.1
93.9,13.286,0.027,3,1000,1.1
94.2,13.586,0.0,2,600,1.1
94.5,13.89,0.027,1,200,1.1
94.8,14.031,0.383,3,1000,1.1
95.1,14.011,0.0,3,1000,1.0
95.4,14.278,0.0,3,1000,1.0
95.7,14.579,0.019,2,600,1.0
96.0,14.786,0.027,2,600,1.1
96.3,14.801,0.207,1,200,1.1
96.6,14.771,0.463,3,1000,1.1
96.9,14.775,0.016,3,1000,1.1
97.2,15.075,0.016,2,600,1.1
97.5,15.726,0.0,2,600,1.1
97.8,16.026,0.0,2,600,1.1
98.1,16.326,0.0,2,600,1.1
98.4,4.05,0.539,1,200,1.1
98.7,4.019,0.529,3,1000,1.1
99.0,3.989,0.138,3,1000,1.1
99.3,4.177,0.017,2,600,1.1
99.6,4.477,0.0,2,600,1.1
99.9,4.659,0.458,3,1000,1.0
100.2,4.629,0.094,3,1000,1.1
100.5,4.89,0.0,3,1000,1.1
100.8,5.203,0.0,3,1000,1.1
101.1,5.491,0.031,2,600,1.1
101.4,5.791,0.031,2,600,1.1
101.7,6.091,0.031,2,600,1.1
102.0,6.132,0.176,2,600,1.1
102.3,6.158,0.502,3,1000,1.1
102.6,6.128,0.184,3,1000,1.1
102.9,6.278,0.019,3,1000,1.1
103.2,6.577,0.019,2,600,1.1
103.5,6.878,0.0,2,600,1.1
103.8,7.178,0.019,1,200,1.1
104.1,7.226,0.316,3,1000,1.1
104.4,7.292,0.0,3,1000,1.0
104.7,7.592,0.0,3,1000,1.0
105.0,7.87,0.053,2,600,1.1
105.3,7.967,0.134,2,600,1.1
105.6,7.938,0.496,3,1000,1.1
105.9,7.908,0.166,3,1000,1.1
106.2,8.077,0.017,3,1000,1.1
106.5,8.375,0.017,2,600,1.1
106.8,8.676,0.0,2,600,1.1
107.1,8.907,0.482,3,1000,1.1
107.4,8.879,0.19,3,1000,1.1
107.7,9.087,0.027,3,1000,1.1
108.0,9.386,0.027,3,1000,1.1
108.3,9.686,0.0,2,600,1.1
108.6,9.891,0.456,3,1000,1.1
108.9,9.871,0.0,3,1000,1.0
109.2,10.088,0.0,3,1000,1.0
109.5,10.387,0.062,2,600,1.0
109.8,10.439,0.332,1,200,1.0
110.1,10.423,0.473,3,1000,1.1
110.4,10.393,0.178,3,1000,1.1
110.7,10.582,0.021,3,1000,1.1
111.0,10.881,0.021,2,600,1.1
111.3,11.182,0.0,2,600,1.1
111.6,11.427,0.241,1,200,1.1
111.9,11.397,0.0,3,1000,1.1
112.2,11.584,0.0,3,1000,1.1
112.5,11.885,0.025,2,600,1.1
112.8,12.014,0.021,2,600,1.1
113.1,12.044,0.62,3,1000,1.1
113.4,12.013,0.357,3,1000,1.1
113.7,12.093,0.033,3,1000,1.1
114.0,12.393,0.033,2,600,1.1
114.3,12.693,0.0,2,600,1.1
114.6,12.838,0.403,3,1000,1.1
114.9,12.808,0.0,3,1000,1.1
115.2,13.088,0.0,3,1000,1.1
115.5,13.389,0.0,3,1000,1.1
115.8,13.642,0.128,2,600,1.1
116.1,13.686,0.258,1,200,1.1
116.4,13.655,0.471,3,1000,1.1
116.7,13.626,0.088,3,1000,1.1
117.0,13.886,0.026,3,1000,1.1
117.3,14.185,0.026,2,600,1.1
117.6,14.486,0.0,2,600,1.1
117.9,14.73,0.193,1,200,1.0
118.2,14.704,0.0,3,1000,1.1
