Timestamp, SecondsBehindLive, Buffer, VideoIndexDownloading, VideoBitrate, PlaybackRate
0.3,3.062,3.054,3,1000,1.018
0.6,3.083,0.0,3,1000,1.0
0.9,3.129,1.733,3,1000,1.03
1.2,3.12,3.11,3,1000,1.03
1.5,3.112,3.11,3,1000,1.03
1.8,3.103,3.101,3,1000,1.03
2.1,3.095,3.091,3,1000,1.024
2.4,3.088,3.088,3,1000,1.024
2.7,3.081,3.074,3,1000,1.024
3.0,3.074,3.067,3,1000,1.02
3.3,3.068,3.062,3,1000,1.02
3.6,3.062,3.053,3,1000,1.016
3.9,3.058,3.045,3,1000,1.016
4.2,3.053,3.051,3,1000,1.016
4.5,3.049,3.047,3,1000,1.016
4.8,3.044,3.037,3,1000,1.011
5.1,3.041,3.038,3,1000,1.011
5.4,3.038,3.033,3,1000,1.011
5.7,3.035,3.027,3,1000,1.011
6.0,3.031,3.035,3,1000,1.011
6.3,3.027,3.023,3,1000,1.007
6.6,3.026,3.014,3,1000,1.007
6.9,3.023,3.021,3,1000,1.007
7.2,3.022,3.018,3,1000,1.007
7.5,3.019,3.021,3,1000,1.007
7.8,3.017,3.016,3,1000,1.007
8.1,3.015,3.009,3,1000,1.007
8.4,3.012,3.01,3,1000,1.007
8.7,3.012,2.999,3,1000,1.003
9.0,3.011,3.009,3,1000,1.003
9.3,3.01,3.007,3,1000,1.003
9.6,3.009,3.003,3,1000,1.003
9.9,3.008,3.006,3,1000,1.003
10.2,3.007,3.007,3,1000,1.003
10.5,3.006,3.005,3,1000,1.003
10.8,3.006,3.001,3,1000,1.003
11.1,3.005,3.001,3,1000,1.003
11.4,3.004,2.996,3,1000,1.003
11.7,3.003,2.999,3,1000,1.003
12.0,3.002,2.997,3,1000,1.003
12.3,3.001,2.993,3,1000,1.003
12.6,3.0,2.99,3,1000,1.003
12.9,2.999,2.99,3,1000,1.003
13.2,2.998,2.994,3,1000,1.003
13.5,2.997,2.991,3,1000,1.003
13.8,2.997,2.997,3,1000,1.003
14.1,2.995,2.997,3,1000,1.003
14.4,2.995,2.991,3,1000,1.003
14.7,2.995,2.996,3,1000,0.999
15.0,2.995,2.986,3,1000,0.999
15.3,2.996,2.988,3,1000,0.999
15.6,2.996,2.987,3,1000,0.999
15.9,2.996,2.991,3,1000,0.999
16.2,2.997,2.999,3,1000,0.999
16.5,2.997,2.994,3,1000,0.999
16.8,2.997,2.998,3,1000,0.999
17.1,2.997,2.996,3,1000,0.999
17.4,2.998,2.995,3,1000,0.999
17.7,2.999,2.997,3,1000,0.999
18.0,2.999,2.964,3,1000,0.999
18.3,3.0,2.978,3,1000,0.999
18.6,2.999,2.995,3,1000,0.999
18.9,3.0,2.981,3,1000,0.999
19.2,3.001,3.0,3,1000,0.999
19.5,3.001,2.988,3,1000,0.999
19.8,3.001,2.999,3,1000,0.999
20.1,3.001,2.98,3,1000,0.999
20.4,3.002,2.997,3,1000,0.999
20.7,3.003,2.995,3,1000,0.999
21.0,3.003,2.999,3,1000,0.999
21.3,3.003,3.0,3,1000,0.999
21.6,3.004,3.002,3,1000,0.999
21.9,3.003,2.996,3,1000,0.999
22.2,3.004,2.995,3,1000,0.999
22.5,3.004,2.992,3,1000,0.999
22.8,3.005,3.001,3,1000,0.999
23.1,3.006,2.985,3,1000,0.999
23.4,3.006,2.992,3,1000,0.999
23.7,3.006,3.0,3,1000,0.999
24.0,3.007,3.0,3,1000,0.999
24.3,3.007,3.002,3,1000,0.999
24.6,3.007,3.005,3,1000,0.999
24.9,3.008,3.001,3,1000,0.999
25.2,3.008,2.998,3,1000,0.999
25.5,3.009,3.0,3,1000,0.999
25.8,3.009,3.0,3,1000,0.999
26.1,3.009,2.985,3,1000,0.999
26.4,3.01,2.998,3,1000,0.999
26.7,3.01,2.995,3,1000,0.999
27.0,3.01,3.009,3,1000,0.999
27.3,3.01,3.004,3,1000,0.999
27.6,3.011,3.002,3,1000,0.999
27.9,3.011,3.006,3,1000,1.003
28.2,3.01,2.996,3,1000,1.003
28.5,3.009,3.006,3,1000,1.003
28.8,3.008,2.967,3,1000,1.003
29.1,3.008,3.008,3,1000,1.003
29.4,3.007,3.0,3,1000,1.003
29.7,3.005,3.001,3,1000,1.003
30.0,3.004,3.0,3,1000,1.003
30.3,3.004,2.967,3,1000,1.003
30.6,3.003,2.99,3,1000,1.003
30.9,3.002,2.991,3,1000,1.003
31.2,3.001,2.998,3,1000,1.003
31.5,3.0,2.993,3,1000,1.003
31.8,2.999,2.995,3,1000,1.003
32.1,2.998,2.979,3,1000,1.003
32.4,2.997,2.988,3,1000,1.003
32.7,2.997,2.991,3,1000,1.003
33.0,2.995,2.988,3,1000,1.003
33.3,2.995,2.986,3,1000,0.999
33.6,2.997,2.988,3,1000,0.999
33.9,2.997,2.995,3,1000,0.999
34.2,2.997,2.996,3,1000,0.999
34.5,2.997,2.99,3,1000,0.999
34.8,2.998,2.987,3,1000,0.999
35.1,2.998,2.997,3,1000,0.999
35.4,2.998,2.989,3,1000,0.999
35.7,2.999,2.995,3,1000,0.999
36.0,2.999,2.989,3,1000,0.999
36.3,2.999,2.989,3,1000,0.999
36.6,3.0,2.999,3,1000,0.999
36.9,3.0,2.946,3,1000,0.999
37.2,3.001,2.999,3,1000,0.999
37.5,3.001,3.002,3,1000,0.999
37.8,3.001,2.999,3,1000,0.999
38.1,3.002,2.997,3,1000,0.999
38.4,3.002,2.992,3,1000,0.999
38.7,3.003,3.002,3,1000,0.999
39.0,3.003,2.987,3,1000,0.999
39.3,3.003,3.001,3,1000,0.999
39.6,3.004,2.985,3,1000,0.999
39.9,3.004,2.996,3,1000,0.999
40.2,3.004,3.002,3,1000,0.999
40.5,3.005,2.995,3,1000,0.999
40.8,3.006,2.995,3,1000,0.999
41.1,3.005,3.006,3,1000,0.999
41.4,3.006,3.006,3,1000,0.999
41.7,3.007,2.996,3,1000,0.999
42.0,3.007,3.01,3,1000,0.999
42.3,3.007,3.003,3,1000,0.999
42.6,3.008,2.97,3,1000,0.999
42.9,3.008,2.998,3,1000,0.999
43.2,3.008,3.006,3,1000,0.999
43.5,3.009,3.006,3,1000,0.999
43.8,3.009,3.008,3,1000,0.999
44.1,3.01,3.004,3,1000,0.999
44.4,3.01,3.007,3,1000,0.999
44.7,3.01,3.004,3,1000,0.999
45.0,3.01,3.006,3,1000,0.999
45.3,3.011,2.998,3,1000,0.999
45.6,3.011,3.003,3,1000,1.003
45.9,3.01,2.997,3,1000,1.003
46.2,3.009,3.006,3,1000,1.003
46.5,3.008,3.003,3,1000,1.003
46.8,3.007,2.998,3,1000,1.003
47.1,3.007,3.005,3,1000,1.003
47.4,3.006,2.996,3,1000,1.003
47.7,3.004,2.996,3,1000,1.003
48.0,3.003,2.992,3,1000,1.003
48.3,3.003,2.993,3,1000,1.003
48.6,3.001,2.997,3,1000,1.003
48.9,3.001,2.994,3,1000,1.003
49.2,3.001,2.992,3,1000,1.003
49.5,2.999,2.998,3,1000,1.003
49.8,2.999,2.997,3,1000,1.003
50.1,2.997,2.984,3,1000,1.003
50.4,2.996,2.989,3,1000,1.003
50.7,2.996,2.99,3,1000,1.003
51.0,2.996,2.998,3,1000,0.999
51.3,2.996,2.99,3,1000,0.999
51.6,2.996,2.988,3,1000,0.999
