Timestamp, SecondsBehindLive, Buffer, VideoIndexDownloading, VideoBitrate, PlaybackRate
0.3,3.069,0.0,3,1000,1.0
0.6,3.153,2.121,3,1000,1.038
0.9,3.141,3.084,3,1000,1.038
1.2,3.131,3.08,3,1000,1.034
1.5,3.122,3.126,3,1000,1.03
1.8,3.113,3.117,3,1000,1.03
2.1,3.103,3.108,3,1000,1.03
2.4,3.095,3.073,3,1000,1.024
2.7,3.089,3.087,3,1000,1.024
3.0,3.081,3.09,3,1000,1.024
3.3,3.075,3.081,3,1000,1.02
3.6,3.069,3.061,3,1000,1.02
3.9,3.063,3.07,3,1000,1.02
4.2,3.058,3.006,3,1000,1.015
4.5,3.053,3.037,3,1000,1.015
4.8,3.049,3.052,3,1000,1.015
5.1,3.044,3.051,3,1000,1.015
5.4,3.041,3.047,3,1000,1.01
5.7,3.037,2.971,3,1000,1.01
6.0,3.034,3.044,3,1000,1.01
6.3,3.031,3.033,3,1000,1.01
6.6,3.028,3.028,3,1000,1.01
6.9,3.025,3.036,3,1000,1.01
7.2,3.023,3.028,3,1000,1.006
7.5,3.021,3.029,3,1000,1.006
7.8,3.019,3.019,3,1000,1.006
8.1,3.017,3.02,3,1000,1.006
8.4,3.015,3.024,3,1000,1.006
8.7,3.014,3.003,3,1000,1.006
9.0,3.012,3.018,3,1000,1.006
9.3,3.01,3.012,3,1000,1.006
9.6,3.008,3.013,3,1000,1.006
9.9,3.007,3.011,3,1000,1.006
10.2,3.006,3.01,3,1000,1.001
10.5,3.005,3.016,3,1000,1.001
10.8,3.005,3.011,3,1000,1.001
11.1,3.004,3.017,3,1000,1.001
11.4,3.004,3.007,3,1000,1.001
11.7,3.003,3.006,3,1000,1.001
12.0,3.003,3.014,3,1000,1.001
12.3,3.003,3.003,3,1000,1.001
12.6,3.003,3.006,3,1000,1.001
12.9,3.002,3.006,3,1000,1.001
13.2,3.001,2.949,3,1000,1.001
13.5,3.0,3.008,3,1000,1.001
13.8,3.001,3.002,3,1000,1.001
14.1,3.0,3.003,3,1000,1.001
14.4,2.999,3.007,3,1000,1.001
14.7,2.999,3.005,3,1000,1.001
15.0,2.999,2.967,3,1000,1.001
15.3,2.998,3.003,3,1000,1.001
15.6,2.998,3.003,3,1000,1.001
15.9,2.997,3.002,3,1000,1.001
16.2,2.997,2.993,3,1000,1.001
16.5,2.996,3.003,3,1000,1.001
16.8,2.996,3.001,3,1000,1.001
17.1,2.996,2.998,3,1000,1.001
17.4,2.995,3.002,3,1000,1.001
17.7,2.995,2.97,3,1000,1.001
18.0,2.994,2.999,3,1000,1.001
18.3,2.993,2.997,3,1000,1.001
18.6,2.994,2.983,3,1000,1.001
18.9,2.993,3.004,3,1000,1.001
19.2,2.993,2.998,3,1000,1.001
19.5,2.992,3.001,3,1000,1.001
19.8,2.991,2.995,3,1000,1.001
20.1,2.991,2.993,3,1000,1.001
20.4,2.991,2.991,3,1000,1.001
20.7,2.99,2.995,3,1000,1.001
21.0,2.99,2.99,3,1000,1.001
21.3,2.99,2.995,3,1000,0.997
21.6,2.991,2.998,3,1000,0.997
21.9,2.992,3.002,3,1000,0.997
22.2,2.993,2.955,3,1000,0.997
22.5,2.994,2.996,3,1000,0.997
22.8,2.994,3.002,3,1000,0.997
23.1,2.995,3.0,3,1000,0.997
23.4,2.996,3.001,3,1000,0.997
23.7,2.997,2.971,3,1000,0.997
24.0,2.998,3.0,3,1000,0.997
24.3,2.999,3.004,3,1000,0.997
24.6,2.999,3.001,3,1000,0.997
24.9,3.001,3.005,3,1000,0.997
25.2,3.001,3.002,3,1000,0.997
