Timestamp, SecondsBehindLive, Buffer, VideoIndexDownloading, VideoBitrate, PlaybackRate
0.3,3.047,0.0,3,1000,1.0
0.6,3.175,0.449,3,1000,1.0
0.9,3.163,2.177,3,1000,1.041
1.2,3.15,3.174,3,1000,1.041
1.5,3.139,3.169,3,1000,1.035
1.8,3.129,3.157,3,1000,1.035
2.1,3.119,3.15,3,1000,1.031
2.4,3.11,3.115,3,1000,1.031
2.7,3.103,3.129,3,1000,1.027
3.0,3.095,3.123,3,1000,1.027
3.3,3.087,3.106,3,1000,1.022
3.6,3.081,3.107,3,1000,1.022
3.9,3.073,3.096,3,1000,1.018
4.2,3.068,3.096,3,1000,1.018
4.5,3.063,3.095,3,1000,1.018
4.8,3.057,3.088,3,1000,1.018
5.1,3.052,3.084,3,1000,1.014
5.4,3.048,3.076,3,1000,1.014
5.7,3.045,3.074,3,1000,1.014
6.0,3.04,3.038,3,1000,1.014
6.3,3.036,3.068,3,1000,1.014
6.6,3.034,3.058,3,1000,1.009
6.9,3.031,3.019,3,1000,1.009
7.2,3.028,3.046,3,1000,1.009
7.5,3.025,3.056,3,1000,1.009
7.8,3.023,3.051,3,1000,1.009
8.1,3.02,3.052,3,1000,1.009
8.4,3.017,3.046,3,1000,1.009
8.7,3.016,3.039,3,1000,1.004
9.0,3.014,3.046,3,1000,1.004
9.3,3.014,3.034,3,1000,1.004
9.6,3.012,3.038,3,1000,1.004
9.9,3.01,3.037,3,1000,1.004
10.2,3.009,3.03,3,1000,1.004
10.5,3.008,3.037,3,1000,1.004
10.8,3.007,3.038,3,1000,1.004
11.1,3.005,3.03,3,1000,1.004
11.4,3.004,2.976,3,1000,1.004
11.7,3.003,3.036,3,1000,1.004
12.0,3.002,3.033,3,1000,1.004
12.3,3.0,3.015,3,1000,1.004
12.6,2.999,3.024,3,1000,1.0
12.9,2.999,3.017,3,1000,1.0
13.2,2.999,3.03,3,1000,1.0
13.5,3.0,3.033,3,1000,1.0
13.8,3.0,3.032,3,1000,1.0
14.1,3.0,3.027,3,1000,1.0
14.4,3.0,3.028,3,1000,1.0
14.7,3.0,3.031,3,1000,1.0
15.0,3.0,2.999,3,1000,1.0
15.3,3.0,3.03,3,1000,1.0
15.6,3.0,3.019,3,1000,1.0
15.9,3.0,3.03,3,1000,1.0
16.2,3.0,3.031,3,1000,1.0
16.5,3.001,3.033,3,1000,1.0
16.8,3.0,3.003,3,1000,1.0
17.1,3.001,3.028,3,1000,1.0
17.4,3.001,3.022,3,1000,1.0
17.7,3.001,3.031,3,1000,1.0
18.0,3.001,3.027,3,1000,1.0
18.3,3.001,3.034,3,1000,1.0
18.6,3.001,3.007,3,1000,1.0
18.9,3.001,3.032,3,1000,1.0
19.2,3.001,3.021,3,1000,1.0
19.5,3.001,3.031,3,1000,1.0
19.8,3.001,3.033,3,1000,1.0
20.1,3.001,3.02,3,1000,1.0
20.4,3.002,2.973,3,1000,1.0
20.7,3.002,3.014,3,1000,1.0
21.0,3.002,3.023,3,1000,1.0
21.3,3.002,3.009,3,1000,1.0
21.6,3.002,3.033,3,1000,1.0
21.9,3.003,3.031,3,1000,1.0
22.2,3.002,3.013,3,1000,1.0
22.5,3.002,3.033,3,1000,1.0
22.8,3.002,3.02,3,1000,1.0
23.1,3.002,3.024,3,1000,1.0
23.4,3.002,3.021,3,1000,1.0
23.7,3.003,3.034,3,1000,1.0
24.0,3.002,3.016,3,1000,1.0
24.3,3.003,3.031,3,1000,1.0
24.6,3.003,3.028,3,1000,1.0
24.9,3.003,3.029,3,1000,1.0
25.2,3.003,3.03,3,1000,1.0
25.5,3.003,3.009,3,1000,1.0
25.8,3.003,3.034,3,1000,1.0
26.1,3.004,3.028,3,1000,1.0
26.4,3.004,3.032,3,1000,1.0
26.7,3.003,3.033,3,1000,1.0
27.0,3.003,3.035,3,1000,1.0
27.3,3.004,3.025,3,1000,1.0
27.6,3.004,3.008,3,1000,1.0
27.9,3.003,3.007,3,1000,1.0
28.2,3.003,3.038,3,1000,1.0
28.5,3.004,3.035,3,1000,1.0
28.8,3.004,3.028,3,1000,1.0
29.1,3.004,3.028,3,1000,1.0
29.4,3.004,2.993,3,1000,1.0
29.7,3.004,3.024,3,1000,1.0
30.0,3.005,3.002,3,1000,1.0
30.3,3.005,3.033,3,1000,1.0
30.6,3.004,3.028,3,1000,1.0
30.9,3.004,3.03,3,1000,1.0
31.2,3.005,3.023,3,1000,1.0
31.5,3.005,3.032,3,1000,1.0
31.8,3.005,3.029,3,1000,1.0
32.1,3.004,3.027,3,1000,1.0
32.4,3.005,2.978,3,1000,1.0
32.7,3.005,3.019,3,1000,1.0
33.0,3.006,3.027,3,1000,1.0
33.3,3.005,3.029,3,1000,1.0
33.6,3.006,3.024,3,1000,1.0
33.9,3.005,3.021,3,1000,1.0
34.2,3.006,3.011,3,1000,1.0
34.5,3.006,2.965,3,1000,1.0
34.8,3.005,2.989,3,1000,1.0
35.1,3.006,3.036,3,1000,1.0
35.4,3.006,3.031,3,1000,1.0
35.7,3.006,3.024,3,1000,1.0
36.0,3.006,3.037,3,1000,1.0
36.3,3.006,3.026,3,1000,1.0
36.6,3.007,3.028,3,1000,1.0
36.9,3.006,3.028,3,1000,1.0
37.2,3.006,3.037,3,1000,1.0
37.5,3.006,3.04,3,1000,1.0
37.8,3.007,3.034,3,1000,1.0
38.1,3.006,3.035,3,1000,1.0
38.4,3.006,2.993,3,1000,1.0
38.7,3.007,3.023,3,1000,1.0
39.0,3.006,3.038,3,1000,1.0
39.3,3.007,3.008,3,1000,1.0
39.6,3.007,3.006,3,1000,1.0
39.9,3.007,3.012,3,1000,1.0
40.2,3.007,3.034,3,1000,1.0
