Timestamp, SecondsBehindLive, Buffer, VideoIndexDownloading, VideoBitrate, PlaybackRate
0.3,3.056,0.0,3,1000,1.0
0.6,3.11,2.271,3,1000,1.028
0.9,3.101,3.118,3,1000,1.028
1.2,3.093,3.11,3,1000,1.023
1.5,3.086,3.092,3,1000,1.023
1.8,3.079,3.093,3,1000,1.023
2.1,3.072,3.08,3,1000,1.019
2.4,3.067,3.07,3,1000,1.019
2.7,3.062,3.068,3,1000,1.019
3.0,3.056,3.072,3,1000,1.019
3.3,3.051,3.013,3,1000,1.014
3.6,3.047,3.057,3,1000,1.014
3.9,3.043,3.045,3,1000,1.014
4.2,3.039,3.045,3,1000,1.014
4.5,3.036,3.05,3,1000,1.009
4.8,3.033,3.041,3,1000,1.009
5.1,3.03,3.042,3,1000,1.009
5.4,3.027,3.031,3,1000,1.009
5.7,3.025,3.033,3,1000,1.009
6.0,3.022,3.031,3,1000,1.009
6.3,3.019,3.034,3,1000,1.005
6.6,3.018,3.024,3,1000,1.005
6.9,3.016,3.026,3,1000,1.005
7.2,3.015,3.024,3,1000,1.005
7.5,3.014,3.028,3,1000,1.005
7.8,3.013,2.956,3,1000,1.005
8.1,3.01,3.025,3,1000,1.005
8.4,3.01,3.019,3,1000,1.005
8.7,3.008,3.015,3,1000,1.005
9.0,3.006,3.013,3,1000,1.005
9.3,3.005,2.996,3,1000,1.005
9.6,3.003,3.014,3,1000,1.005
9.9,3.003,3.009,3,1000,1.001
10.2,3.003,3.011,3,1000,1.001
10.5,3.003,3.007,3,1000,1.001
10.8,3.003,3.007,3,1000,1.001
11.1,3.002,3.009,3,1000,1.001
11.4,3.001,3.005,3,1000,1.001
11.7,3.001,3.01,3,1000,1.001
12.0,3.002,3.01,3,1000,1.001
12.3,3.001,2.989,3,1000,1.001
12.6,3.001,3.017,3,1000,1.001
12.9,3.001,3.011,3,1000,1.001
13.2,3.0,3.007,3,1000,1.001
13.5,3.0,3.007,3,1000,1.001
13.8,3.0,3.006,3,1000,1.001
14.1,2.999,3.013,3,1000,1.001
14.4,3.0,3.006,3,1000,1.001
14.7,3.0,3.006,3,1000,1.001
15.0,2.999,3.008,3,1000,1.001
15.3,2.999,3.004,3,1000,1.001
15.6,2.999,3.014,3,1000,1.001
15.9,2.998,3.005,3,1000,1.001
16.2,2.998,3.005,3,1000,1.001
16.5,2.998,3.011,3,1000,1.001
16.8,2.998,2.943,3,1000,1.001
17.1,2.998,3.009,3,1000,1.001
17.4,2.998,3.002,3,1000,1.001
17.7,2.997,3.011,3,1000,1.001
18.0,2.997,3.009,3,1000,1.001
18.3,2.997,2.996,3,1000,1.001
18.6,2.997,3.0,3,1000,1.001
18.9,2.996,3.01,3,1000,1.001
19.2,2.996,3.008,3,1000,1.001
19.5,2.996,3.004,3,1000,1.001
19.8,2.996,2.986,3,1000,1.001
20.1,2.996,3.001,3,1000,1.001
20.4,2.995,2.998,3,1000,1.001
20.7,2.995,2.998,3,1000,1.001
21.0,2.994,3.009,3,1000,1.001
21.3,2.995,3.005,3,1000,1.001
21.6,2.994,3.008,3,1000,1.001
21.9,2.994,2.998,3,1000,1.001
22.2,2.994,2.951,3,1000,1.001
22.5,2.994,3.0,3,1000,1.001
22.8,2.993,2.997,3,1000,1.001
23.1,2.993,3.002,3,1000,1.001
23.4,2.993,2.999,3,1000,1.001
23.7,2.992,2.999,3,1000,1.001
24.0,2.992,2.997,3,1000,1.001
24.3,2.992,2.964,3,1000,1.001
24.6,2.992,3.002,3,1000,1.001
24.9,2.992,2.997,3,1000,1.001
25.2,2.991,2.999,3,1000,1.001
25.5,2.992,2.997,3,1000,1.001
25.8,2.991,2.936,3,1000,1.001
26.1,2.991,3.004,3,1000,1.001
26.4,2.991,3.002,3,1000,1.001
26.7,2.991,2.944,3,1000,1.001
27.0,2.99,3.001,3,1000,1.001
27.3,2.99,2.996,3,1000,1.001
27.6,2.99,2.999,3,1000,1.001
27.9,2.989,2.997,3,1000,1.001
28.2,2.989,2.996,3,1000,1.001
28.5,2.99,2.985,3,1000,1.001
28.8,2.989,2.936,3,1000,1.001
29.1,2.989,3.004,3,1000,1.001
29.4,2.989,3.003,3,1000,1.001
29.7,2.989,2.995,3,1000,1.001
30.0,2.989,2.996,3,1000,1.001
30.3,2.988,3.001,3,1000,1.001
30.6,2.987,2.994,3,1000,1.001
30.9,2.988,2.99,3,1000,1.001
31.2,2.988,2.973,3,1000,1.001
31.5,2.987,2.996,3,1000,1.001
31.8,2.987,2.996,3,1000,1.001
32.1,2.987,2.989,3,1000,1.001
32.4,2.987,2.995,3,1000,0.997
32.7,2.988,2.995,3,1000,0.997
33.0,2.989,2.996,3,1000,0.997
33.3,2.99,2.936,3,1000,0.997
33.6,2.992,2.996,3,1000,0.997
33.9,2.992,2.996,3,1000,0.997
34.2,2.993,3.006,3,1000,0.997
34.5,2.995,2.997,3,1000,0.997
34.8,2.996,2.94,3,1000,0.997
35.1,2.997,3.006,3,1000,0.997
35.4,2.997,3.004,3,1000,0.997
35.7,2.999,3.002,3,1000,0.997
36.0,3.0,3.0,3,1000,0.997
36.3,3.001,3.006,3,1000,0.997
36.6,3.001,3.008,3,1000,0.997
36.9,3.003,3.006,3,1000,0.997
37.2,3.003,3.007,3,1000,1.001
37.5,3.003,3.012,3,1000,1.001
37.8,3.003,3.018,3,1000,1.001
38.1,3.002,3.014,3,1000,1.001
38.4,3.002,3.014,3,1000,1.001
38.7,3.001,3.012,3,1000,1.001
39.0,3.002,3.014,3,1000,1.001
39.3,3.001,3.017,3,1000,1.001
39.6,3.001,3.008,3,1000,1.001
39.9,3.001,3.007,3,1000,1.001
40.2,3.001,3.006,3,1000,1.001
40.5,3.001,3.014,3,1000,1.001
40.8,3.001,3.005,3,1000,1.001
41.1,3.0,3.014,3,1000,1.001
41.4,3.0,3.002,3,1000,1.001
41.7,2.999,2.987,3,1000,1.001
42.0,2.999,3.002,3,1000,1.001
42.3,2.999,3.007,3,1000,1.001
42.6,2.998,3.005,3,1000,1.001
42.9,2.998,3.012,3,1000,1.001
43.2,2.998,3.004,3,1000,1.001
43.5,2.998,3.003,3,1000,1.001
43.8,2.998,2.943,3,1000,1.001
44.1,2.998,3.005,3,1000,1.001
44.4,2.998,3.002,3,1000,1.001
44.7,2.998,3.003,3,1000,1.001
45.0,2.998,2.989,3,1000,1.001
45.3,2.997,2.983,3,1000,1.001
45.6,2.997,3.008,3,1000,1.001
45.9,2.997,3.002,3,1000,1.001
46.2,2.996,3.004,3,1000,1.001
46.5,2.996,3.002,3,1000,1.001
46.8,2.996,3.002,3,1000,1.001
47.1,2.996,3.003,3,1000,1.001
47.4,2.996,3.007,3,1000,1.001
47.7,2.995,3.0,3,1000,1.001
48.0,2.995,2.999,3,1000,1.001
48.3,2.995,2.999,3,1000,1.001
48.6,2.994,2.998,3,1000,1.001
48.9,2.995,3.0,3,1000,1.001
49.2,2.994,2.997,3,1000,1.001
49.5,2.994,3.001,3,1000,1.001
49.8,2.994,2.951,3,1000,1.001
50.1,2.993,2.998,3,1000,1.001
50.4,2.994,3.002,3,1000,1.001
50.7,2.993,2.996,3,1000,1.001
51.0,2.993,3.002,3,1000,1.001
51.3,2.992,2.997,3,1000,1.001
51.6,2.992,2.997,3,1000,1.001
51.9,2.992,2.997,3,1000,1.001
52.2,2.992,2.971,3,1000,1.001
52.5,2.992,3.0,3,1000,1.001
52.8,2.991,2.936,3,1000,1.001
53.1,2.991,3.0,3,1000,1.001
53.4,2.991,3.001,3,1000,1.001
53.7,2.991,3.004,3,1000,1.001
54.0,2.991,2.998,3,1000,1.001
54.3,2.99,2.951,3,1000,1.001
54.6,2.99,2.971,3,1000,1.001
54.9,2.99,2.996,3,1000,1.001
55.2,2.99,2.998,3,1000,1.001
55.5,2.99,2.992,3,1000,1.001
55.8,2.989,2.995,3,1000,1.001
56.1,2.989,2.994,3,1000,1.001
56.4,2.989,2.958,3,1000,1.001
56.7,2.988,3.003,3,1000,1.001
57.0,2.988,2.99,3,1000,1.001
57.3,2.989,2.995,3,1000,1.001
57.6,2.988,2.991,3,1000,1.001
57.9,2.988,2.997,3,1000,1.001
58.2,2.987,2.975,3,1000,1.001
58.5,2.987,2.992,3,1000,1.001
58.8,2.987,2.931,3,1000,1.001
59.1,2.987,2.997,3,1000,1.001
59.4,2.987,2.989,3,1000,0.997
59.7,2.988,2.991,3,1000,0.997
60.0,2.99,2.98,3,1000,0.997
60.3,2.99,2.997,3,1000,0.997
60.6,2.991,2.994,3,1000,0.997
60.9,2.992,3.006,3,1000,0.997
61.2,2.994,3.001,3,1000,0.997
61.5,2.995,3.005,3,1000,0.997
61.8,2.995,2.955,3,1000,0.997
62.1,2.997,3.008,3,1000,0.997
62.4,2.997,2.986,3,1000,0.997
62.7,2.999,3.003,3,1000,0.997
63.0,2.999,3.011,3,1000,0.997
63.3,3.001,3.008,3,1000,0.997
63.6,3.002,3.014,3,1000,1.001
63.9,3.002,2.978,3,1000,1.001
64.2,3.001,2.975,3,1000,1.001
64.5,3.001,2.955,3,1000,1.001
64.8,3.001,2.905,3,1000,1.001
65.1,3.0,2.711,3,1000,1.001
65.4,3.001,2.618,3,1000,1.001
65.7,3.001,2.728,3,1000,1.001
66.0,3.0,3.008,3,1000,1.001
66.3,3.0,2.989,3,1000,1.001
66.6,2.999,2.759,3,1000,1.001
66.9,3.0,2.847,3,1000,1.001
67.2,2.999,2.972,3,1000,1.001
67.5,2.999,2.959,3,1000,1.001
67.8,2.999,2.823,3,1000,1.001
68.1,2.999,2.723,3,1000,1.001
68.4,2.998,2.398,3,1000,1.001
68.7,2.998,2.599,3,1000,1.001
69.0,2.998,2.332,3,1000,1.001
69.3,2.997,2.474,3,1000,1.001
69.6,2.997,2.32,3,1000,1.001
69.9,2.998,2.373,3,1000,1.001
70.2,2.997,2.234,3,1000,1.001
70.5,2.997,2.267,3,1000,1.001
70.8,2.997,1.975,3,1000,1.001
71.1,2.996,1.908,3,1000,1.001
71.4,2.996,1.91,3,1000,1.001
71.7,2.996,1.677,3,1000,1.001
72.0,2.996,1.668,3,1000,1.001
72.3,2.996,1.582,3,1000,1.001
