Timestamp, SecondsBehindLive, Buffer, VideoIndexDownloading, VideoBitrate, PlaybackRate
0.3,3.159,0.413,3,1000,1.038
0.6,3.148,2.601,3,1000,1.038
0.9,3.136,3.132,3,1000,1.034
1.2,3.126,3.135,3,1000,1.034
1.5,3.117,3.124,3,1000,1.03
1.8,3.108,3.112,3,1000,1.03
2.1,3.098,3.079,3,1000,1.024
2.4,3.092,3.095,3,1000,1.024
2.7,3.084,3.086,3,1000,1.024
3.0,3.077,3.079,3,1000,1.02
3.3,3.071,3.08,3,1000,1.02
3.6,3.065,3.049,3,1000,1.02
3.9,3.061,3.063,3,1000,1.016
4.2,3.056,3.066,3,1000,1.016
4.5,3.051,3.041,3,1000,1.016
4.8,3.046,3.056,3,1000,1.012
5.1,3.043,3.028,3,1000,1.012
5.4,3.04,3.046,3,1000,1.012
5.7,3.036,3.042,3,1000,1.012
6.0,3.032,3.032,3,1000,1.012
6.3,3.029,3.021,3,1000,1.012
6.6,3.027,2.987,3,1000,1.007
6.9,3.025,3.032,3,1000,1.007
7.2,3.023,3.022,3,1000,1.007
7.5,3.02,3.028,3,1000,1.007
7.8,3.019,3.019,3,1000,1.007
8.1,3.016,3.0,3,1000,1.007
8.4,3.014,3.021,3,1000,1.007
8.7,3.012,3.011,3,1000,1.007
9.0,3.01,2.984,3,1000,1.002
9.3,3.01,3.011,3,1000,1.002
9.6,3.009,2.996,3,1000,1.002
9.9,3.007,3.009,3,1000,1.002
10.2,3.007,3.011,3,1000,1.002
10.5,3.006,3.014,3,1000,1.002
10.8,3.005,3.009,3,1000,1.002
11.1,3.004,2.985,3,1000,1.002
11.4,3.004,2.988,3,1000,1.002
11.7,3.003,3.007,3,1000,1.002
12.0,3.002,3.006,3,1000,1.002
12.3,3.001,2.992,3,1000,1.002
12.6,3.001,2.978,3,1000,1.002
12.9,3.0,3.0,3,1000,1.002
13.2,3.0,3.01,3,1000,1.002
13.5,2.999,3.008,3,1000,1.002
13.8,2.998,2.991,3,1000,1.002
14.1,2.997,2.979,3,1000,1.002
14.4,2.996,2.996,3,1000,1.002
14.7,2.996,3.002,3,1000,1.002
15.0,2.995,2.999,3,1000,1.002
15.3,2.994,2.989,3,1000,1.002
15.6,2.994,2.98,3,1000,0.998
15.9,2.994,2.992,3,1000,0.998
16.2,2.995,2.989,3,1000,0.998
16.5,2.996,3.003,3,1000,0.998
16.8,2.996,2.99,3,1000,0.998
17.1,2.997,2.976,3,1000,0.998
17.4,2.997,2.996,3,1000,0.998
17.7,2.997,2.997,3,1000,0.998
18.0,2.998,3.0,3,1000,0.998
18.3,2.998,2.976,3,1000,0.998
18.6,2.999,2.981,3,1000,0.998
18.9,2.999,3.003,3,1000,0.998
19.2,3.0,3.0,3,1000,0.998
19.5,3.001,2.998,3,1000,0.998
19.8,3.001,2.999,3,1000,0.998
20.1,3.002,2.981,3,1000,0.998
20.4,3.003,3.007,3,1000,0.998
20.7,3.003,2.989,3,1000,0.998
21.0,3.003,2.998,3,1000,0.998
21.3,3.004,2.997,3,1000,0.998
21.6,3.004,2.986,3,1000,0.998
21.9,3.005,2.998,3,1000,0.998
22.2,3.005,3.01,3,1000,0.998
22.5,3.006,3.003,3,1000,0.998
22.8,3.006,3.003,3,1000,0.998
23.1,3.007,2.993,3,1000,0.998
23.4,3.008,3.007,3,1000,0.998
23.7,3.008,3.003,3,1000,0.998
24.0,3.008,3.011,3,1000,0.998
24.3,3.009,3.006,3,1000,0.998
24.6,3.009,2.992,3,1000,0.998
24.9,3.009,3.017,3,1000,1.002
25.2,3.008,2.999,3,1000,1.002
25.5,3.008,3.01,3,1000,1.002
25.8,3.006,3.003,3,1000,1.002
26.1,3.006,2.989,3,1000,1.002
26.4,3.005,3.011,3,1000,1.002
26.7,3.004,3.003,3,1000,1.002
27.0,3.004,3.005,3,1000,1.002
27.3,3.003,3.006,3,1000,1.002
27.6,3.002,2.981,3,1000,1.002
27.9,3.002,3.006,3,1000,1.002
28.2,3.001,2.994,3,1000,1.002
28.5,3.0,2.974,3,1000,1.002
28.8,2.999,2.977,3,1000,1.002
29.1,2.998,2.985,3,1000,1.002
29.4,2.998,3.003,3,1000,1.002
29.7,2.997,2.997,3,1000,1.002
30.0,2.996,3.003,3,1000,1.002
30.3,2.995,2.972,3,1000,1.002
30.6,2.994,2.976,3,1000,1.002
30.9,2.994,2.991,3,1000,1.002
31.2,2.993,2.885,3,1000,1.002
31.5,2.993,2.925,3,1000,0.998
31.8,2.994,2.987,3,1000,0.998
32.1,2.994,2.974,3,1000,0.998
32.4,2.995,2.994,3,1000,0.998
32.7,2.995,3.002,3,1000,0.998
33.0,2.995,2.959,3,1000,0.998
33.3,2.997,3.006,3,1000,0.998
33.6,2.997,2.981,3,1000,0.998
33.9,2.998,2.981,3,1000,0.998
34.2,2.998,3.001,3,1000,0.998
34.5,2.998,2.972,3,1000,0.998
34.8,2.999,2.998,3,1000,0.998
35.1,3.0,2.98,3,1000,0.998
35.4,3.0,3.001,3,1000,0.998
35.7,3.0,2.995,3,1000,0.998
36.0,3.001,3.003,3,1000,0.998
36.3,3.002,2.985,3,1000,0.998
36.6,3.002,3.002,3,1000,0.998
36.9,3.003,2.986,3,1000,0.998
37.2,3.004,3.0,3,1000,0.998
37.5,3.004,3.008,3,1000,0.998
37.8,3.004,3.004,3,1000,0.998
38.1,3.004,2.987,3,1000,0.998
38.4,3.005,3.011,3,1000,0.998
38.7,3.006,3.008,3,1000,0.998
39.0,3.007,3.009,3,1000,0.998
39.3,3.007,2.984,3,1000,0.998
39.6,3.007,2.961,3,1000,0.998
39.9,3.008,3.008,3,1000,0.998
40.2,3.009,3.006,3,1000,0.998
40.5,3.009,3.013,3,1000,0.998
40.8,3.009,3.014,3,1000,0.998
41.1,3.009,2.989,3,1000,1.002
41.4,3.008,3.01,3,1000,1.002
41.7,3.008,3.006,3,1000,1.002
42.0,3.007,3.007,3,1000,1.002
42.3,3.006,3.008,3,1000,1.002
42.6,3.006,2.991,3,1000,1.002
42.9,3.005,2.988,3,1000,1.002
43.2,3.004,3.008,3,1000,1.002
43.5,3.003,3.009,3,1000,1.002
43.8,3.003,2.98,3,1000,1.002
44.1,3.001,2.984,3,1000,1.002
44.4,3.001,3.005,3,1000,1.002
44.7,3.001,2.987,3,1000,1.002
45.0,2.999,2.994,3,1000,1.002
45.3,2.998,3.002,3,1000,1.002
45.6,2.998,2.982,3,1000,1.002
